PRCP       010795 19080301 20160531 missing_value=99999.9 AVONDALE RESEARCH STN                     
19300201 19300228     0.0
19300301 19300331    14.3
19300401 19300430    33.5
19300501 19300531     6.7
19300601 19300630   115.4
19300701 19300731   126.2
19300801 19300831    45.7
19300901 19300930    24.0
19301001 19301031     7.3
19301101 19301130     0.0
19301201 19301231     6.7
19310101 19310131     0.0
19310201 19310228     0.0
19310301 19310331     8.3
19310401 19310430    14.6
19310501 19310531    66.2
19310601 19310630    36.0
19310701 19310731    45.5
19310801 19310831    90.8
19310901 19310930    80.4
19311001 19311031    14.3
19311101 19311130     1.8
19311201 19311231    33.2
19320101 19320131     4.8
19320201 19320229     0.0
19320301 19320331     7.0
19320401 19320430    19.2
19320501 19320531   148.7
19320601 19320630    35.0
19320701 19320731   106.9
19320801 19320831   119.5
19320901 19320930    24.1
19321001 19321031   153.0
19321101 19321130     0.0
19321201 19321231     1.0
19330101 19330131    35.0
19330201 19330228     0.6
19330301 19330331    44.2
19330401 19330430    12.1
19330501 19330531    59.8
19330601 19330630    55.1
19330701 19330731    40.9
19330801 19330831    33.5
19330901 19330930    16.9
19331001 19331031    49.2
19331101 19331130     1.8
19331201 19331231     1.0
19340101 19340131    29.0
19340201 19340228     1.0
19340301 19340331   136.9
19340401 19340430    51.2
19340501 19340531    42.2
19340601 19340630    68.6
19340701 19340731    45.4
19340801 19340831    36.6
19340901 19340930    21.7
19341001 19341031    22.6
19341101 19341130    22.8
19341201 19341231     4.6
19350101 19350131    24.1
19350201 19350228    22.0
19350301 19350331    12.5
19350401 19350430    15.7
19350501 19350531    53.9
19350601 19350630    51.4
19350701 19350731    80.6
19350801 19350831    59.4
19350901 19350930    19.0
19351001 19351031    85.1
19351101 19351130     0.0
19351201 19351231     3.6
19360101 19360131     7.0
19360201 19360229     1.0
19360301 19360331    13.1
19360401 19360430     9.2
19360501 19360531    52.7
19360601 19360630   106.1
19360701 19360731    46.6
19360801 19360831    55.7
19360901 19360930    21.4
19361001 19361031     8.0
19361101 19361130     4.3
19361201 19361231    40.2
19370101 19370131     0.0
19370201 19370228     3.6
19370301 19370331     3.0
19370401 19370430    44.4
19370501 19370531    94.9
19370601 19370630    50.0
19370701 19370731    10.7
19370801 19370831    54.7
19370901 19370930    10.9
19371001 19371031    15.1
19371101 19371130    45.5
19371201 19371231     0.0
19380101 19380131     3.0
19380201 19380228     1.8
19380301 19380331    94.6
19380401 19380430    16.4
19380501 19380531    20.0
19380601 19380630    43.0
19380701 19380731    67.1
19380801 19380831    18.2
19380901 19380930    32.6
19381001 19381031    36.2
19381101 19381130    12.5
19381201 19381231     2.2
19390101 19390131    21.6
19390201 19390228    95.0
19390301 19390331     0.0
19390401 19390430     2.4
19390501 19390531   140.5
19390601 19390630    83.6
19390701 19390731    92.3
19390801 19390831     2.8
19390901 19390930     0.0
19391001 19391031    47.2
19391101 19391130    36.2
19391201 19391231     0.0
19400101 19400131    27.7
19400201 19400229     0.0
19400301 19400331     0.0
19400401 19400430    21.2
19400501 19400531    19.2
19400601 19400630    60.7
19400701 19400731    40.3
19400801 19400831    11.9
19400901 19400930    22.8
19401001 19401031    18.2
19401101 19401130     1.6
19401201 19401231    49.6
19410101 19410131     3.6
19410201 19410228     0.0
19410301 19410331     0.0
19410401 19410430    33.1
19410501 19410531    23.6
19410601 19410630    81.4
19410701 19410731    54.7
19410801 19410831    64.1
19410901 19410930    32.8
19411001 19411031    20.6
19411101 19411130    19.0
19411201 19411231    15.8
19420101 19420131     0.0
19420201 19420228     0.6
19420301 19420331    97.8
19420401 19420430    58.6
19420501 19420531    66.4
19420601 19420630    51.5
19420701 19420731    73.7
19420801 19420831    72.7
19420901 19420930    31.6
19421001 19421031    12.8
19421101 19421130     3.7
19421201 19421231    50.4
19430101 19430131    20.0
19430201 19430228    22.8
19430301 19430331    73.4
19430401 19430430    55.3
19430501 19430531    56.8
19430601 19430630    88.1
19430701 19430731    72.5
19430801 19430831    60.2
19430901 19430930    38.9
19431001 19431031    18.2
19431101 19431130     0.0
19431201 19431231     3.4
19440101 19440131    12.5
19440201 19440229     7.0
19440301 19440331     6.7
19440401 19440430    41.6
19440501 19440531    66.1
19440601 19440630    30.5
19440701 19440731    62.6
19440801 19440831    69.1
19440901 19440930    14.4
19441001 19441031     1.8
19441101 19441130     4.0
19441201 19441231     5.2
19450101 19450131     0.0
19450201 19450228     0.6
19450301 19450331    35.5
19450401 19450430     7.7
19450501 19450531    40.0
19450601 19450630   223.3
19450701 19450731    46.0
19450801 19450831   115.8
19450901 19450930    33.0
19451001 19451031     4.3
19451101 19451130     8.5
19451201 19451231     3.0
19460101 19460131     1.6
19460201 19460228     0.0
19460301 19460331     1.9
19460401 19460430    20.2
19460501 19460531   105.7
19460601 19460630   138.2
19460701 19460731   145.0
19460801 19460831    52.0
19460901 19460930    13.1
19461001 19461031     1.2
19461101 19461130    38.8
19461201 19461231     4.9
19470101 19470131     0.0
19470201 19470228    12.2
19470301 19470331    36.6
19470401 19470430    35.4
19470501 19470531    95.9
19470601 19470630    89.0
19470701 19470731    49.9
19470801 19470831    20.3
19470901 19470930    10.7
19471001 19471031    64.8
19471101 19471130    78.0
19471201 19471231     3.0
19480101 19480131     1.0
19480201 19480229     0.0
19480301 19480331    10.4
19480401 19480430    12.8
19480501 19480531     0.6
19480601 19480630   114.8
19480701 19480731    52.7
19480801 19480831    63.0
19480901 19480930    75.4
19481001 19481031    15.7
19481101 19481130    11.0
19481201 19481231     6.4
19490101 19490131     2.8
19490201 19490228    10.3
19490301 19490331     4.8
19490401 19490430    12.2
19490501 19490531     3.1
19490601 19490630    47.6
19490701 19490731    57.4
19490801 19490831    85.4
19490901 19490930    10.1
19491001 19491031    15.2
19491101 19491130    36.4
19491201 19491231     1.0
19500101 19500131     2.4
19500201 19500228     0.0
19500301 19500331     8.5
19500401 19500430     0.0
19500501 19500531    64.7
19500601 19500630    43.8
19500701 19500731    56.5
19500801 19500831    28.7
19500901 19500930    40.2
19501001 19501031    25.0
19501101 19501130    15.6
19501201 19501231     0.0
19510101 19510131     7.9
19510201 19510228    77.8
19510301 19510331     1.8
19510401 19510430    99.5
19510501 19510531    15.0
19510601 19510630   106.6
19510701 19510731    34.1
19510801 19510831    28.1
19510901 19510930    18.2
19511001 19511031    12.2
19511101 19511130     2.5
19511201 19511231    38.4
19520101 19520131    13.1
19520201 19520229     1.8
19520301 19520331    15.8
19520401 19520430     0.6
19520501 19520531    46.1
19520601 19520630    46.8
19520701 19520731    81.6
19520801 19520831    25.3
19520901 19520930    42.7
19521001 19521031    35.6
19521101 19521130     3.7
19521201 19521231    40.8
19530101 19530131     0.0
19530201 19530228     9.7
19530301 19530331    40.6
19530401 19530430    80.8
19530501 19530531   119.9
19530601 19530630   106.8
19530701 19530731    48.7
19530801 19530831    40.0
19530901 19530930    16.8
19531001 19531031    47.9
19531101 19531130     7.9
19531201 19531231     0.0
19540101 19540131     1.0
19540201 19540228     0.0
19540301 19540331     0.0
19540401 19540430     2.8
19540501 19540531    66.2
19540601 19540630    47.6
19540701 19540731    70.2
19540801 19540831    38.5
19540901 19540930    18.5
19541001 19541031     1.8
19541101 19541130     6.7
19541201 19541231    12.8
19550101 19550131     0.0
19550201 19550228   192.6
19550301 19550331    64.1
19550401 19550430    47.3
19550501 19550531    36.4
19550601 19550630    18.0
19550701 19550731    57.1
19550801 19550831   116.0
19550901 19550930    42.1
19551001 19551031    22.0
19551101 19551130     0.0
19551201 19551231     6.1
19560101 19560131     0.0
19560201 19560229     3.6
19560301 19560331     6.4
19560401 19560430    12.2
19560501 19560531    63.2
19560601 19560630    79.4
19560701 19560731    89.9
19560801 19560831     4.9
19560901 19560930    15.2
19561001 19561031    13.4
19561101 19561130    48.2
19561201 19561231     0.0
19570101 19570131    37.9
19570201 19570228     5.8
19570301 19570331    15.2
19570401 19570430    16.6
19570501 19570531    44.9
19570601 19570630   124.9
19570701 19570731    21.1
19570801 19570831    31.7
19570901 19570930     9.7
19571001 19571031    12.5
19571101 19571130     0.0
19571201 19571231     0.0
19580101 19580131     0.0
19580201 19580228    12.8
19580301 19580331     3.0
19580401 19580430     2.2
19580501 19580531   109.9
19580601 19580630    27.7
19580701 19580731   178.4
19580801 19580831    29.0
19580901 19580930    61.2
19581001 19581031    14.6
19581101 19581130    32.3
19581201 19581231    18.6
19590101 19590131     2.4
19590201 19590228    35.2
19590301 19590331    37.7
19590401 19590430     9.1
19590501 19590531    17.3
19590601 19590630   126.1
19590701 19590731    14.4
19590801 19590831    65.6
19590901 19590930    47.3
19591001 19591031     5.3
19591101 19591130     4.0
19591201 19591231     2.5
19600101 19600131    36.6
19600201 19600229     7.1
19600301 19600331    51.2
19600401 19600430    14.4
19600501 19600531    80.6
19600601 19600630    39.4
19600701 19600731   128.5
19600801 19600831     7.3
19600901 19600930    55.9
19601001 19601031     0.6
19601101 19601130     0.0
19601201 19601231     0.0
19610101 19610131    59.0
19610201 19610228     4.7
19610301 19610331     3.7
19610401 19610430    58.3
19610501 19610531     2.8
19610601 19610630    79.6
19610701 19610731    46.6
19610801 19610831    48.8
19610901 19610930    18.0
19611001 19611031     6.7
19611101 19611130     0.0
19611201 19611231     8.9
19620101 19620131    37.7
19620201 19620228     8.9
19620301 19620331     0.0
19620401 19620430     4.1
19620501 19620531   109.7
19620601 19620630    52.9
19620701 19620731    53.9
19620801 19620831    26.2
19620901 19620930    14.9
19621001 19621031    31.2
19621101 19621130     9.7
19621201 19621231     5.8
19630101 19630131     0.6
19630201 19630228    48.1
19630301 19630331    26.9
19630401 19630430    39.6
19630501 19630531   117.6
19630601 19630630   105.4
19630701 19630731    73.2
19630801 19630831    98.9
19630901 19630930    22.9
19631001 19631031    11.0
19631101 19631130    12.7
19631201 19631231     2.8
19640101 19640131     1.6
19640201 19640229     4.0
19640301 19640331     3.4
19640401 19640430    70.4
19640501 19640531     3.1
19640601 19640630   103.9
19640701 19640731   115.7
19640801 19640831    67.1
19640901 19640930    45.8
19641001 19641031    13.6
19641101 19641130     2.9
19641201 19641231     3.4
19650101 19650131     1.1
