PRCP       056023 19121201 20180131 missing_value=99999.9 OLD KOREELAH (MCPHERSON)                  
20080701 20080731    68.6
20080801 20080831    15.6
20080901 20080930    59.2
20081001 20081031    22.0
20081101 20081130   229.8
20081201 20081231    79.6
20090101 20090131    70.8
20090201 20090228   110.0
20090301 20090331    59.8
20090401 20090430    88.6
20090501 20090531   192.0
20090601 20090630    55.0
20090701 20090731     4.8
20090801 20090831     8.2
20090901 20090930    17.6
20091001 20091031    48.0
20091101 20091130    48.4
20091201 20091231   178.2
20100101 20100131    53.4
20100201 20100228   147.6
20100301 20100331   133.4
20100401 20100430    24.2
20100501 20100531    38.2
20100601 20100630    22.0
20100701 20100731    51.4
20100801 20100831    52.8
20100901 20100930    93.4
20101001 20101031   129.0
20101101 20101130   137.8
20101201 20101231   330.4
20110101 20110131   390.4
20110201 20110228   105.6
20110301 20110331   134.8
20110401 20110430    90.4
20110501 20110531    88.2
20110601 20110630    45.0
20110701 20110731    32.6
20110801 20110831    92.8
20110901 20110930    24.6
20111001 20111031    92.2
20111101 20111130    65.2
20111201 20111231    95.0
20120101 20120131   162.2
20120201 20120229   137.8
20120301 20120331    63.0
20120401 20120430 99999.9
20120501 20120531    34.8
20120601 20120630    81.4
20120701 20120731    30.0
20120801 20120831     2.6
20120901 20120930    18.8
20121001 20121031    36.4
20121101 20121130    45.2
20121201 20121231   155.6
20130101 20130131   309.0
20130201 20130228   153.0
20130301 20130331   103.2
20130401 20130430    44.0
20130501 20130531    50.0
20130601 20130630    77.0
20130701 20130731    39.6
20130801 20130831     2.4
20130901 20130930    30.4
20131001 20131031    43.2
20131101 20131130   123.8
20131201 20131231    46.2
20140101 20140131    30.4
20140201 20140228    24.0
20140301 20140331   188.4
20140401 20140430    21.4
20140501 20140531    30.8
20140601 20140630    33.0
20140701 20140731     4.0
20140801 20140831    74.4
20140901 20140930    22.4
20141001 20141031    10.4
20141101 20141130    51.0
20141201 20141231   188.2
20150101 20150131   141.0
20150201 20150228   149.4
20150301 20150331    93.0
20150401 20150430    61.4
20150501 20150531   124.6
20150601 20150630    26.0
20150701 20150731    31.6
20150801 20150831    64.4
20150901 20150930    39.2
20151001 20151031    40.6
20151101 20151130   111.4
20151201 20151231    82.0
20160101 20160131   100.0
20160201 20160229    62.0
20160301 20160331    34.0
20160401 20160430    13.4
20160501 20160531    24.6
20160601 20160630   163.2
20160701 20160731    14.0
20160801 20160831   133.6
20160901 20160930    71.0
20161001 20161031    56.2
20161101 20161130    49.6
20161201 20161231    69.6
20170101 20170131   109.2
20170201 20170228    30.2
20170301 20170331   311.8
20170401 20170430    26.0
20170501 20170531    21.6
20170601 20170630    69.2
20170701 20170731    21.6
20170801 20170831     6.0
20170901 20170930     5.2
20171001 20171031   152.6
20171101 20171130    87.0
20171201 20171231    90.8
20180101 20180131    43.4
