PRCP       056023 19121201 20180131 missing_value=99999.9 OLD KOREELAH (MCPHERSON)                  
19341001 19341031    52.3
19341101 19341130    70.6
19341201 19341231   139.9
19350101 19350131    57.7
19350201 19350228    83.1
19350301 19350331    37.9
19350401 19350430    35.0
19350501 19350531    45.9
19350601 19350630    24.7
19350701 19350731    83.9
19350801 19350831    22.6
19350901 19350930   110.5
19351001 19351031    86.5
19351101 19351130    21.6
19351201 19351231   113.2
19360101 19360131   136.6
19360201 19360229    16.0
19360301 19360331   178.4
19360401 19360430    22.1
19360501 19360531    37.9
19360601 19360630    27.7
19360701 19360731    52.4
19360801 19360831     4.5
19360901 19360930    46.3
19361001 19361031    11.6
19361101 19361130    32.2
19361201 19361231   132.3
19370101 19370131    98.4
19370201 19370228    78.8
19370301 19370331   166.9
19370401 19370430    26.1
19370501 19370531     6.4
19370601 19370630    37.9
19370701 19370731    20.0
19370801 19370831    62.2
19370901 19370930    22.9
19371001 19371031    69.7
19371101 19371130   135.6
19371201 19371231   164.3
19380101 19380131   193.7
19380201 19380228    72.5
19380301 19380331   118.3
19380401 19380430    28.6
19380501 19380531    97.2
19380601 19380630    16.2
19380701 19380731    31.7
19380801 19380831    62.7
19380901 19380930    18.8
19381001 19381031    91.6
19381101 19381130    98.4
19381201 19381231    32.8
19390101 19390131    89.1
19390201 19390228    23.9
19390301 19390331   269.4
19390401 19390430    63.2
19390501 19390531    26.3
19390601 19390630    50.1
19390701 19390731    73.7
19390801 19390831    52.3
19390901 19390930    23.4
19391001 19391031    23.2
19391101 19391130    55.9
19391201 19391231    86.1
19400101 19400131    36.0
19400201 19400229   132.7
19400301 19400331   186.5
19400401 19400430    22.1
19400501 19400531    24.6
19400601 19400630    18.8
19400701 19400731     1.5
19400801 19400831     7.1
19400901 19400930    13.2
19401001 19401031    17.3
19401101 19401130   112.2
19401201 19401231   241.2
19410101 19410131   254.4
19410201 19410228    91.7
19410301 19410331    91.5
19410401 19410430    30.2
19410501 19410531    97.2
19410601 19410630    35.0
19410701 19410731     9.6
19410801 19410831     7.4
19410901 19410930     0.0
19411001 19411031    17.0
19411101 19411130    94.7
19411201 19411231    56.2
19420101 19420131    50.2
19420201 19420228   262.0
19420301 19420331    70.4
19420401 19420430    14.7
19420501 19420531    30.6
19420601 19420630    26.7
19420701 19420731    39.1
19420801 19420831     6.4
19420901 19420930    36.8
19421001 19421031   187.7
19421101 19421130    33.7
19421201 19421231   171.2
19430101 19430131   106.8
19430201 19430228    53.9
19430301 19430331    44.0
19430401 19430430    36.8
19430501 19430531    21.6
19430601 19430630     9.9
19430701 19430731    10.1
19430801 19430831    80.1
19430901 19430930    91.4
19431001 19431031    64.5
19431101 19431130    87.1
19431201 19431231   287.5
19440101 19440131   230.2
19440201 19440229    26.9
19440301 19440331    45.4
19440401 19440430     5.3
19440501 19440531    42.1
19440601 19440630    25.6
19440701 19440731    88.5
19440801 19440831    76.4
19440901 19440930    47.1
19441001 19441031    23.1
19441101 19441130    42.8
19441201 19441231    63.6
19450101 19450131    74.2
19450201 19450228   114.7
19450301 19450331    11.4
19450401 19450430    65.9
19450501 19450531    58.5
19450601 19450630   290.9
19450701 19450731    55.1
19450801 19450831    16.5
19450901 19450930    63.5
19451001 19451031    25.1
19451101 19451130    50.5
19451201 19451231    62.5
19460101 19460131   214.7
19460201 19460228    78.5
19460301 19460331   162.7
19460401 19460430    59.5
19460501 19460531    10.1
19460601 19460630     6.4
19460701 19460731     5.3
19460801 19460831     5.1
19460901 19460930    96.1
19461001 19461031    75.2
19461101 19461130   150.1
19461201 19461231    65.8
19470101 19470131   320.7
19470201 19470228   188.6
19470301 19470331    77.0
19470401 19470430    84.1
19470501 19470531    38.0
19470601 19470630    13.2
19470701 19470731    19.8
19470801 19470831    19.2
19470901 19470930    64.2
19471001 19471031    62.7
19471101 19471130    88.2
19471201 19471231   221.0
