PRCP       032032 18900501 20180131 missing_value=99999.9 MACKNADE SUGAR MILL                       
19860401 19860430   171.8
19860501 19860531   170.4
19860601 19860630    54.2
19860701 19860731    43.6
19860801 19860831    75.4
19860901 19860930    21.2
19861001 19861031   133.6
19861101 19861130    44.0
19861201 19861231    37.0
19870101 19870131    74.8
19870201 19870228   252.7
19870301 19870331   117.4
19870401 19870430   155.6
19870501 19870531   158.4
19870601 19870630    46.0
19870701 19870731    46.2
19870801 19870831    73.4
19870901 19870930    52.0
19871001 19871031     7.4
19871101 19871130    94.0
19871201 19871231    45.6
19880101 19880131   112.0
19880201 19880229   295.2
19880301 19880331    67.6
19880401 19880430   284.4
19880501 19880531   114.8
19880601 19880630     7.4
19880701 19880731    64.3
19880801 19880831    21.8
19880901 19880930    11.0
19881001 19881031     7.2
19881101 19881130   101.8
19881201 19881231   305.6
19890101 19890131   164.4
19890201 19890228   255.2
19890301 19890331   493.9
19890401 19890430   426.0
19890501 19890531   253.8
19890601 19890630    54.8
19890701 19890731    96.0
19890801 19890831    23.4
19890901 19890930     7.0
19891001 19891031    41.0
19891101 19891130   416.8
19891201 19891231    66.8
19900101 19900131    85.0
19900201 19900228   129.8
19900301 19900331   459.0
19900401 19900430   544.8
19900501 19900531   101.2
19900601 19900630   232.8
19900701 19900731    47.2
19900801 19900831     1.8
19900901 19900930    53.2
19901001 19901031     9.4
19901101 19901130     9.2
19901201 19901231   109.2
19910101 19910131   921.3
19910201 19910228   892.4
19910301 19910331    44.4
19910401 19910430   155.2
19910501 19910531   109.2
19910601 19910630    23.6
19910701 19910731    24.0
19910801 19910831     5.7
19910901 19910930     0.0
19911001 19911031     4.3
19911101 19911130    86.0
19911201 19911231    87.0
19920101 19920131    25.3
19920201 19920229   428.3
19920301 19920331    51.6
19920401 19920430   104.1
19920501 19920531   209.8
19920601 19920630    10.0
19920701 19920731    22.0
19920801 19920831    14.8
19920901 19920930    22.4
19921001 19921031    12.6
19921101 19921130    20.5
19921201 19921231   181.1
19930101 19930131   365.1
19930201 19930228   602.8
19930301 19930331    93.9
19930401 19930430   114.6
19930501 19930531    72.4
19930601 19930630    65.8
19930701 19930731    53.8
19930801 19930831    50.6
19930901 19930930    65.9
19931001 19931031    32.3
19931101 19931130    54.9
19931201 19931231    81.0
19940101 19940131   506.4
19940201 19940228  1095.9
19940301 19940331   112.5
19940401 19940430    60.9
19940501 19940531    37.5
19940601 19940630    47.0
19940701 19940731    24.4
19940801 19940831     4.1
19940901 19940930    11.1
19941001 19941031    25.3
19941101 19941130    24.7
19941201 19941231   134.8
19950101 19950131   150.7
19950201 19950228   620.9
19950301 19950331   195.0
19950401 19950430    25.1
19950501 19950531   124.8
19950601 19950630    52.1
19950701 19950731    11.9
19950801 19950831   116.7
19950901 19950930     7.5
19951001 19951031    85.2
19951101 19951130    55.0
19951201 19951231    48.1
19960101 19960131   320.0
19960201 19960229   172.3
19960301 19960331   412.5
19960401 19960430    88.4
19960501 19960531    54.2
19960601 19960630    67.4
19960701 19960731    29.5
19960801 19960831    20.6
19960901 19960930    12.2
19961001 19961031    92.6
19961101 19961130    14.2
19961201 19961231   135.2
19970101 19970131   310.6
19970201 19970228   427.6
19970301 19970331   370.8
19970401 19970430   168.8
19970501 19970531    73.5
19970601 19970630    66.8
19970701 19970731    18.1
19970801 19970831   136.0
19970901 19970930    78.0
19971001 19971031    16.3
19971101 19971130    40.2
19971201 19971231   666.5
19980101 19980131 99999.9
19980201 19980228   181.1
19980301 19980331   322.0
19980401 19980430   308.4
19980501 19980531   312.5
19980601 19980630    48.4
19980701 19980731    43.6
19980801 19980831   156.5
19980901 19980930   199.0
19981001 19981031    97.0
19981101 19981130   220.6
19981201 19981231   285.0
19990101 19990131   543.5
19990201 19990228   795.8
19990301 19990331   482.8
19990401 19990430   219.3
19990501 19990531    54.0
19990601 19990630    30.0
19990701 19990731    18.2
19990801 19990831    44.7
19990901 19990930     9.5
19991001 19991031    25.5
19991101 19991130   541.0
19991201 19991231 99999.9
20000101 20000131   295.5
20000201 20000229  1095.5
20000301 20000331   479.5
20000401 20000430   479.1
20000501 20000531    34.0
20000601 20000630    36.5
20000701 20000731     6.8
20000801 20000831    76.6
20000901 20000930     8.6
20001001 20001031    60.7
20001101 20001130   545.5
20001201 20001231   369.3
20010101 20010131    74.0
20010201 20010228 99999.9
20010301 20010331   377.5
20010401 20010430   219.3
20010501 20010531     0.3
20010601 20010630    58.0
20010701 20010731    22.0
20010801 20010831     2.7
20010901 20010930    29.7
20011001 20011031    15.2
20011101 20011130    72.0
20011201 20011231   151.5
20020101 20020131    44.2
20020201 20020228   430.0
20020301 20020331   109.6
20020401 20020430   122.3
20020501 20020531    34.9
20020601 20020630    30.6
20020701 20020731     4.0
20020801 20020831    80.0
20020901 20020930     9.0
20021001 20021031     0.0
20021101 20021130    13.2
20021201 20021231    59.6
20030101 20030131   120.0
20030201 20030228   280.5
20030301 20030331   164.1
20030401 20030430   213.8
20030501 20030531   172.7
20030601 20030630    41.3
20030701 20030731    30.3
20030801 20030831    55.9
20030901 20030930     1.0
20031001 20031031    25.6
20031101 20031130    18.9
20031201 20031231   215.9
20040101 20040131   203.2
20040201 20040229   472.6
20040301 20040331   340.1
20040401 20040430   233.1
20040501 20040531    32.0
20040601 20040630    34.2
20040701 20040731    69.1
20040801 20040831    42.8
20040901 20040930    63.0
20041001 20041031     4.4
20041101 20041130   112.4
20041201 20041231    59.9
20050101 20050131   353.2
20050201 20050228   129.7
20050301 20050331   209.9
20050401 20050430   141.7
20050501 20050531    29.7
20050601 20050630    82.5
20050701 20050731    88.8
20050801 20050831    86.3
20050901 20050930     4.5
20051001 20051031    48.2
20051101 20051130    13.5
20051201 20051231   125.6
20060101 20060131   448.8
20060201 20060228   141.2
20060301 20060331   777.5
20060401 20060430   642.9
20060501 20060531   122.1
20060601 20060630    99.2
20060701 20060731    76.0
20060801 20060831     3.3
20060901 20060930   194.2
20061001 20061031    57.2
20061101 20061130     7.5
20061201 20061231   100.1
20070101 20070131   328.5
20070201 20070228   897.3
20070301 20070331   317.3
20070401 20070430    69.7
20070501 20070531   103.1
20070601 20070630   164.5
20070701 20070731     2.5
20070801 20070831    24.8
20070901 20070930    67.4
20071001 20071031    52.8
20071101 20071130    96.5
20071201 20071231   158.5
20080101 20080131   339.1
20080201 20080229   402.2
20080301 20080331   183.8
20080401 20080430    52.9
20080501 20080531   189.9
20080601 20080630    10.7
20080701 20080731   153.5
20080801 20080831     2.8
20080901 20080930    61.2
20081001 20081031    28.8
20081101 20081130   134.8
20081201 20081231   129.9
20090101 20090131  1095.1
20090201 20090228  1248.4
20090301 20090331    85.2
20090401 20090430   299.4
20090501 20090531   146.0
20090601 20090630    46.1
20090701 20090731     8.3
20090801 20090831     0.0
20090901 20090930     7.0
20091001 20091031    63.5
20091101 20091130    85.9
20091201 20091231    86.6
20100101 20100131   747.2
20100201 20100228   553.6
20100301 20100331   351.2
20100401 20100430   275.5
20100501 20100531    28.0
20100601 20100630    24.4
20100701 20100731    33.3
20100801 20100831    72.1
20100901 20100930   202.0
20101001 20101031   265.9
20101101 20101130   666.1
20101201 20101231   670.0
20110101 20110131   407.8
20110201 20110228   648.3
20110301 20110331  1194.5
20110401 20110430   145.7
20110501 20110531    22.7
20110601 20110630    50.2
20110701 20110731    10.6
20110801 20110831    23.1
20110901 20110930     0.6
20111001 20111031   104.2
20111101 20111130    90.7
20111201 20111231   226.6
20120101 20120131   342.9
20120201 20120229   733.9
20120301 20120331  1121.5
20120401 20120430    54.8
20120501 20120531   290.4
20120601 20120630    72.8
20120701 20120731   136.5
20120801 20120831    24.2
20120901 20120930     7.6
20121001 20121031    10.4
20121101 20121130     8.1
20121201 20121231   352.5
20130101 20130131   579.8
20130201 20130228   316.8
20130301 20130331   141.5
20130401 20130430   130.0
20130501 20130531   146.8
20130601 20130630    20.0
20130701 20130731    51.0
20130801 20130831     8.0
20130901 20130930     5.0
20131001 20131031    44.0
20131101 20131130   147.3
20131201 20131231     8.0
20140101 20140131   198.6
20140201 20140228   545.6
20140301 20140331   382.0
20140401 20140430   312.0
20140501 20140531    69.5
20140601 20140630    88.0
20140701 20140731    21.0
20140801 20140831    31.0
20140901 20140930    76.0
20141001 20141031     8.0
20141101 20141130     3.0
20141201 20141231    68.0
20150101 20150131   233.3
20150201 20150228   224.8
20150301 20150331   106.0
20150401 20150430 99999.9
20150501 20150531    44.7
20150601 20150630    97.5
20150701 20150731    14.2
20150801 20150831    11.1
20150901 20150930    34.1
20151001 20151031    44.7
20151101 20151130     4.3
20151201 20151231    75.6
20160101 20160131    96.7
20160201 20160229    80.8
20160301 20160331   878.0
20160401 20160430   194.9
20160501 20160531   182.8
20160601 20160630   113.0
20160701 20160731   119.2
20160801 20160831    60.0
20160901 20160930    40.0
20161001 20161031    28.0
20161101 20161130    12.8
20161201 20161231   290.0
20170101 20170131   375.0
20170201 20170228 99999.9
20170301 20170331   286.0
20170401 20170430   118.0
20170501 20170531 99999.9
20170601 20170630     7.5
20170701 20170731    44.0
20170801 20170831     7.0
20170901 20170930    83.0
20171001 20171031   186.0
20171101 20171130   170.1
20171201 20171231    11.8
20180101 20180131   203.4
