PRCP       061000 18940601 20130531 missing_value=99999.9 ABERDEEN (MAIN RD)                        
19160501 19160531    13.7
19160601 19160630    72.2
19160701 19160731    41.4
19160801 19160831    39.4
19160901 19160930    29.2
19161001 19161031    64.3
19161101 19161130    95.9
19161201 19161231   132.3
19170101 19170131    99.8
19170201 19170228    28.0
19170301 19170331    18.4
19170401 19170430    17.0
19170501 19170531     5.3
19170601 19170630    34.4
19170701 19170731    11.5
19170801 19170831    33.2
19170901 19170930   126.9
19171001 19171031    52.9
19171101 19171130    95.0
19171201 19171231    64.3
19180101 19180131    73.7
19180201 19180228    22.7
19180301 19180331    16.2
19180401 19180430    22.3
19180501 19180531     4.3
19180601 19180630     5.1
19180701 19180731    48.2
19180801 19180831    62.2
19180901 19180930    26.1
19181001 19181031    15.7
19181101 19181130    14.0
19181201 19181231     0.0
19190101 19190131    58.1
19190201 19190228    52.9
19190301 19190331    17.2
19190401 19190430    30.9
19190501 19190531    36.3
19190601 19190630     2.5
19190701 19190731    14.5
19190801 19190831     5.6
19190901 19190930    32.5
19191001 19191031    23.4
19191101 19191130    30.3
19191201 19191231    33.5
19200101 19200131    47.0
19200201 19200229    68.8
19200301 19200331    13.5
19200401 19200430     4.3
19200501 19200531    24.9
19200601 19200630   152.7
19200701 19200731   119.9
19200801 19200831    30.5
19200901 19200930    13.4
19201001 19201031    18.8
19201101 19201130    28.8
19201201 19201231   179.6
19210101 19210131    38.9
19210201 19210228     3.0
19210301 19210331   129.8
19210401 19210430   138.2
19210501 19210531    76.3
19210601 19210630    82.9
19210701 19210731   183.3
19210801 19210831    11.7
19210901 19210930    27.2
19211001 19211031    65.0
19211101 19211130    55.4
19211201 19211231    72.6
19220101 19220131    70.6
19220201 19220228    12.2
19220301 19220331     3.0
19220401 19220430     4.4
19220501 19220531     7.6
19220601 19220630     5.1
19220701 19220731   121.7
19220801 19220831    38.3
19220901 19220930    33.8
19221001 19221031   103.3
19221101 19221130     4.1
19221201 19221231    57.4
19230101 19230131    34.9
19230201 19230228    10.9
19230301 19230331     7.6
19230401 19230430     5.0
19230501 19230531     0.0
19230601 19230630    95.4
19230701 19230731    40.4
19230801 19230831    24.3
19230901 19230930    53.9
19231001 19231031    12.2
19231101 19231130    27.2
19231201 19231231    40.9
19240101 19240131    79.8
19240201 19240229    76.3
19240301 19240331    33.0
19240401 19240430    59.5
19240501 19240531    12.4
19240601 19240630    16.5
19240701 19240731    43.7
19240801 19240831    25.5
19240901 19240930    66.7
19241001 19241031    21.6
19241101 19241130   171.4
19241201 19241231    80.1
19250101 19250131    47.4
19250201 19250228    11.9
19250301 19250331    63.2
19250401 19250430     0.0
19250501 19250531    26.4
19250601 19250630    23.7
19250701 19250731    12.7
19250801 19250831    21.5
19250901 19250930     5.9
19251001 19251031    44.4
19251101 19251130    57.7
19251201 19251231    65.6
19260101 19260131    40.2
19260201 19260228     5.1
19260301 19260331   172.0
19260401 19260430    95.2
19260501 19260531    94.0
19260601 19260630    16.2
19260701 19260731    40.8
19260801 19260831     9.2
19260901 19260930    35.1
19261001 19261031     8.7
19261101 19261130     4.6
19261201 19261231   200.7
19270101 19270131    84.8
19270201 19270228     2.8
19270301 19270331     4.6
19270401 19270430   144.9
19270501 19270531     0.0
19270601 19270630    10.7
19270701 19270731     0.3
19270801 19270831     7.6
19270901 19270930    13.7
19271001 19271031    17.8
19271101 19271130   150.5
19271201 19271231    65.6
19280101 19280131    92.2
19280201 19280229    67.3
19280301 19280331   160.5
19280401 19280430    24.1
19280501 19280531     5.1
19280601 19280630    69.0
19280701 19280731   108.6
19280801 19280831     7.6
19280901 19280930    11.4
19281001 19281031    27.6
19281101 19281130    13.4
19281201 19281231    15.0
19290101 19290131    10.9
19290201 19290228    80.5
19290301 19290331     3.8
19290401 19290430    40.7
19290501 19290531     0.0
19290601 19290630    31.3
19290701 19290731    39.8
19290801 19290831    49.1
19290901 19290930   134.4
19291001 19291031    66.3
19291101 19291130    42.1
19291201 19291231    34.0
19300101 19300131    63.5
19300201 19300228     8.6
19300301 19300331    52.6
