PRCP       012013 18970101 20180131 missing_value=99999.9 BULONG                                    
19181201 19181231     0.0
19190101 19190131     4.4
19190201 19190228    24.7
19190301 19190331    14.7
19190401 19190430    68.6
19190501 19190531    34.6
19190601 19190630    14.0
19190701 19190731    43.9
19190801 19190831    85.6
19190901 19190930     6.6
19191001 19191031    22.6
19191101 19191130    71.6
19191201 19191231    67.6
19200101 19200131     1.3
19200201 19200229     6.6
19200301 19200331    30.3
19200401 19200430    14.0
19200501 19200531     8.4
19200601 19200630    23.4
19200701 19200731     8.4
19200801 19200831    18.2
19200901 19200930    29.4
19201001 19201031    17.0
19201101 19201130     8.7
19201201 19201231     0.8
19210101 19210131    20.1
19210201 19210228     0.8
19210301 19210331     1.3
19210401 19210430     1.3
19210501 19210531    94.9
19210601 19210630    38.0
19210701 19210731     5.1
19210801 19210831    33.1
19210901 19210930     4.1
19211001 19211031     9.0
19211101 19211130    13.2
19211201 19211231    23.0
19220101 19220131     2.1
19220201 19220228    16.1
19220301 19220331    50.8
19220401 19220430    23.2
19220501 19220531    20.9
19220601 19220630    18.4
19220701 19220731    34.4
19220801 19220831    34.3
19220901 19220930     7.4
19221001 19221031     0.5
19221101 19221130    19.8
19221201 19221231     3.1
19230101 19230131    15.8
19230201 19230228     0.6
19230301 19230331    10.7
19230401 19230430    57.3
19230501 19230531     7.1
19230601 19230630    50.9
19230701 19230731    22.7
19230801 19230831     6.0
19230901 19230930     3.9
19231001 19231031     0.0
19231101 19231130     0.0
19231201 19231231    35.7
19240101 19240131     0.0
19240201 19240229    38.4
19240301 19240331    22.9
19240401 19240430    11.1
19240501 19240531    18.7
19240601 19240630     4.9
19240701 19240731     7.2
19240801 19240831     7.8
19240901 19240930    12.5
19241001 19241031    22.4
19241101 19241130     1.8
19241201 19241231     0.0
19250101 19250131     3.4
19250201 19250228    79.0
19250301 19250331    44.2
19250401 19250430    41.9
19250501 19250531    33.0
19250601 19250630    10.2
19250701 19250731     8.2
19250801 19250831     0.8
19250901 19250930    16.0
19251001 19251031    15.8
19251101 19251130    24.7
19251201 19251231    38.3
19260101 19260131     0.0
19260201 19260228     3.1
19260301 19260331    55.4
19260401 19260430     9.7
19260501 19260531    19.5
19260601 19260630    14.6
19260701 19260731    13.8
19260801 19260831     3.3
19260901 19260930     7.6
19261001 19261031     3.5
19261101 19261130     9.9
19261201 19261231    12.7
19270101 19270131     3.4
19270201 19270228    10.8
19270301 19270331   129.4
19270401 19270430     0.5
19270501 19270531    12.0
19270601 19270630    40.4
19270701 19270731    28.0
19270801 19270831    13.1
19270901 19270930    51.3
19271001 19271031     1.0
19271101 19271130     1.0
19271201 19271231    58.0
19280101 19280131     5.9
19280201 19280229     3.3
19280301 19280331    17.8
19280401 19280430     1.3
19280501 19280531    16.7
19280601 19280630    10.2
19280701 19280731    19.1
19280801 19280831    30.2
19280901 19280930     2.0
19281001 19281031     2.8
19281101 19281130     0.0
19281201 19281231     6.6
19290101 19290131    29.0
19290201 19290228     8.2
19290301 19290331    18.8
19290401 19290430     0.0
19290501 19290531    76.4
19290601 19290630    36.5
19290701 19290731     3.9
19290801 19290831    13.6
19290901 19290930     0.0
19291001 19291031    26.1
19291101 19291130    32.7
19291201 19291231     2.8
19300101 19300131     0.0
19300201 19300228     5.8
19300301 19300331    15.6
19300401 19300430    52.7
19300501 19300531    23.1
19300601 19300630    28.6
19300701 19300731     1.5
19300801 19300831    33.6
19300901 19300930     1.0
19301001 19301031    21.3
19301101 19301130     9.1
19301201 19301231    72.4
19310101 19310131     9.9
19310201 19310228    21.8
19310301 19310331    23.1
19310401 19310430    24.1
19310501 19310531    24.5
19310601 19310630    32.9
19310701 19310731    17.6
19310801 19310831    41.7
19310901 19310930     6.8
19311001 19311031    10.4
19311101 19311130    49.1
19311201 19311231     6.4
19320101 19320131    16.5
19320201 19320229     3.6
19320301 19320331     9.2
19320401 19320430    16.7
19320501 19320531    22.1
19320601 19320630     6.1
19320701 19320731     9.0
19320801 19320831    65.8
19320901 19320930     6.6
19321001 19321031    31.8
19321101 19321130     0.0
19321201 19321231    11.2
19330101 19330131     6.2
19330201 19330228     3.3
19330301 19330331    14.8
19330401 19330430     2.5
19330501 19330531    51.1
19330601 19330630    14.9
19330701 19330731     9.6
19330801 19330831    55.8
19330901 19330930     3.8
19331001 19331031     7.3
19331101 19331130     8.7
19331201 19331231    17.5
19340101 19340131     0.3
19340201 19340228     0.0
19340301 19340331    25.4
19340401 19340430    99.3
19340501 19340531     1.6
19340601 19340630    32.0
19340701 19340731    12.7
19340801 19340831    12.5
19340901 19340930    23.4
19341001 19341031     5.6
19341101 19341130    10.4
19341201 19341231    30.2
19350101 19350131     5.2
19350201 19350228     8.1
19350301 19350331    24.3
19350401 19350430     9.1
19350501 19350531     0.0
