PRCP       044002 18890301 20170731 missing_value=99999.9 AUGATHELLA POST OFFICE                    
19840701 19840731   117.4
19840801 19840831    16.8
19840901 19840930     6.0
19841001 19841031    25.0
19841101 19841130    21.0
19841201 19841231   109.2
19850101 19850131     7.0
19850201 19850228    24.0
19850301 19850331    27.4
19850401 19850430     0.0
19850501 19850531     8.0
19850601 19850630    46.0
19850701 19850731    36.8
19850801 19850831    21.6
19850901 19850930     9.0
19851001 19851031    31.0
19851101 19851130   118.5
19851201 19851231   109.0
19860101 19860131    13.0
19860201 19860228    85.0
19860301 19860331     0.0
19860401 19860430     8.2
19860501 19860531    31.0
19860601 19860630     0.0
19860701 19860731    52.6
19860801 19860831    40.2
19860901 19860930    17.0
19861001 19861031    27.0
19861101 19861130    55.2
19861201 19861231    40.4
19870101 19870131    90.4
19870201 19870228    86.2
19870301 19870331    43.2
19870401 19870430    21.4
19870501 19870531     7.0
19870601 19870630    54.0
19870701 19870731    10.0
19870801 19870831    44.6
19870901 19870930     3.0
19871001 19871031    68.0
19871101 19871130   108.0
19871201 19871231    61.0
19880101 19880131    31.0
19880201 19880229    16.8
19880301 19880331    22.0
19880401 19880430    17.0
19880501 19880531    25.0
19880601 19880630     8.0
19880701 19880731    63.0
19880801 19880831    37.0
19880901 19880930    27.0
19881001 19881031     7.0
19881101 19881130    53.8
19881201 19881231    88.0
19890101 19890131    42.0
19890201 19890228    46.0
19890301 19890331    76.6
19890401 19890430    75.6
19890501 19890531   116.3
19890601 19890630    49.1
19890701 19890731    12.2
19890801 19890831     2.2
19890901 19890930     0.0
19891001 19891031    14.2
19891101 19891130    50.6
19891201 19891231    78.4
19900101 19900131    26.1
19900201 19900228     8.4
19900301 19900331   154.5
19900401 19900430   307.3
19900501 19900531    40.0
19900601 19900630    11.1
19900701 19900731     4.0
19900801 19900831     6.4
19900901 19900930     1.2
19901001 19901031    11.8
19901101 19901130     0.6
19901201 19901231    18.0
19910101 19910131   101.2
19910201 19910228    31.4
19910301 19910331     0.0
19910401 19910430     5.8
19910501 19910531    29.3
19910601 19910630     0.0
19910701 19910731    48.2
19910801 19910831     0.0
19910901 19910930     0.0
19911001 19911031     7.6
19911101 19911130    47.6
19911201 19911231    18.8
19920101 19920131    13.8
19920201 19920229    85.4
19920301 19920331     8.0
19920401 19920430     5.0
19920501 19920531    51.4
19920601 19920630     5.0
19920701 19920731     7.5
19920801 19920831    36.8
19920901 19920930    27.6
19921001 19921031     9.6
19921101 19921130    37.7
19921201 19921231   104.0
19930101 19930131    27.2
19930201 19930228    10.0
19930301 19930331     5.8
19930401 19930430    34.0
19930501 19930531     0.0
19930601 19930630    40.0
19930701 19930731    83.4
19930801 19930831    64.0
19930901 19930930    48.2
19931001 19931031    39.4
19931101 19931130    44.4
19931201 19931231    76.8
19940101 19940131    25.0
19940201 19940228   194.4
19940301 19940331    67.7
19940401 19940430    10.2
19940501 19940531    18.8
19940601 19940630    20.2
19940701 19940731     2.4
19940801 19940831     1.0
19940901 19940930     1.8
19941001 19941031    41.8
19941101 19941130    66.4
19941201 19941231    13.8
19950101 19950131   105.6
19950201 19950228    23.6
19950301 19950331     8.2
19950401 19950430    14.0
19950501 19950531     9.6
19950601 19950630    13.8
19950701 19950731     1.4
19950801 19950831     0.0
19950901 19950930    28.2
19951001 19951031    33.8
19951101 19951130    94.6
19951201 19951231    42.0
19960101 19960131   148.2
19960201 19960229    39.0
19960301 19960331    32.0
19960401 19960430    23.2
19960501 19960531    39.6
19960601 19960630    14.8
19960701 19960731    34.6
19960801 19960831    33.8
19960901 19960930    39.0
19961001 19961031    75.0
19961101 19961130    26.8
19961201 19961231    44.0
19970101 19970131   216.7
19970201 19970228   264.4
19970301 19970331    32.0
19970401 19970430     4.2
19970501 19970531    38.2
19970601 19970630     0.8
19970701 19970731     0.0
19970801 19970831     3.8
19970901 19970930    46.6
19971001 19971031    46.0
19971101 19971130    74.2
19971201 19971231    86.5
19980101 19980131    80.4
19980201 19980228   111.6
19980301 19980331     0.0
19980401 19980430    76.3
19980501 19980531    45.1
19980601 19980630    36.4
19980701 19980731    65.6
19980801 19980831    26.0
19980901 19980930    73.7
19981001 19981031    56.4
19981101 19981130    29.0
19981201 19981231    26.6
19990101 19990131   206.2
19990201 19990228    16.8
19990301 19990331   112.4
19990401 19990430    20.8
19990501 19990531    57.6
19990601 19990630    38.0
19990701 19990731     2.2
19990801 19990831    16.3
19990901 19990930     6.6
19991001 19991031    90.1
19991101 19991130   110.4
19991201 19991231   111.6
20000101 20000131    22.8
20000201 20000229    85.0
20000301 20000331    33.0
20000401 20000430   103.0
20000501 20000531    51.0
20000601 20000630    18.0
20000701 20000731     2.0
20000801 20000831    38.6
20000901 20000930     1.2
20001001 20001031    95.3
20001101 20001130   218.2
20001201 20001231    46.7
20010101 20010131    22.4
20010201 20010228    33.0
20010301 20010331    43.8
20010401 20010430    12.8
20010501 20010531    22.2
20010601 20010630    39.8
20010701 20010731    49.8
20010801 20010831     0.0
20010901 20010930    31.4
20011001 20011031    30.0
20011101 20011130    74.9
20011201 20011231    23.2
20020101 20020131    94.8
20020201 20020228   130.4
20020301 20020331     0.0
20020401 20020430     4.2
20020501 20020531     8.2
20020601 20020630     4.6
20020701 20020731     0.0
20020801 20020831    20.6
20020901 20020930     2.5
20021001 20021031    11.0
20021101 20021130     1.4
20021201 20021231     5.4
20030101 20030131    19.0
20030201 20030228   220.9
20030301 20030331    30.4
20030401 20030430    14.4
20030501 20030531    17.6
20030601 20030630    20.8
20030701 20030731    23.6
20030801 20030831    52.8
20030901 20030930     0.0
20031001 20031031    33.6
20031101 20031130    73.8
20031201 20031231    35.6
20040101 20040131   220.8
20040201 20040229    32.0
20040301 20040331    24.4
20040401 20040430    43.8
20040501 20040531    18.8
20040601 20040630     0.0
20040701 20040731     3.2
20040801 20040831    12.4
20040901 20040930    26.0
20041001 20041031    13.4
20041101 20041130    71.5
20041201 20041231   164.2
20050101 20050131    55.8
20050201 20050228     4.0
20050301 20050331    17.0
20050401 20050430     0.0
20050501 20050531   106.6
20050601 20050630   103.2
20050701 20050731     0.4
20050801 20050831     7.8
20050901 20050930    14.2
20051001 20051031    36.1
20051101 20051130    17.9
20051201 20051231    22.9
20060101 20060131     8.6
20060201 20060228    49.0
20060301 20060331    15.5
20060401 20060430    89.2
20060501 20060531     4.1
20060601 20060630    61.8
20060701 20060731    37.2
20060801 20060831     6.6
20060901 20060930    13.2
20061001 20061031     2.0
20061101 20061130    27.4
20061201 20061231    63.6
20070101 20070131    66.4
20070201 20070228    28.4
20070301 20070331    35.6
20070401 20070430     8.6
20070501 20070531     8.3
20070601 20070630    48.0
20070701 20070731     0.0
20070801 20070831    60.2
20070901 20070930     3.2
20071001 20071031 99999.9
20071101 20071130   189.8
20071201 20071231   118.5
20080101 20080131   157.9
20080201 20080229    77.0
20080301 20080331     1.2
20080401 20080430 99999.9
20080501 20080531 99999.9
20080601 20080630    56.2
20080701 20080731    19.0
20080801 20080831 99999.9
20080901 20080930    68.2
20081001 20081031     9.8
20081101 20081130   103.0
20081201 20081231    93.4
20090101 20090131    28.6
20090201 20090228    14.0
20090301 20090331     0.6
20090401 20090430    77.4
20090501 20090531    11.8
20090601 20090630    32.2
20090701 20090731     1.0
20090801 20090831     1.0
20090901 20090930 99999.9
20091001 20091031    13.0
20091101 20091130     9.2
20091201 20091231   123.4
20100101 20100131    65.0
20100201 20100228   179.0
20100301 20100331   138.0
20100401 20100430    27.5
20100501 20100531    31.0
20100601 20100630     3.4
20100701 20100731    53.5
20100801 20100831    64.4
20100901 20100930   134.2
20101001 20101031    72.0
20101101 20101130   198.6
20101201 20101231   145.3
20110101 20110131    21.6
20110201 20110228    63.7
20110301 20110331   118.8
20110401 20110430     4.4
20110501 20110531    24.5
20110601 20110630    21.3
20110701 20110731    10.2
20110801 20110831    13.8
20110901 20110930    30.4
20111001 20111031    18.2
20111101 20111130    47.3
20111201 20111231   159.8
20120101 20120131   236.0
20120201 20120229   145.3
20120301 20120331     9.7
20120401 20120430     2.0
20120501 20120531    44.4
20120601 20120630    82.6
20120701 20120731    42.6
20120801 20120831     2.4
20120901 20120930    11.8
20121001 20121031    26.8
20121101 20121130    35.0
20121201 20121231   132.2
20130101 20130131     8.8
20130201 20130228    48.5
20130301 20130331    55.8
20130401 20130430     6.0
20130501 20130531    52.2
20130601 20130630    15.8
20130701 20130731     8.8
20130801 20130831 99999.9
20130901 20130930     5.8
20131001 20131031    12.3
20131101 20131130    36.2
20131201 20131231     1.4
20140101 20140131    19.6
20140201 20140228   229.0
20140301 20140331    52.6
20140401 20140430 99999.9
20140501 20140531 99999.9
20140601 20140630    18.6
20140701 20140731     2.0
20140801 20140831    35.4
20140901 20140930    20.1
20141001 20141031    87.6
20141101 20141130    33.0
20141201 20141231   190.6
20150101 20150131    59.0
20150201 20150228    29.6
20150301 20150331    14.7
20150401 20150430    16.8
20150501 20150531    18.6
20150601 20150630    37.8
20150701 20150731     7.0
20150801 20150831     9.4
20150901 20150930     0.1
20151001 20151031     9.5
20151101 20151130    13.8
20151201 20151231    68.6
20160101 20160131   126.4
20160201 20160229    79.1
20160301 20160331     3.4
20160401 20160430    15.6
20160501 20160531     5.4
20160601 20160630   105.8
20160701 20160731    49.4
20160801 20160831    64.4
20160901 20160930    88.8
20161001 20161031    33.6
20161101 20161130    22.8
20161201 20161231    63.2
20170101 20170131    63.5
20170201 20170228    17.0
20170301 20170331    36.6
20170401 20170430     1.8
20170501 20170531    22.4
20170601 20170630    14.2
20170701 20170731    26.8
