PRCP       044002 18890301 20170731 missing_value=99999.9 AUGATHELLA POST OFFICE                    
19110201 19110228   111.0
19110301 19110331    14.9
19110401 19110430     0.0
19110501 19110531     6.9
19110601 19110630     0.0
19110701 19110731    12.2
19110801 19110831     6.5
19110901 19110930    11.8
19111001 19111031     1.8
19111101 19111130    16.3
19111201 19111231    72.8
19120101 19120131     2.6
19120201 19120229    26.4
19120301 19120331    70.4
19120401 19120430     0.0
19120501 19120531     0.0
19120601 19120630   148.3
19120701 19120731   137.4
19120801 19120831     0.8
19120901 19120930     0.0
19121001 19121031    50.8
19121101 19121130    47.7
19121201 19121231    13.4
19130101 19130131   138.9
19130201 19130228   146.3
19130301 19130331    53.3
19130401 19130430    87.1
19130501 19130531    52.4
19130601 19130630    66.5
19130701 19130731    13.5
19130801 19130831     0.0
19130901 19130930    16.0
19131001 19131031    31.5
19131101 19131130     1.6
19131201 19131231   112.3
19140101 19140131    69.0
19140201 19140228    56.6
19140301 19140331   106.2
19140401 19140430     7.8
19140501 19140531    27.4
19140601 19140630    71.9
19140701 19140731    21.9
19140801 19140831     0.0
19140901 19140930     4.3
19141001 19141031    18.6
19141101 19141130   105.5
19141201 19141231   101.3
19150101 19150131    14.2
19150201 19150228    17.0
19150301 19150331    16.0
19150401 19150430    10.2
19150501 19150531    14.0
19150601 19150630     1.5
19150701 19150731    21.0
19150801 19150831    42.9
19150901 19150930    28.0
19151001 19151031     4.3
19151101 19151130    20.9
19151201 19151231    73.7
19160101 19160131    45.5
19160201 19160229    33.9
19160301 19160331    36.9
19160401 19160430    42.4
19160501 19160531     0.0
19160601 19160630   117.6
19160701 19160731    83.9
19160801 19160831    25.2
19160901 19160930     4.5
19161001 19161031    39.1
19161101 19161130   163.4
19161201 19161231   193.7
19170101 19170131   170.2
19170201 19170228   134.0
19170301 19170331   127.0
19170401 19170430    34.5
19170501 19170531     0.0
19170601 19170630    15.3
19170701 19170731    10.2
19170801 19170831    24.7
19170901 19170930   139.8
19171001 19171031    31.5
19171101 19171130    74.6
19171201 19171231    31.5
19180101 19180131   269.2
19180201 19180228     1.3
19180301 19180331     0.0
19180401 19180430    93.2
19180501 19180531     0.0
19180601 19180630    16.0
19180701 19180731    10.6
19180801 19180831    85.6
19180901 19180930     0.0
19181001 19181031    13.5
19181101 19181130    28.2
19181201 19181231    21.3
19190101 19190131    23.7
19190201 19190228   128.8
19190301 19190331    38.3
19190401 19190430    19.3
19190501 19190531    41.7
19190601 19190630     0.0
19190701 19190731     0.0
19190801 19190831    15.2
19190901 19190930     0.0
19191001 19191031     3.6
19191101 19191130     8.9
19191201 19191231    25.2
19200101 19200131     3.8
19200201 19200229   103.7
19200301 19200331    18.2
19200401 19200430    42.9
19200501 19200531     3.6
