PRCP       050004 19110401 20170731 missing_value=99999.9 BOGAN GATE POST OFFICE                    
19330301 19330331    10.2
19330401 19330430    54.3
19330501 19330531    20.8
19330601 19330630    33.6
19330701 19330731    40.4
19330801 19330831    19.8
19330901 19330930    51.0
19331001 19331031    48.0
19331101 19331130    71.9
19331201 19331231    86.7
19340101 19340131    44.7
19340201 19340228   108.2
19340301 19340331     0.5
19340401 19340430    47.8
19340501 19340531     0.8
19340601 19340630    44.2
19340701 19340731    67.1
19340801 19340831    37.2
19340901 19340930    22.5
19341001 19341031    67.3
19341101 19341130    68.0
19341201 19341231    31.7
19350101 19350131    27.5
19350201 19350228    34.0
19350301 19350331     5.9
19350401 19350430    59.1
19350501 19350531    38.6
19350601 19350630    21.6
19350701 19350731    38.5
19350801 19350831    27.2
19350901 19350930    39.3
19351001 19351031    66.9
19351101 19351130    18.8
19351201 19351231    45.4
19360101 19360131    66.5
19360201 19360229   108.2
19360301 19360331    59.9
19360401 19360430     5.3
19360501 19360531    20.3
19360601 19360630    43.2
19360701 19360731    71.3
19360801 19360831    50.1
19360901 19360930     9.9
19361001 19361031    21.4
19361101 19361130     5.3
19361201 19361231   110.5
19370101 19370131    31.7
19370201 19370228    33.1
19370301 19370331    34.5
19370401 19370430     8.4
19370501 19370531    23.1
19370601 19370630    48.9
19370701 19370731     3.8
19370801 19370831    62.3
19370901 19370930    25.7
19371001 19371031    25.8
19371101 19371130    30.5
19371201 19371231    37.4
19380101 19380131    36.0
19380201 19380228    19.1
19380301 19380331     6.9
19380401 19380430    16.1
19380501 19380531    18.9
19380601 19380630    64.2
19380701 19380731    42.7
19380801 19380831    33.0
19380901 19380930    11.0
19381001 19381031   111.5
19381101 19381130    19.5
19381201 19381231    16.0
19390101 19390131    10.4
19390201 19390228    83.5
19390301 19390331    59.9
19390401 19390430    59.8
19390501 19390531     7.9
19390601 19390630    35.5
19390701 19390731    18.1
19390801 19390831    69.4
19390901 19390930     3.9
19391001 19391031    33.5
19391101 19391130    94.9
19391201 19391231    14.0
19400101 19400131    12.8
19400201 19400229     0.0
19400301 19400331     0.0
19400401 19400430   106.8
19400501 19400531    10.2
19400601 19400630     4.6
19400701 19400731    16.6
19400801 19400831     7.6
19400901 19400930    90.6
19401001 19401031     1.1
19401101 19401130     6.3
19401201 19401231   104.7
19410101 19410131   170.9
19410201 19410228    13.5
19410301 19410331    27.8
19410401 19410430     2.0
19410501 19410531    31.7
19410601 19410630    50.6
19410701 19410731    25.9
19410801 19410831    10.7
19410901 19410930    23.0
19411001 19411031    13.6
19411101 19411130    19.4
19411201 19411231    27.7
19420101 19420131     0.0
19420201 19420228    63.3
19420301 19420331    19.8
19420401 19420430     2.3
19420501 19420531   101.1
19420601 19420630    84.3
19420701 19420731    26.3
19420801 19420831    27.3
19420901 19420930    24.5
19421001 19421031    33.0
19421101 19421130    62.9
19421201 19421231    92.0
19430101 19430131    92.1
19430201 19430228    18.2
19430301 19430331     3.6
19430401 19430430    39.6
19430501 19430531    47.2
19430601 19430630    19.8
19430701 19430731    30.6
19430801 19430831    32.5
19430901 19430930    49.4
19431001 19431031    15.1
19431101 19431130   101.5
19431201 19431231     6.4
19440101 19440131     6.3
19440201 19440229     4.8
19440301 19440331     8.3
19440401 19440430     9.7
19440501 19440531    38.6
19440601 19440630     0.0
19440701 19440731    11.4
19440801 19440831    24.6
19440901 19440930    12.2
19441001 19441031    12.8
19441101 19441130    18.6
19441201 19441231     2.3
19450101 19450131    62.2
19450201 19450228    50.1
19450301 19450331    10.2
19450401 19450430    31.5
19450501 19450531    93.5
19450601 19450630    84.9
19450701 19450731    23.0
19450801 19450831    35.3
19450901 19450930     5.1
19451001 19451031    29.8
19451101 19451130    40.4
19451201 19451231    19.6
19460101 19460131    52.4
19460201 19460228    53.3
19460301 19460331    44.7
19460401 19460430    22.4
19460501 19460531    13.4
19460601 19460630    18.2
19460701 19460731    22.8
19460801 19460831     4.8
19460901 19460930    16.0
19461001 19461031    21.8
19461101 19461130    37.7
19461201 19461231    24.2
19470101 19470131     8.1
19470201 19470228   120.3
19470301 19470331    31.2
19470401 19470430    28.0
19470501 19470531    36.4
19470601 19470630    27.3
19470701 19470731    74.0
19470801 19470831    30.8
19470901 19470930    28.4
19471001 19471031    65.7
19471101 19471130   108.0
19471201 19471231   141.1
19480101 19480131    36.0
19480201 19480229    86.5
19480301 19480331    31.3
19480401 19480430    58.4
19480501 19480531    42.4
19480601 19480630    89.0
19480701 19480731     1.0
19480801 19480831    27.2
19480901 19480930    42.0
19481001 19481031    17.4
19481101 19481130     7.2
19481201 19481231    12.7
19490101 19490131    25.8
19490201 19490228    45.7
19490301 19490331    27.3
19490401 19490430    18.8
19490501 19490531    29.9
19490601 19490630    39.8
19490701 19490731    38.0
19490801 19490831    26.4
19490901 19490930    60.6
19491001 19491031    78.3
19491101 19491130    74.2
19491201 19491231    24.6
19500101 19500131    66.3
19500201 19500228   105.2
19500301 19500331   199.3
19500401 19500430    71.6
19500501 19500531    44.5
19500601 19500630   104.9
19500701 19500731    98.9
19500801 19500831    28.5
19500901 19500930    70.4
19501001 19501031   146.9
19501101 19501130   136.3
19501201 19501231     5.3
19510101 19510131    48.1
19510201 19510228    10.5
19510301 19510331    19.8
19510401 19510430    18.3
19510501 19510531    43.6
19510601 19510630    44.5
19510701 19510731    46.9
19510801 19510831    78.9
19510901 19510930    36.4
19511001 19511031    12.5
19511101 19511130    22.1
19511201 19511231    10.7
19520101 19520131     0.0
19520201 19520229    11.1
19520301 19520331    56.8
19520401 19520430    88.6
19520501 19520531    79.9
19520601 19520630    41.8
19520701 19520731    47.4
