PRCP       075050 19100101 20151031 missing_value=99999.9 NARADHAN (URALBA)                         
20051001 20051031    37.6
20051101 20051130    29.0
20051201 20051231    15.8
20060101 20060131     5.3
20060201 20060228    16.6
20060301 20060331     6.2
20060401 20060430     7.0
20060501 20060531     3.0
20060601 20060630    52.4
20060701 20060731    42.0
20060801 20060831     6.8
20060901 20060930    11.4
20061001 20061031     0.0
20061101 20061130     6.2
20061201 20061231     4.0
20070101 20070131    21.6
20070201 20070228    13.4
20070301 20070331    38.4
20070401 20070430    26.6
20070501 20070531    39.4
20070601 20070630    37.5
20070701 20070731    21.2
20070801 20070831    11.8
20070901 20070930     2.2
20071001 20071031    15.4
20071101 20071130    71.2
20071201 20071231    90.4
20080101 20080131    47.6
20080201 20080229    30.2
20080301 20080331    13.0
20080401 20080430    27.8
20080501 20080531     5.4
20080601 20080630    21.8
20080701 20080731    36.4
20080801 20080831    30.8
20080901 20080930    29.6
20081001 20081031    22.0
20081101 20081130    35.2
20081201 20081231    33.8
20090101 20090131    14.8
20090201 20090228     9.2
20090301 20090331    17.6
20090401 20090430    29.5
20090501 20090531     7.4
20090601 20090630   101.2
20090701 20090731    28.0
20090801 20090831     8.2
20090901 20090930     9.6
20091001 20091031    16.8
20091101 20091130    32.4
20091201 20091231    41.8
20100101 20100131    12.4
20100201 20100228    93.6
20100301 20100331    78.4
20100401 20100430    50.6
20100501 20100531    53.0
20100601 20100630    20.8
20100701 20100731    67.0
20100801 20100831    50.8
20100901 20100930    47.4
20101001 20101031   141.0
20101101 20101130    51.0
20101201 20101231    77.6
20110101 20110131    50.1
20110201 20110228    93.0
20110301 20110331   150.6
20110401 20110430    38.2
20110501 20110531    22.8
20110601 20110630     9.2
20110701 20110731    30.4
20110801 20110831    59.6
20110901 20110930    23.8
20111001 20111031    22.0
20111101 20111130    51.0
20111201 20111231    72.5
20120101 20120131    92.0
20120201 20120229   127.8
20120301 20120331   181.4
20120401 20120430    17.4
20120501 20120531    17.0
20120601 20120630    19.2
20120701 20120731    46.2
20120801 20120831    25.1
20120901 20120930     6.2
20121001 20121031    11.6
20121101 20121130    37.9
20121201 20121231    31.6
20130101 20130131     8.2
20130201 20130228    20.0
20130301 20130331    32.0
20130401 20130430     2.0
20130501 20130531    42.4
20130601 20130630    74.2
20130701 20130731    43.0
20130801 20130831    23.0
20130901 20130930    14.9
20131001 20131031     5.0
20131101 20131130 99999.9
20131201 20131231 99999.9
20140101 20140131    26.5
20140201 20140228    69.0
20140301 20140331    33.5
20140401 20140430    45.0
20140501 20140531    63.0
20140601 20140630 99999.9
20140701 20140731     0.0
20140801 20140831    20.0
20140901 20140930 99999.9
20141001 20141031     0.0
20141101 20141130    17.5
20141201 20141231    40.6
20150101 20150131 99999.9
20150201 20150228    42.5
20150301 20150331     0.0
20150401 20150430    23.0
20150501 20150531    16.5
20150601 20150630    47.5
20150701 20150731    64.0
20150801 20150831    33.5
20150901 20150930 99999.9
20151001 20151031    34.5
