PRCP       075050 19100101 20151031 missing_value=99999.9 NARADHAN (URALBA)                         
19311201 19311231    29.2
19320101 19320131     0.0
19320201 19320229    35.9
19320301 19320331    34.6
19320401 19320430    94.2
19320501 19320531     7.7
19320601 19320630    14.4
19320701 19320731    25.3
19320801 19320831    42.6
19320901 19320930    76.8
19321001 19321031     4.9
19321101 19321130    22.1
19321201 19321231    13.0
19330101 19330131    16.0
19330201 19330228     0.3
19330301 19330331     2.5
19330401 19330430     1.3
19330501 19330531    18.5
19330601 19330630    11.4
19330701 19330731    26.7
19330801 19330831    25.9
19330901 19330930    27.7
19331001 19331031    12.7
19331101 19331130   126.2
19331201 19331231    95.0
19340101 19340131    51.3
19340201 19340228    48.5
19340301 19340331     3.0
19340401 19340430    25.9
19340501 19340531     0.0
19340601 19340630    38.1
19340701 19340731    61.0
19340801 19340831    62.0
19340901 19340930    16.0
19341001 19341031    55.1
19341101 19341130    54.1
19341201 19341231    14.7
19350101 19350131    11.9
19350201 19350228    32.8
19350301 19350331     1.3
19350401 19350430    94.7
19350501 19350531     0.5
19350601 19350630    23.6
19350701 19350731    27.7
19350801 19350831    14.2
19350901 19350930    27.9
19351001 19351031    41.7
19351101 19351130     5.1
19351201 19351231    27.9
19360101 19360131   140.2
19360201 19360229    27.9
19360301 19360331    55.1
19360401 19360430     9.1
19360501 19360531    17.0
19360601 19360630    31.0
19360701 19360731    82.6
19360801 19360831    19.8
19360901 19360930    19.1
19361001 19361031    14.7
19361101 19361130     2.3
19361201 19361231    97.8
19370101 19370131    36.1
19370201 19370228     0.0
19370301 19370331    22.4
19370401 19370430    20.6
19370501 19370531    39.6
19370601 19370630    15.0
19370701 19370731    14.5
19370801 19370831    57.4
19370901 19370930    20.6
19371001 19371031    13.5
19371101 19371130     5.6
19371201 19371231    15.5
19380101 19380131     4.6
19380201 19380228     9.4
19380301 19380331     0.0
19380401 19380430    16.3
19380501 19380531    19.1
19380601 19380630    34.5
19380701 19380731    42.9
19380801 19380831    57.7
19380901 19380930     8.1
19381001 19381031    64.8
19381101 19381130     0.0
19381201 19381231     0.0
19390101 19390131    28.2
19390201 19390228    42.9
19390301 19390331   163.3
19390401 19390430    75.4
19390501 19390531     9.9
19390601 19390630    89.2
19390701 19390731    23.9
19390801 19390831    69.1
19390901 19390930     9.9
19391001 19391031    55.4
19391101 19391130    95.0
19391201 19391231     0.0
19400101 19400131     0.0
19400201 19400229     0.0
19400301 19400331     0.0
19400401 19400430   111.0
19400501 19400531     6.1
19400601 19400630     1.0
19400701 19400731     7.4
19400801 19400831     1.8
19400901 19400930    11.7
19401001 19401031     0.0
19401101 19401130     6.9
19401201 19401231    43.7
19410101 19410131    93.2
19410201 19410228    17.8
19410301 19410331    35.8
19410401 19410430     0.0
19410501 19410531    14.2
19410601 19410630    58.7
19410701 19410731    13.7
19410801 19410831    15.2
19410901 19410930     7.9
19411001 19411031    16.0
19411101 19411130    12.7
19411201 19411231    10.7
19420101 19420131     8.4
19420201 19420228    14.7
19420301 19420331    14.0
19420401 19420430    11.7
19420501 19420531    87.9
19420601 19420630    57.7
19420701 19420731    18.3
19420801 19420831    21.3
19420901 19420930    13.7
19421001 19421031    28.7
19421101 19421130     2.3
19421201 19421231    29.2
19430101 19430131    54.1
19430201 19430228    10.2
19430301 19430331     0.0
19430401 19430430    42.9
19430501 19430531    46.7
19430601 19430630    14.0
19430701 19430731    41.1
19430801 19430831    24.4
19430901 19430930    32.8
19431001 19431031    18.5
19431101 19431130    99.8
19431201 19431231     4.6
19440101 19440131     0.0
19440201 19440229     7.6
19440301 19440331    73.2
19440401 19440430    29.7
19440501 19440531    65.8
19440601 19440630     5.1
19440701 19440731     0.0
19440801 19440831    37.1
19440901 19440930     3.0
19441001 19441031    30.0
19441101 19441130    10.2
19441201 19441231    39.1
19450101 19450131    26.7
19450201 19450228    39.6
19450301 19450331     0.0
19450401 19450430     2.8
19450501 19450531    33.5
19450601 19450630    59.2
19450701 19450731    50.3
19450801 19450831    13.5
19450901 19450930    12.2
19451001 19451031    33.8
19451101 19451130     1.5
19451201 19451231     4.3
19460101 19460131    54.6
19460201 19460228    79.8
19460301 19460331    16.5
19460401 19460430    18.0
19460501 19460531    22.6
19460601 19460630    26.4
19460701 19460731    18.3
19460801 19460831     2.5
19460901 19460930     0.0
19461001 19461031     6.6
19461101 19461130    40.1
19461201 19461231    35.3
19470101 19470131     4.1
19470201 19470228   103.4
19470301 19470331    62.2
19470401 19470430    15.7
19470501 19470531    13.0
19470601 19470630    27.4
19470701 19470731   141.2
19470801 19470831    36.1
19470901 19470930    42.7
19471001 19471031    39.1
19471101 19471130    61.0
19471201 19471231    77.2
19480101 19480131    15.2
19480201 19480229    45.7
19480301 19480331     5.3
19480401 19480430    42.9
19480501 19480531    22.4
19480601 19480630   107.4
19480701 19480731     5.3
19480801 19480831    25.7
19480901 19480930     0.0
