PRCP       049023 18770201 20161231 missing_value=99999.9 EUSTON ( BENINGTON)                       
19730201 19730228   101.0
19730301 19730331    42.2
19730401 19730430    49.3
19730501 19730531    23.6
19730601 19730630    54.2
19730701 19730731    44.9
19730801 19730831    77.2
19730901 19730930    37.1
19731001 19731031   111.6
19731101 19731130    26.8
19731201 19731231    31.8
19740101 19740131   105.0
19740201 19740228    47.0
19740301 19740331    42.2
19740401 19740430    85.6
19740501 19740531    66.5
19740601 19740630    12.0
19740701 19740731    42.0
19740801 19740831    34.0
19740901 19740930    54.0
19741001 19741031    51.0
19741101 19741130    28.0
19741201 19741231     2.5
19750101 19750131    10.0
19750201 19750228     6.0
19750301 19750331    50.0
19750401 19750430     5.0
19750501 19750531    25.0
19750601 19750630    11.0
19750701 19750731    33.0
19750801 19750831    42.0
19750901 19750930    51.5
19751001 19751031   126.0
19751101 19751130    15.0
19751201 19751231   117.5
19760101 19760131    39.0
19760201 19760229    16.0
19760301 19760331     6.5
19760401 19760430    12.0
19760501 19760531     9.0
19760601 19760630     9.0
19760701 19760731    28.0
19760801 19760831    14.0
19760901 19760930    20.0
19761001 19761031   115.0
19761101 19761130    54.0
19761201 19761231    10.0
19770101 19770131     3.0
19770201 19770228    82.0
19770301 19770331     4.0
19770401 19770430    22.0
19770501 19770531    36.0
19770601 19770630    28.0
19770701 19770731     8.0
19770801 19770831     4.0
19770901 19770930    23.0
19771001 19771031     4.0
19771101 19771130    22.0
19771201 19771231     2.0
19780101 19780131    19.0
19780201 19780228     0.0
19780301 19780331    31.0
19780401 19780430     6.0
19780501 19780531    75.0
19780601 19780630    52.0
19780701 19780731    57.0
19780801 19780831    50.0
19780901 19780930    54.0
19781001 19781031    20.0
19781101 19781130    51.0
19781201 19781231     8.0
19790101 19790131    41.0
19790201 19790228    51.0
19790301 19790331     9.0
19790401 19790430    47.0
19790501 19790531    81.0
19790601 19790630    14.0
19790701 19790731     3.0
19790801 19790831    48.4
19790901 19790930    48.0
19791001 19791031    32.4
19791101 19791130    18.0
19791201 19791231     2.0
19800101 19800131     0.0
19800201 19800229     4.0
19800301 19800331    14.0
19800401 19800430   107.0
19800501 19800531    22.0
19800601 19800630    33.0
19800701 19800731    27.0
19800801 19800831    10.0
19800901 19800930     7.0
19801001 19801031    34.0
19801101 19801130    12.0
19801201 19801231    13.0
19810101 19810131    47.0
19810201 19810228    73.0
19810301 19810331    21.0
19810401 19810430     0.0
19810501 19810531    45.0
19810601 19810630    41.2
19810701 19810731    50.2
19810801 19810831    32.0
19810901 19810930    34.0
19811001 19811031    27.0
19811101 19811130    18.0
19811201 19811231     2.0
19820101 19820131    19.0
19820201 19820228    20.0
19820301 19820331     5.0
19820401 19820430     2.0
19820501 19820531     0.0
19820601 19820630    20.8
19820701 19820731     1.2
19820801 19820831     1.0
19820901 19820930    28.0
19821001 19821031     1.0
19821101 19821130     1.0
19821201 19821231    23.0
19830101 19830131     0.0
19830201 19830228     0.0
19830301 19830331    81.0
19830401 19830430    13.0
19830501 19830531    27.0
19830601 19830630     9.6
19830701 19830731    48.0
19830801 19830831    39.4
19830901 19830930    38.0
19831001 19831031    24.0
19831101 19831130    28.0
19831201 19831231    48.0
19840101 19840131   127.0
19840201 19840229     6.0
19840301 19840331    27.0
19840401 19840430    17.0
19840501 19840531     0.0
19840601 19840630     0.0
19840701 19840731    59.0
19840801 19840831    52.0
19840901 19840930    26.0
19841001 19841031     7.5
19841101 19841130     9.0
19841201 19841231     0.0
19850101 19850131     5.0
19850201 19850228     0.0
19850301 19850331     6.0
19850401 19850430     4.0
19850501 19850531    31.0
19850601 19850630     7.0
19850701 19850731     5.0
19850801 19850831    47.5
19850901 19850930     7.5
19851001 19851031    43.0
19851101 19851130    28.0
19851201 19851231    48.0
19860101 19860131     0.0
19860201 19860228    10.0
19860301 19860331     0.0
19860401 19860430     9.0
19860501 19860531    35.5
19860601 19860630     7.5
19860701 19860731    48.0
19860801 19860831    34.0
19860901 19860930    35.0
19861001 19861031    69.0
19861101 19861130    21.0
19861201 19861231    53.5
19870101 19870131     9.0
19870201 19870228     6.0
19870301 19870331    16.0
19870401 19870430    13.0
19870501 19870531    21.0
19870601 19870630    39.0
19870701 19870731    26.0
19870801 19870831    59.5
19870901 19870930    15.0
19871001 19871031    29.0
19871101 19871130     8.0
19871201 19871231    43.0
19880101 19880131    36.0
19880201 19880229     2.0
19880301 19880331     8.5
19880401 19880430    14.0
19880501 19880531    51.5
19880601 19880630    25.5
19880701 19880731    29.0
19880801 19880831    14.0
19880901 19880930    49.0
19881001 19881031     5.0
19881101 19881130    62.0
19881201 19881231    61.0
19890101 19890131    11.0
19890201 19890228     0.0
19890301 19890331    63.0
19890401 19890430    33.0
19890501 19890531   108.0
19890601 19890630    37.0
19890701 19890731    32.0
19890801 19890831    36.5
19890901 19890930    14.0
19891001 19891031     7.0
19891101 19891130     7.5
19891201 19891231     0.0
19900101 19900131    10.0
19900201 19900228    11.0
19900301 19900331     0.0
19900401 19900430    82.0
19900501 19900531    69.0
19900601 19900630    20.0
19900701 19900731    40.0
19900801 19900831    41.0
19900901 19900930    11.0
19901001 19901031     2.0
19901101 19901130    12.0
19901201 19901231     6.0
19910101 19910131    65.0
19910201 19910228     0.0
19910301 19910331     0.0
19910401 19910430    20.0
19910501 19910531     0.0
19910601 19910630    38.0
19910701 19910731    38.0
19910801 19910831    23.0
19910901 19910930    40.0
19911001 19911031     0.0
19911101 19911130    18.0
19911201 19911231     9.0
19920101 19920131     0.0
19920201 19920229    13.0
19920301 19920331     4.0
19920401 19920430     6.0
19920501 19920531    64.0
19920601 19920630    11.0
19920701 19920731     6.0
19920801 19920831    62.0
19920901 19920930    63.0
19921001 19921031    39.0
19921101 19921130    32.0
19921201 19921231   137.0
19930101 19930131    94.0
19930201 19930228    19.0
19930301 19930331    27.0
19930401 19930430     0.0
19930501 19930531     3.0
19930601 19930630    14.0
19930701 19930731    34.0
19930801 19930831     4.0
19930901 19930930    53.0
19931001 19931031    50.0
19931101 19931130    25.0
19931201 19931231    49.0
19940101 19940131     0.0
19940201 19940228   100.0
19940301 19940331     0.0
19940401 19940430     0.0
19940501 19940531     0.0
19940601 19940630    31.0
19940701 19940731    10.0
19940801 19940831     0.0
19940901 19940930    15.0
19941001 19941031     8.0
19941101 19941130     6.0
19941201 19941231    19.0
19950101 19950131    91.0
19950201 19950228     0.0
19950301 19950331    13.0
19950401 19950430    11.0
19950501 19950531    68.0
19950601 19950630    19.0
19950701 19950731    47.0
19950801 19950831     2.0
19950901 19950930    26.0
19951001 19951031    46.0
19951101 19951130    11.0
19951201 19951231     0.0
19960101 19960131     0.0
19960201 19960229    39.0
19960301 19960331    10.0
19960401 19960430     7.0
19960501 19960531     3.0
19960601 19960630    44.0
19960701 19960731    55.0
19960801 19960831    30.2
19960901 19960930    27.0
19961001 19961031    17.0
19961101 19961130    12.0
19961201 19961231     0.0
19970101 19970131    18.2
19970201 19970228    15.4
19970301 19970331     0.0
19970401 19970430     0.0
19970501 19970531    33.4
19970601 19970630     7.0
19970701 19970731    12.0
19970801 19970831    55.0
19970901 19970930    48.0
19971001 19971031    19.0
19971101 19971130    16.0
19971201 19971231     5.0
19980101 19980131    28.0
19980201 19980228    18.0
19980301 19980331     0.0
19980401 19980430    44.0
19980501 19980531    11.0
19980601 19980630     8.0
19980701 19980731    41.0
19980801 19980831     0.0
19980901 19980930    43.0
19981001 19981031    17.0
19981101 19981130    62.0
19981201 19981231     6.0
19990101 19990131    31.0
19990201 19990228    35.0
19990301 19990331     9.0
19990401 19990430     0.0
19990501 19990531    24.0
19990601 19990630    22.0
19990701 19990731     9.0
19990801 19990831    50.0
19990901 19990930    17.0
19991001 19991031    25.0
19991101 19991130    91.0
19991201 19991231    13.0
20000101 20000131     0.0
20000201 20000229    75.0
20000301 20000331     6.0
20000401 20000430    48.0
20000501 20000531    33.0
20000601 20000630    17.0
20000701 20000731    53.0
20000801 20000831    30.0
20000901 20000930    40.0
20001001 20001031    85.0
20001101 20001130    20.0
20001201 20001231     5.0
20010101 20010131    21.0
20010201 20010228    22.0
20010301 20010331    26.0
20010401 20010430     3.0
20010501 20010531    11.0
20010601 20010630    20.0
20010701 20010731    25.0
20010801 20010831    25.0
20010901 20010930    36.0
20011001 20011031    23.0
20011101 20011130     2.0
20011201 20011231     0.0
20020101 20020131     6.0
20020201 20020228    13.0
20020301 20020331    37.0
20020401 20020430     6.5
20020501 20020531    16.0
20020601 20020630    14.5
20020701 20020731     5.0
20020801 20020831     9.5
20020901 20020930    10.0
20021001 20021031     3.0
20021101 20021130     0.0
20021201 20021231    30.5
20030101 20030131     0.0
20030201 20030228    61.0
20030301 20030331     0.0
20030401 20030430     0.0
20030501 20030531    16.0
20030601 20030630    23.0
20030701 20030731    51.0
20030801 20030831    39.0
20030901 20030930     7.0
20031001 20031031    22.0
20031101 20031130    28.0
20031201 20031231    59.0
20040101 20040131     0.0
20040201 20040229     0.0
20040301 20040331     0.0
20040401 20040430     0.0
20040501 20040531    10.0
20040601 20040630    39.5
20040701 20040731    19.5
20040801 20040831    16.0
20040901 20040930    16.0
20041001 20041031     0.0
20041101 20041130    49.0
20041201 20041231    22.0
20050101 20050131    23.0
20050201 20050228    28.0
20050301 20050331     0.0
20050401 20050430     2.0
20050501 20050531     2.5
20050601 20050630    50.0
20050701 20050731    50.5
20050801 20050831    29.0
20050901 20050930    57.0
20051001 20051031    67.0
20051101 20051130    32.0
20051201 20051231     9.0
20060101 20060131    36.0
20060201 20060228     0.0
20060301 20060331    23.0
20060401 20060430    18.0
20060501 20060531     5.0
20060601 20060630    21.0
20060701 20060731    24.0
20060801 20060831     4.0
20060901 20060930    28.0
20061001 20061031     0.0
20061101 20061130    20.5
20061201 20061231     6.5
20070101 20070131    48.0
20070201 20070228     0.0
20070301 20070331    14.0
20070401 20070430    46.0
20070501 20070531    28.0
20070601 20070630     6.0
20070701 20070731    19.5
20070801 20070831     0.5
20070901 20070930     0.0
20071001 20071031     0.0
20071101 20071130    26.0
20071201 20071231    40.0
20080101 20080131    28.0
20080201 20080229     0.0
20080301 20080331     0.0
20080401 20080430     7.0
20080501 20080531    13.0
20080601 20080630     8.0
20080701 20080731    25.0
20080801 20080831    27.0
20080901 20080930    20.0
20081001 20081031     6.0
20081101 20081130    46.0
20081201 20081231    41.0
20090101 20090131     0.0
20090201 20090228     0.0
20090301 20090331    21.5
20090401 20090430    26.0
20090501 20090531     7.5
20090601 20090630    67.0
20090701 20090731     9.5
20090801 20090831     9.5
20090901 20090930    46.0
20091001 20091031    10.0
20091101 20091130    97.0
20091201 20091231     9.0
20100101 20100131    24.0
20100201 20100228    32.0
20100301 20100331    67.0
20100401 20100430    31.0
20100501 20100531    44.0
20100601 20100630    14.5
20100701 20100731    27.5
20100801 20100831    31.0
20100901 20100930    24.0
20101001 20101031    88.0
20101101 20101130    69.0
20101201 20101231    42.0
20110101 20110131   179.0
20110201 20110228   147.5
20110301 20110331    48.5
20110401 20110430    24.0
20110501 20110531    10.0
20110601 20110630     8.0
20110701 20110731    10.5
20110801 20110831    28.0
20110901 20110930    24.0
20111001 20111031    27.0
20111101 20111130    48.5
20111201 20111231    52.0
20120101 20120131    19.0
20120201 20120229    23.0
20120301 20120331    46.5
20120401 20120430     0.0
20120501 20120531     2.0
20120601 20120630     8.0
20120701 20120731    68.0
20120801 20120831     7.0
20120901 20120930    18.0
20121001 20121031    10.5
20121101 20121130     3.0
20121201 20121231    10.0
20130101 20130131     0.0
20130201 20130228    54.5
20130301 20130331    11.5
20130401 20130430    19.0
20130501 20130531    28.0
20130601 20130630    59.0
20130701 20130731    19.0
20130801 20130831    18.0
20130901 20130930    19.0
20131001 20131031     7.5
20131101 20131130     1.5
20131201 20131231    63.0
20140101 20140131     0.0
20140201 20140228    65.0
20140301 20140331    26.5
20140401 20140430    54.0
20140501 20140531    38.5
20140601 20140630    10.0
20140701 20140731    14.0
20140801 20140831     8.0
20140901 20140930    18.0
20141001 20141031     2.0
20141101 20141130    10.5
20141201 20141231     4.5
20150101 20150131    57.5
20150201 20150228     2.0
20150301 20150331     0.0
20150401 20150430    85.0
20150501 20150531     7.5
20150601 20150630    33.0
20150701 20150731    17.0
20150801 20150831    13.0
20150901 20150930    11.5
20151001 20151031     7.0
20151101 20151130    14.5
20151201 20151231     0.0
20160101 20160131    42.0
20160201 20160229     0.0
20160301 20160331    11.0
20160401 20160430    14.5
20160501 20160531    40.0
20160601 20160630 99999.9
20160701 20160731    29.0
20160801 20160831    35.5
20160901 20160930   110.0
20161001 20161031    21.0
20161101 20161130    41.0
20161201 20161231     8.5
