PRCP       049023 18770201 20161231 missing_value=99999.9 EUSTON ( BENINGTON)                       
18990101 18990131    16.5
18990201 18990228    28.0
18990301 18990331    26.9
18990401 18990430    35.8
18990501 18990531    11.2
18990601 18990630    75.8
18990701 18990731    21.3
18990801 18990831    18.2
18990901 18990930     5.9
18991001 18991031    11.6
18991101 18991130    33.5
18991201 18991231     0.0
19000101 19000131     9.8
19000201 19000228     0.0
19000301 19000331    32.0
19000401 19000430    68.6
19000501 19000531    70.1
19000601 19000630    42.5
19000701 19000731    17.1
19000801 19000831    34.4
19000901 19000930    32.2
19001001 19001031    11.5
19001101 19001130    18.2
19001201 19001231     1.1
19010101 19010131     5.9
19010201 19010228    41.8
19010301 19010331     0.0
19010401 19010430    20.2
19010501 19010531     0.5
19010601 19010630    23.3
19010701 19010731    30.6
19010801 19010831    64.0
19010901 19010930    20.3
19011001 19011031    27.8
19011101 19011130     4.2
19011201 19011231     8.1
19020101 19020131     1.9
19020201 19020228     0.0
19020301 19020331    12.1
19020401 19020430     1.6
19020501 19020531     4.9
19020601 19020630    43.1
19020701 19020731     7.8
19020801 19020831     8.8
19020901 19020930    19.8
19021001 19021031    22.1
19021101 19021130     5.6
19021201 19021231    99.6
19030101 19030131     1.4
19030201 19030228    12.2
19030301 19030331    16.6
19030401 19030430    35.6
19030501 19030531    16.7
19030601 19030630    26.9
19030701 19030731    26.8
19030801 19030831    12.2
19030901 19030930    88.4
19031001 19031031    36.9
19031101 19031130    23.9
19031201 19031231    70.7
19040101 19040131    50.4
19040201 19040229     3.0
19040301 19040331     0.0
19040401 19040430    22.4
19040501 19040531    12.5
19040601 19040630    22.6
19040701 19040731    39.6
19040801 19040831    19.1
19040901 19040930    11.6
19041001 19041031    33.6
19041101 19041130    16.5
19041201 19041231    12.6
19050101 19050131    40.2
19050201 19050228    18.8
19050301 19050331     1.1
19050401 19050430   111.4
19050501 19050531    46.4
19050601 19050630    31.3
19050701 19050731    32.8
19050801 19050831     5.1
19050901 19050930    18.4
19051001 19051031    34.6
19051101 19051130     0.5
19051201 19051231     0.0
19060101 19060131     6.2
19060201 19060228    69.7
19060301 19060331    59.4
19060401 19060430     0.0
19060501 19060531    72.6
19060601 19060630    60.2
19060701 19060731    18.8
19060801 19060831    37.3
19060901 19060930    46.4
19061001 19061031    18.7
19061101 19061130    27.9
19061201 19061231    35.4
19070101 19070131     5.9
19070201 19070228     1.7
19070301 19070331     6.8
19070401 19070430    23.6
19070501 19070531    15.2
19070601 19070630    43.2
19070701 19070731    24.6
19070801 19070831    38.1
19070901 19070930     9.2
19071001 19071031     5.4
19071101 19071130    26.2
19071201 19071231    54.8
19080101 19080131    13.7
19080201 19080229     9.7
19080301 19080331    10.0
19080401 19080430     4.6
19080501 19080531    26.6
19080601 19080630    39.4
19080701 19080731    17.8
19080801 19080831    51.3
19080901 19080930    51.6
19081001 19081031    36.0
19081101 19081130     5.9
19081201 19081231     8.9
19090101 19090131     3.2
19090201 19090228    16.5
19090301 19090331    22.9
19090401 19090430    10.5
19090501 19090531    80.0
