PRCP       025004 19100101 20171231 missing_value=99999.9 GALGA                                     
19311201 19311231     0.0
19320101 19320131     2.5
19320201 19320229    41.2
19320301 19320331    26.9
19320401 19320430    53.6
19320501 19320531    14.2
19320601 19320630    55.1
19320701 19320731    22.1
19320801 19320831    49.3
19320901 19320930    21.8
19321001 19321031    24.9
19321101 19321130     1.0
19321201 19321231    19.1
19330101 19330131    83.9
19330201 19330228     0.0
19330301 19330331    21.6
19330401 19330430     2.8
19330501 19330531    38.8
19330601 19330630     4.9
19330701 19330731    11.9
19330801 19330831    40.6
19330901 19330930    35.1
19331001 19331031     7.3
19331101 19331130     5.8
19331201 19331231    12.4
19340101 19340131    17.6
19340201 19340228    19.6
19340301 19340331     7.6
19340401 19340430    33.0
19340501 19340531     0.0
19340601 19340630    26.1
19340701 19340731    19.0
19340801 19340831    29.0
19340901 19340930    26.4
19341001 19341031    84.1
19341101 19341130    32.2
19341201 19341231     0.0
19350101 19350131     8.8
19350201 19350228     1.5
19350301 19350331    15.9
19350401 19350430    22.6
19350501 19350531    15.0
19350601 19350630    20.4
19350701 19350731    24.9
19350801 19350831    33.3
19350901 19350930    35.0
19351001 19351031    26.4
19351101 19351130     0.0
19351201 19351231     6.6
19360101 19360131    92.7
19360201 19360229     8.4
19360301 19360331     8.2
19360401 19360430     6.0
19360501 19360531    27.5
19360601 19360630    15.0
19360701 19360731    54.3
19360801 19360831    12.4
19360901 19360930     4.5
19361001 19361031    22.7
19361101 19361130     0.0
19361201 19361231    34.6
19370101 19370131    35.6
19370201 19370228     8.9
19370301 19370331     0.0
19370401 19370430     7.6
19370501 19370531    24.3
19370601 19370630    50.6
19370701 19370731    13.2
19370801 19370831    53.3
19370901 19370930    15.0
19371001 19371031    10.5
19371101 19371130    11.9
19371201 19371231    66.5
19380101 19380131    16.2
19380201 19380228    21.3
19380301 19380331     0.0
19380401 19380430    39.7
19380501 19380531    12.7
19380601 19380630    10.4
19380701 19380731    43.9
19380801 19380831    22.2
19380901 19380930     0.0
19381001 19381031     3.0
19381101 19381130     8.6
19381201 19381231     0.0
19390101 19390131    10.1
19390201 19390228    42.2
19390301 19390331     0.0
19390401 19390430    13.7
19390501 19390531    26.9
19390601 19390630    33.4
19390701 19390731    20.5
19390801 19390831    24.7
19390901 19390930     3.8
19391001 19391031     8.9
19391101 19391130    57.6
19391201 19391231     0.0
19400101 19400131    12.2
19400201 19400229     4.3
19400301 19400331     6.4
19400401 19400430    32.4
19400501 19400531     6.0
19400601 19400630     2.3
19400701 19400731    19.3
19400801 19400831     8.6
19400901 19400930    17.0
19401001 19401031     9.4
19401101 19401130     7.1
19401201 19401231     8.9
19410101 19410131    53.6
19410201 19410228     9.6
19410301 19410331    49.8
19410401 19410430     8.4
19410501 19410531     3.8
19410601 19410630    43.2
19410701 19410731    46.7
19410801 19410831    29.0
19410901 19410930    35.3
19411001 19411031    55.4
19411101 19411130    24.9
19411201 19411231     2.5
19420101 19420131    33.8
19420201 19420228     1.5
19420301 19420331     0.0
19420401 19420430    45.8
19420501 19420531    61.2
19420601 19420630    20.7
19420701 19420731    25.6
19420801 19420831    28.4
19420901 19420930    50.9
19421001 19421031    15.3
19421101 19421130    26.4
19421201 19421231     7.6
19430101 19430131     5.8
19430201 19430228    17.0
19430301 19430331     3.6
19430401 19430430    15.7
19430501 19430531     3.0
19430601 19430630    11.5
19430701 19430731    12.1
19430801 19430831    15.0
19430901 19430930    14.3
19431001 19431031     7.9
19431101 19431130    17.8
19431201 19431231    28.2
19440101 19440131     0.0
19440201 19440229    14.0
19440301 19440331     0.0
19440401 19440430     8.2
19440501 19440531    26.1
19440601 19440630     2.3
19440701 19440731    13.2
19440801 19440831     5.1
19440901 19440930     4.9
19441001 19441031     8.8
19441101 19441130    23.6
19441201 19441231    24.6
19450101 19450131     5.1
19450201 19450228     0.0
19450301 19450331     0.0
19450401 19450430     0.0
19450501 19450531    18.5
19450601 19450630    45.2
19450701 19450731     9.4
19450801 19450831    20.3
19450901 19450930    11.9
19451001 19451031    35.0
19451101 19451130    35.6
19451201 19451231    26.2
19460101 19460131    19.0
19460201 19460228    54.8
19460301 19460331    34.3
19460401 19460430     7.6
19460501 19460531    27.2
19460601 19460630    23.9
19460701 19460731    31.6
19460801 19460831    19.7
19460901 19460930     5.9
19461001 19461031    10.7
19461101 19461130    14.2
19461201 19461231    61.7
19470101 19470131     1.0
19470201 19470228    22.2
19470301 19470331    60.3
19470401 19470430    23.7
19470501 19470531     2.8
19470601 19470630    27.3
19470701 19470731    48.0
19470801 19470831    25.4
19470901 19470930    57.7
19471001 19471031    38.6
19471101 19471130    14.6
19471201 19471231    18.1
19480101 19480131     2.0
19480201 19480229     7.3
19480301 19480331     2.3
19480401 19480430    47.0
19480501 19480531     9.9
19480601 19480630    14.4
19480701 19480731    10.2
19480801 19480831    23.6
19480901 19480930     6.6
19481001 19481031    47.1
19481101 19481130    57.3
19481201 19481231    33.5
19490101 19490131     7.6
19490201 19490228    30.3
19490301 19490331     0.0
19490401 19490430     1.0
19490501 19490531    57.9
19490601 19490630    13.3
19490701 19490731    23.1
19490801 19490831    11.1
19490901 19490930    16.5
19491001 19491031    42.9
19491101 19491130    17.3
19491201 19491231     1.0
19500101 19500131     0.0
19500201 19500228    76.9
19500301 19500331    27.2
19500401 19500430     9.9
19500501 19500531    49.8
19500601 19500630    22.1
19500701 19500731     9.8
19500801 19500831    32.0
19500901 19500930    24.7
19501001 19501031    22.3
19501101 19501130    12.4
19501201 19501231     9.7
19510101 19510131     4.1
19510201 19510228     2.8
19510301 19510331    20.6
19510401 19510430    16.8
19510501 19510531    33.2
19510601 19510630    49.5
19510701 19510731    38.3
19510801 19510831    54.8
19510901 19510930     4.8
19511001 19511031    58.9
19511101 19511130     3.8
19511201 19511231     8.4
19520101 19520131    50.6
19520201 19520229     5.3
19520301 19520331     0.0
19520401 19520430    13.0
19520501 19520531    37.4
19520601 19520630    27.4
19520701 19520731    23.0
19520801 19520831    25.4
19520901 19520930    18.9
19521001 19521031    43.7
19521101 19521130    25.4
19521201 19521231     8.1
19530101 19530131    24.2
19530201 19530228     0.0
19530301 19530331     1.8
19530401 19530430     5.6
19530501 19530531     8.9
19530601 19530630    37.7
19530701 19530731    29.6
19530801 19530831    34.8
19530901 19530930    22.8
19531001 19531031    33.6
19531101 19531130    13.2
19531201 19531231    33.5
19540101 19540131    37.7
19540201 19540228     0.0
19540301 19540331     0.8
19540401 19540430    76.5
19540501 19540531     2.8
19540601 19540630    27.0
19540701 19540731    30.9
19540801 19540831    18.5
