PRCP       031055 19080101 20180131 missing_value=99999.9 SOUTH MOSSMAN ALCHERA DVE                 
20020901 20020930    21.0
20021001 20021031     5.8
20021101 20021130    45.4
20021201 20021231   178.4
20030101 20030131   356.0
20030201 20030228   406.3
20030301 20030331   288.2
20030401 20030430   134.5
20030501 20030531    84.0
20030601 20030630    64.2
20030701 20030731    31.8
20030801 20030831    54.6
20030901 20030930     9.6
20031001 20031031    28.4
20031101 20031130    59.9
20031201 20031231   247.4
20040101 20040131   172.0
20040201 20040229   580.2
20040301 20040331  1081.0
20040401 20040430   216.2
20040501 20040531   111.6
20040601 20040630    29.6
20040701 20040731    32.2
20040801 20040831     1.0
20040901 20040930    32.4
20041001 20041031    24.0
20041101 20041130    81.4
20041201 20041231   403.8
20050101 20050131   739.4
20050201 20050228    81.2
20050301 20050331   342.1
20050401 20050430   191.6
20050501 20050531    35.6
20050601 20050630    64.0
20050701 20050731    51.6
20050801 20050831    91.7
20050901 20050930     3.8
20051001 20051031    13.6
20051101 20051130    41.0
20051201 20051231    94.4
20060101 20060131   734.8
20060201 20060228   350.8
20060301 20060331   772.4
20060401 20060430   824.2
20060501 20060531    89.4
20060601 20060630   155.8
20060701 20060731    87.4
20060801 20060831    15.0
20060901 20060930   115.0
20061001 20061031   107.2
20061101 20061130    25.6
20061201 20061231   159.0
20070101 20070131   537.6
20070201 20070228   563.8
20070301 20070331   279.4
20070401 20070430   116.6
20070501 20070531    86.6
20070601 20070630   131.0
20070701 20070731    26.4
20070801 20070831    25.6
20070901 20070930    26.6
20071001 20071031    58.2
20071101 20071130   165.8
20071201 20071231   373.4
20080101 20080131   355.4
20080201 20080229   536.6
20080301 20080331   760.6
20080401 20080430    50.4
20080501 20080531    57.0
20080601 20080630    17.2
20080701 20080731    50.4
20080801 20080831    10.2
20080901 20080930 99999.9
20081001 20081031    97.4
20081101 20081130    99.6
20081201 20081231   315.8
20090101 20090131  1027.2
20090201 20090228   544.4
20090301 20090331    77.4
20090401 20090430   214.6
20090501 20090531    90.6
20090601 20090630    12.4
20090701 20090731     5.8
20090801 20090831     8.8
20090901 20090930     7.0
20091001 20091031    64.8
20091101 20091130   246.6
20091201 20091231   168.8
20100101 20100131   815.0
20100201 20100228   754.8
20100301 20100331   381.0
20100401 20100430   351.2
20100501 20100531    20.4
20100601 20100630    18.6
20100701 20100731    34.0
20100801 20100831    79.0
20100901 20100930   160.6
20101001 20101031   257.4
20101101 20101130   183.6
20101201 20101231   406.8
20110101 20110131   533.6
20110201 20110228  1193.8
20110301 20110331   668.0
20110401 20110430    87.0
20110501 20110531    21.0
20110601 20110630    21.6
20110701 20110731    14.8
20110801 20110831    28.4
20110901 20110930 99999.9
20111001 20111031   214.8
20111101 20111130   193.0
20111201 20111231   340.4
20120101 20120131   397.0
20120201 20120229   478.0
20120301 20120331   876.8
20120401 20120430   161.8
20120501 20120531   414.2
20120601 20120630    40.6
20120701 20120731 99999.9
20120801 20120831    31.0
20120901 20120930    26.8
20121001 20121031    60.2
20121101 20121130    43.6
20121201 20121231    57.6
20130101 20130131   591.2
20130201 20130228   246.6
20130301 20130331   443.2
20130401 20130430   167.8
20130501 20130531    63.6
20130601 20130630    30.8
20130701 20130731    31.2
20130801 20130831    78.8
20130901 20130930 99999.9
20131001 20131031 99999.9
20131101 20131130 99999.9
20131201 20131231 99999.9
20140101 20140131 99999.9
20140201 20140228   912.4
20140301 20140331   304.4
20140401 20140430   392.2
20140501 20140531    91.4
20140601 20140630 99999.9
20140701 20140731 99999.9
20140801 20140831 99999.9
20140901 20140930 99999.9
20141001 20141031 99999.9
20141101 20141130 99999.9
20141201 20141231 99999.9
20150101 20150131   280.8
20150201 20150228 99999.9
20150301 20150331 99999.9
20150401 20150430 99999.9
20150501 20150531    32.8
20150601 20150630   153.2
20150701 20150731    18.8
20150801 20150831    25.6
20150901 20150930    16.6
20151001 20151031    79.0
20151101 20151130    87.0
20151201 20151231   774.8
20160101 20160131   195.4
20160201 20160229   189.2
20160301 20160331   471.4
20160401 20160430   134.4
20160501 20160531   279.8
20160601 20160630   107.2
20160701 20160731    95.0
20160801 20160831    49.0
20160901 20160930    62.2
20161001 20161031   181.6
20161101 20161130    27.4
20161201 20161231   165.6
20170101 20170131   585.8
20170201 20170228   677.4
20170301 20170331   222.6
20170401 20170430    85.6
20170501 20170531    65.0
20170601 20170630    29.4
20170701 20170731    31.6
20170801 20170831     4.2
20170901 20170930    22.4
20171001 20171031   277.0
20171101 20171130   184.2
20171201 20171231    66.6
20180101 20180131   347.8
