PRCP       031055 19080101 20180131 missing_value=99999.9 SOUTH MOSSMAN ALCHERA DVE                 
19291101 19291130   109.8
19291201 19291231   115.2
19300101 19300131  1013.1
19300201 19300228   792.5
19300301 19300331   289.8
19300401 19300430    27.0
19300501 19300531   156.5
19300601 19300630    45.0
19300701 19300731    10.5
19300801 19300831    15.2
19300901 19300930    26.4
19301001 19301031   274.3
19301101 19301130    60.4
19301201 19301231   215.8
19310101 19310131   673.0
19310201 19310228   111.8
19310301 19310331   217.6
19310401 19310430   132.5
19310501 19310531    59.8
19310601 19310630    97.3
19310701 19310731    18.6
19310801 19310831    18.7
19310901 19310930    24.4
19311001 19311031    93.8
19311101 19311130   131.3
19311201 19311231   277.5
19320101 19320131   615.5
19320201 19320229    99.9
19320301 19320331   489.8
19320401 19320430    32.6
19320501 19320531   234.9
19320601 19320630    19.2
19320701 19320731    13.6
19320801 19320831    50.4
19320901 19320930    14.6
19321001 19321031    29.5
19321101 19321130    36.3
19321201 19321231   356.3
19330101 19330131   174.6
19330201 19330228   569.4
19330301 19330331   297.4
19330401 19330430   361.5
19330501 19330531    81.2
19330601 19330630    64.5
19330701 19330731    34.9
19330801 19330831    98.4
19330901 19330930   122.3
19331001 19331031    43.7
19331101 19331130   224.1
19331201 19331231   285.6
19340101 19340131   722.6
19340201 19340228   778.3
19340301 19340331   570.5
19340401 19340430    94.2
19340501 19340531    48.8
19340601 19340630    31.5
19340701 19340731    41.5
19340801 19340831    19.3
19340901 19340930    43.7
19341001 19341031    64.2
19341101 19341130   103.4
19341201 19341231     4.6
19350101 19350131   461.4
19350201 19350228   248.7
19350301 19350331   616.7
19350401 19350430   101.1
19350501 19350531   154.8
19350601 19350630    96.9
19350701 19350731    31.0
19350801 19350831    22.2
19350901 19350930     5.0
19351001 19351031   129.8
19351101 19351130    79.1
19351201 19351231    30.2
19360101 19360131   298.5
19360201 19360229   677.4
19360301 19360331   354.3
19360401 19360430   100.2
19360501 19360531    92.8
19360601 19360630   166.4
19360701 19360731    28.1
19360801 19360831     2.8
19360901 19360930   141.6
19361001 19361031     4.7
19361101 19361130    76.4
19361201 19361231   345.4
19370101 19370131   320.2
19370201 19370228   361.9
19370301 19370331   405.3
19370401 19370430    71.9
19370501 19370531    43.2
19370601 19370630    12.7
19370701 19370731    57.5
19370801 19370831    17.9
19370901 19370930    29.7
19371001 19371031     5.1
19371101 19371130   181.4
19371201 19371231    45.6
19380101 19380131   387.1
19380201 19380228   489.7
19380301 19380331    22.1
19380401 19380430    13.7
19380501 19380531    23.3
19380601 19380630    38.7
19380701 19380731    45.8
19380801 19380831    18.6
19380901 19380930    11.1
19381001 19381031    70.9
19381101 19381130    97.9
19381201 19381231    58.1
19390101 19390131   557.5
19390201 19390228   756.6
19390301 19390331   963.8
19390401 19390430   263.8
19390501 19390531    29.4
19390601 19390630   107.0
19390701 19390731    10.0
19390801 19390831    14.0
19390901 19390930    17.7
19391001 19391031   113.1
19391101 19391130   223.3
19391201 19391231    51.5
19400101 19400131   635.5
19400201 19400229   471.5
19400301 19400331   856.8
19400401 19400430   152.4
19400501 19400531    42.3
19400601 19400630    78.5
19400701 19400731     9.2
19400801 19400831    12.0
19400901 19400930    10.2
19401001 19401031    23.3
19401101 19401130   152.1
19401201 19401231    50.1
19410101 19410131   320.4
19410201 19410228   804.3
19410301 19410331   521.4
19410401 19410430   364.9
19410501 19410531   107.9
19410601 19410630     7.0
19410701 19410731    32.0
19410801 19410831    31.8
19410901 19410930     5.5
19411001 19411031     4.0
19411101 19411130   176.2
19411201 19411231   137.0
19420101 19420131   103.1
19420201 19420228   177.7
19420301 19420331    71.9
19420401 19420430   256.6
19420501 19420531    92.4
19420601 19420630   137.3
19420701 19420731    39.2
19420801 19420831    23.9
19420901 19420930    60.3
19421001 19421031    38.7
19421101 19421130    66.4
19421201 19421231   494.1
19430101 19430131   149.8
19430201 19430228  1004.6
19430301 19430331    97.1
19430401 19430430    74.2
19430501 19430531    30.2
19430601 19430630    86.6
19430701 19430731    16.4
19430801 19430831     6.6
19430901 19430930    82.4
19431001 19431031    88.8
19431101 19431130    99.4
19431201 19431231   127.6
19440101 19440131   459.7
19440201 19440229   759.9
19440301 19440331   305.7
19440401 19440430    57.7
19440501 19440531    16.8
19440601 19440630    91.2
19440701 19440731   135.8
19440801 19440831    21.6
19440901 19440930    81.3
19441001 19441031    51.1
19441101 19441130    18.5
19441201 19441231   295.8
19450101 19450131   463.2
19450201 19450228   443.3
19450301 19450331  1350.3
19450401 19450430    88.8
19450501 19450531   120.8
19450601 19450630    45.1
19450701 19450731    48.4
19450801 19450831     7.3
19450901 19450930     6.5
19451001 19451031    69.6
19451101 19451130    38.2
19451201 19451231   225.9
19460101 19460131   417.7
19460201 19460228   497.1
19460301 19460331   116.9
19460401 19460430    24.8
19460501 19460531    73.1
19460601 19460630    17.3
19460701 19460731    23.7
19460801 19460831     7.0
19460901 19460930     5.9
19461001 19461031    12.7
19461101 19461130    71.4
19461201 19461231   160.1
19470101 19470131   128.4
19470201 19470228   378.9
19470301 19470331   400.3
19470401 19470430    70.7
19470501 19470531   100.9
19470601 19470630    92.0
19470701 19470731    37.1
19470801 19470831   128.0
19470901 19470930   109.7
19471001 19471031    76.8
19471101 19471130   113.2
19471201 19471231    51.0
19480101 19480131   537.9
19480201 19480229   318.4
19480301 19480331   303.7
19480401 19480430   198.7
19480501 19480531    19.3
19480601 19480630    77.8
19480701 19480731    77.2
19480801 19480831    20.7
19480901 19480930     7.4
19481001 19481031     8.9
19481101 19481130    37.4
19481201 19481231   275.6
19490101 19490131   509.4
19490201 19490228   760.6
19490301 19490331   476.5
19490401 19490430   258.7
19490501 19490531    69.5
19490601 19490630    16.6
19490701 19490731    17.5
19490801 19490831    33.5
19490901 19490930    23.3
19491001 19491031    36.0
19491101 19491130   118.5
19491201 19491231   282.8
19500101 19500131   610.4
19500201 19500228   687.1
19500301 19500331   365.9
19500401 19500430   576.1
19500501 19500531    57.7
19500601 19500630    87.1
19500701 19500731   115.7
19500801 19500831     4.4
19500901 19500930    18.3
19501001 19501031    67.2
19501101 19501130   578.3
19501201 19501231   645.4
19510101 19510131   503.8
19510201 19510228   190.4
19510301 19510331   230.1
19510401 19510430    39.7
19510501 19510531    43.9
19510601 19510630    41.6
19510701 19510731    18.1
19510801 19510831    42.2
19510901 19510930    69.6
19511001 19511031    35.1
19511101 19511130   202.5
19511201 19511231    23.4
19520101 19520131   564.8
19520201 19520229   354.1
19520301 19520331   185.7
19520401 19520430   166.3
19520501 19520531    61.8
19520601 19520630    25.1
19520701 19520731    17.2
19520801 19520831    82.7
19520901 19520930    36.2
19521001 19521031    78.1
19521101 19521130   147.2
19521201 19521231    23.5
19530101 19530131   956.2
19530201 19530228   567.0
19530301 19530331   581.1
19530401 19530430   149.5
19530501 19530531    51.6
19530601 19530630    32.5
19530701 19530731    69.7
19530801 19530831    41.0
19530901 19530930    95.7
19531001 19531031    29.2
19531101 19531130    49.3
19531201 19531231   236.2
19540101 19540131   301.1
19540201 19540228   306.9
19540301 19540331   553.8
19540401 19540430   364.8
19540501 19540531    59.8
19540601 19540630    51.7
19540701 19540731    25.6
19540801 19540831    89.9
19540901 19540930    30.8
19541001 19541031   137.0
19541101 19541130    41.7
19541201 19541231    88.3
19550101 19550131   252.6
19550201 19550228   700.9
19550301 19550331   464.9
19550401 19550430   193.2
19550501 19550531    78.6
19550601 19550630    66.9
19550701 19550731    13.2
19550801 19550831    10.4
19550901 19550930    56.8
19551001 19551031    91.4
19551101 19551130   191.5
19551201 19551231    58.6
19560101 19560131   487.9
19560201 19560229   483.0
19560301 19560331   544.0
19560401 19560430   233.7
19560501 19560531    54.8
19560601 19560630    60.3
19560701 19560731   101.9
19560801 19560831    50.7
19560901 19560930    51.6
19561001 19561031    44.4
19561101 19561130    60.7
19561201 19561231   314.8
19570101 19570131   754.5
19570201 19570228   272.7
19570301 19570331   915.8
19570401 19570430    78.4
19570501 19570531    70.0
19570601 19570630    74.2
19570701 19570731    60.2
19570801 19570831     5.9
19570901 19570930    35.6
19571001 19571031     3.6
19571101 19571130   174.6
19571201 19571231   117.5
19580101 19580131   289.5
