PRCP       020053 19100101 20171231 missing_value=99999.9 TEPCO                                     
19311201 19311231     0.0
19320101 19320131     0.0
19320201 19320229    13.0
19320301 19320331     0.0
19320401 19320430    20.4
19320501 19320531    35.5
19320601 19320630    16.0
19320701 19320731     0.0
19320801 19320831     7.9
19320901 19320930    18.3
19321001 19321031     0.0
19321101 19321130    53.3
19321201 19321231    15.7
19330101 19330131     5.1
19330201 19330228     3.8
19330301 19330331     8.9
19330401 19330430     2.3
19330501 19330531    16.2
19330601 19330630     6.9
19330701 19330731    11.2
19330801 19330831    15.8
19330901 19330930     5.8
19331001 19331031     2.0
19331101 19331130    56.2
19331201 19331231     0.0
19340101 19340131     5.3
19340201 19340228     0.0
19340301 19340331    14.5
19340401 19340430    11.4
19340501 19340531     0.0
19340601 19340630     2.5
19340701 19340731    24.4
19340801 19340831     2.5
19340901 19340930     5.1
19341001 19341031    25.1
19341101 19341130    19.0
19341201 19341231     2.0
19350101 19350131     4.6
19350201 19350228     0.0
19350301 19350331     6.9
19350401 19350430    11.9
19350501 19350531     0.0
19350601 19350630     2.5
19350701 19350731     1.0
19350801 19350831     3.5
19350901 19350930    12.9
19351001 19351031    23.4
19351101 19351130     9.6
19351201 19351231     1.5
19360101 19360131    57.8
19360201 19360229     0.0
19360301 19360331     1.3
19360401 19360430     0.0
19360501 19360531    35.6
19360601 19360630     4.8
19360701 19360731    12.5
19360801 19360831     7.9
19360901 19360930     1.8
19361001 19361031     6.9
19361101 19361130    19.0
19361201 19361231    22.3
19370101 19370131   101.9
19370201 19370228    15.3
19370301 19370331     0.0
19370401 19370430     0.0
19370501 19370531    17.5
19370601 19370630    35.2
19370701 19370731     3.6
19370801 19370831    38.7
19370901 19370930     0.0
19371001 19371031    15.5
19371101 19371130    18.3
19371201 19371231     0.0
19380101 19380131     0.0
19380201 19380228     6.1
19380301 19380331     0.0
19380401 19380430     1.8
19380501 19380531     5.6
19380601 19380630     2.0
19380701 19380731    20.8
19380801 19380831    29.0
19380901 19380930     1.8
19381001 19381031   122.5
19381101 19381130     5.1
19381201 19381231     0.0
19390101 19390131     0.0
19390201 19390228    40.6
19390301 19390331     6.6
19390401 19390430    48.0
19390501 19390531     0.0
19390601 19390630    25.7
19390701 19390731     6.6
19390801 19390831     9.1
19390901 19390930     0.5
19391001 19391031    11.4
19391101 19391130    36.4
19391201 19391231     0.0
19400101 19400131     0.0
19400201 19400229     0.0
19400301 19400331     0.0
19400401 19400430     1.3
19400501 19400531    13.7
19400601 19400630     0.0
19400701 19400731     3.0
19400801 19400831     2.1
19400901 19400930     0.0
19401001 19401031     0.0
19401101 19401130     0.0
19401201 19401231     0.0
19410101 19410131    82.3
19410201 19410228     0.0
19410301 19410331     9.2
19410401 19410430     0.0
19410501 19410531     2.5
19410601 19410630    14.2
19410701 19410731     7.9
19410801 19410831     0.8
19410901 19410930     4.3
19411001 19411031     9.2
19411101 19411130    22.6
19411201 19411231     0.0
19420101 19420131     3.3
19420201 19420228    12.5
19420301 19420331     0.0
19420401 19420430    13.2
19420501 19420531    44.0
19420601 19420630    22.1
19420701 19420731     6.6
19420801 19420831     7.6
19420901 19420930     3.1
19421001 19421031    41.1
19421101 19421130     2.5
19421201 19421231     0.0
19430101 19430131     0.0
19430201 19430228    13.0
19430301 19430331     0.0
19430401 19430430    20.6
19430501 19430531     4.5
19430601 19430630     5.9
19430701 19430731    11.0
19430801 19430831    14.7
19430901 19430930     4.1
19431001 19431031     4.1
19431101 19431130     4.1
19431201 19431231     0.0
19440101 19440131     2.3
19440201 19440229    13.0
19440301 19440331    10.9
19440401 19440430     6.6
19440501 19440531     1.5
19440601 19440630     0.8
19440701 19440731     9.1
19440801 19440831    19.9
19440901 19440930     0.0
19441001 19441031     1.0
19441101 19441130     0.0
19441201 19441231    15.0
19450101 19450131     0.0
19450201 19450228     5.3
19450301 19450331     2.0
19450401 19450430     0.0
19450501 19450531     3.8
19450601 19450630    32.0
19450701 19450731    21.9
19450801 19450831    13.2
19450901 19450930     6.4
19451001 19451031     6.9
19451101 19451130    14.2
19451201 19451231     9.7
19460101 19460131    85.8
19460201 19460228    48.3
19460301 19460331     0.0
19460401 19460430     2.8
19460501 19460531     0.0
19460601 19460630    23.9
19460701 19460731     4.9
19460801 19460831     0.5
19460901 19460930     6.1
19461001 19461031     5.8
19461101 19461130    13.9
19461201 19461231    63.9
19470101 19470131     0.5
19470201 19470228    63.0
19470301 19470331    55.9
19470401 19470430    10.4
19470501 19470531     3.8
19470601 19470630     8.6
19470701 19470731    11.9
19470801 19470831    12.7
19470901 19470930    14.7
19471001 19471031    27.4
19471101 19471130    46.0
19471201 19471231     5.1
19480101 19480131     0.0
19480201 19480229     5.1
19480301 19480331     0.0
19480401 19480430    15.2
19480501 19480531     0.8
19480601 19480630     8.9
19480701 19480731     1.3
19480801 19480831     6.3
19480901 19480930     0.0
19481001 19481031    13.5
19481101 19481130     5.5
19481201 19481231   106.6
19490101 19490131     0.0
19490201 19490228    24.8
19490301 19490331    17.5
19490401 19490430     1.8
19490501 19490531    24.4
19490601 19490630     2.8
19490701 19490731    15.5
19490801 19490831     1.5
19490901 19490930    47.8
19491001 19491031    37.9
19491101 19491130    14.2
19491201 19491231     3.8
19500101 19500131     0.0
19500201 19500228   160.2
19500301 19500331    92.8
19500401 19500430     0.0
19500501 19500531    26.7
19500601 19500630    35.8
19500701 19500731    15.5
19500801 19500831     0.0
19500901 19500930     0.0
19501001 19501031    11.7
19501101 19501130    19.1
19501201 19501231    15.0
19510101 19510131    16.8
19510201 19510228     2.5
19510301 19510331     0.0
19510401 19510430     2.3
19510501 19510531     8.4
19510601 19510630    49.3
19510701 19510731     5.1
19510801 19510831     7.6
19510901 19510930    19.3
19511001 19511031    21.8
19511101 19511130     0.0
19511201 19511231     0.0
19520101 19520131    10.7
19520201 19520229     0.0
19520301 19520331     5.8
19520401 19520430    18.0
19520501 19520531    33.7
19520601 19520630     2.6
19520701 19520731    19.5
19520801 19520831     5.9
19520901 19520930     8.6
19521001 19521031    40.4
19521101 19521130     6.4
19521201 19521231     2.3
19530101 19530131    54.7
19530201 19530228    37.8
19530301 19530331     4.8
19530401 19530430     0.0
19530501 19530531     0.0
19530601 19530630     3.0
19530701 19530731     4.3
19530801 19530831     9.6
19530901 19530930    22.1
19531001 19531031    15.7
19531101 19531130     3.8
19531201 19531231    14.5
19540101 19540131    15.5
19540201 19540228     0.0
19540301 19540331     0.0
19540401 19540430    31.8
19540501 19540531     2.8
19540601 19540630    10.7
19540701 19540731     2.0
19540801 19540831     6.1
19540901 19540930     1.5
19541001 19541031    34.4
19541101 19541130    19.7
19541201 19541231    59.2
19550101 19550131     5.1
19550201 19550228    61.5
19550301 19550331    61.4
19550401 19550430     3.8
19550501 19550531    76.7
19550601 19550630    22.7
19550701 19550731     5.8
19550801 19550831    34.5
19550901 19550930    22.1
19551001 19551031     0.8
19551101 19551130    22.6
19551201 19551231     0.0
19560101 19560131    31.0
19560201 19560229     8.1
19560301 19560331    76.0
19560401 19560430    27.4
19560501 19560531    26.1
19560601 19560630    21.3
19560701 19560731    64.0
19560801 19560831     0.0
19560901 19560930     7.4
19561001 19561031    28.7
19561101 19561130     6.4
19561201 19561231     0.0
19570101 19570131     0.0
19570201 19570228    14.5
19570301 19570331    30.5
19570401 19570430     3.8
19570501 19570531     0.0
19570601 19570630    28.5
19570701 19570731     5.6
19570801 19570831     1.3
19570901 19570930     0.0
19571001 19571031     0.0
19571101 19571130     0.0
19571201 19571231    41.1
19580101 19580131    35.8
19580201 19580228     1.3
19580301 19580331    28.4
19580401 19580430    21.9
19580501 19580531     4.1
19580601 19580630     0.0
19580701 19580731    19.4
19580801 19580831    44.7
19580901 19580930     7.2
19581001 19581031    75.4
19581101 19581130   120.5
19581201 19581231     3.3
19590101 19590131     9.4
19590201 19590228     2.0
19590301 19590331    19.5
19590401 19590430     1.0
19590501 19590531    26.6
19590601 19590630     0.0
19590701 19590731    16.0
19590801 19590831    30.0
19590901 19590930    10.2
19591001 19591031    20.3
19591101 19591130     0.0
19591201 19591231     4.6
19600101 19600131    57.1
19600201 19600229    12.7
19600301 19600331     3.0
19600401 19600430     6.1
19600501 19600531    21.1
19600601 19600630     2.5
19600701 19600731    33.8
19600801 19600831     5.6
19600901 19600930    15.4
19601001 19601031     0.0
19601101 19601130    35.5
19601201 19601231     1.0
19610101 19610131     4.1
19610201 19610228     0.0
19610301 19610331     0.0
19610401 19610430    29.5
19610501 19610531     0.0
19610601 19610630     2.5
19610701 19610731     7.6
19610801 19610831     6.4
19610901 19610930     8.9
19611001 19611031    10.2
19611101 19611130    56.7
19611201 19611231    21.6
19620101 19620131    72.7
19620201 19620228     2.8
19620301 19620331    18.8
19620401 19620430     0.0
19620501 19620531    26.7
19620601 19620630     0.0
19620701 19620731     8.6
19620801 19620831     8.4
19620901 19620930     0.0
19621001 19621031    14.5
19621101 19621130     0.0
19621201 19621231   101.8
19630101 19630131    17.0
19630201 19630228    11.2
19630301 19630331     0.0
19630401 19630430     2.0
19630501 19630531    48.8
19630601 19630630    29.1
19630701 19630731     0.0
19630801 19630831    18.5
19630901 19630930     5.1
19631001 19631031    12.4
19631101 19631130     4.3
19631201 19631231    18.7
19640101 19640131     4.8
19640201 19640229     4.8
19640301 19640331     0.0
19640401 19640430    43.9
19640501 19640531     6.6
19640601 19640630     0.0
19640701 19640731     0.0
19640801 19640831    12.7
19640901 19640930    76.7
19641001 19641031    20.0
19641101 19641130     0.0
19641201 19641231     5.6
19650101 19650131     0.0
19650201 19650228     0.0
19650301 19650331     0.0
19650401 19650430     0.0
19650501 19650531    15.0
19650601 19650630    18.0
19650701 19650731     8.1
19650801 19650831    27.1
19650901 19650930    11.9
19651001 19651031     7.1
19651101 19651130     0.0
19651201 19651231     0.8
19660101 19660131     6.6
19660201 19660228    28.0
19660301 19660331    15.8
19660401 19660430     0.0
19660501 19660531    12.2
19660601 19660630     6.6
19660701 19660731     4.6
19660801 19660831     1.0
19660901 19660930     3.3
19661001 19661031     8.7
19661101 19661130    25.4
19661201 19661231    35.3
19670101 19670131     8.9
19670201 19670228    46.3
19670301 19670331     5.1
19670401 19670430     0.0
19670501 19670531    24.9
19670601 19670630    15.7
19670701 19670731     1.8
19670801 19670831     6.8
19670901 19670930     0.0
19671001 19671031     4.8
19671101 19671130     0.0
19671201 19671231     0.0
19680101 19680131    84.8
19680201 19680229     0.0
19680301 19680331     3.1
19680401 19680430    49.3
19680501 19680531    94.1
19680601 19680630    20.8
19680701 19680731    19.3
19680801 19680831     4.4
19680901 19680930     0.5
19681001 19681031     0.0
19681101 19681130     8.3
19681201 19681231    22.4
19690101 19690131    16.5
19690201 19690228    20.9
19690301 19690331    37.8
19690401 19690430     8.3
19690501 19690531    12.1
19690601 19690630     7.9
19690701 19690731    29.9
19690801 19690831     5.6
19690901 19690930    11.6
19691001 19691031     6.3
