PRCP       039037 18810101 20171130 missing_value=99999.9 FAIRYMEAD SUGAR MILL                      
19021101 19021130    50.5
19021201 19021231    62.2
19030101 19030131    42.9
19030201 19030228    59.4
19030301 19030331   130.8
19030401 19030430    30.0
19030501 19030531   308.9
19030601 19030630    13.7
19030701 19030731   175.0
19030801 19030831    30.7
19030901 19030930    69.1
19031001 19031031    21.3
19031101 19031130   143.0
19031201 19031231   181.4
19040101 19040131    66.5
19040201 19040229    27.9
19040301 19040331    62.0
19040401 19040430   154.7
19040501 19040531    62.2
19040601 19040630    20.6
19040701 19040731    11.7
19040801 19040831    18.8
19040901 19040930     4.1
19041001 19041031    97.8
19041101 19041130    46.5
19041201 19041231   112.8
19050101 19050131   367.5
19050201 19050228    59.7
19050301 19050331    84.3
19050401 19050430   192.0
19050501 19050531   123.2
19050601 19050630    30.5
19050701 19050731     0.0
19050801 19050831     2.3
19050901 19050930    40.1
19051001 19051031    49.5
19051101 19051130    23.9
19051201 19051231    23.6
19060101 19060131   163.6
19060201 19060228   208.8
19060301 19060331    80.5
19060401 19060430    29.5
19060501 19060531   177.3
19060601 19060630    60.7
19060701 19060731     3.3
19060801 19060831    37.6
19060901 19060930   279.7
19061001 19061031    29.5
19061101 19061130    50.3
19061201 19061231   115.1
19070101 19070131    80.8
19070201 19070228   146.6
19070301 19070331   481.3
19070401 19070430    20.3
19070501 19070531    83.8
19070601 19070630   153.4
19070701 19070731    26.9
19070801 19070831    23.4
19070901 19070930     5.1
19071001 19071031    42.2
19071101 19071130   138.9
19071201 19071231    87.9
19080101 19080131   126.7
19080201 19080229   141.5
19080301 19080331   185.4
19080401 19080430    89.2
19080501 19080531    15.0
19080601 19080630     6.6
19080701 19080731    17.8
19080801 19080831    35.8
19080901 19080930    29.7
19081001 19081031    56.4
19081101 19081130    17.8
19081201 19081231    42.2
19090101 19090131   246.9
19090201 19090228   103.9
19090301 19090331   117.1
19090401 19090430    68.1
19090501 19090531    23.9
19090601 19090630    46.2
19090701 19090731   135.9
19090801 19090831    32.3
19090901 19090930    40.4
19091001 19091031    23.9
19091101 19091130    75.9
19091201 19091231    97.5
19100101 19100131   225.2
19100201 19100228    83.9
19100301 19100331   218.6
