PRCP       039037 18810101 20171130 missing_value=99999.9 FAIRYMEAD SUGAR MILL                      
19750801 19750831   103.8
19750901 19750930    26.4
19751001 19751031   105.4
19751101 19751130   104.4
19751201 19751231    84.8
19760101 19760131   166.0
19760201 19760229   192.2
19760301 19760331   300.4
19760401 19760430    66.2
19760501 19760531    25.6
19760601 19760630    22.0
19760701 19760731    32.0
19760801 19760831    14.2
19760901 19760930    42.8
19761001 19761031    28.4
19761101 19761130   300.5
19761201 19761231   227.4
19770101 19770131    69.4
19770201 19770228   149.4
19770301 19770331   218.2
19770401 19770430    96.0
19770501 19770531    88.0
19770601 19770630    14.6
19770701 19770731    18.6
19770801 19770831     2.6
19770901 19770930     7.0
19771001 19771031     7.6
19771101 19771130    61.8
19771201 19771231     8.2
19780101 19780131   119.6
19780201 19780228   105.4
19780301 19780331    90.6
19780401 19780430    63.4
19780501 19780531    93.6
19780601 19780630    72.6
19780701 19780731   156.8
19780801 19780831    44.0
19780901 19780930    53.4
19781001 19781031    22.2
19781101 19781130   166.8
19781201 19781231    83.0
19790101 19790131    51.0
19790201 19790228    72.0
19790301 19790331   133.8
19790401 19790430    33.0
19790501 19790531     2.0
19790601 19790630    22.6
19790701 19790731     4.0
19790801 19790831     6.2
19790901 19790930     2.8
19791001 19791031    75.5
19791101 19791130    56.0
19791201 19791231    47.4
19800101 19800131   220.8
19800201 19800229   332.6
19800301 19800331    19.6
19800401 19800430    18.2
19800501 19800531    44.0
19800601 19800630    41.2
19800701 19800731    47.2
19800801 19800831    12.4
19800901 19800930     0.0
19801001 19801031    52.8
19801101 19801130    61.8
19801201 19801231   179.0
19810101 19810131   148.4
19810201 19810228   174.6
19810301 19810331   113.4
19810401 19810430   122.4
19810501 19810531   108.8
19810601 19810630    47.0
19810701 19810731    26.8
19810801 19810831    50.2
19810901 19810930     7.8
19811001 19811031    40.6
19811101 19811130   198.6
19811201 19811231    94.0
19820101 19820131   230.8
19820201 19820228   268.7
19820301 19820331   185.4
19820401 19820430    47.6
19820501 19820531   109.3
19820601 19820630     1.6
19820701 19820731     3.4
19820801 19820831    17.0
19820901 19820930    33.8
19821001 19821031    31.0
19821101 19821130    12.2
19821201 19821231    96.4
19830101 19830131    94.6
19830201 19830228    56.0
19830301 19830331   256.2
19830401 19830430   182.7
19830501 19830531   320.9
19830601 19830630   122.8
19830701 19830731    31.8
19830801 19830831    53.4
19830901 19830930     2.4
19831001 19831031   112.2
19831101 19831130   155.8
19831201 19831231    55.6
19840101 19840131    95.0
19840201 19840229    40.6
19840301 19840331    63.0
19840401 19840430   121.2
19840501 19840531    25.2
19840601 19840630    37.8
19840701 19840731    94.0
19840801 19840831    11.4
19840901 19840930    42.0
19841001 19841031   142.4
19841101 19841130    74.8
19841201 19841231   201.4
19850101 19850131   158.0
19850201 19850228    83.4
19850301 19850331   211.4
19850401 19850430    35.8
19850501 19850531    25.2
19850601 19850630    63.6
19850701 19850731    37.6
19850801 19850831    35.6
19850901 19850930    38.6
19851001 19851031    91.0
19851101 19851130    51.2
19851201 19851231   172.8
19860101 19860131   102.4
19860201 19860228   134.4
19860301 19860331    30.0
19860401 19860430    51.4
19860501 19860531   103.6
19860601 19860630    17.0
19860701 19860731    25.8
19860801 19860831   119.4
19860901 19860930     4.6
19861001 19861031   142.0
19861101 19861130    86.4
19861201 19861231   151.8
19870101 19870131   124.0
19870201 19870228    89.0
19870301 19870331   112.4
19870401 19870430    44.2
19870501 19870531    65.4
19870601 19870630    44.4
19870701 19870731    96.2
19870801 19870831    34.6
19870901 19870930     8.0
19871001 19871031   129.4
19871101 19871130    96.0
19871201 19871231    53.8
19880101 19880131    33.2
19880201 19880229    75.2
19880301 19880331    66.3
19880401 19880430   141.2
19880501 19880531    80.8
19880601 19880630   121.2
19880701 19880731    93.2
19880801 19880831    85.8
19880901 19880930    22.2
19881001 19881031    45.4
19881101 19881130    52.0
19881201 19881231   357.8
19890101 19890131    43.2
19890201 19890228   135.0
19890301 19890331   236.6
19890401 19890430   250.6
19890501 19890531   184.2
19890601 19890630    43.0
19890701 19890731    52.4
19890801 19890831    99.0
19890901 19890930     2.0
19891001 19891031    53.0
19891101 19891130    59.4
19891201 19891231    41.2
19900101 19900131    32.2
19900201 19900228    35.6
19900301 19900331   140.0
19900401 19900430   116.1
19900501 19900531   130.2
19900601 19900630    59.0
19900701 19900731    28.4
19900801 19900831    15.6
19900901 19900930     1.8
19901001 19901031     6.8
19901101 19901130    28.4
19901201 19901231    49.8
19910101 19910131   192.2
19910201 19910228    33.8
19910301 19910331    44.0
19910401 19910430    16.6
19910501 19910531    28.2
19910601 19910630    12.6
19910701 19910731    22.2
19910801 19910831     2.2
19910901 19910930     3.0
19911001 19911031    26.2
19911101 19911130    46.8
19911201 19911231   257.4
19920101 19920131    57.5
19920201 19920229   639.0
19920301 19920331   282.8
19920401 19920430   116.6
19920501 19920531   163.6
19920601 19920630     3.6
19920701 19920731     9.8
19920801 19920831    47.0
19920901 19920930    57.8
19921001 19921031    13.8
19921101 19921130    86.2
19921201 19921231    57.0
19930101 19930131   127.8
19930201 19930228    86.4
19930301 19930331    48.8
19930401 19930430    18.0
19930501 19930531    16.4
19930601 19930630    23.2
19930701 19930731    72.8
19930801 19930831   148.8
19930901 19930930    88.6
19931001 19931031    71.0
19931101 19931130   185.6
19931201 19931231   118.0
19940101 19940131   100.2
19940201 19940228    83.6
19940301 19940331   170.2
19940401 19940430    35.6
19940501 19940531    65.6
19940601 19940630    26.6
19940701 19940731    39.2
19940801 19940831    12.8
19940901 19940930     3.0
19941001 19941031    57.0
19941101 19941130     2.2
19941201 19941231    67.8
19950101 19950131   118.2
19950201 19950228   357.6
19950301 19950331     8.6
19950401 19950430    23.0
19950501 19950531    98.2
19950601 19950630    16.0
19950701 19950731     7.6
19950801 19950831    17.8
19950901 19950930    14.6
19951001 19951031   128.6
19951101 19951130    81.2
19951201 19951231   122.6
19960101 19960131   118.1
19960201 19960229    30.8
19960301 19960331    18.1
19960401 19960430   157.6
19960501 19960531   227.0
19960601 19960630    22.4
19960701 19960731    11.0
19960801 19960831    17.5
19960901 19960930   105.4
19961001 19961031   127.5
19961101 19961130    90.6
19961201 19961231    77.0
19970101 19970131    46.3
19970201 19970228   134.6
19970301 19970331   116.1
19970401 19970430    15.4
19970501 19970531   114.6
19970601 19970630     7.0
19970701 19970731     8.9
19970801 19970831     2.0
19970901 19970930    65.8
19971001 19971031    26.0
19971101 19971130    58.6
19971201 19971231    55.8
19980101 19980131    56.0
19980201 19980228    66.3
19980301 19980331    36.2
19980401 19980430    83.7
19980501 19980531   154.3
19980601 19980630    40.6
19980701 19980731    16.8
19980801 19980831    70.0
19980901 19980930   129.6
19981001 19981031   110.7
19981101 19981130   183.5
19981201 19981231   107.4
19990101 19990131   162.0
19990201 19990228   315.4
19990301 19990331    60.4
19990401 19990430     4.8
19990501 19990531   128.5
19990601 19990630    30.9
19990701 19990731    47.2
19990801 19990831    18.5
19990901 19990930    15.3
19991001 19991031   234.0
19991101 19991130    64.4
19991201 19991231   163.8
20000101 20000131    64.9
20000201 20000229    52.6
20000301 20000331    14.1
20000401 20000430    65.9
20000501 20000531    35.2
20000601 20000630    50.9
20000701 20000731     9.2
20000801 20000831    11.9
20000901 20000930     0.0
20001001 20001031   186.1
20001101 20001130    97.6
20001201 20001231    84.3
20010101 20010131    34.1
20010201 20010228   109.8
20010301 20010331    68.9
20010401 20010430    24.0
20010501 20010531    77.0
20010601 20010630     8.2
20010701 20010731    30.6
20010801 20010831    13.8
20010901 20010930    44.6
20011001 20011031    32.8
20011101 20011130   126.0
20011201 20011231    43.4
20020101 20020131   126.3
20020201 20020228    59.4
20020301 20020331    41.1
20020401 20020430    21.8
20020501 20020531    16.4
20020601 20020630   183.5
20020701 20020731     0.6
20020801 20020831   142.1
20020901 20020930     6.0
20021001 20021031    44.5
20021101 20021130   116.0
20021201 20021231   111.8
20030101 20030131     8.0
20030201 20030228   280.0
20030301 20030331    55.5
20030401 20030430    63.5
20030501 20030531    19.0
20030601 20030630    22.0
20030701 20030731    19.5
20030801 20030831    32.0
20030901 20030930    12.0
20031001 20031031    50.0
20031101 20031130    46.0
20031201 20031231   340.0
20040101 20040131   139.4
20040201 20040229   170.5
20040301 20040331   206.0
20040401 20040430    38.5
20040501 20040531    10.0
20040601 20040630    11.5
20040701 20040731     0.0
20040801 20040831     3.0
20040901 20040930    35.7
20041001 20041031   148.1
20041101 20041130    29.0
20041201 20041231    83.7
20050101 20050131   146.3
20050201 20050228    35.1
20050301 20050331    78.4
20050401 20050430    51.5
20050501 20050531    57.3
20050601 20050630   100.5
20050701 20050731    10.1
20050801 20050831    33.8
20050901 20050930     3.0
20051001 20051031    99.6
20051101 20051130    98.3
20051201 20051231    67.6
20060101 20060131   171.8
20060201 20060228    91.4
20060301 20060331    83.8
20060401 20060430    81.8
20060501 20060531     2.4
20060601 20060630   154.9
20060701 20060731    86.6
20060801 20060831    38.9
20060901 20060930    41.4
20061001 20061031     5.5
20061101 20061130    36.2
20061201 20061231   103.5
20070101 20070131    13.0
20070201 20070228   160.5
20070301 20070331    20.3
20070401 20070430    15.1
20070501 20070531     7.0
20070601 20070630   154.9
20070701 20070731     0.0
20070801 20070831    60.8
20070901 20070930    63.2
20071001 20071031    42.2
20071101 20071130   211.5
20071201 20071231    58.2
20080101 20080131   140.2
20080201 20080229   234.2
20080301 20080331    76.0
20080401 20080430     4.2
20080501 20080531   146.4
20080601 20080630    22.0
20080701 20080731   110.2
20080801 20080831     0.0
20080901 20080930    32.2
20081001 20081031    40.0
20081101 20081130    88.2
20081201 20081231    57.2
20090101 20090131   134.2
20090201 20090228   255.0
20090301 20090331    53.0
20090401 20090430    91.6
20090501 20090531   116.9
20090601 20090630    48.0
20090701 20090731     0.0
20090801 20090831     1.4
20090901 20090930    20.8
20091001 20091031     3.6
20091101 20091130    55.0
20091201 20091231   131.3
20100101 20100131   199.0
20100201 20100228   543.0
20100301 20100331   263.0
20100401 20100430    35.5
20100501 20100531    21.0
20100601 20100630 99999.9
20100701 20100731    23.8
20100801 20100831   132.0
20100901 20100930   202.0
20101001 20101031    48.5
20101101 20101130   123.5
20101201 20101231   519.3
20110101 20110131   185.0
20110201 20110228    72.5
20110301 20110331   288.0
20110401 20110430    50.5
20110501 20110531    56.0
20110601 20110630    35.0
20110701 20110731     3.5
20110801 20110831    62.7
20110901 20110930    10.5
20111001 20111031    53.0
20111101 20111130     5.5
20111201 20111231   174.1
20120101 20120131   387.0
20120201 20120229   133.8
20120301 20120331   237.6
20120401 20120430    39.0
20120501 20120531    23.0
20120601 20120630   187.1
20120701 20120731    68.9
20120801 20120831    14.0
20120901 20120930    18.0
20121001 20121031    51.4
20121101 20121130    99.6
20121201 20121231    36.9
20130101 20130131  1001.5
20130201 20130228   231.5
20130301 20130331   201.0
20130401 20130430    50.5
20130501 20130531    62.5
20130601 20130630    31.5
20130701 20130731     6.0
20130801 20130831     0.0
20130901 20130930     5.5
20131001 20131031    13.5
20131101 20131130    46.5
20131201 20131231    84.4
20140101 20140131    55.5
20140201 20140228    50.9
20140301 20140331   177.8
20140401 20140430    40.0
20140501 20140531 99999.9
20140601 20140630 99999.9
20140701 20140731 99999.9
20140801 20140831 99999.9
20140901 20140930    50.0
20141001 20141031 99999.9
20141101 20141130 99999.9
20141201 20141231 99999.9
20150101 20150131 99999.9
20150201 20150228 99999.9
20150301 20150331 99999.9
20150401 20150430 99999.9
20150501 20150531 99999.9
20150601 20150630 99999.9
20150701 20150731 99999.9
20150801 20150831 99999.9
20150901 20150930 99999.9
20151001 20151031 99999.9
20151101 20151130 99999.9
20151201 20151231 99999.9
20160101 20160131   340.0
20160201 20160229   121.5
20160301 20160331    46.6
20160401 20160430     7.8
20160501 20160531    17.1
20160601 20160630   149.8
20160701 20160731    44.6
20160801 20160831    19.6
20160901 20160930    50.9
20161001 20161031 99999.9
20161101 20161130    69.5
20161201 20161231   100.8
20170101 20170131     7.2
20170201 20170228     9.4
20170301 20170331   397.5
20170401 20170430     3.0
20170501 20170531    75.8
20170601 20170630     0.0
20170701 20170731 99999.9
20170801 20170831    13.2
20170901 20170930 99999.9
20171001 20171031   536.1
20171101 20171130   104.0
