PRCP       005014 18860701 20180131 missing_value=99999.9 MOUNT FLORANCE                            
19080601 19080630    49.0
19080701 19080731    27.9
19080801 19080831     0.0
19080901 19080930     0.0
19081001 19081031     0.0
19081101 19081130     9.7
19081201 19081231    25.2
19090101 19090131   159.6
19090201 19090228    60.8
19090301 19090331     4.8
19090401 19090430   110.8
19090501 19090531    17.8
19090601 19090630   227.8
19090701 19090731     3.8
19090801 19090831     0.0
19090901 19090930     0.0
19091001 19091031     0.0
19091101 19091130     0.0
19091201 19091231    33.5
19100101 19100131     4.1
19100201 19100228   108.1
19100301 19100331    17.7
19100401 19100430     1.5
19100501 19100531   103.8
19100601 19100630    50.3
19100701 19100731    33.7
19100801 19100831     0.8
19100901 19100930     1.3
19101001 19101031     0.0
19101101 19101130    11.8
19101201 19101231    30.7
19110101 19110131    45.6
19110201 19110228    47.0
19110301 19110331     3.0
19110401 19110430     0.0
19110501 19110531    53.1
19110601 19110630    24.4
19110701 19110731     0.0
19110801 19110831     0.0
19110901 19110930     0.0
19111001 19111031     0.0
19111101 19111130    40.7
19111201 19111231    35.1
19120101 19120131    17.7
19120201 19120229    98.6
19120301 19120331   240.6
19120401 19120430     0.0
19120501 19120531     0.0
19120601 19120630     0.0
19120701 19120731     3.8
19120801 19120831     0.0
19120901 19120930     0.0
19121001 19121031     0.0
19121101 19121130     0.0
19121201 19121231     1.3
19130101 19130131    83.7
19130201 19130228    21.6
19130301 19130331   119.0
19130401 19130430    20.6
19130501 19130531     0.0
19130601 19130630    22.1
19130701 19130731    16.5
19130801 19130831     8.9
19130901 19130930     5.1
19131001 19131031     0.0
19131101 19131130    11.7
19131201 19131231     0.0
19140101 19140131    75.0
19140201 19140228    57.4
19140301 19140331     0.0
19140401 19140430     4.1
19140501 19140531    15.2
19140601 19140630     0.0
19140701 19140731    40.3
19140801 19140831     0.0
19140901 19140930     0.0
19141001 19141031     0.0
19141101 19141130    37.4
19141201 19141231    10.0
19150101 19150131    58.8
19150201 19150228   177.6
19150301 19150331    46.0
19150401 19150430    22.8
19150501 19150531     0.0
19150601 19150630   128.8
19150701 19150731     0.0
19150801 19150831     0.0
19150901 19150930     0.0
19151001 19151031    16.5
19151101 19151130     8.9
19151201 19151231    31.5
19160101 19160131    13.0
19160201 19160229   110.8
19160301 19160331    47.3
19160401 19160430     0.0
19160501 19160531    44.9
19160601 19160630    35.1
19160701 19160731     0.0
19160801 19160831     0.0
19160901 19160930     0.0
19161001 19161031    40.4
19161101 19161130     0.0
19161201 19161231    10.7
19170101 19170131   207.9
19170201 19170228    10.2
19170301 19170331   448.2
19170401 19170430   134.9
19170501 19170531     1.8
19170601 19170630     2.3
19170701 19170731    13.2
19170801 19170831     0.0
19170901 19170930     0.0
19171001 19171031     0.0
19171101 19171130     0.0
19171201 19171231    40.4
19180101 19180131   100.5
19180201 19180228   246.8
19180301 19180331     7.9
19180401 19180430     3.8
19180501 19180531    18.0
19180601 19180630     0.0
19180701 19180731     6.6
19180801 19180831     0.8
19180901 19180930     0.0
19181001 19181031     0.0
19181101 19181130     0.0
19181201 19181231    57.2
19190101 19190131    35.5
19190201 19190228    39.0
19190301 19190331     2.5
19190401 19190430     6.4
19190501 19190531     0.0
19190601 19190630    20.9
19190701 19190731     0.0
19190801 19190831    23.9
19190901 19190930     4.3
19191001 19191031     0.0
19191101 19191130    30.5
19191201 19191231    66.4
19200101 19200131    17.6
19200201 19200229     7.7
19200301 19200331    96.5
19200401 19200430    70.8
19200501 19200531     0.8
19200601 19200630    36.3
19200701 19200731     0.0
19200801 19200831     0.0
19200901 19200930    74.7
19201001 19201031     0.0
19201101 19201130    22.4
19201201 19201231   122.7
19210101 19210131     0.0
19210201 19210228    88.2
19210301 19210331   156.1
19210401 19210430     3.8
19210501 19210531    57.1
19210601 19210630     6.6
19210701 19210731     0.0
19210801 19210831    11.2
19210901 19210930     0.0
19211001 19211031     0.0
19211101 19211130     1.5
19211201 19211231    11.4
19220101 19220131    13.2
19220201 19220228    30.8
19220301 19220331   126.8
19220401 19220430    12.0
19220501 19220531    87.2
19220601 19220630     1.3
19220701 19220731     0.0
19220801 19220831     0.0
19220901 19220930     0.0
19221001 19221031     1.3
19221101 19221130     1.8
19221201 19221231    30.8
19230101 19230131    57.6
19230201 19230228    16.7
19230301 19230331    91.1
19230401 19230430    32.0
19230501 19230531    21.6
19230601 19230630    29.5
19230701 19230731    29.0
19230801 19230831     0.0
19230901 19230930     0.0
19231001 19231031     0.0
19231101 19231130     0.0
19231201 19231231    12.9
19240101 19240131    16.5
19240201 19240229    19.8
19240301 19240331     0.0
19240401 19240430     0.0
19240501 19240531    19.0
19240601 19240630    22.4
19240701 19240731     0.0
19240801 19240831     0.0
19240901 19240930     0.0
19241001 19241031     0.0
19241101 19241130     0.0
19241201 19241231    22.9
19250101 19250131   149.3
19250201 19250228    58.4
19250301 19250331    52.3
19250401 19250430     0.0
19250501 19250531     0.0
