PRCP       007080 19070901 20180131 missing_value=99999.9 THREE RIVERS                              
19290801 19290831    18.8
19290901 19290930     0.0
19291001 19291031     0.0
19291101 19291130     0.0
19291201 19291231     0.0
19300101 19300131     0.0
19300201 19300228     7.7
19300301 19300331    34.4
19300401 19300430    35.8
19300501 19300531   108.5
19300601 19300630     4.6
19300701 19300731     0.0
19300801 19300831     6.1
19300901 19300930     0.0
19301001 19301031     6.3
19301101 19301130     1.1
19301201 19301231    81.0
19310101 19310131    76.2
19310201 19310228    53.1
19310301 19310331    76.2
19310401 19310430     5.5
19310501 19310531   140.5
19310601 19310630    77.5
19310701 19310731     2.5
19310801 19310831     5.1
19310901 19310930     0.0
19311001 19311031    35.6
19311101 19311130     9.7
19311201 19311231     0.0
19320101 19320131    34.3
19320201 19320229     0.0
19320301 19320331    11.4
19320401 19320430     6.4
19320501 19320531     5.1
19320601 19320630     0.0
19320701 19320731     1.5
19320801 19320831     0.0
19320901 19320930     0.0
19321001 19321031     0.0
19321101 19321130     0.0
19321201 19321231   168.4
19330101 19330131     0.0
19330201 19330228    12.5
19330301 19330331   117.1
19330401 19330430    26.7
19330501 19330531    49.7
19330601 19330630     0.0
19330701 19330731    26.7
19330801 19330831     6.5
19330901 19330930     0.0
19331001 19331031     0.0
19331101 19331130     0.0
19331201 19331231    13.8
19340101 19340131    12.7
19340201 19340228     5.6
19340301 19340331   268.6
19340401 19340430    73.4
19340501 19340531     1.3
19340601 19340630    13.4
19340701 19340731     0.0
19340801 19340831     0.0
19340901 19340930     0.0
19341001 19341031     0.0
19341101 19341130     6.4
19341201 19341231     0.0
19350101 19350131     3.3
19350201 19350228    78.0
19350301 19350331     0.0
19350401 19350430     5.3
19350501 19350531     0.0
19350601 19350630     0.0
19350701 19350731     8.3
19350801 19350831    11.2
19350901 19350930     0.0
19351001 19351031     0.0
19351101 19351130     0.0
19351201 19351231     4.6
19360101 19360131    32.8
19360201 19360229    18.8
19360301 19360331     0.0
19360401 19360430     0.0
19360501 19360531     1.5
19360601 19360630     0.0
19360701 19360731     0.0
19360801 19360831     0.0
19360901 19360930     0.0
19361001 19361031     0.0
19361101 19361130     2.6
19361201 19361231    15.0
19370101 19370131    38.2
19370201 19370228     1.5
19370301 19370331     6.3
19370401 19370430    30.2
19370501 19370531     4.3
19370601 19370630     1.3
19370701 19370731     0.0
19370801 19370831     0.6
19370901 19370930     0.0
19371001 19371031     0.8
19371101 19371130    39.0
19371201 19371231    10.2
19380101 19380131    32.7
19380201 19380228    11.4
19380301 19380331    19.3
19380401 19380430     0.3
19380501 19380531     4.1
19380601 19380630    28.9
19380701 19380731     8.2
19380801 19380831     0.0
19380901 19380930     0.0
19381001 19381031     0.0
19381101 19381130     0.0
19381201 19381231    28.4
19390101 19390131    78.8
19390201 19390228     0.0
19390301 19390331    27.9
19390401 19390430     3.8
19390501 19390531     0.0
19390601 19390630     6.4
19390701 19390731     6.3
19390801 19390831     3.0
19390901 19390930     0.0
19391001 19391031     0.0
19391101 19391130     4.3
19391201 19391231    10.4
19400101 19400131    35.2
19400201 19400229     0.0
19400301 19400331     0.0
19400401 19400430     0.0
19400501 19400531     1.3
19400601 19400630     0.5
19400701 19400731     7.5
19400801 19400831     7.6
19400901 19400930     3.0
19401001 19401031     0.0
19401101 19401130    13.7
19401201 19401231     0.0
19410101 19410131     0.0
19410201 19410228    25.3
19410301 19410331     1.3
19410401 19410430     9.4
19410501 19410531    20.0
19410601 19410630     0.0
19410701 19410731    39.7
19410801 19410831    16.3
19410901 19410930     1.5
19411001 19411031     5.8
19411101 19411130     3.0
19411201 19411231    82.5
19420101 19420131    79.6
19420201 19420228    71.2
19420301 19420331   112.5
19420401 19420430    30.0
19420501 19420531   193.3
19420601 19420630    19.4
19420701 19420731     5.6
19420801 19420831     0.0
19420901 19420930     0.0
19421001 19421031     0.0
19421101 19421130     0.0
19421201 19421231    23.3
19430101 19430131     0.0
19430201 19430228    24.9
19430301 19430331    40.6
19430401 19430430     0.0
19430501 19430531     2.0
19430601 19430630     6.4
19430701 19430731     0.0
19430801 19430831     0.0
19430901 19430930     0.0
19431001 19431031     0.0
19431101 19431130     9.6
19431201 19431231     0.0
19440101 19440131     0.0
19440201 19440229     0.0
19440301 19440331     0.0
19440401 19440430    16.5
19440501 19440531     0.0
19440601 19440630     0.0
