PRCP       015590 19001001 20180131 missing_value=99999.9 ALICE SPRINGS AIRPORT                     
19220801 19220831     0.0
19220901 19220930     0.0
19221001 19221031    22.5
19221101 19221130    13.3
19221201 19221231   127.9
19230101 19230131     5.4
19230201 19230228     0.0
19230301 19230331    25.8
19230401 19230430     0.0
19230501 19230531    19.7
19230601 19230630    61.6
19230701 19230731     0.0
19230801 19230831     0.0
19230901 19230930     0.0
19231001 19231031    37.0
19231101 19231130     0.2
19231201 19231231    74.3
19240101 19240131     5.4
19240201 19240229     4.1
19240301 19240331     0.0
19240401 19240430     6.6
19240501 19240531     0.0
19240601 19240630     0.0
19240701 19240731     0.2
19240801 19240831     0.2
19240901 19240930     0.2
19241001 19241031    20.9
19241101 19241130    53.1
19241201 19241231     6.8
19250101 19250131    80.4
19250201 19250228     1.8
19250301 19250331    12.3
19250401 19250430    13.4
19250501 19250531    13.4
19250601 19250630     0.0
19250701 19250731     4.6
19250801 19250831     9.9
19250901 19250930     0.0
19251001 19251031     0.0
19251101 19251130     7.6
19251201 19251231     0.0
19260101 19260131     1.1
19260201 19260228     0.0
19260301 19260331    91.2
19260401 19260430     7.5
19260501 19260531    34.9
19260601 19260630     0.0
19260701 19260731     0.0
19260801 19260831     0.0
19260901 19260930    14.4
19261001 19261031     0.0
19261101 19261130     6.7
19261201 19261231     9.0
19270101 19270131     6.7
19270201 19270228    15.7
19270301 19270331     0.9
19270401 19270430     0.0
19270501 19270531     0.4
19270601 19270630    13.6
19270701 19270731     0.0
19270801 19270831     0.0
19270901 19270930    10.5
19271001 19271031     7.9
19271101 19271130     7.7
19271201 19271231    26.8
19280101 19280131    18.6
19280201 19280229     0.0
19280301 19280331    17.3
19280401 19280430     0.0
19280501 19280531     0.0
19280601 19280630     0.2
19280701 19280731     0.0
19280801 19280831     0.0
19280901 19280930     0.7
19281001 19281031    21.2
19281101 19281130     0.0
19281201 19281231     0.0
19290101 19290131     0.0
19290201 19290228    12.0
19290301 19290331   114.2
19290401 19290430     0.0
19290501 19290531     0.0
19290601 19290630    13.3
19290701 19290731     0.0
19290801 19290831     1.3
19290901 19290930     2.4
19291001 19291031    12.5
19291101 19291130    12.4
19291201 19291231    52.5
19300101 19300131    73.7
19300201 19300228    24.4
19300301 19300331     7.0
19300401 19300430     0.0
19300501 19300531     9.8
19300601 19300630     0.0
19300701 19300731     0.0
19300801 19300831     0.0
19300901 19300930     2.6
19301001 19301031    26.7
19301101 19301130    10.9
19301201 19301231    92.7
19310101 19310131     3.7
19310201 19310228     0.0
19310301 19310331     0.0
19310401 19310430    22.0
19310501 19310531    25.3
19310601 19310630    14.7
19310701 19310731     0.0
19310801 19310831     0.0
19310901 19310930     7.4
19311001 19311031    14.7
19311101 19311130    20.4
19311201 19311231    16.7
19320101 19320131     0.0
19320201 19320229     2.4
19320301 19320331    76.6
19320401 19320430    11.5
19320501 19320531    18.4
19320601 19320630     1.3
19320701 19320731     0.0
19320801 19320831     3.3
19320901 19320930     1.7
19321001 19321031    41.4
19321101 19321130     2.0
19321201 19321231    11.6
19330101 19330131     0.4
19330201 19330228    15.3
19330301 19330331    33.0
19330401 19330430    17.0
19330501 19330531     2.0
19330601 19330630     0.0
19330701 19330731     0.0
19330801 19330831    39.7
19330901 19330930     3.9
19331001 19331031     8.0
19331101 19331130    47.6
19331201 19331231    18.5
19340101 19340131     8.1
19340201 19340228     3.0
19340301 19340331     0.0
19340401 19340430     0.0
19340501 19340531     0.0
19340601 19340630     0.0
19340701 19340731    23.0
19340801 19340831     6.3
19340901 19340930     4.6
19341001 19341031    33.6
19341101 19341130    58.5
19341201 19341231     0.0
19350101 19350131    43.4
19350201 19350228     2.8
19350301 19350331    16.0
19350401 19350430    17.6
19350501 19350531     0.0
19350601 19350630    24.1
19350701 19350731     0.0
19350801 19350831    10.2
19350901 19350930    14.7
19351001 19351031     9.1
19351101 19351130    14.4
19351201 19351231     5.4
19360101 19360131    33.8
19360201 19360229   125.0
19360301 19360331    37.2
19360401 19360430     0.0
19360501 19360531    42.8
19360601 19360630     0.0
19360701 19360731    21.0
19360801 19360831     5.6
19360901 19360930     0.0
19361001 19361031     0.6
19361101 19361130     2.4
19361201 19361231    10.7
19370101 19370131    91.6
19370201 19370228     5.0
19370301 19370331     0.0
19370401 19370430     4.9
19370501 19370531     0.0
19370601 19370630     4.2
19370701 19370731     0.0
19370801 19370831     2.2
19370901 19370930     0.0
19371001 19371031     3.0
19371101 19371130    59.3
19371201 19371231    29.3
19380101 19380131    23.5
19380201 19380228    36.0
19380301 19380331     3.9
19380401 19380430     0.0
19380501 19380531     0.0
19380601 19380630    40.5
19380701 19380731     0.0
19380801 19380831     0.0
19380901 19380930     0.0
19381001 19381031    16.9
19381101 19381130    18.6
19381201 19381231     0.0
19390101 19390131    54.7
19390201 19390228    59.0
19390301 19390331    32.0
19390401 19390430     1.5
19390501 19390531     0.0
19390601 19390630    35.5
19390701 19390731    63.1
19390801 19390831     0.0
19390901 19390930     0.0
19391001 19391031    18.2
19391101 19391130    26.4
19391201 19391231     0.0
19400101 19400131    70.8
19400201 19400229    83.6
19400301 19400331     0.0
19400401 19400430    16.4
19400501 19400531     0.0
19400601 19400630     0.0
19400701 19400731     0.0
19400801 19400831     0.0
19400901 19400930     0.0
19401001 19401031     3.9
19401101 19401130     0.0
19401201 19401231     3.5
19410101 19410131     7.2
19410201 19410228     0.0
19410301 19410331   145.7
19410401 19410430     0.0
19410501 19410531     3.1
19410601 19410630    24.2
19410701 19410731     0.0
19410801 19410831     0.0
19410901 19410930     0.0
19411001 19411031     8.0
19411101 19411130    73.8
19411201 19411231    35.6
19420101 19420131    63.6
19420201 19420228    10.4
19420301 19420331     7.1
19420401 19420430    11.9
19420501 19420531    41.7
19420601 19420630    18.4
19420701 19420731     0.0
19420801 19420831     2.1
19420901 19420930     1.0
19421001 19421031    25.4
19421101 19421130    14.8
19421201 19421231    20.7
19430101 19430131    23.6
19430201 19430228    28.6
19430301 19430331     6.6
19430401 19430430    30.1
19430501 19430531    15.0
19430601 19430630     2.3
19430701 19430731    20.2
19430801 19430831    24.7
19430901 19430930     0.0
19431001 19431031    58.5
19431101 19431130    64.5
19431201 19431231    25.7
19440101 19440131    10.9
19440201 19440229   110.0
19440301 19440331     4.8
19440401 19440430     0.0
19440501 19440531     0.0
19440601 19440630     3.3
19440701 19440731     2.3
19440801 19440831     0.0
19440901 19440930     3.8
19441001 19441031    35.1
19441101 19441130     1.8
19441201 19441231    43.0
19450101 19450131    34.8
19450201 19450228    39.7
19450301 19450331    66.8
19450401 19450430     0.3
19450501 19450531     3.3
19450601 19450630     0.3
19450701 19450731    12.8
19450801 19450831     0.0
19450901 19450930     1.5
19451001 19451031    17.1
19451101 19451130     0.0
19451201 19451231    46.2
19460101 19460131    25.9
19460201 19460228   180.5
19460301 19460331    10.7
19460401 19460430     0.0
19460501 19460531     0.0
19460601 19460630     4.0
19460701 19460731     0.0
19460801 19460831     0.0
19460901 19460930     0.0
19461001 19461031     0.8
19461101 19461130    29.6
19461201 19461231    42.6
19470101 19470131     5.1
