PRCP       078043 18970801 20171231 missing_value=99999.9 YANAC NORTH                               
19930401 19930430     0.0
19930501 19930531    13.0
19930601 19930630    23.4
19930701 19930731    72.8
19930801 19930831    43.0
19930901 19930930    83.4
19931001 19931031    52.2
19931101 19931130    33.0
19931201 19931231    35.8
19940101 19940131    14.8
19940201 19940228    17.2
19940301 19940331     0.0
19940401 19940430     2.8
19940501 19940531    27.6
19940601 19940630    45.0
19940701 19940731    27.0
19940801 19940831     9.8
19940901 19940930    18.4
19941001 19941031    33.6
19941101 19941130    13.8
19941201 19941231     0.2
19950101 19950131    18.0
19950201 19950228    27.8
19950301 19950331     2.0
19950401 19950430    44.4
19950501 19950531    62.6
19950601 19950630    90.8
19950701 19950731    83.2
19950801 19950831    19.6
19950901 19950930    20.6
19951001 19951031    62.0
19951101 19951130     5.0
19951201 19951231     8.0
19960101 19960131    20.6
19960201 19960229    25.4
19960301 19960331     6.6
19960401 19960430    18.4
19960501 19960531    15.4
19960601 19960630    75.8
19960701 19960731    59.0
19960801 19960831    56.0
19960901 19960930    75.0
19961001 19961031    17.8
19961101 19961130     5.0
19961201 19961231     9.8
19970101 19970131    23.2
19970201 19970228    26.4
19970301 19970331     5.4
19970401 19970430     2.2
19970501 19970531    49.7
19970601 19970630    13.2
19970701 19970731    14.6
19970801 19970831    57.6
19970901 19970930    62.4
19971001 19971031    23.8
19971101 19971130    25.4
19971201 19971231     7.2
19980101 19980131    28.6
19980201 19980228    16.8
19980301 19980331     4.8
19980401 19980430    56.8
19980501 19980531    25.8
19980601 19980630    34.8
19980701 19980731    42.4
19980801 19980831    26.2
19980901 19980930    44.8
19981001 19981031    50.6
19981101 19981130    14.8
19981201 19981231    13.2
19990101 19990131    15.2
19990201 19990228    31.2
19990301 19990331    58.0
19990401 19990430     0.6
19990501 19990531    49.2
19990601 19990630    26.4
19990701 19990731    36.4
19990801 19990831    46.0
19990901 19990930    32.2
19991001 19991031    48.4
19991101 19991130    46.2
19991201 19991231    45.8
20000101 20000131     3.8
20000201 20000229    82.6
20000301 20000331    15.4
20000401 20000430    29.2
20000501 20000531    18.4
20000601 20000630    27.8
20000701 20000731    55.8
20000801 20000831    36.6
20000901 20000930    57.8
20001001 20001031    28.4
20001101 20001130    46.2
20001201 20001231    16.0
20010101 20010131    22.6
20010201 20010228     3.2
20010301 20010331    31.2
20010401 20010430     8.2
20010501 20010531    11.6
20010601 20010630    58.2
20010701 20010731    44.4
20010801 20010831    62.8
20010901 20010930    78.6
20011001 20011031    45.0
20011101 20011130    28.8
20011201 20011231     7.0
20020101 20020131    21.6
20020201 20020228     2.4
20020301 20020331     5.0
20020401 20020430    12.6
20020501 20020531    36.2
20020601 20020630    47.0
20020701 20020731    24.2
20020801 20020831    23.0
20020901 20020930    38.6
20021001 20021031    18.8
20021101 20021130    40.8
20021201 20021231    36.0
20030101 20030131     4.6
20030201 20030228   111.2
20030301 20030331    13.8
20030401 20030430    11.2
20030501 20030531    46.8
20030601 20030630    71.8
20030701 20030731    27.8
20030801 20030831    78.8
20030901 20030930    35.8
20031001 20031031    54.8
20031101 20031130    13.6
20031201 20031231    31.4
20040101 20040131    10.8
20040201 20040229     9.0
20040301 20040331    21.2
20040401 20040430     3.4
20040501 20040531    24.2
20040601 20040630    60.0
20040701 20040731    46.2
20040801 20040831    63.2
20040901 20040930    27.8
20041001 20041031     6.0
20041101 20041130    47.6
20041201 20041231    35.8
20050101 20050131    23.8
20050201 20050228    34.6
20050301 20050331     3.2
20050401 20050430     7.6
20050501 20050531     5.4
20050601 20050630    49.0
20050701 20050731    23.0
20050801 20050831    50.8
20050901 20050930    27.2
20051001 20051031    71.6
20051101 20051130    23.2
20051201 20051231    21.4
20060101 20060131    17.0
20060201 20060228     4.6
20060301 20060331     7.4
20060401 20060430    41.6
20060501 20060531    32.0
20060601 20060630     1.4
20060701 20060731    31.4
20060801 20060831    12.2
20060901 20060930    24.6
20061001 20061031     1.2
20061101 20061130    16.4
20061201 20061231     3.6
20070101 20070131    78.2
20070201 20070228    19.0
20070301 20070331    12.2
20070401 20070430    38.8
20070501 20070531    52.8
20070601 20070630    10.4
20070701 20070731    48.6
20070801 20070831    15.4
20070901 20070930    22.4
20071001 20071031    13.2
20071101 20071130    57.0
20071201 20071231    37.4
20080101 20080131    18.2
20080201 20080229     0.0
20080301 20080331     3.6
20080401 20080430     9.2
20080501 20080531    33.4
20080601 20080630    26.6
20080701 20080731    56.8
20080801 20080831    47.4
20080901 20080930    22.6
20081001 20081031     7.0
20081101 20081130    14.6
20081201 20081231    43.6
20090101 20090131     0.0
20090201 20090228     0.0
20090301 20090331    10.8
20090401 20090430    21.0
20090501 20090531    32.6
20090601 20090630    32.2
20090701 20090731    61.0
20090801 20090831    44.8
20090901 20090930    54.0
20091001 20091031    22.0
20091101 20091130    75.8
20091201 20091231    26.4
20100101 20100131     4.2
20100201 20100228    15.8
20100301 20100331    37.8
20100401 20100430    48.2
20100501 20100531    20.4
20100601 20100630    26.2
20100701 20100731    33.6
20100801 20100831    86.6
20100901 20100930    48.0
20101001 20101031    32.2
20101101 20101130    60.2
20101201 20101231    98.4
20110101 20110131    85.8
20110201 20110228    37.8
20110301 20110331    44.8
20110401 20110430    10.8
20110501 20110531    25.0
20110601 20110630    27.4
20110701 20110731    32.8
20110801 20110831    47.8
20110901 20110930    32.0
20111001 20111031    30.8
20111101 20111130    66.6
20111201 20111231    28.6
20120101 20120131     9.4
20120201 20120229     4.4
20120301 20120331    67.6
20120401 20120430     5.2
20120501 20120531    24.8
20120601 20120630    43.2
20120701 20120731    29.2
20120801 20120831    44.8
20120901 20120930    25.2
20121001 20121031    12.6
20121101 20121130    10.2
20121201 20121231    24.4
20130101 20130131     6.6
20130201 20130228    27.4
20130301 20130331     9.8
20130401 20130430     8.6
20130501 20130531    29.8
20130601 20130630   108.6
20130701 20130731    57.4
20130801 20130831    49.6
20130901 20130930    40.8
20131001 20131031    29.8
20131101 20131130     5.8
20131201 20131231     7.8
20140101 20140131     5.8
20140201 20140228     9.0
20140301 20140331    12.6
20140401 20140430    58.6
20140501 20140531    37.4
20140601 20140630    40.4
20140701 20140731    33.2
20140801 20140831    24.2
20140901 20140930    18.8
20141001 20141031     6.8
20141101 20141130     9.8
20141201 20141231    21.2
20150101 20150131    74.4
20150201 20150228     2.6
20150301 20150331     3.8
20150401 20150430    28.2
20150501 20150531    34.6
20150601 20150630    15.2
20150701 20150731    34.4
20150801 20150831    18.8
20150901 20150930    25.0
20151001 20151031     6.6
20151101 20151130    33.8
20151201 20151231     6.8
20160101 20160131    62.2
20160201 20160229     5.8
20160301 20160331    35.4
20160401 20160430     7.0
20160501 20160531    38.0
20160601 20160630    42.8
20160701 20160731    73.6
20160801 20160831    36.2
20160901 20160930   104.8
20161001 20161031    57.6
20161101 20161130    16.2
20161201 20161231    41.4
20170101 20170131    29.2
20170201 20170228    28.2
20170301 20170331     8.0
20170401 20170430    46.2
20170501 20170531    42.6
20170601 20170630     5.6
20170701 20170731    53.2
20170801 20170831    67.6
20170901 20170930    27.6
20171001 20171031    37.0
20171101 20171130    88.4
20171201 20171231     3.4
