PRCP       078043 18970801 20171231 missing_value=99999.9 YANAC NORTH                               
19190701 19190731    21.1
19190801 19190831    27.2
19190901 19190930    36.2
19191001 19191031    17.9
19191101 19191130     3.0
19191201 19191231    27.5
19200101 19200131     0.8
19200201 19200229     0.8
19200301 19200331    12.7
19200401 19200430     0.5
19200501 19200531    46.4
19200601 19200630    33.7
19200701 19200731    21.0
19200801 19200831    61.3
19200901 19200930    59.5
19201001 19201031    42.7
19201101 19201130    41.4
19201201 19201231    10.1
19210101 19210131    33.0
19210201 19210228    15.8
19210301 19210331    28.7
19210401 19210430     5.6
19210501 19210531    45.0
19210601 19210630    34.8
19210701 19210731    44.2
19210801 19210831    40.9
19210901 19210930    31.8
19211001 19211031    23.4
19211101 19211130    41.1
19211201 19211231     7.9
19220101 19220131    19.0
19220201 19220228     4.8
19220301 19220331     1.8
19220401 19220430    13.2
19220501 19220531    50.0
19220601 19220630    50.8
19220701 19220731    36.6
19220801 19220831    34.8
19220901 19220930    53.5
19221001 19221031    55.5
19221101 19221130     2.5
19221201 19221231    44.7
19230101 19230131    12.0
19230201 19230228     0.0
19230301 19230331     0.0
19230401 19230430     3.8
19230501 19230531    66.8
19230601 19230630   100.8
19230701 19230731    76.3
19230801 19230831    25.7
19230901 19230930    36.4
19231001 19231031    37.8
19231101 19231130    15.5
19231201 19231231    68.1
19240101 19240131     6.9
19240201 19240229    55.9
19240301 19240331    28.9
19240401 19240430     8.6
19240501 19240531    22.9
19240601 19240630    42.9
19240701 19240731    10.9
19240801 19240831    63.8
19240901 19240930    55.0
19241001 19241031    59.3
19241101 19241130    54.9
19241201 19241231     3.3
19250101 19250131    15.7
19250201 19250228    16.7
19250301 19250331     7.7
19250401 19250430    10.9
19250501 19250531    50.3
19250601 19250630    46.6
19250701 19250731    30.1
19250801 19250831    31.4
19250901 19250930    54.2
19251001 19251031     8.4
19251101 19251130    34.8
19251201 19251231     4.3
19260101 19260131     0.0
19260201 19260228     3.1
19260301 19260331     5.1
19260401 19260430    44.3
19260501 19260531    66.2
19260601 19260630    15.6
19260701 19260731    30.8
19260801 19260831    29.9
19260901 19260930    43.2
19261001 19261031    28.5
19261101 19261130     5.5
19261201 19261231     7.6
19270101 19270131     3.3
19270201 19270228    18.3
19270301 19270331    11.7
19270401 19270430     0.0
19270501 19270531    34.5
19270601 19270630    31.7
19270701 19270731    53.9
19270801 19270831    72.7
