PRCP       016006 19100101 20180131 missing_value=99999.9 COMMONWEALTH HILL                         
19311201 19311231     0.0
19320101 19320131     0.0
19320201 19320229    24.1
19320301 19320331    10.8
19320401 19320430     8.0
19320501 19320531    13.2
19320601 19320630     0.3
19320701 19320731     8.6
19320801 19320831    16.5
19320901 19320930    27.7
19321001 19321031    37.7
19321101 19321130    13.3
19321201 19321231     3.5
19330101 19330131    10.6
19330201 19330228     0.0
19330301 19330331    21.3
19330401 19330430     2.3
19330501 19330531    10.4
19330601 19330630     0.8
19330701 19330731     4.9
19330801 19330831    29.1
19330901 19330930    11.3
19331001 19331031     1.3
19331101 19331130    16.9
19331201 19331231    12.7
19340101 19340131     0.5
19340201 19340228    11.5
19340301 19340331     5.8
19340401 19340430     1.0
19340501 19340531     0.5
19340601 19340630     3.6
19340701 19340731     7.6
19340801 19340831     8.6
19340901 19340930     0.5
19341001 19341031     7.5
19341101 19341130    29.1
19341201 19341231     0.0
19350101 19350131    10.7
19350201 19350228     0.0
19350301 19350331    38.9
19350401 19350430     0.0
19350501 19350531     0.8
19350601 19350630     0.0
19350701 19350731     1.4
19350801 19350831    30.3
19350901 19350930    45.2
19351001 19351031    13.8
19351101 19351130    10.3
19351201 19351231     2.8
19360101 19360131     5.0
19360201 19360229     5.5
19360301 19360331     2.5
19360401 19360430     0.0
19360501 19360531     2.5
19360601 19360630     1.6
19360701 19360731     4.3
19360801 19360831    10.1
19360901 19360930     0.0
19361001 19361031    43.1
19361101 19361130     8.0
19361201 19361231     4.5
19370101 19370131    48.9
19370201 19370228    42.8
19370301 19370331     9.0
19370401 19370430     1.8
19370501 19370531     8.3
19370601 19370630     4.5
19370701 19370731     1.8
19370801 19370831    21.8
19370901 19370930     4.2
19371001 19371031     2.6
19371101 19371130     9.3
19371201 19371231    13.1
19380101 19380131     3.5
19380201 19380228   108.2
19380301 19380331     0.0
19380401 19380430     0.0
19380501 19380531     2.3
19380601 19380630    19.2
19380701 19380731     7.6
19380801 19380831     7.3
19380901 19380930     1.8
19381001 19381031    35.1
19381101 19381130     5.7
19381201 19381231     4.8
19390101 19390131    19.3
19390201 19390228    18.5
19390301 19390331    34.1
19390401 19390430     0.0
19390501 19390531     7.8
19390601 19390630    18.2
19390701 19390731     8.5
19390801 19390831     9.3
19390901 19390930     0.0
19391001 19391031     0.0
19391101 19391130    23.6
19391201 19391231     0.0
19400101 19400131    22.2
19400201 19400229     0.0
19400301 19400331    14.3
19400401 19400430     0.8
19400501 19400531     9.3
19400601 19400630     6.3
19400701 19400731     2.0
19400801 19400831     3.3
19400901 19400930     3.1
19401001 19401031    14.9
19401101 19401130     3.7
19401201 19401231     0.5
19410101 19410131    35.9
19410201 19410228     7.3
19410301 19410331    34.8
19410401 19410430    18.7
19410501 19410531     4.0
19410601 19410630    15.4
19410701 19410731    13.8
19410801 19410831    11.5
19410901 19410930     8.4
19411001 19411031    27.8
19411101 19411130    31.1
19411201 19411231     0.0
19420101 19420131    16.3
19420201 19420228    14.3
19420301 19420331     2.8
19420401 19420430     3.0
19420501 19420531    12.2
19420601 19420630    34.3
19420701 19420731    18.7
19420801 19420831    11.6
19420901 19420930     1.8
19421001 19421031     0.0
19421101 19421130    29.7
19421201 19421231    67.5
19430101 19430131     7.9
19430201 19430228    47.7
19430301 19430331     0.5
19430401 19430430    12.2
19430501 19430531     4.3
19430601 19430630     2.0
19430701 19430731     6.6
19430801 19430831    17.5
19430901 19430930     5.1
19431001 19431031     3.8
19431101 19431130     1.3
19431201 19431231     0.8
19440101 19440131     0.0
19440201 19440229    51.4
19440301 19440331     0.0
19440401 19440430     9.9
19440501 19440531     0.0
19440601 19440630     2.5
19440701 19440731     0.0
19440801 19440831     0.0
19440901 19440930    11.4
19441001 19441031     0.0
19441101 19441130     2.3
19441201 19441231     3.6
19450101 19450131    22.9
19450201 19450228     8.6
19450301 19450331    12.7
19450401 19450430     0.0
19450501 19450531    23.7
19450601 19450630    56.1
19450701 19450731    28.2
19450801 19450831    15.0
19450901 19450930    11.7
19451001 19451031    38.7
19451101 19451130     1.4
19451201 19451231    82.6
19460101 19460131     3.8
19460201 19460228   111.6
19460301 19460331    11.7
19460401 19460430    15.2
19460501 19460531     0.5
19460601 19460630     5.3
19460701 19460731     0.5
19460801 19460831     0.0
19460901 19460930     1.3
19461001 19461031     0.0
19461101 19461130    35.0
19461201 19461231    27.4
19470101 19470131     8.1
19470201 19470228    16.0
19470301 19470331    35.0
19470401 19470430     6.6
19470501 19470531     0.0
19470601 19470630    10.4
19470701 19470731     3.3
19470801 19470831     9.3
19470901 19470930     8.9
19471001 19471031    95.2
19471101 19471130    13.5
19471201 19471231     3.0
19480101 19480131     6.9
19480201 19480229    80.2
19480301 19480331     0.0
19480401 19480430     6.3
19480501 19480531     1.0
19480601 19480630     4.8
19480701 19480731     1.5
19480801 19480831     4.0
19480901 19480930     1.5
19481001 19481031     4.8
19481101 19481130     6.9
19481201 19481231    34.9
19490101 19490131     6.6
19490201 19490228    48.0
19490301 19490331     2.5
19490401 19490430     3.8
19490501 19490531    33.3
19490601 19490630     4.6
19490701 19490731     1.6
19490801 19490831     0.0
19490901 19490930    19.8
19491001 19491031    25.9
19491101 19491130    15.7
19491201 19491231     5.6
19500101 19500131     3.5
19500201 19500228    24.2
19500301 19500331     0.0
19500401 19500430     0.0
19500501 19500531    74.8
19500601 19500630    13.7
19500701 19500731     0.0
19500801 19500831     0.0
19500901 19500930     0.0
19501001 19501031    36.3
19501101 19501130    48.3
19501201 19501231    51.3
19510101 19510131     6.1
19510201 19510228     0.0
19510301 19510331     1.5
19510401 19510430    13.2
19510501 19510531     4.3
19510601 19510630    28.4
19510701 19510731     9.1
19510801 19510831     0.0
19510901 19510930    12.4
19511001 19511031     0.0
19511101 19511130     1.0
19511201 19511231     1.8
19520101 19520131     7.8
19520201 19520229     5.6
19520301 19520331     6.9
19520401 19520430     6.4
19520501 19520531    24.7
19520601 19520630     9.1
19520701 19520731    18.7
19520801 19520831    16.8
19520901 19520930     2.8
19521001 19521031    32.9
19521101 19521130    19.7
19521201 19521231    10.7
19530101 19530131    13.5
19530201 19530228    44.0
19530301 19530331     0.5
19530401 19530430    13.9
19530501 19530531     1.6
19530601 19530630     4.8
19530701 19530731     2.0
19530801 19530831    32.1
19530901 19530930     0.0
19531001 19531031     6.1
19531101 19531130     2.1
19531201 19531231    55.6
19540101 19540131    34.6
19540201 19540228     0.0
19540301 19540331     0.0
19540401 19540430    26.9
19540501 19540531     0.5
19540601 19540630    33.4
19540701 19540731     4.3
19540801 19540831     5.9
19540901 19540930     0.0
19541001 19541031    25.9
19541101 19541130    18.8
19541201 19541231    11.9
19550101 19550131     0.5
19550201 19550228    38.4
19550301 19550331    71.1
19550401 19550430     2.8
19550501 19550531    13.0
19550601 19550630    10.6
19550701 19550731    32.3
19550801 19550831    26.9
19550901 19550930     1.5
19551001 19551031     3.8
19551101 19551130    43.5
19551201 19551231     0.0
19560101 19560131     4.8
19560201 19560229     0.0
19560301 19560331     4.1
19560401 19560430     6.2
19560501 19560531    11.0
19560601 19560630    16.0
19560701 19560731    35.1
19560801 19560831     5.8
19560901 19560930     5.6
19561001 19561031    43.7
19561101 19561130     8.6
19561201 19561231     0.5
19570101 19570131     0.0
19570201 19570228     2.5
19570301 19570331    10.1
19570401 19570430     2.8
19570501 19570531     0.0
19570601 19570630    36.3
19570701 19570731     4.9
19570801 19570831     5.5
19570901 19570930     0.0
19571001 19571031     6.5
19571101 19571130     0.0
19571201 19571231    64.0
19580101 19580131     9.7
19580201 19580228     0.0
19580301 19580331    56.3
19580401 19580430     0.0
19580501 19580531    14.3
19580601 19580630    14.9
19580701 19580731    23.6
19580801 19580831    78.7
19580901 19580930    10.6
19581001 19581031    17.9
19581101 19581130    16.0
19581201 19581231    37.3
19590101 19590131     0.0
19590201 19590228     8.9
19590301 19590331    22.9
19590401 19590430     0.0
19590501 19590531    14.2
19590601 19590630     8.9
19590701 19590731    11.2
19590801 19590831     0.0
19590901 19590930    19.1
19591001 19591031    17.5
19591101 19591130    22.9
19591201 19591231    30.5
19600101 19600131    34.3
19600201 19600229    13.2
19600301 19600331     0.0
19600401 19600430     9.6
19600501 19600531    19.3
19600601 19600630     5.3
19600701 19600731     5.8
19600801 19600831    17.8
19600901 19600930    13.7
19601001 19601031     0.0
19601101 19601130     0.0
19601201 19601231    12.4
19610101 19610131     0.0
19610201 19610228     4.8
19610301 19610331     0.0
19610401 19610430    45.5
19610501 19610531     0.0
19610601 19610630     0.0
19610701 19610731     1.0
19610801 19610831     0.8
19610901 19610930     1.8
19611001 19611031     0.0
19611101 19611130     4.8
19611201 19611231     3.6
19620101 19620131     4.6
19620201 19620228    13.7
19620301 19620331     2.8
19620401 19620430     1.5
19620501 19620531    24.4
19620601 19620630     0.0
19620701 19620731    13.0
19620801 19620831     3.3
19620901 19620930    15.8
19621001 19621031    34.0
19621101 19621130     0.0
19621201 19621231     0.0
19630101 19630131     8.6
19630201 19630228     0.0
19630301 19630331    20.3
19630401 19630430    14.2
19630501 19630531    44.8
19630601 19630630    38.3
19630701 19630731    11.9
19630801 19630831     1.8
19630901 19630930     0.0
19631001 19631031     3.8
19631101 19631130     0.0
19631201 19631231     0.0
19640101 19640131     5.1
19640201 19640229     0.0
19640301 19640331     3.0
19640401 19640430    13.5
19640501 19640531     5.6
19640601 19640630     0.0
19640701 19640731     8.9
19640801 19640831     4.1
19640901 19640930    63.2
19641001 19641031    12.7
19641101 19641130    28.7
19641201 19641231     6.6
19650101 19650131     0.0
19650201 19650228     0.0
19650301 19650331     0.0
19650401 19650430     0.0
19650501 19650531    20.2
19650601 19650630    15.8
19650701 19650731     8.7
19650801 19650831    21.2
19650901 19650930     8.4
19651001 19651031    18.5
19651101 19651130    33.6
19651201 19651231    13.4
19660101 19660131     5.6
19660201 19660228    67.0
19660301 19660331    12.9
19660401 19660430     3.6
19660501 19660531    19.3
19660601 19660630    69.2
19660701 19660731     4.3
19660801 19660831     8.6
19660901 19660930     2.5
19661001 19661031     5.8
19661101 19661130    21.3
19661201 19661231    69.3
19670101 19670131     7.4
19670201 19670228     4.3
19670301 19670331     0.0
19670401 19670430     0.0
19670501 19670531     6.2
19670601 19670630     0.0
19670701 19670731     5.8
19670801 19670831     2.3
19670901 19670930     2.8
19671001 19671031     4.6
19671101 19671130     4.3
19671201 19671231     2.5
19680101 19680131   130.5
19680201 19680229     1.3
19680301 19680331     3.9
19680401 19680430    67.3
19680501 19680531    26.4
19680601 19680630    21.9
19680701 19680731    37.6
19680801 19680831     7.1
19680901 19680930    13.5
19681001 19681031     2.5
19681101 19681130    18.4
19681201 19681231     0.0
19690101 19690131    11.4
19690201 19690228    48.6
19690301 19690331    67.3
19690401 19690430     3.9
19690501 19690531    21.8
19690601 19690630    19.8
19690701 19690731     2.8
19690801 19690831     6.6
19690901 19690930    13.5
19691001 19691031     1.0
