PRCP       010133 19090101 20111231 missing_value=99999.9 WALK WALKIN                               
19301201 19301231    28.9
19310101 19310131     0.0
19310201 19310228     5.3
19310301 19310331     1.0
19310401 19310430    19.1
19310501 19310531    63.0
19310601 19310630    33.1
19310701 19310731    42.1
19310801 19310831    53.1
19310901 19310930    29.8
19311001 19311031     8.4
19311101 19311130     0.0
19311201 19311231    11.1
19320101 19320131    21.9
19320201 19320229     1.0
19320301 19320331    28.2
19320401 19320430    12.9
19320501 19320531    42.7
19320601 19320630    22.5
19320701 19320731    60.9
19320801 19320831    99.3
19320901 19320930    14.0
19321001 19321031    39.4
19321101 19321130     0.0
19321201 19321231     1.8
19330101 19330131     1.3
19330201 19330228    11.4
19330301 19330331    14.0
19330401 19330430     1.3
19330501 19330531    48.2
19330601 19330630    64.5
19330701 19330731    40.3
19330801 19330831    38.6
19330901 19330930    13.5
19331001 19331031    17.7
19331101 19331130    19.4
19331201 19331231    33.1
19340101 19340131    39.2
19340201 19340228     6.0
19340301 19340331    14.3
19340401 19340430    99.1
19340501 19340531    12.8
19340601 19340630    42.0
19340701 19340731    50.0
19340801 19340831    41.8
19340901 19340930    19.3
19341001 19341031     4.9
19341101 19341130    18.6
19341201 19341231     1.3
19350101 19350131    16.8
19350201 19350228    29.2
19350301 19350331     1.8
19350401 19350430    21.0
19350501 19350531     8.3
19350601 19350630    15.0
19350701 19350731    48.4
19350801 19350831    58.1
19350901 19350930    14.3
19351001 19351031     8.2
19351101 19351130     0.5
19351201 19351231     1.5
19360101 19360131     5.7
19360201 19360229     2.3
19360301 19360331    23.5
19360401 19360430     3.6
19360501 19360531    19.4
19360601 19360630    72.7
19360701 19360731    26.5
19360801 19360831    45.7
19360901 19360930    12.5
19361001 19361031     3.8
19361101 19361130     2.6
19361201 19361231    25.4
19370101 19370131     8.1
19370201 19370228     3.8
19370301 19370331     6.6
19370401 19370430    11.5
19370501 19370531    55.3
19370601 19370630    35.5
19370701 19370731     7.9
19370801 19370831    50.5
19370901 19370930    15.8
19371001 19371031     9.0
19371101 19371130    22.8
19371201 19371231     0.8
19380101 19380131     4.4
19380201 19380228     3.8
19380301 19380331    28.2
19380401 19380430    27.3
19380501 19380531    11.7
19380601 19380630    37.3
19380701 19380731    53.0
19380801 19380831    19.9
19380901 19380930    13.2
19381001 19381031    23.7
19381101 19381130    15.7
19381201 19381231     5.8
19390101 19390131     6.2
19390201 19390228   101.6
19390301 19390331     1.0
19390401 19390430     9.6
19390501 19390531    76.8
19390601 19390630    71.8
19390701 19390731    55.8
19390801 19390831    36.3
19390901 19390930     1.3
19391001 19391031    48.6
19391101 19391130    25.7
19391201 19391231     0.0
19400101 19400131     2.5
19400201 19400229     0.5
19400301 19400331     2.5
19400401 19400430     0.5
19400501 19400531    13.2
19400601 19400630    26.5
19400701 19400731    45.0
19400801 19400831     6.4
19400901 19400930    14.3
