PRCP       053018 18790601 20180131 missing_value=99999.9 CROPPA CREEK (KRUI PLAINS)                
19010401 19010430    30.5
19010501 19010531    50.3
19010601 19010630    55.2
19010701 19010731    17.2
19010801 19010831    52.3
19010901 19010930    11.4
19011001 19011031    39.3
19011101 19011130    82.0
19011201 19011231     3.8
19020101 19020131    22.0
19020201 19020228    12.0
19020301 19020331     2.3
19020401 19020430     0.0
19020501 19020531     0.0
19020601 19020630    10.9
19020701 19020731     1.0
19020801 19020831    59.7
19020901 19020930     1.3
19021001 19021031    33.1
19021101 19021130    16.0
19021201 19021231    42.7
19030101 19030131    44.6
19030201 19030228    12.7
19030301 19030331    68.7
19030401 19030430    20.6
19030501 19030531    85.8
19030601 19030630    61.1
19030701 19030731    90.9
19030801 19030831    43.1
19030901 19030930   122.4
19031001 19031031    60.9
19031101 19031130    58.2
19031201 19031231   129.7
19040101 19040131    32.0
19040201 19040229    77.8
19040301 19040331   147.7
19040401 19040430    12.6
19040501 19040531    61.6
19040601 19040630    11.4
19040701 19040731    30.2
19040801 19040831    16.4
19040901 19040930    45.5
19041001 19041031    81.7
19041101 19041130    17.1
19041201 19041231    12.7
19050101 19050131    43.8
19050201 19050228    67.4
19050301 19050331    21.1
19050401 19050430   116.6
19050501 19050531    28.9
19050601 19050630    11.7
19050701 19050731    15.7
19050801 19050831    31.0
19050901 19050930     0.0
19051001 19051031    35.8
19051101 19051130    34.0
19051201 19051231    10.3
19060101 19060131    27.8
19060201 19060228    98.9
19060301 19060331   115.7
19060401 19060430     8.8
19060501 19060531    14.9
19060601 19060630    32.2
19060701 19060731    10.9
19060801 19060831    69.6
19060901 19060930   100.9
19061001 19061031    52.4
19061101 19061130    10.5
19061201 19061231     7.0
19070101 19070131   123.2
19070201 19070228    13.9
19070301 19070331    81.0
19070401 19070430    26.0
19070501 19070531    27.5
19070601 19070630    31.7
19070701 19070731    17.6
19070801 19070831    46.1
19070901 19070930     3.3
19071001 19071031    22.9
19071101 19071130    87.0
19071201 19071231    91.2
19080101 19080131     8.5
19080201 19080229   160.7
19080301 19080331   172.9
19080401 19080430    34.5
19080501 19080531     0.5
19080601 19080630    28.4
19080701 19080731     9.5
19080801 19080831    64.2
19080901 19080930    50.5
19081001 19081031    33.1
19081101 19081130    84.3
19081201 19081231    38.3
19090101 19090131    73.0
19090201 19090228   153.0
19090301 19090331    27.5
19090401 19090430    14.8
19090501 19090531    16.4
19090601 19090630   104.3
19090701 19090731    20.4
19090801 19090831    77.2
19090901 19090930    17.1
19091001 19091031    40.9
19091101 19091130    49.4
19091201 19091231    84.5
19100101 19100131   215.5
19100201 19100228     2.1
19100301 19100331   149.7
19100401 19100430    23.5
19100501 19100531    11.9
19100601 19100630    69.2
19100701 19100731    37.1
19100801 19100831    14.1
19100901 19100930     7.3
19101001 19101031    50.3
19101101 19101130    39.5
19101201 19101231    66.3
19110101 19110131   115.5
19110201 19110228   132.0
19110301 19110331    37.0
19110401 19110430     7.5
19110501 19110531    37.3
19110601 19110630     5.8
19110701 19110731    24.4
19110801 19110831    36.6
19110901 19110930    42.5
19111001 19111031    16.9
19111101 19111130    45.3
19111201 19111231    33.1
19120101 19120131    33.9
19120201 19120229    25.7
19120301 19120331    83.3
19120401 19120430     0.0
19120501 19120531     2.0
19120601 19120630    98.2
19120701 19120731    57.0
19120801 19120831    39.5
19120901 19120930    27.1
19121001 19121031    75.9
19121101 19121130    41.8
19121201 19121231     0.3
19130101 19130131    72.4
19130201 19130228    16.1
19130301 19130331   133.7
19130401 19130430    69.8
19130501 19130531   139.8
19130601 19130630    68.9
19130701 19130731    10.1
19130801 19130831     3.8
19130901 19130930    15.2
19131001 19131031    32.0
19131101 19131130    13.1
19131201 19131231    73.4
19140101 19140131    16.8
19140201 19140228    81.0
19140301 19140331    85.7
19140401 19140430    53.9
19140501 19140531   189.4
19140601 19140630    15.1
19140701 19140731    40.1
19140801 19140831     5.3
19140901 19140930     0.0
19141001 19141031    44.7
19141101 19141130    29.6
19141201 19141231    86.6
19150101 19150131    20.6
19150201 19150228    23.1
19150301 19150331     3.3
19150401 19150430     6.9
19150501 19150531    69.4
19150601 19150630    22.4
19150701 19150731    50.9
19150801 19150831     1.5
19150901 19150930    25.9
19151001 19151031    22.9
19151101 19151130    12.5
19151201 19151231    70.5
19160101 19160131    45.2
19160201 19160229    91.1
19160301 19160331    26.1
