PRCP       053018 18790601 20180131 missing_value=99999.9 CROPPA CREEK (KRUI PLAINS)                
19740801 19740831    27.3
19740901 19740930    10.0
19741001 19741031    25.8
19741101 19741130    61.2
19741201 19741231    14.4
19750101 19750131    22.6
19750201 19750228   130.4
19750301 19750331    99.6
19750401 19750430    13.4
19750501 19750531     0.4
19750601 19750630    35.4
19750701 19750731    47.0
19750801 19750831    27.6
19750901 19750930    16.6
19751001 19751031    92.2
19751101 19751130    49.6
19751201 19751231    67.6
19760101 19760131    65.4
19760201 19760229   372.6
19760301 19760331    67.0
19760401 19760430     2.0
19760501 19760531    17.4
19760601 19760630    46.8
19760701 19760731    36.4
19760801 19760831     9.8
19760901 19760930    84.2
19761001 19761031    56.8
19761101 19761130    66.8
19761201 19761231    51.0
19770101 19770131    74.6
19770201 19770228   149.8
19770301 19770331    67.8
19770401 19770430    61.7
19770501 19770531    95.9
19770601 19770630     6.4
19770701 19770731     7.2
19770801 19770831    15.0
19770901 19770930    22.2
19771001 19771031    22.0
19771101 19771130    26.8
19771201 19771231    21.0
19780101 19780131   133.6
19780201 19780228    19.6
19780301 19780331    35.6
19780401 19780430    10.0
19780501 19780531    82.8
19780601 19780630    83.0
19780701 19780731    42.6
19780801 19780831    42.2
19780901 19780930    84.2
19781001 19781031    30.2
19781101 19781130    81.6
19781201 19781231   107.0
19790101 19790131    16.4
19790201 19790228    21.2
19790301 19790331    67.2
19790401 19790430    20.4
19790501 19790531    64.8
19790601 19790630    37.0
19790701 19790731     9.8
19790801 19790831    13.8
19790901 19790930    41.2
19791001 19791031   108.6
19791101 19791130    91.4
19791201 19791231     8.8
19800101 19800131    56.6
19800201 19800229    13.2
19800301 19800331     6.6
19800401 19800430     6.2
19800501 19800531    35.0
19800601 19800630     6.2
19800701 19800731    24.6
19800801 19800831     8.6
19800901 19800930     0.0
19801001 19801031   101.6
19801101 19801130    28.8
19801201 19801231    75.2
19810101 19810131     9.6
19810201 19810228    44.2
19810301 19810331     8.8
19810401 19810430    15.0
19810501 19810531    44.7
19810601 19810630    71.8
19810701 19810731    91.8
19810801 19810831     8.8
19810901 19810930     7.6
19811001 19811031    36.2
19811101 19811130    55.8
19811201 19811231    75.8
19820101 19820131    77.9
19820201 19820228    27.0
19820301 19820331   194.5
19820401 19820430     7.4
19820501 19820531    23.8
19820601 19820630     5.4
19820701 19820731    24.4
19820801 19820831     0.0
19820901 19820930    34.2
19821001 19821031    29.2
19821101 19821130     0.2
19821201 19821231    43.0
19830101 19830131    80.8
19830201 19830228     2.8
19830301 19830331    58.6
19830401 19830430   104.0
19830501 19830531   163.6
19830601 19830630    67.6
19830701 19830731    27.2
19830801 19830831    41.0
19830901 19830930    65.4
19831001 19831031    73.0
19831101 19831130   102.8
19831201 19831231    42.0
19840101 19840131   207.0
19840201 19840229    74.8
19840301 19840331    36.6
19840401 19840430    83.2
19840501 19840531    15.4
19840601 19840630    51.4
19840701 19840731   166.4
19840801 19840831    24.6
19840901 19840930    37.0
19841001 19841031    75.8
19841101 19841130    30.4
19841201 19841231    29.8
19850101 19850131    30.6
19850201 19850228    28.2
19850301 19850331    58.0
19850401 19850430    33.4
19850501 19850531    24.0
19850601 19850630     6.4
19850701 19850731    80.2
19850801 19850831    80.6
19850901 19850930    18.2
19851001 19851031    61.0
19851101 19851130    86.4
19851201 19851231   108.2
19860101 19860131    58.4
19860201 19860228    27.4
19860301 19860331     0.4
19860401 19860430     2.6
19860501 19860531    23.0
19860601 19860630     1.2
19860701 19860731    74.9
19860801 19860831    48.4
19860901 19860930    46.6
19861001 19861031    26.2
19861101 19861130   106.6
19861201 19861231    19.2
19870101 19870131    61.0
19870201 19870228    40.2
19870301 19870331    27.6
19870401 19870430     1.0
19870501 19870531    93.2
19870601 19870630    14.8
19870701 19870731    39.8
19870801 19870831    57.4
19870901 19870930     3.8
19871001 19871031    51.8
19871101 19871130    49.8
19871201 19871231    82.2
19880101 19880131   100.4
19880201 19880229    94.0
19880301 19880331    11.0
19880401 19880430   335.4
19880501 19880531    22.6
19880601 19880630    20.4
19880701 19880731    68.8
19880801 19880831    39.4
19880901 19880930    60.0
19881001 19881031    10.4
19881101 19881130    55.6
19881201 19881231    32.6
19890101 19890131    93.2
19890201 19890228    30.8
19890301 19890331   130.9
19890401 19890430    89.0
19890501 19890531    83.0
19890601 19890630    47.6
19890701 19890731    41.9
19890801 19890831     3.0
19890901 19890930     0.0
19891001 19891031    17.6
19891101 19891130    66.2
19891201 19891231    77.2
19900101 19900131    45.2
19900201 19900228    50.8
19900301 19900331    20.0
19900401 19900430   137.4
19900501 19900531    62.8
19900601 19900630    39.8
19900701 19900731    26.2
19900801 19900831     9.8
19900901 19900930    19.6
19901001 19901031    22.8
19901101 19901130     9.2
19901201 19901231    48.0
19910101 19910131   110.2
19910201 19910228    43.2
19910301 19910331    41.4
19910401 19910430     3.4
19910501 19910531    73.2
19910601 19910630    16.0
19910701 19910731    35.0
19910801 19910831     0.0
19910901 19910930     1.8
19911001 19911031     5.0
19911101 19911130    50.2
19911201 19911231   117.4
19920101 19920131    26.2
19920201 19920229   173.6
19920301 19920331     1.8
19920401 19920430    37.0
19920501 19920531    19.0
19920601 19920630     3.8
19920701 19920731    38.2
19920801 19920831    60.2
19920901 19920930     9.2
19921001 19921031    33.2
19921101 19921130    34.4
19921201 19921231    50.0
19930101 19930131    31.2
19930201 19930228   113.4
19930301 19930331    24.6
19930401 19930430     0.0
19930501 19930531    15.2
19930601 19930630    56.6
19930701 19930731    70.4
19930801 19930831    36.0
19930901 19930930    43.8
19931001 19931031    71.2
19931101 19931130    10.4
19931201 19931231    74.2
19940101 19940131    26.0
19940201 19940228   164.8
19940301 19940331    48.6
19940401 19940430     1.6
19940501 19940531     3.6
19940601 19940630    15.6
19940701 19940731     2.4
19940801 19940831    41.8
19940901 19940930     5.4
19941001 19941031    18.4
19941101 19941130    40.8
19941201 19941231    35.2
19950101 19950131   246.4
19950201 19950228    67.4
19950301 19950331    53.6
19950401 19950430     1.4
19950501 19950531    46.0
19950601 19950630    54.4
19950701 19950731     5.0
19950801 19950831     0.2
19950901 19950930    43.8
19951001 19951031    51.4
19951101 19951130   155.4
19951201 19951231    54.4
19960101 19960131   322.2
19960201 19960229    60.6
19960301 19960331    16.2
19960401 19960430    40.6
19960501 19960531    58.8
19960601 19960630    34.2
19960701 19960731    58.4
19960801 19960831    59.8
19960901 19960930    56.8
19961001 19961031    50.4
19961101 19961130    34.2
19961201 19961231   119.2
19970101 19970131   122.6
19970201 19970228   103.2
19970301 19970331    29.2
19970401 19970430     0.2
19970501 19970531    70.0
19970601 19970630    14.8
19970701 19970731     6.8
19970801 19970831 99999.9
19970901 19970930    19.0
19971001 19971031    56.2
19971101 19971130    45.4
19971201 19971231   121.6
19980101 19980131    32.8
19980201 19980228    20.2
19980301 19980331    30.2
19980401 19980430    42.6
19980501 19980531   124.8
19980601 19980630    66.4
19980701 19980731   127.0
19980801 19980831   168.4
19980901 19980930    91.2
19981001 19981031    68.4
19981101 19981130    46.6
19981201 19981231    62.2
19990101 19990131   131.8
19990201 19990228    54.4
19990301 19990331   113.6
19990401 19990430    10.4
19990501 19990531     8.4
19990601 19990630    50.6
19990701 19990731 99999.9
19990801 19990831    35.8
19990901 19990930    20.2
19991001 19991031   102.0
19991101 19991130   112.4
19991201 19991231    79.2
20000101 20000131    53.8
20000201 20000229    52.0
20000301 20000331   135.6
20000401 20000430    21.4
20000501 20000531    39.2
20000601 20000630     9.0
20000701 20000731     8.2
20000801 20000831    18.4
20000901 20000930     4.6
20001001 20001031    51.4
20001101 20001130   197.4
20001201 20001231    11.4
20010101 20010131    46.0
20010201 20010228   121.0
20010301 20010331   141.0
20010401 20010430    17.4
20010501 20010531    24.8
20010601 20010630    21.0
20010701 20010731    72.6
20010801 20010831    10.0
20010901 20010930     9.6
20011001 20011031    46.0
20011101 20011130    61.2
20011201 20011231    42.8
20020101 20020131    13.8
20020201 20020228    45.8
20020301 20020331    57.0
20020401 20020430     0.4
20020501 20020531     6.8
20020601 20020630     9.0
20020701 20020731     3.4
20020801 20020831    44.0
20020901 20020930    17.8
20021001 20021031    55.0
20021101 20021130    18.6
20021201 20021231    84.4
20030101 20030131     8.4
20030201 20030228    56.8
20030301 20030331    74.2
20030401 20030430    69.2
20030501 20030531     0.6
20030601 20030630    11.2
20030701 20030731    43.4
20030801 20030831    26.8
20030901 20030930     0.6
20031001 20031031    62.0
20031101 20031130    41.6
20031201 20031231   139.0
20040101 20040131   144.8
20040201 20040229    44.4
20040301 20040331   209.8
20040401 20040430    52.6
20040501 20040531    24.0
20040601 20040630     7.8
20040701 20040731    19.4
20040801 20040831    25.4
20040901 20040930    49.8
20041001 20041031    56.2
20041101 20041130   145.4
20041201 20041231   124.6
20050101 20050131    36.0
20050201 20050228    18.2
20050301 20050331    10.0
20050401 20050430     2.4
20050501 20050531    21.0
20050601 20050630   163.8
20050701 20050731     8.4
20050801 20050831     9.0
20050901 20050930    23.2
20051001 20051031    64.4
20051101 20051130   112.0
20051201 20051231    51.8
20060101 20060131   109.4
20060201 20060228   105.8
20060301 20060331    47.0
20060401 20060430     7.2
20060501 20060531     1.0
20060601 20060630    30.4
20060701 20060731    40.0
20060801 20060831     0.4
20060901 20060930    26.8
20061001 20061031     8.2
20061101 20061130    51.6
20061201 20061231     6.6
20070101 20070131    45.8
20070201 20070228    42.0
20070301 20070331    18.6
20070401 20070430    30.4
20070501 20070531    27.8
20070601 20070630    35.4
20070701 20070731     3.2
20070801 20070831    43.0
20070901 20070930     0.6
20071001 20071031    76.0
20071101 20071130 99999.9
20071201 20071231   133.2
20080101 20080131 99999.9
20080201 20080229    99.2
20080301 20080331     0.4
20080401 20080430     3.6
20080501 20080531    15.8
20080601 20080630    36.2
20080701 20080731    43.6
20080801 20080831     3.0
20080901 20080930    60.8
20081001 20081031    13.6
20081101 20081130    85.8
20081201 20081231    81.8
20090101 20090131 99999.9
20090201 20090228   200.8
20090301 20090331     0.2
20090401 20090430    29.4
20090501 20090531    69.0
20090601 20090630    13.6
20090701 20090731 99999.9
20090801 20090831     0.0
20090901 20090930    48.2
20091001 20091031    11.4
20091101 20091130     8.6
20091201 20091231    59.0
20100101 20100131    37.6
20100201 20100228    73.2
20100301 20100331   112.2
20100401 20100430     3.4
20100501 20100531    20.4
20100601 20100630     8.2
20100701 20100731    86.4
20100801 20100831    43.2
20100901 20100930   133.0
20101001 20101031    68.4
20101101 20101130   100.6
20101201 20101231    69.4
20110101 20110131    69.0
20110201 20110228    74.6
20110301 20110331    29.0
20110401 20110430    76.4
20110501 20110531    34.6
20110601 20110630    20.4
20110701 20110731    14.8
20110801 20110831    46.6
20110901 20110930    71.4
20111001 20111031    37.0
20111101 20111130   218.6
20111201 20111231   192.0
20120101 20120131 99999.9
20120201 20120229   117.0
20120301 20120331    35.8
20120401 20120430    32.2
20120501 20120531    42.6
20120601 20120630    22.2
20120701 20120731    65.8
20120801 20120831     1.6
20120901 20120930    13.4
20121001 20121031    12.4
20121101 20121130 99999.9
20121201 20121231    44.4
20130101 20130131   175.2
20130201 20130228    42.8
20130301 20130331    92.6
20130401 20130430    11.0
20130501 20130531    23.0
20130601 20130630    37.0
20130701 20130731    20.0
20130801 20130831    10.4
20130901 20130930    22.6
20131001 20131031    11.0
20131101 20131130    60.2
20131201 20131231     4.4
20140101 20140131    44.4
20140201 20140228    24.0
20140301 20140331    87.8
20140401 20140430     7.6
20140501 20140531    22.8
20140601 20140630    26.2
20140701 20140731     5.2
20140801 20140831    55.2
20140901 20140930    26.8
20141001 20141031     2.8
20141101 20141130     9.8
20141201 20141231    68.0
20150101 20150131   137.6
20150201 20150228    11.2
20150301 20150331    51.6
20150401 20150430    89.6
20150501 20150531    37.6
20150601 20150630    51.2
20150701 20150731    49.0
20150801 20150831    14.0
20150901 20150930     1.0
20151001 20151031    36.2
20151101 20151130    13.2
20151201 20151231    71.1
20160101 20160131   111.8
20160201 20160229    31.2
20160301 20160331     6.8
20160401 20160430    12.0
20160501 20160531    27.4
20160601 20160630    68.6
20160701 20160731    28.0
20160801 20160831    50.2
20160901 20160930    93.2
20161001 20161031    49.6
20161101 20161130    17.6
20161201 20161231    55.4
20170101 20170131    67.2
20170201 20170228    39.4
20170301 20170331    85.5
20170401 20170430    32.2
20170501 20170531    32.0
20170601 20170630    30.8
20170701 20170731     5.4
20170801 20170831     0.0
20170901 20170930     0.2
20171001 20171031   105.2
20171101 20171130    74.4
20171201 20171231    40.4
20180101 20180131     8.4
