PRCP       036007 18861201 20180131 missing_value=99999.9 BARCALDINE POST OFFICE                    
19820101 19820131    83.0
19820201 19820228    41.2
19820301 19820331    76.1
19820401 19820430     1.4
19820501 19820531     0.0
19820601 19820630     0.0
19820701 19820731     3.8
19820801 19820831     0.0
19820901 19820930     0.2
19821001 19821031     0.0
19821101 19821130    11.8
19821201 19821231    22.2
19830101 19830131    60.0
19830201 19830228     5.5
19830301 19830331    27.2
19830401 19830430   106.5
19830501 19830531   255.0
19830601 19830630    39.1
19830701 19830731     2.0
19830801 19830831    33.8
19830901 19830930     3.0
19831001 19831031     9.3
19831101 19831130    99.6
19831201 19831231    43.6
19840101 19840131   137.8
19840201 19840229    69.2
19840301 19840331    28.8
19840401 19840430     2.0
19840501 19840531     7.8
19840601 19840630     8.3
19840701 19840731   171.6
19840801 19840831     5.4
19840901 19840930    13.2
19841001 19841031    12.2
19841101 19841130    28.2
19841201 19841231    83.8
19850101 19850131    34.3
19850201 19850228    21.7
19850301 19850331     0.6
19850401 19850430    15.6
19850501 19850531     4.2
19850601 19850630    37.2
19850701 19850731    16.9
19850801 19850831    25.8
19850901 19850930     0.9
19851001 19851031    49.2
19851101 19851130   147.2
19851201 19851231    49.8
19860101 19860131    10.0
19860201 19860228    26.0
19860301 19860331     1.4
19860401 19860430     7.0
19860501 19860531     7.8
19860601 19860630    11.2
19860701 19860731    37.6
19860801 19860831    41.8
19860901 19860930     2.9
19861001 19861031    35.6
19861101 19861130    10.6
19861201 19861231    23.3
19870101 19870131   111.4
19870201 19870228    34.6
19870301 19870331    53.0
19870401 19870430     6.7
19870501 19870531    46.2
19870601 19870630    43.4
19870701 19870731     3.8
19870801 19870831     8.8
19870901 19870930     9.8
19871001 19871031    23.0
19871101 19871130    49.6
19871201 19871231    19.6
19880101 19880131     2.8
19880201 19880229    12.6
19880301 19880331     6.2
19880401 19880430    33.8
19880501 19880531    11.8
19880601 19880630     0.0
19880701 19880731    40.6
19880801 19880831    58.0
19880901 19880930     0.6
19881001 19881031     0.0
19881101 19881130     4.8
19881201 19881231    73.4
19890101 19890131    10.8
19890201 19890228   126.6
19890301 19890331    61.0
19890401 19890430    69.6
19890501 19890531    42.4
19890601 19890630    12.8
19890701 19890731    27.0
19890801 19890831     0.0
19890901 19890930     1.2
19891001 19891031    12.6
19891101 19891130    55.4
19891201 19891231    49.8
19900101 19900131     7.9
19900201 19900228    13.4
19900301 19900331   128.1
19900401 19900430   333.6
19900501 19900531    93.8
19900601 19900630    35.1
19900701 19900731     2.0
19900801 19900831     6.6
19900901 19900930     0.8
19901001 19901031     8.8
19901101 19901130    11.8
19901201 19901231    47.9
19910101 19910131   128.3
19910201 19910228   147.0
19910301 19910331     2.8
19910401 19910430     3.5
19910501 19910531     0.0
19910601 19910630     0.8
19910701 19910731     8.0
19910801 19910831     0.0
19910901 19910930     0.6
19911001 19911031     6.4
19911101 19911130     7.8
19911201 19911231    44.8
19920101 19920131    15.2
19920201 19920229   199.2
19920301 19920331    10.4
19920401 19920430    43.0
19920501 19920531    50.0
19920601 19920630     0.0
19920701 19920731     0.0
19920801 19920831    16.5
19920901 19920930    35.8
19921001 19921031    19.2
19921101 19921130    15.5
19921201 19921231    47.4
19930101 19930131    23.0
19930201 19930228    58.0
19930301 19930331     8.8
19930401 19930430     0.4
19930501 19930531     2.2
19930601 19930630     7.8
19930701 19930731    64.8
19930801 19930831    20.3
19930901 19930930    29.0
19931001 19931031    46.2
19931101 19931130    26.8
19931201 19931231    47.4
19940101 19940131    11.4
19940201 19940228    67.2
19940301 19940331   114.4
19940401 19940430     0.6
19940501 19940531     0.0
19940601 19940630     0.0
19940701 19940731     1.6
19940801 19940831     0.0
19940901 19940930     0.0
19941001 19941031    20.6
19941101 19941130    14.0
19941201 19941231     6.0
19950101 19950131    71.8
19950201 19950228   103.4
19950301 19950331     6.6
19950401 19950430     5.6
19950501 19950531     0.0
19950601 19950630     1.6
19950701 19950731     0.6
19950801 19950831     8.8
19950901 19950930    19.0
19951001 19951031    21.5
19951101 19951130    32.2
19951201 19951231    19.7
19960101 19960131   195.5
19960201 19960229    10.4
19960301 19960331    62.0
19960401 19960430     4.7
19960501 19960531     8.2
19960601 19960630     4.0
19960701 19960731    36.9
19960801 19960831    22.4
19960901 19960930    41.5
19961001 19961031    65.9
19961101 19961130    12.2
19961201 19961231    49.2
19970101 19970131   149.5
19970201 19970228   173.0
19970301 19970331    71.6
19970401 19970430     0.0
19970501 19970531    19.9
19970601 19970630     2.2
19970701 19970731     2.6
19970801 19970831    21.2
19970901 19970930    21.5
19971001 19971031    13.6
19971101 19971130    15.2
19971201 19971231   196.9
19980101 19980131    62.6
19980201 19980228    58.3
19980301 19980331     0.0
19980401 19980430    97.4
19980501 19980531    82.2
19980601 19980630    50.9
19980701 19980731    12.0
19980801 19980831    74.7
19980901 19980930    55.8
19981001 19981031    96.6
19981101 19981130    67.0
19981201 19981231    92.4
19990101 19990131    93.3
19990201 19990228    12.8
19990301 19990331    72.6
19990401 19990430    79.6
19990501 19990531    42.5
19990601 19990630     8.6
19990701 19990731     6.6
19990801 19990831     0.0
19990901 19990930     0.4
19991001 19991031    49.4
19991101 19991130   126.5
19991201 19991231    38.4
20000101 20000131    55.2
20000201 20000229   130.4
20000301 20000331    32.4
20000401 20000430    63.4
20000501 20000531    76.8
20000601 20000630    24.0
20000701 20000731     3.6
20000801 20000831    10.4
20000901 20000930     2.2
20001001 20001031    13.6
20001101 20001130   247.9
20001201 20001231   190.7
20010101 20010131    73.0
20010201 20010228    49.0
20010301 20010331    40.4
20010401 20010430    23.0
20010501 20010531     0.0
20010601 20010630     3.6
20010701 20010731    37.7
20010801 20010831     0.0
20010901 20010930     5.4
20011001 20011031    16.8
20011101 20011130   162.1
20011201 20011231   122.2
20020101 20020131    86.9
20020201 20020228    28.0
20020301 20020331    18.0
20020401 20020430    12.6
20020501 20020531     0.0
20020601 20020630     0.4
20020701 20020731     0.0
20020801 20020831    20.4
20020901 20020930     0.0
20021001 20021031     0.0
20021101 20021130     1.2
20021201 20021231     8.2
20030101 20030131     8.2
20030201 20030228   166.0
20030301 20030331    19.4
20030401 20030430    10.6
20030501 20030531     0.4
20030601 20030630     2.8
20030701 20030731     4.2
20030801 20030831    10.0
20030901 20030930     0.0
20031001 20031031    27.3
20031101 20031130     4.4
20031201 20031231    80.8
20040101 20040131   227.1
20040201 20040229    54.6
20040301 20040331     0.0
20040401 20040430    33.4
20040501 20040531     0.8
20040601 20040630     0.0
20040701 20040731     0.0
20040801 20040831     6.7
20040901 20040930    19.4
20041001 20041031     3.8
20041101 20041130    74.2
20041201 20041231    93.8
20050101 20050131    45.8
20050201 20050228    57.4
20050301 20050331     9.6
20050401 20050430     0.0
20050501 20050531    20.6
20050601 20050630   119.2
20050701 20050731     0.2
20050801 20050831     6.2
20050901 20050930    20.2
20051001 20051031    80.8
20051101 20051130    19.2
20051201 20051231    17.8
20060101 20060131    47.4
20060201 20060228    53.0
20060301 20060331    33.2
20060401 20060430    98.0
20060501 20060531    10.2
20060601 20060630     0.6
20060701 20060731    19.8
20060801 20060831     5.6
20060901 20060930     4.2
20061001 20061031     2.0
20061101 20061130    23.2
20061201 20061231    69.9
20070101 20070131   107.2
20070201 20070228    52.5
20070301 20070331    55.5
20070401 20070430     3.8
20070501 20070531     3.5
20070601 20070630    93.4
20070701 20070731     0.0
20070801 20070831    17.2
20070901 20070930     2.4
20071001 20071031     6.8
20071101 20071130   158.3
20071201 20071231   196.6
20080101 20080131    82.0
20080201 20080229    42.0
20080301 20080331     6.6
20080401 20080430     0.0
20080501 20080531    18.2
20080601 20080630    21.4
20080701 20080731    46.4
20080801 20080831     0.0
20080901 20080930    76.7
20081001 20081031    50.2
20081101 20081130    43.8
20081201 20081231    26.6
20090101 20090131   109.4
20090201 20090228   130.1
20090301 20090331    16.9
20090401 20090430    24.9
20090501 20090531     3.1
20090601 20090630    11.0
20090701 20090731     0.0
20090801 20090831     0.2
20090901 20090930    10.1
20091001 20091031    27.1
20091101 20091130    34.9
20091201 20091231   144.2
20100101 20100131   268.9
20100201 20100228   210.5
20100301 20100331    39.5
20100401 20100430    22.6
20100501 20100531    14.9
20100601 20100630     4.8
20100701 20100731    17.0
20100801 20100831    48.9
20100901 20100930   152.6
20101001 20101031    41.1
20101101 20101130   285.3
20101201 20101231   227.7
20110101 20110131    29.6
20110201 20110228    19.6
20110301 20110331   136.5
20110401 20110430    52.7
20110501 20110531     1.8
20110601 20110630    32.2
20110701 20110731     2.0
20110801 20110831     0.0
20110901 20110930     0.1
20111001 20111031     6.8
20111101 20111130    80.1
20111201 20111231    63.2
20120101 20120131   188.4
20120201 20120229    89.2
20120301 20120331    95.1
20120401 20120430     5.8
20120501 20120531    62.0
20120601 20120630    56.4
20120701 20120731    34.8
20120801 20120831     0.0
20120901 20120930     8.2
20121001 20121031    21.2
20121101 20121130     8.4
20121201 20121231    54.4
20130101 20130131    25.4
20130201 20130228    61.2
20130301 20130331    50.6
20130401 20130430    14.4
20130501 20130531    14.9
20130601 20130630     2.5
20130701 20130731     2.8
20130801 20130831     0.0
20130901 20130930     0.8
20131001 20131031     4.0
20131101 20131130     7.0
20131201 20131231     3.6
20140101 20140131   100.2
20140201 20140228   252.5
20140301 20140331     5.1
20140401 20140430     0.8
20140501 20140531     0.0
20140601 20140630    19.4
20140701 20140731     0.6
20140801 20140831    51.5
20140901 20140930    25.6
20141001 20141031     9.2
20141101 20141130    10.6
20141201 20141231   105.6
20150101 20150131    66.3
20150201 20150228    28.4
20150301 20150331   104.7
20150401 20150430    10.9
20150501 20150531     1.6
20150601 20150630    45.4
20150701 20150731     0.0
20150801 20150831     4.2
20150901 20150930     0.8
20151001 20151031    58.6
20151101 20151130   118.4
20151201 20151231    27.0
20160101 20160131    38.8
20160201 20160229    79.7
20160301 20160331    29.4
20160401 20160430     1.8
20160501 20160531     0.8
20160601 20160630   159.4
20160701 20160731    42.7
20160801 20160831    40.9
20160901 20160930   151.6
20161001 20161031     5.1
20161101 20161130    40.9
20161201 20161231    33.8
20170101 20170131    66.6
20170201 20170228    68.0
20170301 20170331    16.0
20170401 20170430     0.0
20170501 20170531     7.0
20170601 20170630     0.0
20170701 20170731    17.0
20170801 20170831     0.0
20170901 20170930     0.0
20171001 20171031    12.4
20171101 20171130    20.8
20171201 20171231    23.0
20180101 20180131    23.4
