PRCP       041013 19030101 20171231 missing_value=99999.9 CANNING DOWNS                             
19990201 19990228    48.6
19990301 19990331   145.0
19990401 19990430    47.2
19990501 19990531    36.0
19990601 19990630    12.8
19990701 19990731    80.4
19990801 19990831    29.4
19990901 19990930    20.6
19991001 19991031   156.2
19991101 19991130   120.8
19991201 19991231   119.2
20000101 20000131    83.0
20000201 20000229    42.4
20000301 20000331    17.4
20000401 20000430     5.6
20000501 20000531    33.8
20000601 20000630    33.8
20000701 20000731     6.8
20000801 20000831     4.8
20000901 20000930     6.8
20001001 20001031    56.4
20001101 20001130    62.6
20001201 20001231    56.8
20010101 20010131    22.0
20010201 20010228    88.6
20010301 20010331   104.0
20010401 20010430    33.6
20010501 20010531    36.4
20010601 20010630     2.8
20010701 20010731    23.4
20010801 20010831    10.2
20010901 20010930    25.6
20011001 20011031   104.2
20011101 20011130   127.8
20011201 20011231    43.6
20020101 20020131    25.2
20020201 20020228    82.6
20020301 20020331    84.8
20020401 20020430     0.4
20020501 20020531     9.4
20020601 20020630    47.6
20020701 20020731     1.6
20020801 20020831    27.2
20020901 20020930     5.4
20021001 20021031    15.6
20021101 20021130    30.6
20021201 20021231    76.4
20030101 20030131    29.6
20030201 20030228   109.6
20030301 20030331    37.8
20030401 20030430    52.2
20030501 20030531    29.6
20030601 20030630    58.0
20030701 20030731    25.8
20030801 20030831    10.8
20030901 20030930     2.0
20031001 20031031   107.4
20031101 20031130    18.8
20031201 20031231   100.8
20040101 20040131   154.6
20040201 20040229    95.0
20040301 20040331    44.2
20040401 20040430    50.0
20040501 20040531     5.4
20040601 20040630     2.8
20040701 20040731    11.0
20040801 20040831    27.4
20040901 20040930    24.6
20041001 20041031    63.0
20041101 20041130    83.2
20041201 20041231    67.8
20050101 20050131   110.0
20050201 20050228    34.0
20050301 20050331    11.6
20050401 20050430     0.0
20050501 20050531    33.4
20050601 20050630   102.2
20050701 20050731     8.6
20050801 20050831     8.2
20050901 20050930    39.4
20051001 20051031   109.0
20051101 20051130    62.4
20051201 20051231    83.0
20060101 20060131    91.2
20060201 20060228    56.8
20060301 20060331    51.8
20060401 20060430    45.8
20060501 20060531     9.6
20060601 20060630     5.2
20060701 20060731    47.2
20060801 20060831    16.0
20060901 20060930    48.6
20061001 20061031     0.0
20061101 20061130   143.5
20061201 20061231    65.6
20070101 20070131    33.4
20070201 20070228    32.8
20070301 20070331    47.8
20070401 20070430    21.8
20070501 20070531     4.4
20070601 20070630    48.6
20070701 20070731     0.0
20070801 20070831    47.4
20070901 20070930    25.4
20071001 20071031   128.8
20071101 20071130    97.8
20071201 20071231    58.8
20080101 20080131   109.2
20080201 20080229   144.6
20080301 20080331    17.8
20080401 20080430    19.8
20080501 20080531     7.2
20080601 20080630    28.8
20080701 20080731    44.2
20080801 20080831    11.4
20080901 20080930    46.8
20081001 20081031    14.4
20081101 20081130   197.0
20081201 20081231    72.8
20090101 20090131    61.6
20090201 20090228    48.4
20090301 20090331    29.0
20090401 20090430    39.4
20090501 20090531    80.8
20090601 20090630    35.4
20090701 20090731     4.8
20090801 20090831     0.4
20090901 20090930    19.8
20091001 20091031    26.8
20091101 20091130    41.4
20091201 20091231    61.0
20100101 20100131    61.4
20100201 20100228    79.2
20100301 20100331    78.0
20100401 20100430    45.0
20100501 20100531    46.7
20100601 20100630    17.0
20100701 20100731    62.2
20100801 20100831    82.4
20100901 20100930   122.2
20101001 20101031    80.6
20101101 20101130    74.8
20101201 20101231   238.0
20110101 20110131   165.5
20110201 20110228    38.6
20110301 20110331   200.2
20110401 20110430    38.4
20110501 20110531    61.2
20110601 20110630    32.0
20110701 20110731    14.6
20110801 20110831    61.7
20110901 20110930    26.2
20111001 20111031   101.4
20111101 20111130    36.6
20111201 20111231    84.6
20120101 20120131    81.3
20120201 20120229    63.4
20120301 20120331    21.4
20120401 20120430    42.8
20120501 20120531    27.6
20120601 20120630    56.8
20120701 20120731    30.2
20120801 20120831     2.6
20120901 20120930    11.2
20121001 20121031    41.0
20121101 20121130    27.6
20121201 20121231    72.8
20130101 20130131   138.0
20130201 20130228    89.1
20130301 20130331    60.6
20130401 20130430    48.0
20130501 20130531    31.8
20130601 20130630    69.0
20130701 20130731    33.3
20130801 20130831     3.4
20130901 20130930    35.4
20131001 20131031    40.9
20131101 20131130   100.7
20131201 20131231    16.3
20140101 20140131    41.3
20140201 20140228    16.0
20140301 20140331   140.7
20140401 20140430     7.0
20140501 20140531    24.3
20140601 20140630    11.0
20140701 20140731     5.4
20140801 20140831    50.4
20140901 20140930    18.4
20141001 20141031    21.0
20141101 20141130    28.2
20141201 20141231   187.7
20150101 20150131    80.4
20150201 20150228    67.4
20150301 20150331    45.8
20150401 20150430    60.2
20150501 20150531    63.6
20150601 20150630    12.2
20150701 20150731    19.5
20150801 20150831    23.5
20150901 20150930    18.9
20151001 20151031    16.2
20151101 20151130   145.6
20151201 20151231    87.9
20160101 20160131    98.7
20160201 20160229    41.8
20160301 20160331    32.0
20160401 20160430    28.0
20160501 20160531    20.8
20160601 20160630   102.1
20160701 20160731    17.4
20160801 20160831   101.6
20160901 20160930    92.2
20161001 20161031    71.6
20161101 20161130    73.0
20161201 20161231    30.7
20170101 20170131    73.7
20170201 20170228    39.0
20170301 20170331   194.8
20170401 20170430    16.7
20170501 20170531    15.6
20170601 20170630    35.5
20170701 20170731    22.0
20170801 20170831     4.6
20170901 20170930     0.6
20171001 20171031    69.0
20171101 20171130    67.2
20171201 20171231    50.6
