PRCP       045017 18790101 20050331 missing_value=99999.9 THARGOMINDAH POST OFFICE                  
19001101 19001130     1.3
19001201 19001231     1.6
19010101 19010131     1.8
19010201 19010228    11.6
19010301 19010331     4.1
19010401 19010430    29.7
19010501 19010531     5.3
19010601 19010630     6.4
19010701 19010731    25.6
19010801 19010831    60.1
19010901 19010930     2.8
19011001 19011031     0.0
19011101 19011130     1.8
19011201 19011231     0.0
19020101 19020131     0.0
19020201 19020228     3.3
19020301 19020331     0.8
19020401 19020430     0.5
19020501 19020531     0.0
19020601 19020630     0.0
19020701 19020731     0.0
19020801 19020831    13.7
19020901 19020930     0.0
19021001 19021031    23.6
19021101 19021130    54.1
19021201 19021231    92.5
19030101 19030131    21.4
19030201 19030228     0.0
19030301 19030331    17.0
19030401 19030430    34.8
19030501 19030531    21.3
19030601 19030630     2.5
19030701 19030731    36.0
19030801 19030831     3.8
19030901 19030930    20.6
19031001 19031031     5.6
19031101 19031130    18.8
19031201 19031231   106.7
19040101 19040131    28.0
19040201 19040229    33.6
19040301 19040331    16.1
19040401 19040430     7.1
19040501 19040531    13.3
19040601 19040630     0.3
19040701 19040731     3.3
19040801 19040831     0.5
19040901 19040930     7.1
19041001 19041031    88.3
19041101 19041130     0.0
19041201 19041231    63.6
19050101 19050131    16.6
19050201 19050228     0.0
19050301 19050331    18.1
19050401 19050430    10.7
19050501 19050531     9.6
19050601 19050630     8.6
19050701 19050731    11.2
19050801 19050831     0.0
19050901 19050930     1.3
19051001 19051031    20.1
19051101 19051130    13.0
19051201 19051231    10.1
19060101 19060131   147.0
19060201 19060228   135.0
19060301 19060331    82.4
19060401 19060430     0.0
19060501 19060531    19.9
19060601 19060630    16.3
19060701 19060731     3.0
19060801 19060831     3.0
19060901 19060930    54.1
19061001 19061031    38.0
19061101 19061130     9.4
19061201 19061231     4.6
19070101 19070131    50.3
19070201 19070228     0.0
19070301 19070331    25.2
19070401 19070430     3.3
19070501 19070531     1.8
19070601 19070630    38.6
19070701 19070731    17.5
19070801 19070831    10.4
19070901 19070930     6.8
19071001 19071031     0.0
19071101 19071130     9.2
19071201 19071231    94.9
19080101 19080131    61.3
19080201 19080229    24.6
19080301 19080331    26.9
19080401 19080430    60.4
19080501 19080531     0.8
19080601 19080630     1.0
19080701 19080731    19.6
19080801 19080831     9.7
19080901 19080930     0.0
19081001 19081031    66.3
19081101 19081130    13.1
19081201 19081231    36.8
19090101 19090131     5.8
19090201 19090228    57.7
19090301 19090331     6.9
19090401 19090430    19.0
19090501 19090531     5.4
19090601 19090630    43.3
19090701 19090731     2.3
19090801 19090831    88.2
19090901 19090930     1.5
19091001 19091031    10.7
19091101 19091130    37.4
19091201 19091231     9.6
19100101 19100131    61.0
19100201 19100228     0.0
19100301 19100331    41.4
19100401 19100430    22.6
19100501 19100531    17.0
19100601 19100630    79.3
19100701 19100731    23.6
19100801 19100831     1.5
19100901 19100930     1.8
19101001 19101031     4.8
19101101 19101130    84.4
19101201 19101231    17.0
19110101 19110131     2.5
19110201 19110228   102.4
19110301 19110331     0.0
19110401 19110430     0.0
19110501 19110531    15.1
19110601 19110630     1.3
19110701 19110731    11.0
19110801 19110831     0.0
19110901 19110930     1.5
19111001 19111031     0.0
19111101 19111130   164.3
19111201 19111231    35.6
19120101 19120131     0.0
19120201 19120229     3.5
19120301 19120331     7.4
19120401 19120430     0.0
19120501 19120531     0.0
19120601 19120630    37.1
19120701 19120731    27.4
19120801 19120831     1.6
19120901 19120930     1.3
19121001 19121031     2.8
19121101 19121130    14.5
19121201 19121231    45.9
19130101 19130131    29.2
19130201 19130228   111.7
19130301 19130331    74.9
19130401 19130430    21.8
19130501 19130531     0.0
19130601 19130630     1.0
19130701 19130731     0.0
19130801 19130831     0.0
19130901 19130930     1.0
19131001 19131031     9.4
19131101 19131130    18.3
19131201 19131231     7.9
19140101 19140131     6.4
19140201 19140228    11.2
19140301 19140331    20.3
19140401 19140430     8.4
19140501 19140531    49.8
19140601 19140630    15.5
19140701 19140731     7.4
19140801 19140831     0.0
19140901 19140930     2.5
19141001 19141031     2.5
19141101 19141130    29.5
19141201 19141231    29.7
19150101 19150131     3.3
19150201 19150228     0.0
19150301 19150331     2.8
19150401 19150430     0.0
19150501 19150531    32.8
19150601 19150630     3.6
19150701 19150731    10.9
19150801 19150831     3.8
19150901 19150930    18.5
19151001 19151031    23.6
19151101 19151130     0.0
19151201 19151231    90.9
19160101 19160131    17.2
19160201 19160229     0.0
19160301 19160331    10.2
19160401 19160430    24.7
19160501 19160531     0.0
19160601 19160630    72.4
19160701 19160731   102.9
19160801 19160831     7.9
19160901 19160930    17.8
19161001 19161031    53.8
19161101 19161130    21.8
19161201 19161231    78.8
19170101 19170131    61.7
19170201 19170228    75.8
19170301 19170331     1.3
19170401 19170430     0.0
19170501 19170531     7.6
19170601 19170630    22.9
19170701 19170731     6.8
19170801 19170831     1.6
19170901 19170930    19.1
19171001 19171031     3.8
19171101 19171130    93.2
19171201 19171231     3.6
19180101 19180131    67.3
19180201 19180228    34.5
19180301 19180331    21.6
19180401 19180430    10.1
19180501 19180531    38.1
19180601 19180630     0.0
19180701 19180731    21.6
19180801 19180831    41.6
19180901 19180930     0.0
19181001 19181031     7.9
19181101 19181130     1.6
19181201 19181231    19.8
19190101 19190131    18.6
19190201 19190228    26.0
19190301 19190331    10.9
19190401 19190430     0.0
19190501 19190531    19.0
19190601 19190630     0.0
19190701 19190731     0.0
19190801 19190831    20.1
19190901 19190930     0.0
19191001 19191031     2.5
19191101 19191130     0.0
19191201 19191231     9.4
19200101 19200131     3.3
19200201 19200229    32.8
19200301 19200331     1.3
19200401 19200430     3.0
19200501 19200531     4.6
19200601 19200630   104.8
19200701 19200731    55.3
19200801 19200831    22.4
19200901 19200930    43.1
19201001 19201031    25.6
19201101 19201130    24.2
19201201 19201231    73.6
19210101 19210131    33.3
19210201 19210228     4.8
19210301 19210331    38.0
19210401 19210430   103.1
19210501 19210531    51.3
19210601 19210630     6.1
19210701 19210731    18.1
19210801 19210831     3.8
19210901 19210930    59.3
19211001 19211031     7.1
19211101 19211130    22.3
19211201 19211231    31.4
19220101 19220131     0.0
19220201 19220228     5.3
19220301 19220331     0.0
19220401 19220430     3.0
19220501 19220531     4.3
19220601 19220630     0.0
19220701 19220731     0.0
19220801 19220831     0.0
19220901 19220930     0.0
19221001 19221031     5.3
19221101 19221130     0.0
19221201 19221231    47.5
19230101 19230131    16.5
19230201 19230228    19.3
19230301 19230331     1.3
19230401 19230430   106.4
19230501 19230531     9.1
19230601 19230630    61.4
19230701 19230731    10.6
19230801 19230831     0.0
19230901 19230930     0.0
19231001 19231031    21.5
19231101 19231130     2.8
19231201 19231231    56.1
19240101 19240131     0.8
19240201 19240229    43.1
19240301 19240331     0.0
19240401 19240430    19.6
19240501 19240531     0.0
19240601 19240630    13.2
19240701 19240731     3.3
19240801 19240831     0.0
19240901 19240930    26.9
19241001 19241031    21.6
19241101 19241130    40.4
19241201 19241231    14.3
19250101 19250131   120.7
19250201 19250228    11.7
19250301 19250331    43.0
19250401 19250430     0.0
19250501 19250531    15.5
19250601 19250630     2.0
19250701 19250731     9.4
19250801 19250831     0.0
19250901 19250930     3.8
19251001 19251031     0.8
19251101 19251130    15.3
19251201 19251231    32.2
19260101 19260131    11.7
19260201 19260228     0.0
19260301 19260331   136.0
19260401 19260430    78.9
19260501 19260531    69.9
19260601 19260630    17.0
19260701 19260731    14.5
19260801 19260831     2.5
19260901 19260930    61.5
19261001 19261031     0.0
19261101 19261130     0.0
19261201 19261231     1.5
19270101 19270131     3.8
19270201 19270228     0.0
19270301 19270331    27.3
19270401 19270430     0.0
19270501 19270531     0.0
19270601 19270630     8.9
19270701 19270731     0.0
19270801 19270831     0.0
19270901 19270930     9.4
19271001 19271031     0.0
19271101 19271130    32.2
19271201 19271231     7.4
19280101 19280131     4.8
19280201 19280229    25.9
19280301 19280331     5.1
19280401 19280430     9.2
19280501 19280531     0.0
19280601 19280630     1.5
19280701 19280731     2.8
19280801 19280831     0.0
19280901 19280930     0.0
19281001 19281031     3.5
19281101 19281130    22.9
19281201 19281231    16.5
19290101 19290131     7.6
19290201 19290228     0.0
19290301 19290331     0.3
19290401 19290430     7.4
19290501 19290531     0.0
19290601 19290630     8.6
19290701 19290731     0.0
19290801 19290831     2.5
19290901 19290930    23.6
19291001 19291031     0.0
19291101 19291130    29.3
19291201 19291231     2.3
19300101 19300131    32.3
19300201 19300228    52.3
19300301 19300331     0.0
19300401 19300430     2.5
19300501 19300531    13.4
19300601 19300630     7.6
19300701 19300731     8.7
19300801 19300831     8.6
19300901 19300930     3.1
19301001 19301031    54.1
19301101 19301130    27.4
19301201 19301231    58.1
19310101 19310131     4.8
19310201 19310228     0.0
19310301 19310331    67.5
19310401 19310430    22.4
19310501 19310531    71.3
19310601 19310630    49.6
19310701 19310731    14.3
19310801 19310831     0.5
19310901 19310930     6.8
19311001 19311031     7.6
19311101 19311130    35.8
19311201 19311231    24.3
19320101 19320131     0.0
19320201 19320229    36.2
19320301 19320331    29.7
19320401 19320430    27.7
19320501 19320531    60.0
19320601 19320630    10.4
19320701 19320731    13.5
19320801 19320831     1.8
19320901 19320930     0.8
19321001 19321031     0.5
19321101 19321130    17.9
19321201 19321231     2.8
19330101 19330131     2.4
19330201 19330228     1.8
19330301 19330331     4.3
19330401 19330430     2.3
19330501 19330531    11.9
19330601 19330630     1.8
19330701 19330731     2.3
19330801 19330831    26.6
19330901 19330930    26.2
19331001 19331031    10.9
19331101 19331130    54.9
19331201 19331231    58.2
19340101 19340131     2.6
19340201 19340228    16.0
19340301 19340331     0.0
19340401 19340430    21.8
19340501 19340531     7.4
19340601 19340630    24.9
19340701 19340731    14.9
19340801 19340831    25.2
19340901 19340930     3.8
19341001 19341031    29.7
19341101 19341130    30.7
19341201 19341231    21.6
19350101 19350131     7.6
19350201 19350228     0.0
19350301 19350331     0.0
19350401 19350430    37.1
19350501 19350531     0.0
19350601 19350630    47.8
19350701 19350731    23.8
19350801 19350831    19.0
19350901 19350930    42.6
19351001 19351031    48.7
19351101 19351130     9.7
19351201 19351231    30.2
19360101 19360131    81.8
19360201 19360229    34.5
19360301 19360331    56.3
19360401 19360430     0.0
19360501 19360531    17.3
19360601 19360630    26.2
19360701 19360731     7.1
19360801 19360831    19.0
19360901 19360930     7.8
19361001 19361031    15.2
19361101 19361130     0.0
19361201 19361231   122.9
19370101 19370131     2.5
19370201 19370228    22.0
19370301 19370331     1.0
19370401 19370430     0.0
19370501 19370531     0.0
19370601 19370630    13.0
19370701 19370731     0.0
19370801 19370831     6.9
19370901 19370930     1.8
19371001 19371031     0.0
19371101 19371130     1.3
19371201 19371231     1.8
19380101 19380131    23.6
19380201 19380228     8.1
19380301 19380331     0.5
19380401 19380430     0.5
19380501 19380531    43.0
19380601 19380630    26.8
19380701 19380731     9.1
19380801 19380831     7.6
19380901 19380930     0.0
19381001 19381031     5.8
19381101 19381130    18.3
19381201 19381231     0.0
19390101 19390131   105.2
19390201 19390228    76.0
19390301 19390331    29.2
19390401 19390430    80.3
19390501 19390531    22.1
19390601 19390630    15.8
19390701 19390731    19.4
19390801 19390831    12.7
19390901 19390930     0.0
19391001 19391031    32.1
19391101 19391130    26.9
19391201 19391231    18.1
19400101 19400131     2.3
19400201 19400229     5.8
19400301 19400331     0.0
19400401 19400430    39.6
19400501 19400531     3.0
19400601 19400630     0.0
19400701 19400731     0.0
19400801 19400831     2.3
19400901 19400930     0.0
19401001 19401031     4.3
19401101 19401130     0.0
19401201 19401231     0.0
19410101 19410131   133.7
19410201 19410228     0.0
19410301 19410331    90.9
19410401 19410430     0.0
19410501 19410531     6.1
19410601 19410630    14.7
19410701 19410731     2.0
19410801 19410831     0.3
19410901 19410930     0.0
19411001 19411031     6.8
19411101 19411130    44.9
19411201 19411231     9.9
19420101 19420131     1.3
19420201 19420228    14.2
19420301 19420331    11.4
19420401 19420430    34.8
19420501 19420531    45.7
19420601 19420630    13.0
19420701 19420731     6.9
19420801 19420831     0.0
19420901 19420930     2.5
19421001 19421031    10.0
19421101 19421130     6.1
19421201 19421231   175.0
19430101 19430131    22.4
19430201 19430228    34.3
19430301 19430331     5.8
19430401 19430430    25.9
19430501 19430531     0.0
19430601 19430630     6.9
19430701 19430731     2.8
19430801 19430831    14.7
19430901 19430930    25.6
19431001 19431031     9.9
19431101 19431130     5.4
19431201 19431231     0.0
19440101 19440131     6.6
19440201 19440229    46.7
19440301 19440331     3.8
19440401 19440430     0.0
19440501 19440531    15.7
19440601 19440630     1.8
19440701 19440731    16.3
19440801 19440831    63.0
19440901 19440930     0.0
19441001 19441031     0.0
19441101 19441130     4.6
19441201 19441231    29.2
19450101 19450131     4.6
19450201 19450228    29.7
19450301 19450331     9.6
19450401 19450430     2.3
19450501 19450531    20.1
19450601 19450630     2.0
19450701 19450731    32.0
19450801 19450831     4.9
19450901 19450930     0.0
19451001 19451031    26.6
19451101 19451130     0.0
19451201 19451231    21.6
19460101 19460131    22.6
19460201 19460228     4.3
19460301 19460331     0.0
19460401 19460430     0.0
19460501 19460531     0.0
19460601 19460630     9.7
19460701 19460731     0.0
19460801 19460831     0.0
19460901 19460930     3.8
19461001 19461031     0.0
19461101 19461130     3.3
19461201 19461231    22.0
19470101 19470131     0.5
19470201 19470228   161.8
19470301 19470331    54.9
19470401 19470430     0.0
19470501 19470531    11.2
19470601 19470630    20.1
19470701 19470731     7.6
19470801 19470831    53.9
19470901 19470930    12.0
19471001 19471031    24.8
19471101 19471130    47.8
19471201 19471231    48.8
19480101 19480131    23.9
19480201 19480229   154.3
19480301 19480331     3.0
19480401 19480430     0.0
19480501 19480531     2.3
19480601 19480630    49.5
19480701 19480731    12.4
19480801 19480831     4.6
19480901 19480930     1.3
19481001 19481031     4.3
19481101 19481130     3.3
19481201 19481231    24.0
19490101 19490131    26.7
19490201 19490228    65.2
19490301 19490331   393.2
19490401 19490430     8.9
19490501 19490531    18.8
19490601 19490630     5.1
19490701 19490731     3.5
19490801 19490831     0.0
19490901 19490930    50.8
19491001 19491031   115.1
19491101 19491130    35.3
19491201 19491231     0.0
19500101 19500131    11.2
19500201 19500228     4.6
19500301 19500331    78.6
19500401 19500430    29.2
19500501 19500531    41.6
19500601 19500630    27.8
19500701 19500731    40.7
19500801 19500831     1.8
19500901 19500930    19.6
19501001 19501031    82.9
19501101 19501130   128.3
19501201 19501231    36.2
19510101 19510131     7.7
19510201 19510228     7.6
19510301 19510331     0.0
19510401 19510430     3.1
19510501 19510531     4.5
19510601 19510630    30.3
19510701 19510731     3.3
19510801 19510831     4.3
19510901 19510930    21.3
19511001 19511031     4.5
19511101 19511130     7.9
19511201 19511231    39.9
19520101 19520131     1.8
19520201 19520229    66.5
19520301 19520331    58.2
19520401 19520430    43.9
19520501 19520531     5.6
19520601 19520630     3.1
19520701 19520731    26.9
19520801 19520831    10.7
19520901 19520930     0.0
19521001 19521031    40.7
19521101 19521130     3.8
19521201 19521231     8.7
19530101 19530131    65.3
19530201 19530228    26.7
19530301 19530331    10.4
19530401 19530430    22.6
19530501 19530531    10.7
19530601 19530630     0.0
19530701 19530731     5.9
19530801 19530831    20.3
19530901 19530930     0.5
19531001 19531031    12.8
19531101 19531130    18.9
19531201 19531231     0.0
19540101 19540131    77.0
19540201 19540228    44.2
19540301 19540331     0.0
19540401 19540430    18.3
19540501 19540531     0.0
19540601 19540630    55.7
19540701 19540731    28.4
19540801 19540831     7.6
19540901 19540930     5.8
19541001 19541031    23.9
19541101 19541130     6.6
19541201 19541231    33.0
19550101 19550131    48.1
19550201 19550228    16.3
19550301 19550331    33.1
19550401 19550430     9.1
19550501 19550531    35.3
19550601 19550630     4.1
19550701 19550731    47.0
19550801 19550831     6.1
19550901 19550930     9.7
19551001 19551031    69.8
19551101 19551130    28.9
19551201 19551231    43.2
19560101 19560131     8.4
19560201 19560229   200.2
19560301 19560331   178.5
19560401 19560430    40.8
19560501 19560531    58.2
19560601 19560630    31.5
19560701 19560731    64.6
19560801 19560831     0.0
19560901 19560930     0.8
19561001 19561031    23.6
19561101 19561130     5.8
19561201 19561231    17.8
19570101 19570131     0.0
19570201 19570228     4.8
19570301 19570331    32.5
19570401 19570430    21.3
19570501 19570531     0.0
19570601 19570630    39.9
19570701 19570731     2.0
19570801 19570831     0.0
19570901 19570930     0.0
19571001 19571031     0.0
19571101 19571130     1.3
19571201 19571231    12.3
19580101 19580131     1.3
19580201 19580228     5.0
19580301 19580331    10.7
19580401 19580430     0.5
19580501 19580531     3.3
19580601 19580630    13.9
19580701 19580731    10.7
19580801 19580831    18.2
19580901 19580930     3.5
19581001 19581031    20.1
19581101 19581130    52.1
19581201 19581231     6.9
19590101 19590131    44.0
19590201 19590228    14.0
19590301 19590331    17.9
19590401 19590430     4.3
19590501 19590531    18.8
19590601 19590630     4.1
19590701 19590731     8.4
19590801 19590831    23.1
19590901 19590930     8.6
19591001 19591031    43.2
19591101 19591130     0.0
19591201 19591231     1.0
19600101 19600131    65.7
