PRCP       080004 18870501 20180131 missing_value=99999.9 CANARY ISLAND                             
19820901 19820930     7.2
19821001 19821031     4.2
19821101 19821130     6.8
19821201 19821231    18.8
19830101 19830131     1.0
19830201 19830228     1.0
19830301 19830331   102.5
19830401 19830430    25.6
19830501 19830531    41.9
19830601 19830630    31.2
19830701 19830731    73.3
19830801 19830831    51.4
19830901 19830930    72.7
19831001 19831031    19.4
19831101 19831130    37.0
19831201 19831231    70.4
19840101 19840131    91.0
19840201 19840229     7.4
19840301 19840331    20.0
19840401 19840430     8.0
19840501 19840531     7.0
19840601 19840630     1.8
19840701 19840731    44.4
19840801 19840831    80.1
19840901 19840930    27.8
19841001 19841031    16.9
19841101 19841130    30.8
19841201 19841231     1.2
19850101 19850131    18.8
19850201 19850228     3.6
19850301 19850331     3.0
19850401 19850430    10.6
19850501 19850531    53.7
19850601 19850630    15.0
19850701 19850731     8.4
19850801 19850831   117.6
19850901 19850930    21.8
19851001 19851031    26.0
19851101 19851130    33.3
19851201 19851231    83.3
19860101 19860131     0.7
19860201 19860228    10.8
19860301 19860331     0.0
19860401 19860430    35.2
19860501 19860531    51.2
19860601 19860630    13.1
19860701 19860731    67.2
19860801 19860831    35.5
19860901 19860930    59.5
19861001 19861031    66.3
19861101 19861130    13.2
19861201 19861231    26.7
19870101 19870131    10.8
19870201 19870228    14.3
19870301 19870331    22.7
19870401 19870430    15.7
19870501 19870531    35.8
19870601 19870630    45.3
19870701 19870731    36.5
19870801 19870831    53.1
19870901 19870930    15.1
19871001 19871031    21.8
19871101 19871130    12.5
19871201 19871231    82.5
19880101 19880131     3.2
19880201 19880229     9.2
19880301 19880331     9.4
19880401 19880430    10.2
19880501 19880531    97.0
19880601 19880630    52.4
19880701 19880731    55.1
19880801 19880831     6.6
19880901 19880930    69.9
19881001 19881031    11.2
19881101 19881130    53.8
19881201 19881231    67.2
19890101 19890131     3.6
19890201 19890228     0.0
19890301 19890331    95.5
19890401 19890430   109.4
19890501 19890531    58.8
19890601 19890630    57.4
19890701 19890731    28.9
19890801 19890831    42.4
19890901 19890930    16.8
19891001 19891031    33.6
19891101 19891130    10.0
19891201 19891231    32.1
19900101 19900131     0.0
19900201 19900228    32.8
19900301 19900331    10.0
19900401 19900430    28.8
19900501 19900531    24.1
19900601 19900630    42.7
19900701 19900731    59.7
19900801 19900831    35.8
19900901 19900930    11.7
19901001 19901031    16.2
19901101 19901130     6.5
19901201 19901231     9.2
19910101 19910131    54.4
19910201 19910228     0.0
19910301 19910331     0.0
19910401 19910430    25.2
19910501 19910531     0.0
19910601 19910630    81.2
19910701 19910731    20.6
19910801 19910831    32.7
19910901 19910930    54.1
19911001 19911031     0.0
19911101 19911130     0.0
19911201 19911231    52.6
19920101 19920131    17.0
19920201 19920229    10.2
19920301 19920331 99999.9
19920401 19920430    13.2
19920501 19920531    61.6
19920601 19920630    17.8
19920701 19920731    15.4
19920801 19920831    92.3
19920901 19920930    68.8
19921001 19921031    96.2
19921101 19921130    44.0
19921201 19921231    96.8
19930101 19930131    29.4
19930201 19930228    25.6
19930301 19930331    16.6
19930401 19930430     0.0
19930501 19930531    22.0
19930601 19930630    16.7
19930701 19930731    50.7
19930801 19930831    34.0
19930901 19930930    90.6
19931001 19931031    78.8
19931101 19931130    43.6
19931201 19931231    31.4
19940101 19940131    13.6
19940201 19940228    43.2
19940301 19940331    54.8
19940401 19940430     1.0
19940501 19940531    15.4
19940601 19940630    46.6
19940701 19940731    17.6
19940801 19940831     7.2
19940901 19940930     9.6
19941001 19941031    14.0
19941101 19941130 99999.9
19941201 19941231     4.6
19950101 19950131    35.0
19950201 19950228     8.2
19950301 19950331    10.2
19950401 19950430    45.0
19950501 19950531    60.4
19950601 19950630    72.6
19950701 19950731    56.5
19950801 19950831    12.2
19950901 19950930    17.2
19951001 19951031    54.2
19951101 19951130     9.4
19951201 19951231     0.0
19960101 19960131    55.3
19960201 19960229    20.4
19960301 19960331    20.2
19960401 19960430    15.4
19960501 19960531    13.2
19960601 19960630    48.7
19960701 19960731    62.2
19960801 19960831    42.8
19960901 19960930    39.0
19961001 19961031    22.4
19961101 19961130     7.2
19961201 19961231    16.5
19970101 19970131     7.5
19970201 19970228     9.0
19970301 19970331     0.0
19970401 19970430     0.5
19970501 19970531    54.2
19970601 19970630    16.8
19970701 19970731     6.8
19970801 19970831    43.2
19970901 19970930    48.0
19971001 19971031    24.0
19971101 19971130    18.0
19971201 19971231     0.0
19980101 19980131    28.6
19980201 19980228    15.6
19980301 19980331     2.2
19980401 19980430    34.4
19980501 19980531    15.0
19980601 19980630    15.6
19980701 19980731    56.8
19980801 19980831    15.8
19980901 19980930    19.6
19981001 19981031    30.0
19981101 19981130    90.2
19981201 19981231     6.0
19990101 19990131    19.5
19990201 19990228    50.0
19990301 19990331    39.4
19990401 19990430    23.0
19990501 19990531    47.2
19990601 19990630    25.6
19990701 19990731    17.0
19990801 19990831    51.3
19990901 19990930    26.3
19991001 19991031    31.6
19991101 19991130    62.4
19991201 19991231    64.2
20000101 20000131    34.7
20000201 20000229    26.2
20000301 20000331    18.4
20000401 20000430    34.0
20000501 20000531    49.8
20000601 20000630    15.4
20000701 20000731    24.2
20000801 20000831    16.0
20000901 20000930    31.3
20001001 20001031    50.7
20001101 20001130    76.4
20001201 20001231    16.8
20010101 20010131    17.4
20010201 20010228    32.6
20010301 20010331    23.0
20010401 20010430    32.6
20010501 20010531    14.4
20010601 20010630    25.4
20010701 20010731    20.4
20010801 20010831    33.7
20010901 20010930    30.4
20011001 20011031    39.0
20011101 20011130    10.6
20011201 20011231     3.2
20020101 20020131    10.6
20020201 20020228    27.5
20020301 20020331    12.2
20020401 20020430     5.8
20020501 20020531    13.8
20020601 20020630    27.8
20020701 20020731     9.6
20020801 20020831    16.4
20020901 20020930    15.5
20021001 20021031     4.6
20021101 20021130    17.8
20021201 20021231    20.4
20030101 20030131     5.0
20030201 20030228    29.8
20030301 20030331     0.0
20030401 20030430    37.8
20030501 20030531    29.6
20030601 20030630    40.6
20030701 20030731    53.6
20030801 20030831    65.5
20030901 20030930    11.2
20031001 20031031    37.4
20031101 20031130    18.8
20031201 20031231    34.4
20040101 20040131     1.0
20040201 20040229     3.0
20040301 20040331     6.0
20040401 20040430     5.6
20040501 20040531    18.6
20040601 20040630    33.9
20040701 20040731 99999.9
20040801 20040831    31.8
20040901 20040930    46.6
20041001 20041031     8.6
20041101 20041130    69.7
20041201 20041231    37.4
20050101 20050131    30.6
20050201 20050228    91.2
20050301 20050331     0.0
20050401 20050430     4.2
20050501 20050531     2.0
20050601 20050630    67.2
20050701 20050731    22.2
20050801 20050831    38.5
20050901 20050930    22.0
20051001 20051031    43.4
20051101 20051130    43.6
20051201 20051231    35.8
20060101 20060131    22.2
20060201 20060228    13.0
20060301 20060331    12.4
20060401 20060430    27.3
20060501 20060531    10.4
20060601 20060630    12.4
20060701 20060731    44.4
20060801 20060831     4.4
20060901 20060930    23.6
20061001 20061031     0.0
20061101 20061130    23.3
20061201 20061231     4.6
20070101 20070131    46.8
20070201 20070228    10.6
20070301 20070331    24.3
20070401 20070430    33.8
20070501 20070531    47.2
20070601 20070630    18.2
20070701 20070731    32.4
20070801 20070831     2.0
20070901 20070930    10.1
20071001 20071031     1.6
20071101 20071130    28.5
20071201 20071231    47.6
20080101 20080131    27.0
20080201 20080229     0.0
20080301 20080331    17.0
20080401 20080430     8.2
20080501 20080531    20.5
20080601 20080630    16.1
20080701 20080731    31.2
20080801 20080831    35.9
20080901 20080930     6.3
20081001 20081031     5.8
20081101 20081130    58.9
20081201 20081231    64.2
20090101 20090131     0.0
20090201 20090228     0.0
20090301 20090331    18.5
20090401 20090430    25.7
20090501 20090531     7.3
20090601 20090630    42.2
20090701 20090731    31.9
20090801 20090831    22.2
20090901 20090930    24.8
20091001 20091031     8.0
20091101 20091130    81.1
20091201 20091231     7.4
20100101 20100131     8.0
20100201 20100228    34.2
20100301 20100331    65.5
20100401 20100430    29.8
20100501 20100531    44.0
20100601 20100630    23.0
20100701 20100731    44.8
20100801 20100831    84.3
20100901 20100930    42.5
20101001 20101031   119.3
20101101 20101130   106.9
20101201 20101231    69.1
20110101 20110131 99999.9
20110201 20110228 99999.9
20110301 20110331    57.0
20110401 20110430    17.8
20110501 20110531    11.2
20110601 20110630    12.4
20110701 20110731 99999.9
20110801 20110831 99999.9
20110901 20110930 99999.9
20111001 20111031 99999.9
20111101 20111130 99999.9
20111201 20111231 99999.9
20120101 20120131    24.2
20120201 20120229    37.8
20120301 20120331    74.0
20120401 20120430     3.0
20120501 20120531     9.2
20120601 20120630    20.1
20120701 20120731    44.4
20120801 20120831    15.2
20120901 20120930    28.6
20121001 20121031    29.9
20121101 20121130     0.0
20121201 20121231     8.9
20130101 20130131     5.0
20130201 20130228    23.0
20130301 20130331     9.2
20130401 20130430     0.0
20130501 20130531    25.6
20130601 20130630    60.9
20130701 20130731    35.1
20130801 20130831    26.8
20130901 20130930    35.8
20131001 20131031    13.7
20131101 20131130     3.2
20131201 20131231    34.2
20140101 20140131     0.0
20140201 20140228     6.0
20140301 20140331    33.9
20140401 20140430    59.2
20140501 20140531    15.2
20140601 20140630    65.8
20140701 20140731    23.3
20140801 20140831     6.9
20140901 20140930    15.8
20141001 20141031     4.1
20141101 20141130    34.8
20141201 20141231    25.9
20150101 20150131    32.5
20150201 20150228     6.8
20150301 20150331     5.1
20150401 20150430    13.7
20150501 20150531    10.0
20150601 20150630    28.4
20150701 20150731    18.7
20150801 20150831    25.4
20150901 20150930    27.4
20151001 20151031     8.2
20151101 20151130    18.9
20151201 20151231     6.0
20160101 20160131 99999.9
20160201 20160229 99999.9
20160301 20160331 99999.9
20160401 20160430 99999.9
20160501 20160531 99999.9
20160601 20160630    28.1
20160701 20160731    36.4
20160801 20160831    45.3
20160901 20160930   110.9
20161001 20161031    44.4
20161101 20161130    22.5
20161201 20161231    25.9
20170101 20170131    21.0
20170201 20170228    34.0
20170301 20170331    10.4
20170401 20170430   101.0
20170501 20170531    47.1
20170601 20170630     3.8
20170701 20170731    18.7
20170801 20170831    55.5
20170901 20170930     9.1
20171001 20171031     8.6
20171101 20171130   102.0
20171201 20171231    55.3
20180101 20180131    16.9
