PRCP       080004 18870501 20180131 missing_value=99999.9 CANARY ISLAND                             
19090401 19090430    30.2
19090501 19090531    80.0
19090601 19090630    50.2
19090701 19090731    49.4
19090801 19090831    91.6
19090901 19090930    25.4
19091001 19091031    24.4
19091101 19091130    12.4
19091201 19091231     8.4
19100101 19100131    30.7
19100201 19100228     5.8
19100301 19100331    60.7
19100401 19100430     0.0
19100501 19100531    40.8
19100601 19100630    29.9
19100701 19100731    50.8
19100801 19100831    50.8
19100901 19100930    59.2
19101001 19101031    16.5
19101101 19101130    35.3
19101201 19101231    13.2
19110101 19110131     2.3
19110201 19110228   158.8
19110301 19110331    35.1
19110401 19110430     2.6
19110501 19110531    51.5
19110601 19110630    46.3
19110701 19110731    17.8
19110801 19110831    10.0
19110901 19110930    38.6
19111001 19111031     4.6
19111101 19111130     0.8
19111201 19111231    15.7
19120101 19120131     2.0
19120201 19120229    52.1
19120301 19120331     3.3
19120401 19120430     3.3
19120501 19120531     0.8
19120601 19120630    52.9
19120701 19120731    27.5
19120801 19120831    39.3
19120901 19120930    51.3
19121001 19121031     2.6
19121101 19121130    50.5
19121201 19121231    52.6
19130101 19130131     3.6
19130201 19130228     4.1
19130301 19130331    83.7
19130401 19130430    12.0
19130501 19130531    54.6
19130601 19130630    30.3
19130701 19130731    10.1
19130801 19130831    15.7
19130901 19130930    38.0
19131001 19131031    80.4
19131101 19131130     6.8
19131201 19131231    14.0
19140101 19140131     0.8
19140201 19140228     0.0
19140301 19140331     9.4
19140401 19140430    41.4
19140501 19140531    20.8
19140601 19140630     4.6
19140701 19140731    11.2
19140801 19140831     5.8
19140901 19140930     0.0
19141001 19141031     0.0
19141101 19141130    25.1
19141201 19141231    18.2
19150101 19150131    15.0
19150201 19150228     2.3
19150301 19150331     1.8
19150401 19150430    19.4
19150501 19150531    35.8
19150601 19150630    46.5
19150701 19150731    31.5
19150801 19150831    46.4
19150901 19150930    67.4
19151001 19151031    22.8
19151101 19151130     4.3
19151201 19151231     7.9
19160101 19160131    75.5
19160201 19160229     7.9
19160301 19160331     0.0
19160401 19160430     8.6
19160501 19160531    24.1
19160601 19160630    64.8
19160701 19160731    45.5
19160801 19160831    51.3
19160901 19160930    98.6
19161001 19161031    47.2
19161101 19161130    47.9
19161201 19161231    11.9
19170101 19170131    11.2
19170201 19170228    70.3
19170301 19170331    13.2
19170401 19170430     3.6
19170501 19170531    29.3
19170601 19170630    59.4
19170701 19170731    53.0
19170801 19170831    87.7
19170901 19170930    64.7
19171001 19171031    62.0
19171101 19171130    47.4
19171201 19171231     4.6
19180101 19180131    16.4
19180201 19180228    35.3
19180301 19180331    83.3
19180401 19180430    29.0
19180501 19180531    79.5
19180601 19180630    28.2
19180701 19180731    12.2
19180801 19180831    53.8
19180901 19180930     6.4
19181001 19181031    19.1
19181101 19181130     0.0
19181201 19181231     6.9
19190101 19190131     2.8
19190201 19190228    76.7
19190301 19190331    37.5
19190401 19190430    12.5
19190501 19190531    56.2
19190601 19190630    25.0
19190701 19190731    20.4
19190801 19190831    25.3
19190901 19190930    33.3
19191001 19191031    10.4
19191101 19191130    20.1
19191201 19191231    45.5
19200101 19200131     0.5
19200201 19200229     0.0
19200301 19200331     3.8
19200401 19200430     7.9
19200501 19200531    27.0
19200601 19200630    35.0
19200701 19200731    31.3
19200801 19200831   102.5
19200901 19200930    62.1
19201001 19201031    63.3
19201101 19201130    38.6
19201201 19201231     9.9
19210101 19210131    26.9
19210201 19210228    37.1
19210301 19210331    71.7
19210401 19210430     4.1
19210501 19210531    54.3
19210601 19210630    61.8
19210701 19210731    33.1
19210801 19210831    43.0
19210901 19210930    57.8
19211001 19211031    33.0
19211101 19211130    20.8
19211201 19211231    23.6
19220101 19220131     5.3
19220201 19220228    18.1
19220301 19220331     0.0
19220401 19220430     8.2
19220501 19220531    50.0
19220601 19220630    35.9
19220701 19220731    20.5
19220801 19220831    21.9
19220901 19220930    56.4
19221001 19221031    32.8
19221101 19221130     0.0
19221201 19221231    20.0
19230101 19230131     5.9
19230201 19230228     0.0
19230301 19230331     0.0
19230401 19230430     0.0
19230501 19230531    44.3
19230601 19230630   119.2
19230701 19230731    74.6
19230801 19230831    12.6
19230901 19230930    28.2
19231001 19231031    19.8
19231101 19231130    14.5
19231201 19231231    17.1
19240101 19240131    29.2
19240201 19240229    84.4
19240301 19240331    40.8
19240401 19240430    17.8
19240501 19240531    13.2
19240601 19240630    42.1
19240701 19240731     2.6
19240801 19240831    43.2
19240901 19240930    47.3
19241001 19241031    56.6
19241101 19241130    87.0
19241201 19241231    51.3
19250101 19250131    20.6
19250201 19250228    24.4
19250301 19250331    10.4
19250401 19250430     4.8
19250501 19250531    60.0
19250601 19250630    41.7
19250701 19250731    21.9
19250801 19250831    18.4
19250901 19250930    27.2
19251001 19251031     2.3
19251101 19251130    12.7
19251201 19251231     0.3
19260101 19260131     2.1
19260201 19260228     0.0
19260301 19260331    40.6
19260401 19260430    39.9
19260501 19260531    49.0
19260601 19260630    15.6
19260701 19260731    24.8
19260801 19260831    31.3
19260901 19260930    32.0
19261001 19261031    32.2
19261101 19261130     0.6
19261201 19261231    11.2
19270101 19270131     8.6
19270201 19270228     3.6
19270301 19270331     4.3
19270401 19270430     1.3
19270501 19270531    25.3
19270601 19270630    15.3
19270701 19270731    46.2
19270801 19270831    33.8
19270901 19270930     9.7
19271001 19271031    16.9
19271101 19271130    11.2
19271201 19271231     9.0
19280101 19280131   174.3
19280201 19280229    78.7
19280301 19280331    56.8
19280401 19280430     7.9
19280501 19280531    25.7
19280601 19280630    50.6
19280701 19280731    23.6
19280801 19280831     4.5
