PRCP       062026 18850101 20171130 missing_value=99999.9 RYLSTONE (ILFORD RD)                      
19800801 19800831    16.0
19800901 19800930     0.0
19801001 19801031    36.2
19801101 19801130    11.2
19801201 19801231    29.6
19810101 19810131    74.5
19810201 19810228   106.4
19810301 19810331     4.4
19810401 19810430    36.0
19810501 19810531    71.8
19810601 19810630    87.2
19810701 19810731   100.0
19810801 19810831    31.4
19810901 19810930    19.4
19811001 19811031    93.8
19811101 19811130   100.4
19811201 19811231    19.4
19820101 19820131    49.6
19820201 19820228    20.5
19820301 19820331   139.6
19820401 19820430     3.0
19820501 19820531    18.4
19820601 19820630    16.0
19820701 19820731    14.8
19820801 19820831     0.0
19820901 19820930    13.2
19821001 19821031    11.2
19821101 19821130     9.2
19821201 19821231    20.4
19830101 19830131    41.8
19830201 19830228    52.2
19830301 19830331    45.0
19830401 19830430    47.4
19830501 19830531   168.0
19830601 19830630    13.6
19830701 19830731    45.2
19830801 19830831    30.4
19830901 19830930    45.8
19831001 19831031   107.6
19831101 19831130    78.0
19831201 19831231   116.8
19840101 19840131   175.4
19840201 19840229    68.7
19840301 19840331    30.8
19840401 19840430    72.6
19840501 19840531    29.6
19840601 19840630     1.2
19840701 19840731   126.7
19840801 19840831    64.3
19840901 19840930    46.4
19841001 19841031    18.8
19841101 19841130    83.6
19841201 19841231    44.8
19850101 19850131     4.2
19850201 19850228    25.8
19850301 19850331    22.0
19850401 19850430    45.2
19850501 19850531    34.8
19850601 19850630    63.6
19850701 19850731     4.6
19850801 19850831    88.8
19850901 19850930    50.8
19851001 19851031   134.2
19851101 19851130    68.2
19851201 19851231   106.4
19860101 19860131    85.0
19860201 19860228    28.2
19860301 19860331     1.0
19860401 19860430    11.8
19860501 19860531    24.8
19860601 19860630     6.4
19860701 19860731    89.2
19860801 19860831   164.4
19860901 19860930    34.2
19861001 19861031    70.6
19861101 19861130    63.2
19861201 19861231     8.6
19870101 19870131    70.2
19870201 19870228    34.0
19870301 19870331    99.2
19870401 19870430     8.0
19870501 19870531    44.2
19870601 19870630    45.4
19870701 19870731    38.2
19870801 19870831   112.2
19870901 19870930    22.6
19871001 19871031   101.2
19871101 19871130    48.6
19871201 19871231    74.1
19880101 19880131    90.0
19880201 19880229    46.6
19880301 19880331    21.0
19880401 19880430    67.2
19880501 19880531    38.6
19880601 19880630    18.0
19880701 19880731    56.4
19880801 19880831    92.4
19880901 19880930    71.7
19881001 19881031     6.6
19881101 19881130    52.8
19881201 19881231    72.6
19890101 19890131    32.2
19890201 19890228    36.2
19890301 19890331    87.6
19890401 19890430   132.1
19890501 19890531   100.2
19890601 19890630    60.8
19890701 19890731    48.2
19890801 19890831     8.6
19890901 19890930     5.5
19891001 19891031    44.4
19891101 19891130    36.8
19891201 19891231    90.6
19900101 19900131   103.9
19900201 19900228   108.7
19900301 19900331    22.0
19900401 19900430   188.2
19900501 19900531    43.2
19900601 19900630    32.4
19900701 19900731   133.2
19900801 19900831    97.8
19900901 19900930    32.8
19901001 19901031    52.6
19901101 19901130     9.0
19901201 19901231     7.0
19910101 19910131    88.6
19910201 19910228     7.0
19910301 19910331    23.0
19910401 19910430     2.0
19910501 19910531    53.4
19910601 19910630    62.8
19910701 19910731    64.0
19910801 19910831    59.0
19910901 19910930    39.6
19911001 19911031    10.1
19911101 19911130    36.6
19911201 19911231    94.8
19920101 19920131    61.5
19920201 19920229   235.8
19920301 19920331    30.2
19920401 19920430    11.4
19920501 19920531    10.4
19920601 19920630    11.2
19920701 19920731    21.8
19920801 19920831    50.4
19920901 19920930    41.4
19921001 19921031    66.8
19921101 19921130    76.2
19921201 19921231   103.6
19930101 19930131    27.6
19930201 19930228    31.5
19930301 19930331    69.2
19930401 19930430     8.0
19930501 19930531    23.4
19930601 19930630    32.2
19930701 19930731   102.6
19930801 19930831    27.0
19930901 19930930   120.8
19931001 19931031    75.8
19931101 19931130    70.4
19931201 19931231    35.6
19940101 19940131    14.4
19940201 19940228    92.6
19940301 19940331    31.8
19940401 19940430    19.2
19940501 19940531     6.6
19940601 19940630    11.0
19940701 19940731    34.8
19940801 19940831    13.6
19940901 19940930     3.0
19941001 19941031 99999.9
19941101 19941130    77.8
19941201 19941231    75.2
19950101 19950131   118.2
19950201 19950228     3.0
19950301 19950331     8.2
19950401 19950430     0.0
19950501 19950531   108.2
19950601 19950630    21.0
19950701 19950731    25.5
19950801 19950831     0.0
19950901 19950930    74.8
19951001 19951031 99999.9
19951101 19951130    66.6
19951201 19951231   116.2
19960101 19960131   112.2
19960201 19960229    18.8
19960301 19960331    32.6
19960401 19960430     6.6
19960501 19960531    47.6
19960601 19960630    48.2
19960701 19960731    90.4
19960801 19960831    73.4
19960901 19960930   117.4
19961001 19961031 99999.9
19961101 19961130    79.6
19961201 19961231   103.9
19970101 19970131    57.6
19970201 19970228    65.6
19970301 19970331     4.4
19970401 19970430 99999.9
19970501 19970531 99999.9
19970601 19970630 99999.9
19970701 19970731 99999.9
19970801 19970831 99999.9
19970901 19970930 99999.9
19971001 19971031 99999.9
19971101 19971130 99999.9
19971201 19971231 99999.9
19980101 19980131 99999.9
19980201 19980228 99999.9
19980301 19980331 99999.9
19980401 19980430 99999.9
19980501 19980531 99999.9
19980601 19980630 99999.9
19980701 19980731 99999.9
19980801 19980831 99999.9
19980901 19980930 99999.9
19981001 19981031 99999.9
19981101 19981130 99999.9
19981201 19981231 99999.9
19990101 19990131 99999.9
19990201 19990228 99999.9
19990301 19990331 99999.9
19990401 19990430 99999.9
19990501 19990531 99999.9
19990601 19990630 99999.9
19990701 19990731 99999.9
19990801 19990831 99999.9
19990901 19990930 99999.9
19991001 19991031 99999.9
19991101 19991130 99999.9
19991201 19991231 99999.9
20000101 20000131 99999.9
20000201 20000229 99999.9
20000301 20000331 99999.9
20000401 20000430   105.2
20000501 20000531    70.4
20000601 20000630    37.8
20000701 20000731    35.8
20000801 20000831    74.5
20000901 20000930    49.4
20001001 20001031   111.7
20001101 20001130   121.4
20001201 20001231    58.9
20010101 20010131    34.0
20010201 20010228    46.2
20010301 20010331    39.2
20010401 20010430   102.0
20010501 20010531    16.0
20010601 20010630    13.6
20010701 20010731    61.5
20010801 20010831    15.4
20010901 20010930    29.8
20011001 20011031    95.6
20011101 20011130    59.2
20011201 20011231    20.8
20020101 20020131    70.0
20020201 20020228   110.7
20020301 20020331    29.0
20020401 20020430     9.4
20020501 20020531    27.8
20020601 20020630    33.6
20020701 20020731 99999.9
20020801 20020831     7.0
20020901 20020930    31.2
20021001 20021031     1.6
20021101 20021130    15.4
20021201 20021231    70.4
20030101 20030131     9.6
20030201 20030228   128.1
20030301 20030331    14.4
20030401 20030430    50.8
20030501 20030531     4.4
20030601 20030630    31.6
20030701 20030731    21.8
20030801 20030831   107.0
20030901 20030930     0.0
20031001 20031031    77.0
20031101 20031130   110.9
20031201 20031231    45.1
20040101 20040131    68.4
20040201 20040229    23.1
20040301 20040331    14.4
20040401 20040430     0.0
20040501 20040531    37.0
20040601 20040630     0.0
20040701 20040731    55.7
20040801 20040831    45.0
20040901 20040930    45.5
20041001 20041031    72.0
20041101 20041130    69.4
20041201 20041231    79.9
20050101 20050131    70.0
20050201 20050228    80.0
20050301 20050331    65.6
20050401 20050430     0.0
20050501 20050531     0.0
20050601 20050630   111.7
20050701 20050731    22.8
20050801 20050831     0.0
20050901 20050930   105.6
20051001 20051031    61.7
20051101 20051130   106.8
20051201 20051231     4.8
20060101 20060131    39.0
20060201 20060228     0.0
20060301 20060331     5.0
20060401 20060430     0.0
20060501 20060531     0.0
20060601 20060630     0.0
20060701 20060731    55.0
20060801 20060831    11.4
20060901 20060930    12.9
20061001 20061031 99999.9
20061101 20061130 99999.9
20061201 20061231    20.0
20070101 20070131    26.8
20070201 20070228    86.7
20070301 20070331 99999.9
20070401 20070430    24.2
20070501 20070531    12.6
20070601 20070630   133.4
20070701 20070731 99999.9
20070801 20070831 99999.9
20070901 20070930 99999.9
20071001 20071031 99999.9
20071101 20071130 99999.9
20071201 20071231 99999.9
20080101 20080131    94.5
20080201 20080229   109.5
20080301 20080331    16.0
20080401 20080430    14.5
20080501 20080531     9.5
20080601 20080630    52.2
20080701 20080731    42.8
20080801 20080831    48.9
20080901 20080930    80.5
20081001 20081031    79.5
20081101 20081130   144.6
20081201 20081231    82.0
20090101 20090131     1.5
20090201 20090228    56.6
20090301 20090331    18.0
20090401 20090430    49.2
20090501 20090531    13.5
20090601 20090630    25.9
20090701 20090731    21.0
20090801 20090831     6.0
20090901 20090930    36.6
20091001 20091031    64.1
20091101 20091130    12.3
20091201 20091231    91.8
20100101 20100131    57.1
20100201 20100228    80.6
20100301 20100331    67.0
20100401 20100430    84.7
20100501 20100531    53.6
20100601 20100630    18.6
20100701 20100731    96.9
20100801 20100831    66.8
20100901 20100930    79.3
20101001 20101031    75.0
20101101 20101130   142.7
20101201 20101231   184.0
20110101 20110131    38.5
20110201 20110228    15.5
20110301 20110331    57.5
20110401 20110430 99999.9
20110501 20110531    39.3
20110601 20110630    20.2
20110701 20110731     7.8
20110801 20110831    54.7
20110901 20110930    88.6
20111001 20111031    41.7
20111101 20111130   140.3
20111201 20111231    45.1
20120101 20120131    50.8
20120201 20120229   128.8
20120301 20120331   135.9
20120401 20120430    51.5
20120501 20120531    63.1
20120601 20120630 99999.9
20120701 20120731    59.8
20120801 20120831     0.0
20120901 20120930    32.4
20121001 20121031     0.0
20121101 20121130    13.2
20121201 20121231    52.9
20130101 20130131   102.9
20130201 20130228    62.4
20130301 20130331    53.1
20130401 20130430    15.6
20130501 20130531    59.5
20130601 20130630    50.2
20130701 20130731     0.0
20130801 20130831     6.6
20130901 20130930    40.8
20131001 20131031     0.0
20131101 20131130    51.2
20131201 20131231 99999.9
20140101 20140131 99999.9
20140201 20140228   100.6
20140301 20140331   114.5
20140401 20140430    85.1
20140501 20140531    23.2
20140601 20140630    32.5
20140701 20140731    40.7
20140801 20140831    34.6
20140901 20140930    23.0
20141001 20141031    23.0
20141101 20141130    16.0
20141201 20141231    92.2
20150101 20150131    29.8
20150201 20150228    24.6
20150301 20150331    57.5
20150401 20150430   101.0
20150501 20150531    48.9
20150601 20150630    40.5
20150701 20150731    45.2
20150801 20150831    21.0
20150901 20150930     0.0
20151001 20151031    18.5
20151101 20151130   121.0
20151201 20151231    62.0
20160101 20160131    98.7
20160201 20160229    46.0
20160301 20160331    17.2
20160401 20160430    10.4
20160501 20160531    56.7
20160601 20160630   104.3
20160701 20160731   113.9
20160801 20160831    26.7
20160901 20160930   163.7
20161001 20161031    54.5
20161101 20161130    52.5
20161201 20161231    75.2
20170101 20170131    58.6
20170201 20170228     6.4
20170301 20170331    80.5
20170401 20170430    19.3
20170501 20170531    22.4
20170601 20170630    17.2
20170701 20170731     0.0
20170801 20170831    25.9
20170901 20170930     4.1
20171001 20171031    22.3
20171101 20171130    40.9
