PRCP       061010 18950901 20180131 missing_value=99999.9 CLARENCE TOWN (GREY ST)                   
19170701 19170731     6.1
19170801 19170831    32.0
19170901 19170930   192.2
19171001 19171031    55.3
19171101 19171130   222.6
19171201 19171231    81.1
19180101 19180131   180.1
19180201 19180228   162.1
19180301 19180331    50.1
19180401 19180430    80.8
19180501 19180531    15.2
19180601 19180630     4.1
19180701 19180731   125.3
19180801 19180831    54.8
19180901 19180930   112.0
19181001 19181031    38.3
19181101 19181130    26.8
19181201 19181231     8.0
19190101 19190131    48.6
19190201 19190228    67.3
19190301 19190331   200.9
19190401 19190430    83.1
19190501 19190531   341.7
19190601 19190630    20.3
19190701 19190731    62.2
19190801 19190831     9.1
19190901 19190930    62.5
19191001 19191031   114.9
19191101 19191130    36.9
19191201 19191231    94.0
19200101 19200131    98.6
19200201 19200229    66.3
19200301 19200331    38.7
19200401 19200430    30.1
19200501 19200531    17.5
19200601 19200630    56.2
19200701 19200731   155.0
19200801 19200831    29.7
19200901 19200930    48.7
19201001 19201031    14.2
19201101 19201130    59.0
19201201 19201231   365.2
19210101 19210131   165.8
19210201 19210228    35.6
19210301 19210331   110.8
19210401 19210430   210.4
19210501 19210531   244.5
19210601 19210630   126.0
19210701 19210731   171.5
19210801 19210831    34.4
19210901 19210930    44.5
19211001 19211031   193.4
19211101 19211130    98.8
19211201 19211231   142.4
19220101 19220131   178.1
19220201 19220228   103.9
19220301 19220331     0.0
19220401 19220430    22.3
19220501 19220531    44.9
19220601 19220630    53.6
19220701 19220731   307.1
19220801 19220831   161.5
19220901 19220930   111.1
19221001 19221031    17.5
19221101 19221130    11.5
19221201 19221231    50.8
19230101 19230131    58.6
19230201 19230228     9.9
19230301 19230331    27.4
19230401 19230430   218.0
19230501 19230531    16.6
19230601 19230630   140.4
19230701 19230731    78.0
19230801 19230831    88.2
19230901 19230930    61.8
19231001 19231031    18.3
19231101 19231130    39.9
19231201 19231231   139.7
19240101 19240131   226.2
19240201 19240229    42.3
19240301 19240331    34.4
19240401 19240430   220.8
19240501 19240531   109.6
19240601 19240630    74.2
19240701 19240731    81.6
19240801 19240831    55.4
19240901 19240930    94.7
19241001 19241031    27.5
19241101 19241130   144.2
19241201 19241231   217.8
19250101 19250131   177.6
19250201 19250228    83.6
19250301 19250331   119.9
19250401 19250430    42.0
19250501 19250531   202.3
19250601 19250630   116.7
19250701 19250731    20.2
19250801 19250831   127.2
19250901 19250930    40.9
19251001 19251031    32.3
19251101 19251130    65.7
19251201 19251231   156.3
19260101 19260131    27.4
19260201 19260228    15.0
19260301 19260331   268.4
19260401 19260430   151.7
19260501 19260531    89.4
19260601 19260630    82.4
19260701 19260731   189.8
19260801 19260831    52.2
19260901 19260930    49.8
19261001 19261031    18.9
19261101 19261130    19.5
19261201 19261231   300.9
19270101 19270131   180.9
19270201 19270228    36.2
19270301 19270331   229.9
19270401 19270430   639.8
19270501 19270531    65.2
19270601 19270630    48.1
19270701 19270731     7.1
19270801 19270831     2.1
19270901 19270930    40.1
19271001 19271031    26.7
19271101 19271130   254.1
19271201 19271231   204.0
19280101 19280131   181.9
19280201 19280229   131.0
19280301 19280331   105.9
19280401 19280430   137.6
19280501 19280531    62.6
19280601 19280630   302.1
19280701 19280731   213.9
19280801 19280831    31.2
19280901 19280930     4.3
19281001 19281031    33.2
19281101 19281130    16.0
19281201 19281231    53.0
19290101 19290131    18.5
19290201 19290228   278.6
19290301 19290331    77.5
19290401 19290430    63.8
19290501 19290531    23.1
19290601 19290630    44.2
19290701 19290731    95.0
19290801 19290831    61.4
19290901 19290930   196.2
19291001 19291031   209.5
19291101 19291130    46.9
19291201 19291231    43.4
19300101 19300131    32.3
19300201 19300228   120.1
19300301 19300331   162.6
19300401 19300430    77.7
19300501 19300531   101.4
19300601 19300630   412.1
19300701 19300731    24.7
19300801 19300831    22.2
19300901 19300930     1.8
19301001 19301031    63.9
19301101 19301130    13.2
19301201 19301231   192.3
19310101 19310131    40.9
19310201 19310228    66.0
19310301 19310331   186.9
19310401 19310430   352.3
19310501 19310531    83.1
19310601 19310630    40.7
19310701 19310731   107.0
19310801 19310831    12.3
19310901 19310930    28.2
19311001 19311031    36.1
19311101 19311130    89.5
19311201 19311231   115.1
19320101 19320131     8.6
19320201 19320229    83.3
19320301 19320331   142.3
19320401 19320430    53.4
19320501 19320531    72.3
19320601 19320630    56.5
19320701 19320731    91.7
19320801 19320831    37.8
19320901 19320930   333.4
19321001 19321031    19.3
19321101 19321130    58.7
19321201 19321231    54.6
19330101 19330131    60.0
19330201 19330228    13.8
19330301 19330331    63.9
19330401 19330430    97.3
19330501 19330531    73.5
19330601 19330630    51.7
19330701 19330731   135.0
19330801 19330831     3.6
19330901 19330930   129.8
19331001 19331031   120.4
19331101 19331130    89.7
19331201 19331231    77.0
19340101 19340131    41.8
19340201 19340228   226.5
19340301 19340331    18.8
19340401 19340430   107.5
19340501 19340531    73.8
19340601 19340630    51.3
19340701 19340731   111.1
19340801 19340831    96.7
19340901 19340930   119.6
19341001 19341031    55.1
19341101 19341130    49.8
19341201 19341231   196.4
19350101 19350131    97.6
19350201 19350228   109.6
19350301 19350331   101.0
19350401 19350430    22.6
19350501 19350531    12.0
19350601 19350630    38.5
19350701 19350731    44.1
19350801 19350831     5.2
19350901 19350930    81.8
19351001 19351031    55.4
19351101 19351130    22.1
19351201 19351231    75.5
19360101 19360131   128.6
19360201 19360229   173.8
19360301 19360331   140.9
19360401 19360430    42.5
19360501 19360531    49.6
19360601 19360630    46.9
19360701 19360731    33.0
19360801 19360831    29.0
19360901 19360930    30.0
19361001 19361031     7.9
19361101 19361130    28.5
19361201 19361231   169.1
19370101 19370131   106.6
19370201 19370228    43.6
19370301 19370331   139.2
19370401 19370430    35.2
19370501 19370531    12.7
19370601 19370630   207.5
19370701 19370731    77.8
19370801 19370831    52.7
19370901 19370930    10.4
19371001 19371031    92.2
19371101 19371130   159.4
19371201 19371231    84.4
19380101 19380131   134.6
19380201 19380228    81.3
19380301 19380331    28.7
19380401 19380430    80.7
19380501 19380531    70.4
19380601 19380630    43.1
19380701 19380731    25.9
19380801 19380831    94.3
19380901 19380930    52.3
19381001 19381031    53.9
19381101 19381130   122.1
19381201 19381231     7.4
19390101 19390131    88.3
19390201 19390228     0.0
19390301 19390331   413.5
19390401 19390430    95.3
19390501 19390531    48.4
19390601 19390630     9.7
19390701 19390731    49.8
19390801 19390831    35.6
19390901 19390930   132.1
19391001 19391031    74.2
19391101 19391130    49.5
19391201 19391231     5.0
19400101 19400131    30.8
19400201 19400229     7.9
19400301 19400331    38.1
19400401 19400430   139.5
19400501 19400531    47.1
19400601 19400630    16.3
19400701 19400731    17.3
19400801 19400831   119.7
19400901 19400930    70.8
19401001 19401031    73.9
19401101 19401130    39.9
19401201 19401231   132.6
19410101 19410131   175.1
19410201 19410228   108.7
19410301 19410331    55.7
19410401 19410430    55.9
19410501 19410531    46.5
19410601 19410630    60.1
19410701 19410731    40.9
19410801 19410831    30.4
19410901 19410930    14.1
19411001 19411031    82.6
19411101 19411130    31.5
19411201 19411231    40.6
19420101 19420131    11.2
19420201 19420228    88.7
19420301 19420331   339.3
19420401 19420430    20.1
19420501 19420531    19.8
19420601 19420630    45.5
19420701 19420731   130.8
19420801 19420831    26.7
19420901 19420930     6.5
19421001 19421031   281.1
19421101 19421130   133.0
19421201 19421231    47.2
19430101 19430131    87.3
19430201 19430228    16.7
19430301 19430331    47.6
19430401 19430430    47.7
19430501 19430531   298.3
19430601 19430630    18.5
19430701 19430731     9.7
19430801 19430831   189.3
19430901 19430930    91.4
19431001 19431031    75.9
19431101 19431130   157.6
19431201 19431231   170.0
19440101 19440131    57.4
19440201 19440229    77.1
19440301 19440331    22.6
19440401 19440430    75.8
19440501 19440531    59.8
19440601 19440630    26.4
19440701 19440731    66.4
19440801 19440831    86.6
19440901 19440930    68.0
19441001 19441031    13.4
19441101 19441130     5.1
19441201 19441231    28.4
19450101 19450131    65.3
19450201 19450228    83.7
19450301 19450331    20.6
19450401 19450430    63.7
19450501 19450531    99.4
19450601 19450630   301.2
19450701 19450731    78.9
19450801 19450831    31.2
19450901 19450930     9.9
19451001 19451031    14.7
19451101 19451130    44.0
19451201 19451231    63.0
19460101 19460131    28.2
19460201 19460228    73.4
19460301 19460331   290.3
19460401 19460430   513.6
19460501 19460531    22.9
19460601 19460630   104.0
19460701 19460731     1.3
19460801 19460831     4.3
19460901 19460930    42.3
19461001 19461031    14.2
19461101 19461130    34.0
19461201 19461231    34.5
19470101 19470131    46.5
19470201 19470228   235.0
19470301 19470331    63.8
19470401 19470430    91.7
19470501 19470531    80.2
19470601 19470630    51.3
19470701 19470731    15.0
19470801 19470831    14.8
19470901 19470930    34.3
19471001 19471031    46.4
19471101 19471130    74.1
19471201 19471231   221.5
19480101 19480131   176.0
19480201 19480229    59.6
19480301 19480331   128.3
19480401 19480430    37.8
19480501 19480531    72.2
19480601 19480630   102.6
19480701 19480731    13.2
19480801 19480831    31.7
19480901 19480930   132.1
19481001 19481031    17.4
19481101 19481130    40.2
19481201 19481231    82.3
19490101 19490131   219.4
19490201 19490228   212.4
19490301 19490331   160.6
19490401 19490430   138.9
19490501 19490531    25.4
19490601 19490630   261.4
19490701 19490731   133.9
19490801 19490831    65.5
19490901 19490930   117.8
19491001 19491031    47.3
19491101 19491130    64.8
19491201 19491231    92.9
19500101 19500131    85.2
19500201 19500228   202.6
19500301 19500331    26.2
19500401 19500430    85.1
19500501 19500531    98.1
19500601 19500630   592.4
19500701 19500731   132.2
19500801 19500831    80.8
19500901 19500930    21.9
19501001 19501031   110.6
19501101 19501130   149.2
19501201 19501231    89.0
19510101 19510131   419.0
19510201 19510228   146.0
19510301 19510331   134.9
19510401 19510430    30.8
19510501 19510531    51.9
19510601 19510630   366.1
19510701 19510731    30.5
19510801 19510831    30.7
19510901 19510930    26.1
19511001 19511031    17.0
19511101 19511130     3.3
19511201 19511231    48.3
19520101 19520131    17.8
19520201 19520229    75.0
19520301 19520331    89.4
19520401 19520430    87.0
19520501 19520531    67.0
19520601 19520630    59.9
19520701 19520731    99.4
19520801 19520831   382.3
19520901 19520930    12.7
19521001 19521031    92.3
19521101 19521130    34.3
19521201 19521231    53.5
19530101 19530131   116.0
19530201 19530228   168.9
19530301 19530331   117.8
19530401 19530430    41.9
19530501 19530531   179.0
19530601 19530630     9.5
19530701 19530731    60.4
19530801 19530831    59.9
19530901 19530930    23.0
19531001 19531031    54.9
19531101 19531130    39.4
19531201 19531231    34.2
19540101 19540131   135.2
19540201 19540228   243.4
19540301 19540331    30.2
19540401 19540430    26.2
19540501 19540531    35.5
19540601 19540630    73.2
19540701 19540731   109.8
19540801 19540831    62.0
19540901 19540930   128.6
19541001 19541031    95.0
19541101 19541130   109.3
19541201 19541231    46.6
19550101 19550131    99.1
19550201 19550228   312.2
19550301 19550331   208.2
19550401 19550430   112.1
19550501 19550531    88.4
19550601 19550630    53.5
19550701 19550731    42.6
19550801 19550831    10.0
19550901 19550930    28.4
19551001 19551031    54.9
19551101 19551130   134.4
19551201 19551231    63.0
19560101 19560131   129.8
19560201 19560229   264.9
19560301 19560331   405.9
19560401 19560430    24.5
19560501 19560531   134.1
19560601 19560630    87.2
19560701 19560731    33.7
19560801 19560831    66.1
19560901 19560930    14.8
19561001 19561031    53.5
19561101 19561130    12.7
19561201 19561231    82.9
19570101 19570131    22.3
19570201 19570228   205.9
19570301 19570331    98.5
19570401 19570430    27.0
19570501 19570531     2.0
19570601 19570630    27.9
19570701 19570731    95.2
19570801 19570831   154.1
19570901 19570930    20.5
19571001 19571031     3.8
19571101 19571130    18.8
19571201 19571231    47.5
19580101 19580131   105.2
19580201 19580228   113.9
19580301 19580331    50.0
19580401 19580430   107.3
19580501 19580531    26.2
19580601 19580630    87.7
19580701 19580731    21.0
19580801 19580831    48.1
19580901 19580930    85.9
19581001 19581031    53.0
19581101 19581130    29.5
19581201 19581231   128.9
19590101 19590131   128.2
19590201 19590228   123.1
19590301 19590331   148.1
19590401 19590430    54.1
19590501 19590531    60.5
19590601 19590630    72.8
19590701 19590731    67.9
19590801 19590831   146.0
19590901 19590930    38.9
19591001 19591031   214.9
19591101 19591130    88.9
19591201 19591231    88.9
19600101 19600131    74.8
19600201 19600229    90.5
19600301 19600331    53.9
19600401 19600430    36.6
19600501 19600531    71.8
19600601 19600630   249.7
19600701 19600731    20.6
19600801 19600831    28.0
19600901 19600930    57.1
19601001 19601031   131.8
19601101 19601130    65.9
19601201 19601231   196.9
19610101 19610131   113.5
19610201 19610228    81.1
19610301 19610331    64.3
19610401 19610430    70.4
19610501 19610531    39.7
19610601 19610630   114.6
19610701 19610731    15.0
19610801 19610831   119.3
19610901 19610930    43.2
19611001 19611031    32.1
19611101 19611130   102.2
19611201 19611231   206.0
19620101 19620131   139.8
19620201 19620228   158.4
19620301 19620331    56.0
19620401 19620430   254.7
19620501 19620531   259.6
19620601 19620630     8.6
19620701 19620731    57.5
19620801 19620831    46.2
19620901 19620930    85.8
19621001 19621031    41.2
19621101 19621130    31.1
19621201 19621231   177.4
19630101 19630131   166.0
19630201 19630228    22.9
19630301 19630331   352.2
19630401 19630430   241.0
19630501 19630531   159.0
19630601 19630630   199.5
19630701 19630731    45.2
19630801 19630831   138.3
19630901 19630930    91.8
19631001 19631031    45.4
19631101 19631130    74.9
19631201 19631231    94.1
19640101 19640131    87.4
19640201 19640229    57.5
19640301 19640331    78.8
19640401 19640430    76.9
19640501 19640531    75.7
19640601 19640630   193.8
19640701 19640731    13.0
19640801 19640831    26.1
19640901 19640930    29.5
19641001 19641031    41.6
19641101 19641130    26.7
19641201 19641231    44.5
19650101 19650131    15.8
19650201 19650228    10.0
19650301 19650331     3.1
19650401 19650430    61.1
19650501 19650531    12.2
19650601 19650630    42.7
19650701 19650731   103.2
19650801 19650831    12.4
19650901 19650930    52.9
19651001 19651031    90.2
19651101 19651130    16.6
19651201 19651231   104.0
19660101 19660131    33.1
19660201 19660228   124.7
19660301 19660331    82.2
19660401 19660430    64.5
19660501 19660531    42.9
19660601 19660630    55.2
19660701 19660731     8.5
19660801 19660831    80.8
19660901 19660930    24.6
19661001 19661031    69.6
