PRCP       061010 18950901 20180131 missing_value=99999.9 CLARENCE TOWN (GREY ST)                   
19910801 19910831    14.0
19910901 19910930     7.2
19911001 19911031    18.6
19911101 19911130    32.2
19911201 19911231   148.8
19920101 19920131    53.6
19920201 19920229   215.0
19920301 19920331    91.8
19920401 19920430    93.4
19920501 19920531    39.4
19920601 19920630   106.8
19920701 19920731    25.4
19920801 19920831    49.8
19920901 19920930    11.2
19921001 19921031    16.4
19921101 19921130    99.8
19921201 19921231   246.4
19930101 19930131   101.4
19930201 19930228    64.6
19930301 19930331   164.2
19930401 19930430    34.2
19930501 19930531    12.6
19930601 19930630    84.6
19930701 19930731    81.4
19930801 19930831    69.8
19930901 19930930    47.6
19931001 19931031    54.0
19931101 19931130    57.2
19931201 19931231    42.8
19940101 19940131    74.8
19940201 19940228    88.4
19940301 19940331   125.0
19940401 19940430    92.6
19940501 19940531    76.6
19940601 19940630    72.3
19940701 19940731    48.8
19940801 19940831    34.4
19940901 19940930     6.2
19941001 19941031    44.4
19941101 19941130    80.4
19941201 19941231    78.0
19950101 19950131   115.8
19950201 19950228    66.4
19950301 19950331   268.6
19950401 19950430    23.2
19950501 19950531   141.4
19950601 19950630    86.6
19950701 19950731     2.0
19950801 19950831     0.0
19950901 19950930   135.8
19951001 19951031    33.4
19951101 19951130   122.4
19951201 19951231   167.6
19960101 19960131   113.8
19960201 19960229   101.2
19960301 19960331    66.6
19960401 19960430     3.6
19960501 19960531   119.6
19960601 19960630    56.6
19960701 19960731    25.6
19960801 19960831    47.0
19960901 19960930    61.4
19961001 19961031    37.8
19961101 19961130    90.8
19961201 19961231    99.8
19970101 19970131   104.0
19970201 19970228   129.2
19970301 19970331   111.2
19970401 19970430    34.8
19970501 19970531   132.8
19970601 19970630    98.4
19970701 19970731    97.2
19970801 19970831    10.2
19970901 19970930    52.8
19971001 19971031    37.2
19971101 19971130    29.8
19971201 19971231    37.0
19980101 19980131   144.2
19980201 19980228    61.6
19980301 19980331    49.2
19980401 19980430   196.6
19980501 19980531   293.4
19980601 19980630   100.8
19980701 19980731    85.4
19980801 19980831   129.6
19980901 19980930    95.6
19981001 19981031    60.4
19981101 19981130   189.4
19981201 19981231    58.0
19990101 19990131   125.2
19990201 19990228   178.4
19990301 19990331    58.2
19990401 19990430   212.8
19990501 19990531    21.8
19990601 19990630   154.4
19990701 19990731   153.0
19990801 19990831    54.8
19990901 19990930    53.2
19991001 19991031   123.8
19991101 19991130    80.2
19991201 19991231    69.8
20000101 20000131    82.6
20000201 20000229    52.8
20000301 20000331   373.2
20000401 20000430    78.4
20000501 20000531    42.2
20000601 20000630    46.0
20000701 20000731    40.8
20000801 20000831    22.0
20000901 20000930    20.4
20001001 20001031    46.6
20001101 20001130    92.0
20001201 20001231    61.6
20010101 20010131    37.8
20010201 20010228   160.0
20010301 20010331   306.0
20010401 20010430    37.8
20010501 20010531   427.8
20010601 20010630     3.8
20010701 20010731    64.0
20010801 20010831    34.4
20010901 20010930    33.0
20011001 20011031    33.4
20011101 20011130   168.2
20011201 20011231    55.4
20020101 20020131    32.8
20020201 20020228   199.8
20020301 20020331   122.8
20020401 20020430    39.6
20020501 20020531    49.8
20020601 20020630   102.2
20020701 20020731    24.8
20020801 20020831    26.2
20020901 20020930    33.6
20021001 20021031     7.0
20021101 20021130    82.4
20021201 20021231   170.2
20030101 20030131    11.0
20030201 20030228    74.8
20030301 20030331    54.8
20030401 20030430   115.4
20030501 20030531   196.6
20030601 20030630    24.2
20030701 20030731    49.8
20030801 20030831    39.8
20030901 20030930     0.4
20031001 20031031    68.2
20031101 20031130   139.8
20031201 20031231    61.6
20040101 20040131   125.2
20040201 20040229   150.2
20040301 20040331   151.2
20040401 20040430    22.8
20040501 20040531    29.4
20040601 20040630    14.8
20040701 20040731    46.6
20040801 20040831    53.0
20040901 20040930    51.0
20041001 20041031   206.2
20041101 20041130    64.0
20041201 20041231    82.8
20050101 20050131    78.0
20050201 20050228   121.6
20050301 20050331   223.2
20050401 20050430    28.6
20050501 20050531   106.8
20050601 20050630   109.0
20050701 20050731    16.8
20050801 20050831     0.6
20050901 20050930    50.2
20051001 20051031    83.2
20051101 20051130    79.0
20051201 20051231    43.0
20060101 20060131    40.8
20060201 20060228   108.2
20060301 20060331    54.2
20060401 20060430    55.8
20060501 20060531    18.8
20060601 20060630    36.0
20060701 20060731    64.8
20060801 20060831    62.4
20060901 20060930   143.0
20061001 20061031    20.0
20061101 20061130   129.8
20061201 20061231   101.8
20070101 20070131    11.6
20070201 20070228    43.4
20070301 20070331   176.0
20070401 20070430    62.2
20070501 20070531    67.8
20070601 20070630   402.0
20070701 20070731    50.8
20070801 20070831    90.4
20070901 20070930    31.4
20071001 20071031    38.8
20071101 20071130   151.8
20071201 20071231   112.0
20080101 20080131   180.6
20080201 20080229   247.4
20080301 20080331    51.2
20080401 20080430   268.6
20080501 20080531    22.6
20080601 20080630   123.4
20080701 20080731    49.2
20080801 20080831    27.0
20080901 20080930   161.4
20081001 20081031    57.2
20081101 20081130    85.8
20081201 20081231    75.8
20090101 20090131    31.8
20090201 20090228   319.4
20090301 20090331    90.6
20090401 20090430   325.0
20090501 20090531   126.8
20090601 20090630    88.0
20090701 20090731    36.6
20090801 20090831     3.8
20090901 20090930    17.4
20091001 20091031    85.0
20091101 20091130    77.4
20091201 20091231    81.0
20100101 20100131    62.0
20100201 20100228    90.4
20100301 20100331   103.0
20100401 20100430    21.8
20100501 20100531    86.0
20100601 20100630    97.4
20100701 20100731    73.0
20100801 20100831    60.8
20100901 20100930    21.8
20101001 20101031    73.2
20101101 20101130   115.0
20101201 20101231    53.4
20110101 20110131    44.4
20110201 20110228   157.2
20110301 20110331    89.0
20110401 20110430   133.6
20110501 20110531   123.8
20110601 20110630   203.0
20110701 20110731   173.0
20110801 20110831    56.6
20110901 20110930   104.4
20111001 20111031    96.6
20111101 20111130   168.0
20111201 20111231   118.0
20120101 20120131    75.6
20120201 20120229   176.0
20120301 20120331   108.2
20120401 20120430   104.0
20120501 20120531    24.9
20120601 20120630    96.6
20120701 20120731    56.0
20120801 20120831    39.6
20120901 20120930    21.4
20121001 20121031    13.4
20121101 20121130    42.0
20121201 20121231   152.0
20130101 20130131   137.2
20130201 20130228   224.8
20130301 20130331   149.0
20130401 20130430    68.0
20130501 20130531    69.4
20130601 20130630    83.0
20130701 20130731    35.2
20130801 20130831     4.0
20130901 20130930    22.0
20131001 20131031    52.4
20131101 20131130   354.2
20131201 20131231    17.2
20140101 20140131    18.1
20140201 20140228    69.8
20140301 20140331   113.8
20140401 20140430    76.4
20140501 20140531    30.0
20140601 20140630    36.6
20140701 20140731    20.0
20140801 20140831   106.0
20140901 20140930    47.0
20141001 20141031    27.8
20141101 20141130    30.6
20141201 20141231   223.2
20150101 20150131   134.2
20150201 20150228    32.0
20150301 20150331   128.2
20150401 20150430   451.8
20150501 20150531   130.6
20150601 20150630    54.0
20150701 20150731    25.2
20150801 20150831    35.6
20150901 20150930    85.6
20151001 20151031    48.6
20151101 20151130   162.8
20151201 20151231   147.4
20160101 20160131   472.2
20160201 20160229    38.6
20160301 20160331    36.4
20160401 20160430    43.0
20160501 20160531    14.8
20160601 20160630   113.0
20160701 20160731    54.6
20160801 20160831    68.2
20160901 20160930    55.0
20161001 20161031    50.0
20161101 20161130    64.6
20161201 20161231    83.6
20170101 20170131    62.4
20170201 20170228    88.8
20170301 20170331   218.0
20170401 20170430    91.2
20170501 20170531    14.8
20170601 20170630   121.6
20170701 20170731     8.6
20170801 20170831    17.4
20170901 20170930     8.0
20171001 20171031    91.0
20171101 20171130    41.2
20171201 20171231    53.2
20180101 20180131    16.2
