PRCP       002014 19070101 20100831 missing_value=99999.9 KIMBERLEY RES.STATION                     
19281201 19281231    81.0
19290101 19290131    78.9
19290201 19290228   116.1
19290301 19290331   287.3
19290401 19290430    10.1
19290501 19290531     0.0
19290601 19290630     0.0
19290701 19290731     0.0
19290801 19290831     0.0
19290901 19290930     0.0
19291001 19291031     1.3
19291101 19291130    10.0
19291201 19291231   138.4
19300101 19300131    41.6
19300201 19300228   330.4
19300301 19300331    23.9
19300401 19300430     0.0
19300501 19300531     0.0
19300601 19300630     0.0
19300701 19300731     0.0
19300801 19300831     0.0
19300901 19300930     0.0
19301001 19301031    22.1
19301101 19301130    67.3
19301201 19301231   164.4
19310101 19310131   419.2
19310201 19310228    19.5
19310301 19310331    63.8
19310401 19310430     0.0
19310501 19310531     0.0
19310601 19310630     0.0
19310701 19310731     0.0
19310801 19310831     0.0
19310901 19310930     0.0
19311001 19311031     2.5
19311101 19311130    55.9
19311201 19311231    46.3
19320101 19320131    89.2
19320201 19320229   201.0
19320301 19320331   103.9
19320401 19320430     0.0
19320501 19320531     6.0
19320601 19320630     0.0
19320701 19320731     0.0
19320801 19320831     0.0
19320901 19320930     0.0
19321001 19321031     4.0
19321101 19321130   127.1
19321201 19321231   137.9
19330101 19330131    89.8
19330201 19330228    34.5
19330301 19330331   155.3
19330401 19330430     0.0
19330501 19330531     0.0
19330601 19330630     8.0
19330701 19330731     0.0
19330801 19330831    14.0
19330901 19330930     0.0
19331001 19331031     5.2
19331101 19331130     7.5
19331201 19331231   152.2
19340101 19340131   156.6
19340201 19340228   109.8
19340301 19340331   144.3
19340401 19340430    37.6
19340501 19340531     0.0
19340601 19340630     0.0
19340701 19340731    21.0
19340801 19340831     0.0
19340901 19340930     0.0
19341001 19341031     2.3
19341101 19341130    74.1
19341201 19341231     6.5
19350101 19350131   213.9
19350201 19350228   143.7
19350301 19350331   170.1
19350401 19350430     0.0
19350501 19350531     0.0
19350601 19350630     0.0
19350701 19350731     0.0
19350801 19350831     0.0
19350901 19350930     0.0
19351001 19351031    11.7
19351101 19351130    27.6
19351201 19351231    20.8
19360101 19360131   188.5
19360201 19360229    68.1
19360301 19360331    26.3
19360401 19360430   127.7
19360501 19360531     0.0
19360601 19360630     2.5
19360701 19360731     0.0
19360801 19360831     0.0
19360901 19360930     0.0
19361001 19361031    61.6
19361101 19361130    94.5
19361201 19361231   143.5
19370101 19370131   358.9
19370201 19370228    40.0
19370301 19370331    93.2
19370401 19370430    40.0
19370501 19370531     0.0
19370601 19370630     0.0
19370701 19370731     0.0
19370801 19370831     0.0
19370901 19370930     3.3
19371001 19371031    10.1
19371101 19371130    10.7
19371201 19371231    37.1
19380101 19380131   177.6
19380201 19380228   203.6
19380301 19380331     0.0
19380401 19380430     0.0
19380501 19380531     0.0
19380601 19380630     0.0
19380701 19380731     0.0
19380801 19380831     0.0
19380901 19380930     0.0
19381001 19381031     8.8
19381101 19381130   221.6
19381201 19381231    73.2
19390101 19390131    81.9
19390201 19390228   202.6
19390301 19390331    47.8
19390401 19390430    49.2
19390501 19390531     0.0
19390601 19390630    92.5
19390701 19390731    20.0
19390801 19390831     0.0
19390901 19390930     0.0
19391001 19391031     5.0
19391101 19391130    14.8
19391201 19391231   134.7
19400101 19400131   229.1
19400201 19400229   229.4
19400301 19400331   163.8
19400401 19400430    20.8
19400501 19400531     0.0
19400601 19400630     0.0
19400701 19400731     0.0
19400801 19400831     0.0
19400901 19400930     0.0
19401001 19401031     2.0
19401101 19401130    30.6
19401201 19401231   167.8
19410101 19410131   111.7
19410201 19410228    20.8
19410301 19410331   109.6
19410401 19410430     0.0
19410501 19410531     9.8
19410601 19410630    35.0
19410701 19410731     0.0
19410801 19410831     0.0
19410901 19410930     0.0
19411001 19411031    10.5
19411101 19411130    59.1
19411201 19411231   124.8
19420101 19420131   324.3
19420201 19420228   503.2
19420301 19420331    63.6
19420401 19420430    21.1
19420501 19420531    23.2
19420601 19420630    10.1
19420701 19420731     1.3
19420801 19420831     0.2
19420901 19420930     3.1
19421001 19421031    24.0
19421101 19421130    72.0
19421201 19421231   117.9
19430101 19430131    90.2
19430201 19430228   198.2
19430301 19430331   270.5
19430401 19430430    16.8
19430501 19430531     0.0
19430601 19430630     0.0
19430701 19430731     0.0
19430801 19430831     0.0
19430901 19430930     0.0
19431001 19431031     0.0
19431101 19431130    38.2
19431201 19431231   103.7
19440101 19440131   321.5
19440201 19440229   137.3
19440301 19440331   378.5
19440401 19440430     0.0
19440501 19440531     0.0
19440601 19440630     0.0
19440701 19440731     0.0
19440801 19440831     0.0
19440901 19440930     0.0
19441001 19441031    41.9
19441101 19441130    14.5
19441201 19441231   195.1
19450101 19450131   149.4
19450201 19450228   158.2
19450301 19450331   114.6
19450401 19450430    28.7
19450501 19450531     0.0
19450601 19450630     0.0
19450701 19450731     0.0
19450801 19450831     0.0
19450901 19450930     0.0
19451001 19451031    77.8
19451101 19451130    42.5
19451201 19451231   209.0
19460101 19460131   260.8
19460201 19460228   381.2
19460301 19460331    15.7
19460401 19460430     0.0
19460501 19460531     0.0
19460601 19460630     0.0
19460701 19460731     0.0
19460801 19460831     0.0
19460901 19460930     0.0
19461001 19461031     2.3
19461101 19461130    12.6
19461201 19461231   199.7
19470101 19470131   117.4
19470201 19470228   127.1
19470301 19470331   172.1
19470401 19470430    20.2
19470501 19470531     0.0
19470601 19470630     0.0
19470701 19470731     0.0
19470801 19470831     4.8
19470901 19470930    29.2
19471001 19471031     9.5
19471101 19471130   218.2
19471201 19471231    93.2
19480101 19480131    21.1
19480201 19480229   114.4
19480301 19480331    85.1
19480401 19480430    22.5
19480501 19480531     0.0
19480601 19480630     0.0
19480701 19480731     0.0
19480801 19480831     0.0
19480901 19480930     0.0
19481001 19481031    21.9
19481101 19481130    13.0
19481201 19481231   211.8
19490101 19490131   159.5
19490201 19490228   244.7
19490301 19490331   150.2
19490401 19490430     0.0
19490501 19490531     0.0
19490601 19490630     0.0
19490701 19490731     0.0
19490801 19490831     0.0
19490901 19490930     2.8
19491001 19491031    22.4
19491101 19491130    45.2
19491201 19491231   282.3
19500101 19500131   398.0
19500201 19500228   169.6
19500301 19500331    50.8
19500401 19500430     8.4
19500501 19500531     0.3
19500601 19500630    10.9
19500701 19500731     0.0
19500801 19500831     0.0
19500901 19500930    32.5
19501001 19501031    71.9
19501101 19501130    63.8
19501201 19501231   193.8
19510101 19510131   129.8
19510201 19510228   387.9
19510301 19510331    44.2
19510401 19510430     0.0
19510501 19510531     0.0
19510601 19510630     0.0
19510701 19510731     0.0
19510801 19510831     0.0
19510901 19510930     0.0
19511001 19511031     1.1
19511101 19511130    28.9
19511201 19511231    79.0
19520101 19520131   200.6
19520201 19520229    53.0
19520301 19520331    48.1
19520401 19520430    28.7
19520501 19520531     0.0
19520601 19520630     0.0
19520701 19520731     0.0
19520801 19520831     0.0
19520901 19520930     0.0
19521001 19521031     0.0
19521101 19521130    12.5
19521201 19521231    81.3
19530101 19530131   207.6
19530201 19530228   180.8
19530301 19530331    59.1
19530401 19530430    25.2
19530501 19530531     0.0
19530601 19530630     0.0
19530701 19530731     0.0
19530801 19530831     0.0
19530901 19530930     1.1
19531001 19531031     3.3
19531101 19531130    38.5
19531201 19531231    77.8
19540101 19540131   207.0
19540201 19540228    71.1
19540301 19540331    46.4
19540401 19540430    67.6
19540501 19540531     0.0
19540601 19540630     0.0
19540701 19540731     0.0
19540801 19540831     0.0
19540901 19540930     0.0
19541001 19541031    92.9
19541101 19541130    72.3
19541201 19541231    87.5
19550101 19550131   110.7
19550201 19550228   167.3
19550301 19550331   313.4
19550401 19550430   121.8
19550501 19550531    33.8
19550601 19550630     4.8
19550701 19550731    33.4
19550801 19550831     0.0
19550901 19550930     5.1
19551001 19551031     7.9
19551101 19551130    32.0
19551201 19551231   103.3
19560101 19560131   108.7
19560201 19560229   225.1
19560301 19560331   100.4
19560401 19560430    11.4
19560501 19560531    95.0
19560601 19560630     0.0
19560701 19560731    65.0
19560801 19560831     0.0
19560901 19560930     0.0
19561001 19561031    10.9
19561101 19561130    32.5
19561201 19561231    86.8
19570101 19570131   311.1
19570201 19570228   173.0
19570301 19570331    74.5
19570401 19570430    29.7
19570501 19570531     0.0
19570601 19570630    86.7
19570701 19570731     0.0
19570801 19570831     0.0
19570901 19570930     0.0
19571001 19571031    16.3
19571101 19571130    34.8
19571201 19571231   171.9
19580101 19580131   180.8
19580201 19580228    63.1
19580301 19580331    47.7
19580401 19580430    21.6
19580501 19580531     0.3
19580601 19580630     0.0
19580701 19580731     0.0
19580801 19580831     0.0
19580901 19580930     0.8
19581001 19581031    15.0
19581101 19581130    91.4
19581201 19581231   165.0
19590101 19590131   511.6
19590201 19590228   149.3
19590301 19590331    23.7
19590401 19590430   540.8
19590501 19590531    34.2
19590601 19590630     0.0
19590701 19590731     0.0
19590801 19590831     0.0
19590901 19590930     0.0
19591001 19591031    13.7
19591101 19591130    39.7
19591201 19591231   135.6
19600101 19600131   262.4
19600201 19600229   291.3
19600301 19600331   325.2
19600401 19600430    44.1
19600501 19600531    42.9
19600601 19600630     0.0
19600701 19600731     0.0
19600801 19600831     0.0
19600901 19600930     0.0
19601001 19601031     0.0
19601101 19601130    39.9
19601201 19601231   134.4
19610101 19610131    35.3
19610201 19610228   188.0
19610301 19610331    16.8
19610401 19610430   156.5
19610501 19610531     0.0
19610601 19610630     0.0
19610701 19610731     0.0
19610801 19610831     0.0
19610901 19610930     0.0
19611001 19611031     1.8
19611101 19611130    51.1
19611201 19611231   130.7
19620101 19620131   575.9
19620201 19620228   296.5
19620301 19620331    10.7
19620401 19620430     0.0
19620501 19620531     6.4
19620601 19620630     0.0
19620701 19620731    10.2
19620801 19620831     0.0
19620901 19620930     0.0
19621001 19621031    49.0
19621101 19621130    44.1
19621201 19621231   154.0
19630101 19630131   252.5
19630201 19630228   222.8
19630301 19630331    62.5
19630401 19630430    40.6
19630501 19630531     0.0
19630601 19630630     0.0
19630701 19630731     0.0
19630801 19630831     0.0
19630901 19630930     0.0
19631001 19631031     4.1
19631101 19631130    37.8
19631201 19631231   137.7
19640101 19640131   190.2
19640201 19640229    63.2
19640301 19640331   142.7
19640401 19640430    19.3
19640501 19640531    11.2
19640601 19640630     0.0
19640701 19640731     0.0
19640801 19640831     0.0
19640901 19640930     7.4
19641001 19641031    14.2
19641101 19641130    58.7
19641201 19641231    32.0
19650101 19650131   120.4
19650201 19650228   104.6
19650301 19650331   121.2
19650401 19650430     0.0
19650501 19650531     0.0
19650601 19650630     0.0
19650701 19650731     0.0
19650801 19650831     0.0
19650901 19650930     0.0
19651001 19651031     1.0
19651101 19651130    10.9
19651201 19651231   119.6
19660101 19660131   222.3
19660201 19660228   155.2
19660301 19660331    85.1
19660401 19660430     0.0
19660501 19660531     0.0
19660601 19660630     0.3
19660701 19660731     0.0
19660801 19660831     0.0
19660901 19660930     0.0
19661001 19661031    47.8
19661101 19661130   209.5
19661201 19661231   106.2
19670101 19670131    98.3
19670201 19670228   356.6
19670301 19670331    70.9
19670401 19670430     0.0
19670501 19670531     0.0
19670601 19670630     0.0
19670701 19670731     0.0
19670801 19670831     0.0
19670901 19670930     0.0
19671001 19671031     0.0
19671101 19671130    59.2
19671201 19671231    69.6
19680101 19680131   319.0
19680201 19680229   453.9
19680301 19680331   125.7
19680401 19680430     4.3
19680501 19680531   130.8
19680601 19680630     0.0
19680701 19680731    79.2
19680801 19680831     0.0
19680901 19680930     0.0
19681001 19681031     3.0
19681101 19681130   113.3
19681201 19681231   141.2
19690101 19690131   146.1
19690201 19690228   503.5
19690301 19690331   267.0
19690401 19690430     0.0
19690501 19690531     3.8
19690601 19690630     1.5
19690701 19690731     0.0
19690801 19690831     0.0
19690901 19690930     0.0
19691001 19691031    21.9
19691101 19691130    15.4
19691201 19691231   114.0
19700101 19700131    59.3
19700201 19700228   147.7
19700301 19700331    28.0
19700401 19700430    42.2
19700501 19700531     2.3
19700601 19700630     0.0
19700701 19700731     0.0
19700801 19700831     0.0
19700901 19700930    10.4
19701001 19701031     0.0
19701101 19701130    76.7
19701201 19701231    63.4
19710101 19710131   141.0
19710201 19710228   112.0
19710301 19710331   111.5
19710401 19710430    16.5
19710501 19710531     0.0
19710601 19710630     0.0
19710701 19710731     0.0
19710801 19710831     0.0
19710901 19710930     0.0
19711001 19711031   125.2
19711101 19711130    27.7
19711201 19711231   210.5
19720101 19720131    85.7
19720201 19720229   153.4
19720301 19720331   146.9
19720401 19720430    56.9
19720501 19720531     0.0
19720601 19720630     0.0
19720701 19720731     0.0
19720801 19720831     0.0
19720901 19720930     0.8
19721001 19721031    17.3
19721101 19721130    90.7
19721201 19721231    55.6
19730101 19730131   141.3
19730201 19730228    31.7
19730301 19730331   225.7
19730401 19730430    73.2
19730501 19730531    12.4
19730601 19730630     8.4
19730701 19730731     0.0
19730801 19730831    13.7
19730901 19730930     9.9
19731001 19731031    50.3
19731101 19731130   229.2
19731201 19731231   118.3
19740101 19740131   228.6
19740201 19740228   262.6
19740301 19740331   282.8
19740401 19740430    59.6
19740501 19740531     3.2
19740601 19740630     0.0
19740701 19740731     0.0
19740801 19740831     0.0
19740901 19740930     0.3
19741001 19741031    35.7
19741101 19741130    99.5
19741201 19741231   115.7
19750101 19750131   174.8
19750201 19750228   161.4
19750301 19750331   130.0
19750401 19750430    60.0
19750501 19750531     0.0
19750601 19750630     0.0
19750701 19750731     0.0
19750801 19750831     0.0
19750901 19750930     7.2
19751001 19751031    83.6
19751101 19751130    26.3
19751201 19751231   119.7
19760101 19760131   145.4
19760201 19760229   237.8
19760301 19760331   161.3
19760401 19760430    33.4
19760501 19760531     0.0
19760601 19760630     0.0
19760701 19760731     0.1
19760801 19760831     0.0
19760901 19760930     0.0
19761001 19761031     4.2
19761101 19761130    31.7
19761201 19761231    92.5
19770101 19770131   145.4
19770201 19770228   163.8
19770301 19770331   153.8
19770401 19770430    18.7
19770501 19770531     0.0
19770601 19770630     0.0
19770701 19770731     0.0
19770801 19770831     0.0
19770901 19770930     0.0
19771001 19771031    12.0
19771101 19771130    58.0
19771201 19771231   154.6
19780101 19780131   173.2
19780201 19780228   205.6
19780301 19780331    60.3
19780401 19780430    18.2
19780501 19780531     2.0
19780601 19780630    12.8
