PRCP       099005 18990301 20180131 missing_value=99999.9 FLINDERS ISLAND AIRPORT                   
19940501 19940531    70.6
19940601 19940630    45.2
19940701 19940731    23.4
19940801 19940831    41.0
19940901 19940930    30.0
19941001 19941031    29.0
19941101 19941130   109.4
19941201 19941231    54.0
19950101 19950131    44.2
19950201 19950228    47.2
19950301 19950331    29.0
19950401 19950430    86.0
19950501 19950531    41.8
19950601 19950630    71.4
19950701 19950731    45.0
19950801 19950831    15.4
19950901 19950930    29.6
19951001 19951031    45.6
19951101 19951130   113.4
19951201 19951231    60.2
19960101 19960131    97.4
19960201 19960229    55.0
19960301 19960331    38.8
19960401 19960430    70.6
19960501 19960531    33.0
19960601 19960630    94.0
19960701 19960731   124.4
19960801 19960831    89.2
19960901 19960930    72.0
19961001 19961031    22.0
19961101 19961130    34.6
19961201 19961231    14.0
19970101 19970131    31.2
19970201 19970228     4.4
19970301 19970331    20.4
19970401 19970430    15.2
19970501 19970531    92.0
19970601 19970630    31.6
19970701 19970731    14.2
19970801 19970831    41.6
19970901 19970930   120.8
19971001 19971031    15.6
19971101 19971130    39.8
19971201 19971231     8.2
19980101 19980131   147.2
19980201 19980228    38.2
19980301 19980331     7.2
19980401 19980430    48.6
19980501 19980531    47.0
19980601 19980630   103.4
19980701 19980731    39.6
19980801 19980831    27.8
19980901 19980930    37.8
19981001 19981031    64.8
19981101 19981130    58.8
19981201 19981231    69.4
19990101 19990131    22.2
19990201 19990228    23.6
19990301 19990331    22.4
19990401 19990430    59.4
19990501 19990531   115.2
19990601 19990630    45.4
19990701 19990731    34.6
19990801 19990831    42.0
19990901 19990930    26.6
19991001 19991031    49.8
19991101 19991130    20.6
19991201 19991231    60.2
20000101 20000131   127.6
20000201 20000229    17.4
20000301 20000331    19.6
20000401 20000430    36.4
20000501 20000531    88.6
20000601 20000630    49.8
20000701 20000731    81.0
20000801 20000831   167.0
20000901 20000930   122.4
20001001 20001031    48.0
20001101 20001130    41.0
20001201 20001231    24.4
20010101 20010131    47.8
20010201 20010228     1.8
20010301 20010331   124.0
20010401 20010430   104.0
20010501 20010531    39.4
20010601 20010630    51.2
20010701 20010731    73.4
20010801 20010831   125.6
20010901 20010930    23.0
20011001 20011031   123.8
20011101 20011130    79.4
20011201 20011231    54.4
20020101 20020131    47.0
20020201 20020228    48.2
20020301 20020331    14.0
20020401 20020430    42.8
20020501 20020531    39.8
20020601 20020630    93.2
20020701 20020731    70.6
20020801 20020831    28.8
20020901 20020930    82.6
20021001 20021031    82.0
20021101 20021130    26.8
20021201 20021231     9.0
20030101 20030131    27.4
20030201 20030228     4.4
20030301 20030331    92.2
20030401 20030430    46.8
20030501 20030531    22.8
20030601 20030630    83.0
20030701 20030731    68.2
20030801 20030831    50.0
20030901 20030930    89.0
20031001 20031031    56.4
20031101 20031130    25.6
20031201 20031231    40.2
20040101 20040131    57.2
20040201 20040229     4.0
20040301 20040331    34.8
20040401 20040430    29.4
20040501 20040531    50.6
20040601 20040630   100.0
20040701 20040731    58.6
20040801 20040831    52.4
20040901 20040930    19.2
20041001 20041031    71.4
20041101 20041130   118.2
20041201 20041231    63.4
20050101 20050131    45.8
20050201 20050228    66.8
20050301 20050331     7.6
20050401 20050430    14.8
20050501 20050531    19.2
20050601 20050630    47.8
20050701 20050731    98.0
20050801 20050831    83.6
20050901 20050930    80.8
20051001 20051031    65.4
20051101 20051130    50.4
20051201 20051231    70.2
20060101 20060131    50.4
20060201 20060228    10.7
20060301 20060331    22.0
20060401 20060430    50.2
20060501 20060531    51.8
20060601 20060630    20.6
20060701 20060731    73.8
20060801 20060831    22.4
20060901 20060930    36.8
20061001 20061031     3.6
20061101 20061130    18.1
20061201 20061231    12.6
20070101 20070131    20.4
20070201 20070228    49.4
20070301 20070331    36.4
20070401 20070430    48.2
20070501 20070531   152.1
20070601 20070630    70.4
20070701 20070731    78.4
20070801 20070831    37.7
20070901 20070930    29.2
20071001 20071031    47.0
20071101 20071130    25.9
20071201 20071231    28.3
20080101 20080131    13.8
20080201 20080229    37.4
20080301 20080331    43.0
20080401 20080430    27.6
20080501 20080531    29.7
20080601 20080630    20.3
20080701 20080731    91.3
20080801 20080831    43.6
20080901 20080930    43.0
20081001 20081031     4.1
20081101 20081130    87.3
20081201 20081231   167.7
20090101 20090131    12.6
20090201 20090228     2.9
20090301 20090331    58.4
20090401 20090430    52.6
20090501 20090531    28.9
20090601 20090630   112.2
20090701 20090731    78.6
20090801 20090831   174.6
20090901 20090930   124.4
20091001 20091031    25.3
20091101 20091130    69.9
20091201 20091231    33.7
20100101 20100131    11.7
20100201 20100228    67.7
20100301 20100331    15.3
20100401 20100430    69.5
20100501 20100531    60.0
20100601 20100630    42.3
20100701 20100731    48.5
20100801 20100831   109.6
20100901 20100930    40.0
20101001 20101031    70.9
20101101 20101130    47.5
20101201 20101231    75.3
20110101 20110131    79.9
20110201 20110228    58.5
20110301 20110331    97.5
20110401 20110430    76.9
20110501 20110531    26.4
20110601 20110630    45.1
20110701 20110731    41.7
20110801 20110831   120.6
20110901 20110930    41.9
20111001 20111031    72.4
20111101 20111130   120.0
20111201 20111231    13.6
20120101 20120131    54.0
20120201 20120229    59.8
20120301 20120331    50.6
20120401 20120430    48.5
20120501 20120531    48.9
20120601 20120630    87.3
20120701 20120731    35.7
20120801 20120831    69.4
20120901 20120930    73.7
20121001 20121031    10.0
20121101 20121130    31.8
20121201 20121231    56.6
20130101 20130131     9.1
20130201 20130228    11.8
20130301 20130331    36.4
20130401 20130430    19.7
20130501 20130531    49.7
20130601 20130630    51.7
20130701 20130731    73.0
20130801 20130831   142.5
20130901 20130930    68.8
20131001 20131031    66.4
20131101 20131130    76.1
20131201 20131231    83.0
20140101 20140131    18.6
20140201 20140228    29.3
20140301 20140331    49.4
20140401 20140430    83.0
20140501 20140531    39.5
20140601 20140630    58.0
20140701 20140731    66.9
20140801 20140831    31.7
20140901 20140930    39.4
20141001 20141031    27.3
20141101 20141130    27.0
20141201 20141231    67.6
20150101 20150131    30.8
20150201 20150228    32.6
20150301 20150331    76.7
20150401 20150430    16.4
20150501 20150531   105.3
20150601 20150630    40.4
20150701 20150731    69.2
20150801 20150831    38.6
20150901 20150930    18.2
20151001 20151031     1.8
20151101 20151130    21.2
20151201 20151231    25.6
20160101 20160131   100.4
20160201 20160229    16.0
20160301 20160331    50.6
20160401 20160430    20.8
20160501 20160531   124.0
20160601 20160630   195.8
20160701 20160731    72.2
20160801 20160831    42.8
20160901 20160930    66.8
20161001 20161031    73.4
20161101 20161130    83.4
20161201 20161231    23.2
20170101 20170131     1.6
20170201 20170228    18.4
20170301 20170331    42.0
20170401 20170430    66.4
20170501 20170531   133.4
20170601 20170630    33.8
20170701 20170731    86.0
20170801 20170831    83.4
20170901 20170930    58.4
20171001 20171031    30.6
20171101 20171130     1.0
20171201 20171231   110.6
20180101 20180131   101.6
