PRCP       099005 18990301 20180131 missing_value=99999.9 FLINDERS ISLAND AIRPORT                   
19210101 19210131    49.1
19210201 19210228     8.5
19210301 19210331    19.8
19210401 19210430    30.0
19210501 19210531    61.9
19210601 19210630   113.3
19210701 19210731    68.0
19210801 19210831    91.6
19210901 19210930    89.6
19211001 19211031    39.2
19211101 19211130    63.3
19211201 19211231    67.1
19220101 19220131    48.0
19220201 19220228    52.4
19220301 19220331    20.8
19220401 19220430    44.3
19220501 19220531    68.2
19220601 19220630   108.4
19220701 19220731    87.8
19220801 19220831    53.3
19220901 19220930    51.0
19221001 19221031    78.2
19221101 19221130    78.1
19221201 19221231   101.8
19230101 19230131    38.8
19230201 19230228    25.3
19230301 19230331    36.5
19230401 19230430     2.6
19230501 19230531   163.7
19230601 19230630   108.7
19230701 19230731    47.7
19230801 19230831    35.0
19230901 19230930   110.9
19231001 19231031   111.2
19231101 19231130    85.3
19231201 19231231   121.5
19240101 19240131   112.6
19240201 19240229   158.1
19240301 19240331    54.8
19240401 19240430    82.2
19240501 19240531    43.6
19240601 19240630    53.3
19240701 19240731    39.6
19240801 19240831    85.3
19240901 19240930    51.4
19241001 19241031    63.4
19241101 19241130    57.5
19241201 19241231    18.8
19250101 19250131    28.9
19250201 19250228    90.6
19250301 19250331    20.8
19250401 19250430    56.9
19250501 19250531    76.9
19250601 19250630    50.2
19250701 19250731    55.5
19250801 19250831    52.9
19250901 19250930    37.6
19251001 19251031    45.9
19251101 19251130    12.7
19251201 19251231    15.9
19260101 19260131    18.6
19260201 19260228     9.7
19260301 19260331    20.7
19260401 19260430   123.3
19260501 19260531    80.3
19260601 19260630    69.0
19260701 19260731    73.5
19260801 19260831   100.5
19260901 19260930    36.7
19261001 19261031    53.7
19261101 19261130    50.1
19261201 19261231    29.6
19270101 19270131    16.5
19270201 19270228    42.6
19270301 19270331    17.7
19270401 19270430    19.8
19270501 19270531    85.7
19270601 19270630    25.1
19270701 19270731    77.4
19270801 19270831    67.4
19270901 19270930    40.4
19271001 19271031    45.6
19271101 19271130    34.2
19271201 19271231    39.9
19280101 19280131    77.5
19280201 19280229    45.3
19280301 19280331    50.5
19280401 19280430    79.1
19280501 19280531    76.8
19280601 19280630   100.5
19280701 19280731    49.5
19280801 19280831    43.5
19280901 19280930    77.1
19281001 19281031   126.7
19281101 19281130    41.5
19281201 19281231    51.0
19290101 19290131    46.0
19290201 19290228    53.6
19290301 19290331    29.9
19290401 19290430   163.0
19290501 19290531    63.5
19290601 19290630    83.9
19290701 19290731    36.8
19290801 19290831    65.9
19290901 19290930    32.7
19291001 19291031    96.9
19291101 19291130   135.1
19291201 19291231    86.5
19300101 19300131     6.8
19300201 19300228    23.5
19300301 19300331     4.4
19300401 19300430    68.6
19300501 19300531    48.5
19300601 19300630    38.3
19300701 19300731    98.9
19300801 19300831    65.0
19300901 19300930    72.5
19301001 19301031   101.1
19301101 19301130    54.2
19301201 19301231   112.6
19310101 19310131    50.4
19310201 19310228    27.1
19310301 19310331   188.0
19310401 19310430    53.7
19310501 19310531    97.9
19310601 19310630    85.1
19310701 19310731   125.3
19310801 19310831    53.2
19310901 19310930    53.6
19311001 19311031    40.3
19311101 19311130    53.8
19311201 19311231     0.5
19320101 19320131    16.5
19320201 19320229    47.9
19320301 19320331   115.6
19320401 19320430   142.9
19320501 19320531     8.3
19320601 19320630   156.0
19320701 19320731    63.9
19320801 19320831    65.5
19320901 19320930    34.4
19321001 19321031   100.2
19321101 19321130    55.8
19321201 19321231    54.3
19330101 19330131    67.0
19330201 19330228    17.7
19330301 19330331    27.2
19330401 19330430    65.9
19330501 19330531   103.7
19330601 19330630    37.7
19330701 19330731    53.7
19330801 19330831    64.2
19330901 19330930    66.2
19331001 19331031    75.7
19331101 19331130    18.7
19331201 19331231    50.6
19340101 19340131    55.4
19340201 19340228   109.7
19340301 19340331    56.1
19340401 19340430   141.5
19340501 19340531    15.0
19340601 19340630    42.8
19340701 19340731   138.9
19340801 19340831    65.1
19340901 19340930    45.1
19341001 19341031    82.8
19341101 19341130    67.9
19341201 19341231    74.9
19350101 19350131    80.0
19350201 19350228   171.9
19350301 19350331    70.9
19350401 19350430   128.0
19350501 19350531    77.1
19350601 19350630    53.5
19350701 19350731    63.6
19350801 19350831    94.1
19350901 19350930    82.5
19351001 19351031    36.4
19351101 19351130    47.8
19351201 19351231    50.0
19360101 19360131    14.1
19360201 19360229    57.8
19360301 19360331   137.5
19360401 19360430    56.2
19360501 19360531    54.8
19360601 19360630    91.1
19360701 19360731   196.9
19360801 19360831   148.7
19360901 19360930    27.3
19361001 19361031    64.3
19361101 19361130    37.6
19361201 19361231    87.1
19370101 19370131    70.9
19370201 19370228    34.0
19370301 19370331    77.5
19370401 19370430    16.7
19370501 19370531    44.2
19370601 19370630    66.8
19370701 19370731    34.8
19370801 19370831    37.2
19370901 19370930   155.4
19371001 19371031    62.2
19371101 19371130    27.7
19371201 19371231    48.3
19380101 19380131    18.6
19380201 19380228   112.6
19380301 19380331    47.5
19380401 19380430    58.1
19380501 19380531    35.4
19380601 19380630   120.0
19380701 19380731    89.5
19380801 19380831    37.8
19380901 19380930    35.1
19381001 19381031    30.0
19381101 19381130    74.3
19381201 19381231    31.8
19390101 19390131     2.3
19390201 19390228   112.1
19390301 19390331    34.2
19390401 19390430    42.6
19390501 19390531    60.1
19390601 19390630   212.8
