PRCP       086117 18920501 20180131 missing_value=99999.9 TOOROURRONG                               
19140401 19140430    66.2
19140501 19140531    70.1
19140601 19140630    51.4
19140701 19140731    50.6
19140801 19140831    14.6
19140901 19140930    35.7
19141001 19141031     2.4
19141101 19141130    63.5
19141201 19141231   107.2
19150101 19150131    50.5
19150201 19150228    28.3
19150301 19150331     7.9
19150401 19150430    44.9
19150501 19150531    76.9
19150601 19150630    42.1
19150701 19150731    23.6
19150801 19150831    82.5
19150901 19150930   107.4
19151001 19151031    71.3
19151101 19151130    24.2
19151201 19151231     8.0
19160101 19160131    92.4
19160201 19160229    72.1
19160301 19160331    16.9
19160401 19160430    54.1
19160501 19160531    34.6
19160601 19160630    51.4
19160701 19160731    76.3
19160801 19160831    78.9
19160901 19160930   251.0
19161001 19161031   122.1
19161101 19161130   102.8
19161201 19161231   121.4
19170101 19170131    42.0
19170201 19170228    33.9
19170301 19170331    24.5
19170401 19170430    35.3
19170501 19170531    71.9
19170601 19170630   131.4
19170701 19170731    39.1
19170801 19170831   108.6
19170901 19170930    95.7
19171001 19171031   100.3
19171101 19171130    74.4
19171201 19171231    83.3
19180101 19180131    64.4
19180201 19180228    26.2
19180301 19180331   104.5
19180401 19180430    36.8
19180501 19180531   121.9
19180601 19180630    47.7
19180701 19180731    50.4
19180801 19180831   105.6
19180901 19180930    66.4
19181001 19181031    48.9
19181101 19181130     9.9
19181201 19181231    52.8
19190101 19190131     9.9
19190201 19190228    80.6
19190301 19190331    99.2
19190401 19190430    18.6
19190501 19190531    57.8
19190601 19190630    40.0
19190701 19190731    53.0
19190801 19190831    38.3
19190901 19190930    41.9
19191001 19191031    54.2
19191101 19191130    35.8
19191201 19191231    83.4
19200101 19200131    39.9
19200201 19200229    28.8
19200301 19200331    56.2
19200401 19200430    94.2
19200501 19200531    58.2
19200601 19200630    99.2
19200701 19200731    83.7
19200801 19200831   102.7
19200901 19200930   143.3
19201001 19201031   163.8
19201101 19201130    97.1
19201201 19201231    20.3
19210101 19210131    80.7
19210201 19210228    46.3
19210301 19210331    48.0
19210401 19210430     9.3
19210501 19210531    84.9
19210601 19210630    48.0
19210701 19210731    44.8
19210801 19210831   101.6
19210901 19210930    92.8
19211001 19211031    84.2
19211101 19211130    56.9
19211201 19211231    47.5
19220101 19220131   120.0
19220201 19220228    63.2
19220301 19220331    11.3
19220401 19220430    25.4
19220501 19220531    65.7
19220601 19220630    61.7
19220701 19220731    80.9
19220801 19220831    58.9
19220901 19220930   137.8
19221001 19221031    87.9
19221101 19221130    22.5
19221201 19221231    55.4
19230101 19230131    27.6
19230201 19230228     7.7
19230301 19230331    10.0
19230401 19230430     0.0
19230501 19230531    67.8
19230601 19230630    92.1
19230701 19230731   127.5
19230801 19230831    45.6
19230901 19230930    80.9
19231001 19231031   109.6
19231101 19231130    92.5
19231201 19231231    50.0
19240101 19240131    73.1
19240201 19240229    92.8
19240301 19240331   189.9
19240401 19240430   172.4
19240501 19240531    32.4
19240601 19240630    60.9
19240701 19240731    32.5
19240801 19240831   136.6
19240901 19240930    73.4
19241001 19241031   128.2
19241101 19241130   171.7
