PRCP       086117 18920501 20180131 missing_value=99999.9 TOOROURRONG                               
19880401 19880430    29.0
19880501 19880531    57.6
19880601 19880630    70.4
19880701 19880731    87.2
19880801 19880831    77.8
19880901 19880930    79.8
19881001 19881031    33.4
19881101 19881130   221.0
19881201 19881231    93.0
19890101 19890131    81.4
19890201 19890228    35.6
19890301 19890331    98.0
19890401 19890430    98.8
19890501 19890531    78.2
19890601 19890630   127.6
19890701 19890731    90.0
19890801 19890831   127.8
19890901 19890930    64.6
19891001 19891031   119.4
19891101 19891130    38.6
19891201 19891231    68.0
19900101 19900131    16.2
19900201 19900228   123.8
19900301 19900331    33.8
19900401 19900430    95.8
19900501 19900531    39.2
19900601 19900630    84.2
19900701 19900731    96.2
19900801 19900831    90.8
19900901 19900930    66.2
19901001 19901031    81.8
19901101 19901130    45.6
19901201 19901231    41.8
19910101 19910131    78.4
19910201 19910228     0.2
19910301 19910331    59.2
19910401 19910430    36.8
19910501 19910531    23.8
19910601 19910630   142.6
19910701 19910731   102.4
19910801 19910831    99.6
19910901 19910930    91.4
19911001 19911031    37.8
19911101 19911130    41.2
19911201 19911231   137.2
19920101 19920131    55.2
19920201 19920229    35.2
19920301 19920331    38.6
19920401 19920430    57.4
19920501 19920531   108.0
19920601 19920630    75.8
19920701 19920731    58.4
19920801 19920831    87.8
19920901 19920930 99999.9
19921001 19921031   141.4
19921101 19921130   112.2
19921201 19921231    88.4
19930101 19930131    57.2
19930201 19930228    70.4
19930301 19930331    50.0
19930401 19930430    20.0
19930501 19930531    48.0
19930601 19930630    55.0
19930701 19930731   108.8
19930801 19930831    64.0
19930901 19930930   179.8
19931001 19931031   103.8
19931101 19931130    77.2
19931201 19931231   173.8
19940101 19940131    40.8
19940201 19940228   124.2
19940301 19940331    61.6
19940401 19940430    54.6
19940501 19940531    45.6
19940601 19940630    50.0
19940701 19940731    38.8
19940801 19940831    38.0
19940901 19940930    46.8
19941001 19941031    36.6
19941101 19941130    59.8
19941201 19941231    11.0
19950101 19950131    80.6
19950201 19950228    16.2
19950301 19950331    63.2
19950401 19950430   113.2
19950501 19950531   126.6
19950601 19950630    96.6
19950701 19950731    66.2
19950801 19950831    52.6
19950901 19950930    56.2
19951001 19951031    97.8
19951101 19951130    77.4
19951201 19951231    56.2
19960101 19960131    86.2
19960201 19960229   149.0
19960301 19960331    80.4
19960401 19960430   119.0
19960501 19960531    61.8
19960601 19960630   104.2
19960701 19960731    97.4
19960801 19960831    66.8
19960901 19960930   111.0
19961001 19961031    42.2
19961101 19961130    56.2
19961201 19961231    33.0
19970101 19970131    55.0
19970201 19970228     2.8
19970301 19970331    30.0
19970401 19970430    23.2
19970501 19970531    95.0
19970601 19970630    49.2
19970701 19970731    28.2
19970801 19970831    40.4
19970901 19970930    60.8
19971001 19971031    40.6
19971101 19971130    78.6
19971201 19971231    26.8
19980101 19980131    71.4
19980201 19980228    54.0
19980301 19980331    18.8
19980401 19980430    46.6
19980501 19980531    49.8
19980601 19980630    93.4
19980701 19980731    73.6
19980801 19980831    51.0
19980901 19980930    64.2
19981001 19981031    62.6
19981101 19981130    90.0
19981201 19981231    61.0
19990101 19990131    63.4
19990201 19990228    73.8
19990301 19990331    63.6
19990401 19990430    29.8
19990501 19990531    46.5
19990601 19990630    92.6
19990701 19990731    42.6
19990801 19990831   153.0
19990901 19990930    53.8
19991001 19991031    55.4
19991101 19991130    41.6
19991201 19991231    97.1
20000101 20000131    49.2
20000201 20000229    37.8
20000301 20000331    28.4
20000401 20000430    45.8
20000501 20000531   152.2
20000601 20000630    57.3
20000701 20000731    76.9
20000801 20000831    85.3
20000901 20000930    92.6
20001001 20001031   129.2
20001101 20001130    97.5
20001201 20001231    28.4
20010101 20010131    25.0
20010201 20010228    22.0
20010301 20010331    89.8
20010401 20010430   165.8
20010501 20010531    40.9
20010601 20010630    71.9
20010701 20010731    28.6
20010801 20010831    84.1
20010901 20010930    58.4
20011001 20011031   116.8
20011101 20011130    82.1
20011201 20011231    31.4
20020101 20020131    48.6
20020201 20020228    67.0
20020301 20020331    40.8
20020401 20020430    49.4
20020501 20020531    39.8
20020601 20020630    54.6
20020701 20020731    25.6
20020801 20020831    38.2
20020901 20020930    46.6
20021001 20021031    52.2
20021101 20021130    34.2
20021201 20021231    21.9
20030101 20030131    39.8
20030201 20030228    21.6
20030301 20030331    31.4
20030401 20030430    74.6
20030501 20030531    39.8
20030601 20030630    60.2
20030701 20030731    83.2
20030801 20030831   110.4
20030901 20030930    61.4
20031001 20031031   103.8
20031101 20031130    37.8
20031201 20031231    75.8
20040101 20040131    47.8
20040201 20040229    26.2
20040301 20040331    20.8
20040401 20040430    74.6
20040501 20040531    44.0
20040601 20040630    54.2
20040701 20040731    53.4
20040801 20040831    92.4
20040901 20040930    96.0
20041001 20041031    48.4
20041101 20041130   185.8
20041201 20041231    97.2
20050101 20050131    23.8
20050201 20050228   176.8
20050301 20050331    13.0
20050401 20050430    33.8
20050501 20050531     9.6
20050601 20050630    65.0
20050701 20050731    69.0
20050801 20050831   110.8
20050901 20050930    56.1
20051001 20051031    58.2
20051101 20051130    63.4
20051201 20051231    68.2
20060101 20060131   103.0
20060201 20060228    45.2
20060301 20060331    24.4
20060401 20060430    68.2
20060501 20060531    78.4
20060601 20060630    23.8
20060701 20060731    77.0
20060801 20060831    42.8
20060901 20060930    47.0
20061001 20061031    10.6
20061101 20061130    38.4
20061201 20061231    46.6
20070101 20070131    18.6
20070201 20070228    25.2
20070301 20070331    74.2
20070401 20070430    14.6
20070501 20070531    74.0
20070601 20070630    84.4
20070701 20070731    70.8
20070801 20070831    26.2
20070901 20070930    40.2
20071001 20071031    13.2
20071101 20071130    56.4
20071201 20071231   130.8
20080101 20080131    70.4
20080201 20080229    68.0
20080301 20080331    30.0
20080401 20080430    22.6
20080501 20080531    32.6
20080601 20080630    44.2
20080701 20080731    77.8
20080801 20080831    72.2
20080901 20080930    23.8
20081001 20081031    21.4
20081101 20081130   103.8
20081201 20081231    96.2
20090101 20090131     1.0
20090201 20090228     3.8
20090301 20090331    48.0
20090401 20090430    52.0
20090501 20090531    16.8
20090601 20090630    41.0
20090701 20090731    40.8
20090801 20090831    64.8
20090901 20090930   100.0
20091001 20091031    37.2
20091101 20091130    80.8
20091201 20091231    56.2
20100101 20100131    91.0
20100201 20100228    78.0
20100301 20100331    74.0
20100401 20100430    40.2
20100501 20100531    43.8
20100601 20100630    96.6
20100701 20100731    55.6
20100801 20100831   117.2
20100901 20100930    79.4
20101001 20101031   153.4
20101101 20101130   160.4
20101201 20101231   109.4
20110101 20110131   112.8
20110201 20110228   127.8
20110301 20110331    48.2
20110401 20110430   112.0
20110501 20110531    74.4
20110601 20110630    39.6
20110701 20110731    56.8
20110801 20110831    60.2
20110901 20110930    91.8
20111001 20111031    82.8
20111101 20111130   208.2
20111201 20111231    74.8
20120101 20120131    31.2
20120201 20120229    89.8
20120301 20120331    98.2
20120401 20120430    52.6
20120501 20120531    96.0
20120601 20120630    75.8
20120701 20120731    89.0
20120801 20120831    81.8
20120901 20120930    50.6
20121001 20121031    42.6
20121101 20121130    47.2
20121201 20121231    36.4
20130101 20130131     6.2
20130201 20130228    86.0
20130301 20130331    83.6
20130401 20130430    34.0
20130501 20130531    35.6
20130601 20130630    66.6
20130701 20130731    63.0
20130801 20130831    79.4
20130901 20130930    76.2
20131001 20131031    60.4
20131101 20131130    64.2
20131201 20131231    71.8
20140101 20140131    27.6
20140201 20140228    42.0
20140301 20140331    25.0
20140401 20140430    68.6
20140501 20140531    60.6
20140601 20140630    77.2
20140701 20140731    50.6
20140801 20140831    37.2
20140901 20140930    74.2
20141001 20141031    53.2
20141101 20141130    54.8
20141201 20141231    36.0
20150101 20150131    22.8
20150201 20150228    84.4
20150301 20150331    31.8
20150401 20150430    58.4
20150501 20150531    45.0
20150601 20150630    35.6
20150701 20150731 99999.9
20150801 20150831 99999.9
20150901 20150930 99999.9
20151001 20151031 99999.9
20151101 20151130 99999.9
20151201 20151231 99999.9
20160101 20160131    32.2
20160201 20160229 99999.9
20160301 20160331 99999.9
20160401 20160430 99999.9
20160501 20160531    56.0
20160601 20160630    57.0
20160701 20160731    44.8
20160801 20160831    47.8
20160901 20160930   136.8
20161001 20161031    68.8
20161101 20161130    47.4
20161201 20161231    17.2
20170101 20170131    18.6
20170201 20170228    35.2
20170301 20170331    60.0
20170401 20170430 99999.9
20170501 20170531    28.4
20170601 20170630    13.8
20170701 20170731    31.0
20170801 20170831    68.8
20170901 20170930    38.4
20171001 20171031    24.0
20171101 20171130    32.2
20171201 20171231 99999.9
20180101 20180131    69.4
