PRCP       060026 18701001 20100731 missing_value=99999.9 PORT MACQUARIE (HILL STREET)              
19660901 19660930    62.4
19661001 19661031    58.0
19661101 19661130   192.8
19661201 19661231    33.0
19670101 19670131   233.3
19670201 19670228   146.0
19670301 19670331   212.6
19670401 19670430   307.0
19670501 19670531    79.5
19670601 19670630   473.3
19670701 19670731    38.2
19670801 19670831   164.2
19670901 19670930    53.2
19671001 19671031   204.0
19671101 19671130    46.6
19671201 19671231   168.0
19680101 19680131   189.9
19680201 19680229    79.8
19680301 19680331    85.5
19680401 19680430    24.9
19680501 19680531    59.0
19680601 19680630    15.0
19680701 19680731    66.6
19680801 19680831   144.8
19680901 19680930    32.7
19681001 19681031    23.1
19681101 19681130    90.7
19681201 19681231    74.2
19690101 19690131    32.4
19690201 19690228   221.5
19690301 19690331    93.1
19690401 19690430   140.9
19690501 19690531   202.3
19690601 19690630   273.3
19690701 19690731     9.1
19690801 19690831   258.6
19690901 19690930    70.0
19691001 19691031   141.2
19691101 19691130   117.7
19691201 19691231    77.2
19700101 19700131   318.0
19700201 19700228    88.7
19700301 19700331   232.9
19700401 19700430    39.1
19700501 19700531     8.6
19700601 19700630    29.5
19700701 19700731     2.9
19700801 19700831    17.9
19700901 19700930   127.0
19701001 19701031   117.9
19701101 19701130   114.3
19701201 19701231   373.0
19710101 19710131   196.6
19710201 19710228   179.2
19710301 19710331   207.1
19710401 19710430    71.1
19710501 19710531    42.9
19710601 19710630   295.6
19710701 19710731    37.0
19710801 19710831    68.2
19710901 19710930    55.8
19711001 19711031    50.7
19711101 19711130    57.6
19711201 19711231   267.5
19720101 19720131   198.7
19720201 19720229    99.1
19720301 19720331   145.8
19720401 19720430   178.0
19720501 19720531   231.2
19720601 19720630   180.0
19720701 19720731    29.5
19720801 19720831    61.3
19720901 19720930   126.7
19721001 19721031   396.5
19721101 19721130    82.2
19721201 19721231    57.9
19730101 19730131    81.5
19730201 19730228   264.3
19730301 19730331    84.2
19730401 19730430    43.4
19730501 19730531    35.8
19730601 19730630    59.8
19730701 19730731    68.7
19730801 19730831    27.1
19730901 19730930    36.2
19731001 19731031   318.9
19731101 19731130   122.5
19731201 19731231   188.4
19740101 19740131   489.1
19740201 19740228   116.8
19740301 19740331   678.0
19740401 19740430   186.7
19740501 19740531   128.2
19740601 19740630   216.6
19740701 19740731     8.6
19740801 19740831   114.7
19740901 19740930    17.8
19741001 19741031    98.1
19741101 19741130   157.3
19741201 19741231    68.9
19750101 19750131    58.7
19750201 19750228   314.1
19750301 19750331   106.9
19750401 19750430   123.5
19750501 19750531    30.2
19750601 19750630   240.1
19750701 19750731    51.6
19750801 19750831    45.1
19750901 19750930   110.6
19751001 19751031    89.9
19751101 19751130   218.3
19751201 19751231   233.4
19760101 19760131   211.3
19760201 19760229   264.2
19760301 19760331   332.6
19760401 19760430   176.5
19760501 19760531   109.9
19760601 19760630   154.5
19760701 19760731   120.5
19760801 19760831    12.1
19760901 19760930   109.2
19761001 19761031    64.0
19761101 19761130   144.7
19761201 19761231    32.4
19770101 19770131    77.6
19770201 19770228   189.4
19770301 19770331   205.9
19770401 19770430    68.4
19770501 19770531   331.1
19770601 19770630    70.3
19770701 19770731    62.2
19770801 19770831     8.4
19770901 19770930    48.1
19771001 19771031    20.8
19771101 19771130    97.8
19771201 19771231    51.2
19780101 19780131    92.9
19780201 19780228   101.1
19780301 19780331   631.8
19780401 19780430   156.4
19780501 19780531    71.5
19780601 19780630   146.6
19780701 19780731    11.6
19780801 19780831    56.6
19780901 19780930    63.8
19781001 19781031   136.2
19781101 19781130   100.4
19781201 19781231   267.6
19790101 19790131   107.6
19790201 19790228    39.4
19790301 19790331   111.1
19790401 19790430   153.8
19790501 19790531   194.2
19790601 19790630    91.6
19790701 19790731    96.7
19790801 19790831     5.2
19790901 19790930    33.6
19791001 19791031    79.2
19791101 19791130    59.7
19791201 19791231    38.2
19800101 19800131    74.8
19800201 19800229    86.2
19800301 19800331    60.2
19800401 19800430    53.9
19800501 19800531   243.4
19800601 19800630   172.2
19800701 19800731    55.8
19800801 19800831     5.3
19800901 19800930     0.6
19801001 19801031    34.4
19801101 19801130    37.0
19801201 19801231   211.1
19810101 19810131    35.3
19810201 19810228   215.3
19810301 19810331   101.8
19810401 19810430   239.7
19810501 19810531   158.6
19810601 19810630    40.0
19810701 19810731    27.2
19810801 19810831     9.2
19810901 19810930    14.2
19811001 19811031   129.0
19811101 19811130   169.1
19811201 19811231   110.1
19820101 19820131   213.9
19820201 19820228   104.4
19820301 19820331   162.5
19820401 19820430   105.5
19820501 19820531    32.2
19820601 19820630    51.9
19820701 19820731    83.6
19820801 19820831    53.8
19820901 19820930   136.1
19821001 19821031   259.1
19821101 19821130    29.0
19821201 19821231    28.5
19830101 19830131    77.2
19830201 19830228   175.8
19830301 19830331   222.9
19830401 19830430   179.5
19830501 19830531   164.9
19830601 19830630   162.9
19830701 19830731    86.8
19830801 19830831    40.2
19830901 19830930    28.5
19831001 19831031   206.6
19831101 19831130   150.0
19831201 19831231   267.4
19840101 19840131   218.8
19840201 19840229   165.0
19840301 19840331    81.6
19840401 19840430   145.4
19840501 19840531    75.4
19840601 19840630   177.6
19840701 19840731   108.8
19840801 19840831     8.6
19840901 19840930    55.6
19841001 19841031   155.0
19841101 19841130   229.1
19841201 19841231   138.4
19850101 19850131    66.4
19850201 19850228   307.0
19850301 19850331    69.4
19850401 19850430   276.8
19850501 19850531   257.0
19850601 19850630    37.8
19850701 19850731   184.4
19850801 19850831    24.2
19850901 19850930    89.8
19851001 19851031   108.8
19851101 19851130   111.0
19851201 19851231   109.8
19860101 19860131   205.8
19860201 19860228   226.8
19860301 19860331    22.0
19860401 19860430    30.8
19860501 19860531    89.4
19860601 19860630   317.0
19860701 19860731    44.8
19860801 19860831   149.8
19860901 19860930    44.8
19861001 19861031    49.2
19861101 19861130   199.4
19861201 19861231    16.8
19870101 19870131    63.2
19870201 19870228    77.2
19870301 19870331   189.4
19870401 19870430    80.8
19870501 19870531   239.8
19870601 19870630   104.8
19870701 19870731   207.6
19870801 19870831   146.0
19870901 19870930    14.0
19871001 19871031   114.4
19871101 19871130    84.6
19871201 19871231   112.6
19880101 19880131   129.0
19880201 19880229   189.2
19880301 19880331   220.2
19880401 19880430   616.0
19880501 19880531    52.2
19880601 19880630   118.0
19880701 19880731   141.2
19880801 19880831     7.6
19880901 19880930    92.0
19881001 19881031    84.2
19881101 19881130   131.8
19881201 19881231   164.6
19890101 19890131   347.4
19890201 19890228   147.4
19890301 19890331   283.2
19890401 19890430   283.0
19890501 19890531   221.6
19890601 19890630   262.2
19890701 19890731    92.8
19890801 19890831    25.6
19890901 19890930    17.2
19891001 19891031    13.2
19891101 19891130   278.2
19891201 19891231   131.2
19900101 19900131   106.0
19900201 19900228   247.8
19900301 19900331   291.0
19900401 19900430   446.0
19900501 19900531   245.0
19900601 19900630   151.4
19900701 19900731    43.4
19900801 19900831    54.0
19900901 19900930   140.0
19901001 19901031   151.6
19901101 19901130    13.0
19901201 19901231    29.0
19910101 19910131    54.6
19910201 19910228    37.4
19910301 19910331    15.2
19910401 19910430    33.6
19910501 19910531   166.8
19910601 19910630   170.4
19910701 19910731    72.0
19910801 19910831     0.0
19910901 19910930     4.0
19911001 19911031    18.8
19911101 19911130    63.0
19911201 19911231   165.0
19920101 19920131    93.6
19920201 19920229   160.0
19920301 19920331   187.4
19920401 19920430   358.4
19920501 19920531    38.6
19920601 19920630    70.2
19920701 19920731    27.8
19920801 19920831    31.4
19920901 19920930    18.4
19921001 19921031    69.0
19921101 19921130   196.4
19921201 19921231   121.6
19930101 19930131    57.0
19930201 19930228   146.8
19930301 19930331   137.2
19930401 19930430    91.0
19930501 19930531    24.6
19930601 19930630    73.2
19930701 19930731    84.6
19930801 19930831    60.0
19930901 19930930    69.0
19931001 19931031    55.4
19931101 19931130    94.2
19931201 19931231   140.2
19940101 19940131    41.6
19940201 19940228    27.8
19940301 19940331   152.0
19940401 19940430    90.0
19940501 19940531    89.8
19940601 19940630    52.8
19940701 19940731    64.6
19940801 19940831    37.6
19940901 19940930    32.0
19941001 19941031    20.4
19941101 19941130    58.4
19941201 19941231   131.0
19950101 19950131   279.0
19950201 19950228 99999.9
19950301 19950331   366.1
19950401 19950430    88.2
19950501 19950531   254.7
19950601 19950630    66.2
19950701 19950731     1.0
19950801 19950831     2.2
19950901 19950930   100.6
19951001 19951031    49.6
19951101 19951130   167.6
19951201 19951231   138.6
19960101 19960131   290.0
19960201 19960229    79.0
19960301 19960331   187.8
19960401 19960430     7.2
19960501 19960531   305.0
19960601 19960630   206.4
19960701 19960731   100.6
19960801 19960831    47.8
19960901 19960930    79.6
19961001 19961031    66.4
19961101 19961130   225.8
19961201 19961231    58.2
19970101 19970131   186.4
19970201 19970228   206.4
19970301 19970331   128.0
19970401 19970430    55.6
19970501 19970531    83.3
19970601 19970630   181.2
19970701 19970731    57.6
19970801 19970831    14.6
19970901 19970930    84.0
19971001 19971031    82.8
19971101 19971130   128.0
19971201 19971231   119.0
19980101 19980131    52.2
19980201 19980228   156.2
19980301 19980331    98.2
19980401 19980430   177.7
19980501 19980531   228.0
19980601 19980630   182.0
19980701 19980731   104.2
19980801 19980831   217.4
19980901 19980930   198.0
19981001 19981031    31.6
19981101 19981130   281.9
19981201 19981231   117.4
19990101 19990131   177.4
19990201 19990228   163.2
19990301 19990331   210.2
19990401 19990430   322.2
19990501 19990531   132.8
19990601 19990630   260.6
19990701 19990731   287.4
19990801 19990831    74.6
19990901 19990930    69.0
19991001 19991031    61.4
19991101 19991130    94.4
19991201 19991231    98.9
20000101 20000131   123.2
20000201 20000229    52.2
20000301 20000331   237.0
20000401 20000430   105.6
20000501 20000531    78.6
20000601 20000630    52.4
20000701 20000731    89.4
20000801 20000831    31.6
20000901 20000930     7.2
20001001 20001031    77.4
20001101 20001130   154.0
20001201 20001231   122.8
20010101 20010131   124.0
20010201 20010228   202.4
20010301 20010331   286.0
20010401 20010430   123.6
20010501 20010531   272.8
20010601 20010630     6.8
20010701 20010731    43.8
20010801 20010831    30.0
20010901 20010930    19.4
20011001 20011031    14.8
20011101 20011130   108.2
20011201 20011231    48.2
20020101 20020131    27.6
20020201 20020228   354.4
20020301 20020331   262.0
20020401 20020430   125.4
20020501 20020531   118.4
20020601 20020630    61.6
20020701 20020731     2.0
20020801 20020831    58.0
20020901 20020930    26.2
20021001 20021031    47.5
20021101 20021130    49.4
20021201 20021231   190.9
20030101 20030131    37.6
20030201 20030228   177.8
20030301 20030331   202.6
20030401 20030430   131.2
20030501 20030531   244.6
20030601 20030630    45.4
20030701 20030731    18.7
20030801 20030831    36.6
20030901 20030930     0.0
20031001 20031031    42.6
20031101 20031130   100.5
20031201 20031231    70.0
20040101 20040131    92.0
20040201 20040229   223.0
20040301 20040331   233.4
20040401 20040430    26.7
20040501 20040531     6.9
20040601 20040630    20.9
20040701 20040731    57.7
20040801 20040831    62.2
20040901 20040930    46.2
20041001 20041031 99999.9
20041101 20041130    59.0
20041201 20041231   101.6
20050101 20050131   225.6
20050201 20050228    60.2
20050301 20050331    69.2
20050401 20050430    92.2
20050501 20050531   207.6
20050601 20050630   213.2
20050701 20050731    70.2
20050801 20050831     6.2
20050901 20050930    57.0
20051001 20051031   150.0
20051101 20051130    73.6
20051201 20051231    71.6
20060101 20060131   151.8
20060201 20060228    78.8
20060301 20060331    74.2
20060401 20060430    15.2
20060501 20060531     9.2
20060601 20060630   162.8
20060701 20060731   223.0
20060801 20060831   132.0
20060901 20060930    77.8
20061001 20061031    40.0
20061101 20061130   139.0
20061201 20061231    86.8
20070101 20070131    30.8
20070201 20070228   155.4
20070301 20070331   145.0
20070401 20070430    84.6
20070501 20070531    20.0
20070601 20070630   168.6
20070701 20070731    65.4
20070801 20070831   187.2
20070901 20070930    71.5
20071001 20071031 99999.9
20071101 20071130   301.8
20071201 20071231   145.0
20080101 20080131   110.2
20080201 20080229   221.2
20080301 20080331    58.0
20080401 20080430   389.6
20080501 20080531    39.0
20080601 20080630   137.3
20080701 20080731    46.6
20080801 20080831    11.2
20080901 20080930   117.6
20081001 20081031    74.0
20081101 20081130   108.8
20081201 20081231    91.6
20090101 20090131 99999.9
20090201 20090228   467.9
20090301 20090331   199.0
20090401 20090430   408.0
20090501 20090531   169.2
20090601 20090630   275.0
20090701 20090731    89.8
20090801 20090831     3.0
20090901 20090930     8.6
20091001 20091031    54.4
20091101 20091130   145.0
20091201 20091231   119.2
20100101 20100131 99999.9
20100201 20100228   129.4
20100301 20100331 99999.9
20100401 20100430 99999.9
20100501 20100531    63.6
20100601 20100630   188.6
20100701 20100731    41.9
