PRCP       012011 19111001 20180131 missing_value=99999.9 BULLFINCH                                 
19330901 19330930    12.8
19331001 19331031    15.3
19331101 19331130     7.9
19331201 19331231    49.8
19340101 19340131     3.6
19340201 19340228     0.0
19340301 19340331    29.2
19340401 19340430   111.5
19340501 19340531     0.5
19340601 19340630    37.1
19340701 19340731    38.6
19340801 19340831    63.5
19340901 19340930    17.4
19341001 19341031     7.4
19341101 19341130     7.3
19341201 19341231     5.1
19350101 19350131    42.7
19350201 19350228    31.3
19350301 19350331    33.5
19350401 19350430    20.1
19350501 19350531    14.1
19350601 19350630    12.7
19350701 19350731    45.5
19350801 19350831    37.6
19350901 19350930     7.2
19351001 19351031    42.9
19351101 19351130     5.3
19351201 19351231     0.8
19360101 19360131     8.9
19360201 19360229     6.6
19360301 19360331    10.7
19360401 19360430     1.3
19360501 19360531     6.9
19360601 19360630    43.5
19360701 19360731    24.6
19360801 19360831    28.0
19360901 19360930    10.7
19361001 19361031     2.0
19361101 19361130    11.4
19361201 19361231    75.6
19370101 19370131     8.7
19370201 19370228     0.0
19370301 19370331    68.3
19370401 19370430    12.4
19370501 19370531    27.0
19370601 19370630    35.0
19370701 19370731     7.4
19370801 19370831    42.3
19370901 19370930     7.0
19371001 19371031     5.4
19371101 19371130    33.5
19371201 19371231     0.5
19380101 19380131    51.0
19380201 19380228     0.0
19380301 19380331     1.6
19380401 19380430    12.2
19380501 19380531    21.1
19380601 19380630    19.6
19380701 19380731    50.3
19380801 19380831    13.5
19380901 19380930    11.7
19381001 19381031    10.7
19381101 19381130    30.7
19381201 19381231    11.7
19390101 19390131    39.1
19390201 19390228    49.3
19390301 19390331     0.8
19390401 19390430    20.1
19390501 19390531    62.8
19390601 19390630    39.6
19390701 19390731    47.5
19390801 19390831    28.7
19390901 19390930     2.6
19391001 19391031    43.5
19391101 19391130    58.9
19391201 19391231     0.0
19400101 19400131     6.0
19400201 19400229     0.0
19400301 19400331     0.0
19400401 19400430     0.0
19400501 19400531    10.9
19400601 19400630     9.2
19400701 19400731    36.4
19400801 19400831     6.4
19400901 19400930    22.9
19401001 19401031    14.2
19401101 19401130     2.1
19401201 19401231    14.7
19410101 19410131     0.8
19410201 19410228     4.6
19410301 19410331     2.0
19410401 19410430    10.1
19410501 19410531    36.1
19410601 19410630    50.5
19410701 19410731    35.4
19410801 19410831    46.7
19410901 19410930    17.5
19411001 19411031    36.1
19411101 19411130     2.0
19411201 19411231    14.2
19420101 19420131    24.9
19420201 19420228    13.2
19420301 19420331    30.0
19420401 19420430    14.5
19420501 19420531    13.7
19420601 19420630    30.6
19420701 19420731    36.2
19420801 19420831    24.9
19420901 19420930    18.6
19421001 19421031    14.1
19421101 19421130     0.0
19421201 19421231    14.0
19430101 19430131     0.0
19430201 19430228   132.2
19430301 19430331   131.6
19430401 19430430    81.7
19430501 19430531    31.0
19430601 19430630    38.0
19430701 19430731    58.5
19430801 19430831    20.4
19430901 19430930    19.1
19431001 19431031     9.5
19431101 19431130     4.6
19431201 19431231     1.6
19440101 19440131     2.0
19440201 19440229     0.0
19440301 19440331    16.5
