PRCP       010123 19100101 20171231 missing_value=99999.9 THE GRANITES                              
19311201 19311231    12.5
19320101 19320131    13.0
19320201 19320229     0.0
19320301 19320331     6.6
19320401 19320430    12.7
19320501 19320531    61.5
19320601 19320630    19.3
19320701 19320731    76.5
19320801 19320831    86.9
19320901 19320930    33.3
19321001 19321031   107.6
19321101 19321130     0.0
19321201 19321231     4.6
19330101 19330131    13.2
19330201 19330228     0.0
19330301 19330331     6.6
19330401 19330430     5.3
19330501 19330531    58.2
19330601 19330630    37.7
19330701 19330731    27.2
19330801 19330831    34.1
19330901 19330930     9.3
19331001 19331031    37.8
19331101 19331130     0.3
19331201 19331231     3.0
19340101 19340131     1.8
19340201 19340228     7.2
19340301 19340331    57.9
19340401 19340430    49.2
19340501 19340531    18.9
19340601 19340630    37.6
19340701 19340731    41.0
19340801 19340831    35.2
19340901 19340930    11.7
19341001 19341031    13.5
19341101 19341130    18.6
19341201 19341231     5.5
19350101 19350131    21.1
19350201 19350228    14.0
19350301 19350331     4.8
19350401 19350430    15.0
19350501 19350531    16.9
19350601 19350630    29.8
19350701 19350731    49.1
19350801 19350831    39.2
19350901 19350930    11.7
19351001 19351031    38.7
19351101 19351130     0.0
19351201 19351231     1.3
19360101 19360131     0.0
19360201 19360229     1.0
19360301 19360331    12.3
19360401 19360430     1.0
19360501 19360531    33.6
19360601 19360630    60.1
19360701 19360731    26.6
19360801 19360831    42.5
19360901 19360930    18.3
19361001 19361031     1.5
19361101 19361130     0.0
19361201 19361231    33.0
19370101 19370131     0.0
19370201 19370228     0.0
19370301 19370331    11.9
19370401 19370430    13.4
19370501 19370531    40.2
19370601 19370630    52.4
19370701 19370731     7.7
19370801 19370831    49.2
19370901 19370930     8.4
19371001 19371031     8.4
19371101 19371130    28.7
19371201 19371231     0.0
19380101 19380131    11.4
19380201 19380228     0.5
19380301 19380331    33.7
19380401 19380430     4.6
19380501 19380531    23.2
19380601 19380630    34.3
19380701 19380731    70.5
19380801 19380831    18.3
19380901 19380930    13.6
19381001 19381031    26.7
19381101 19381130     9.7
19381201 19381231     0.0
19390101 19390131    11.4
19390201 19390228    98.5
19390301 19390331     0.0
19390401 19390430    12.7
19390501 19390531    83.0
19390601 19390630    39.7
19390701 19390731    70.6
19390801 19390831    43.6
19390901 19390930     1.8
19391001 19391031    27.3
19391101 19391130    44.6
19391201 19391231     4.1
19400101 19400131     6.6
19400201 19400229     0.0
19400301 19400331     0.0
19400401 19400430     1.3
19400501 19400531    18.3
19400601 19400630    45.0
19400701 19400731    35.3
19400801 19400831     9.1
19400901 19400930    18.3
19401001 19401031    23.9
19401101 19401130     2.5
19401201 19401231    28.7
19410101 19410131     0.0
19410201 19410228     0.3
19410301 19410331     0.8
19410401 19410430    18.1
19410501 19410531    31.4
19410601 19410630    56.6
19410701 19410731    37.5
19410801 19410831    40.3
19410901 19410930    17.6
19411001 19411031    15.8
19411101 19411130     5.3
19411201 19411231    25.4
19420101 19420131     0.0
19420201 19420228     0.0
19420301 19420331   111.2
19420401 19420430    39.7
19420501 19420531    71.2
19420601 19420630    29.0
19420701 19420731    46.9
19420801 19420831    46.3
19420901 19420930    30.4
19421001 19421031    16.8
19421101 19421130     1.3
19421201 19421231    27.6
19430101 19430131    22.4
19430201 19430228    61.8
19430301 19430331    37.4
19430401 19430430    39.9
19430501 19430531    67.2
19430601 19430630    62.4
19430701 19430731    38.8
19430801 19430831    36.3
19430901 19430930    25.7
19431001 19431031    16.8
19431101 19431130     0.0
19431201 19431231     2.3
19440101 19440131     8.1
19440201 19440229     0.0
19440301 19440331     3.9
19440401 19440430    25.7
19440501 19440531    45.5
19440601 19440630    24.0
19440701 19440731    64.2
19440801 19440831    48.2
19440901 19440930     8.6
19441001 19441031     0.0
19441101 19441130     0.0
19441201 19441231     3.8
19450101 19450131     0.0
19450201 19450228     0.0
19450301 19450331    19.3
19450401 19450430     3.6
19450501 19450531    37.4
19450601 19450630   130.4
19450701 19450731    48.8
19450801 19450831    76.8
19450901 19450930    24.1
19451001 19451031     4.5
19451101 19451130     6.6
19451201 19451231     1.6
19460101 19460131     0.3
19460201 19460228     0.0
19460301 19460331     0.6
19460401 19460430    20.6
19460501 19460531    60.1
19460601 19460630    87.0
19460701 19460731    88.0
19460801 19460831    51.3
19460901 19460930     9.4
19461001 19461031     1.0
19461101 19461130    13.9
19461201 19461231     0.0
19470101 19470131     0.0
19470201 19470228     2.3
19470301 19470331    15.5
19470401 19470430    34.5
19470501 19470531    52.2
19470601 19470630    55.3
19470701 19470731    39.6
19470801 19470831    11.3
19470901 19470930     8.9
19471001 19471031    37.3
19471101 19471130    36.9
19471201 19471231     0.0
19480101 19480131     0.0
19480201 19480229     0.3
19480301 19480331     5.6
19480401 19480430    18.0
19480501 19480531     0.5
19480601 19480630    81.3
19480701 19480731    37.0
19480801 19480831    41.0
19480901 19480930    49.0
19481001 19481031    10.5
19481101 19481130     9.2
19481201 19481231     6.4
19490101 19490131     0.0
19490201 19490228    15.3
19490301 19490331    11.9
19490401 19490430     6.9
19490501 19490531     4.1
19490601 19490630    41.9
19490701 19490731    54.6
19490801 19490831    55.4
19490901 19490930    10.4
