PRCP       010123 19100101 20171231 missing_value=99999.9 THE GRANITES                              
20050601 20050630    54.2
20050701 20050731    17.2
20050801 20050831    36.0
20050901 20050930    27.2
20051001 20051031    18.8
20051101 20051130     6.0
20051201 20051231     1.2
20060101 20060131   122.3
20060201 20060228    50.2
20060301 20060331    26.0
20060401 20060430    19.6
20060501 20060531    13.2
20060601 20060630    15.2
20060701 20060731    26.2
20060801 20060831    23.6
20060901 20060930    32.2
20061001 20061031     1.6
20061101 20061130    19.2
20061201 20061231    17.4
20070101 20070131    29.0
20070201 20070228     4.6
20070301 20070331     0.0
20070401 20070430    10.2
20070501 20070531    23.8
20070601 20070630    15.8
20070701 20070731    53.4
20070801 20070831    24.6
20070901 20070930    26.6
20071001 20071031    11.4
20071101 20071130     0.0
20071201 20071231    21.8
20080101 20080131     0.0
20080201 20080229    22.2
20080301 20080331     0.6
20080401 20080430    66.8
20080501 20080531    13.6
20080601 20080630    34.2
20080701 20080731    78.6
20080801 20080831    25.4
20080901 20080930    60.0
20081001 20081031    26.2
20081101 20081130    17.6
20081201 20081231     5.2
20090101 20090131     2.0
20090201 20090228     3.0
20090301 20090331    14.2
20090401 20090430     2.4
20090501 20090531    11.6
20090601 20090630    50.0
20090701 20090731    48.8
20090801 20090831    43.2
20090901 20090930    28.8
20091001 20091031    18.2
20091101 20091130    26.8
20091201 20091231     3.2
20100101 20100131     0.0
20100201 20100228     0.0
20100301 20100331    37.0
20100401 20100430     0.4
20100501 20100531    19.8
20100601 20100630    16.8
20100701 20100731    37.4
20100801 20100831    15.2
20100901 20100930     2.8
20101001 20101031     0.2
20101101 20101130     9.0
20101201 20101231    12.4
20110101 20110131    31.2
20110201 20110228     1.0
20110301 20110331     0.0
20110401 20110430     7.4
20110501 20110531    27.8
20110601 20110630    31.6
20110701 20110731    57.8
20110801 20110831    32.4
20110901 20110930    38.2
20111001 20111031    58.8
20111101 20111130    31.0
20111201 20111231    49.6
20120101 20120131    26.0
20120201 20120229    17.8
20120301 20120331    12.0
20120401 20120430     1.6
20120501 20120531    20.0
20120601 20120630    32.6
20120701 20120731    14.2
20120801 20120831    36.0
20120901 20120930    17.8
20121001 20121031     1.6
20121101 20121130    57.6
20121201 20121231    24.6
20130101 20130131    44.8
20130201 20130228     1.8
20130301 20130331    31.2
20130401 20130430     7.8
20130501 20130531    48.6
20130601 20130630     4.5
20130701 20130731    52.4
20130801 20130831    41.4
20130901 20130930    49.8
20131001 20131031    28.0
20131101 20131130     1.0
20131201 20131231     9.0
20140101 20140131     3.0
20140201 20140228     4.6
20140301 20140331    22.2
20140401 20140430    27.8
20140501 20140531    76.7
20140601 20140630    16.0
20140701 20140731    53.8
20140801 20140831    25.4
20140901 20140930    22.4
20141001 20141031    29.6
20141101 20141130    33.0
20141201 20141231     1.0
20150101 20150131     0.6
20150201 20150228    14.6
20150301 20150331    29.4
20150401 20150430    16.6
20150501 20150531    11.8
20150601 20150630    31.4
20150701 20150731    42.4
20150801 20150831    69.6
20150901 20150930     5.6
20151001 20151031     0.6
20151101 20151130    34.8
20151201 20151231     9.0
20160101 20160131    70.4
20160201 20160229     0.0
20160301 20160331   134.2
20160401 20160430    44.2
20160501 20160531    39.8
20160601 20160630    18.6
20160701 20160731    40.4
20160801 20160831    42.2
20160901 20160930    15.4
20161001 20161031    10.8
20161101 20161130     1.2
20161201 20161231    23.8
20170101 20170131   106.2
20170201 20170228    79.9
20170301 20170331    42.6
20170401 20170430    33.6
20170501 20170531    15.8
20170601 20170630     7.8
20170701 20170731    36.0
20170801 20170831    58.2
20170901 20170930    33.0
20171001 20171031    36.8
20171101 20171130    15.0
20171201 20171231     4.6
