PRCP       069006 18960401 20180131 missing_value=99999.9 BETTOWYND (CONDRY)                        
19180301 19180331    44.3
19180401 19180430    28.9
19180501 19180531     5.7
19180601 19180630     4.4
19180701 19180731   137.1
19180801 19180831    24.0
19180901 19180930    18.9
19181001 19181031    16.1
19181101 19181130    57.5
19181201 19181231    10.1
19190101 19190131     6.3
19190201 19190228   162.1
19190301 19190331    40.3
19190401 19190430    39.6
19190501 19190531    88.5
19190601 19190630     3.6
19190701 19190731    18.8
19190801 19190831    23.1
19190901 19190930    37.9
19191001 19191031    33.8
19191101 19191130   139.4
19191201 19191231   137.5
19200101 19200131   203.3
19200201 19200229    41.8
19200301 19200331   107.8
19200401 19200430    25.5
19200501 19200531     6.6
19200601 19200630    18.7
19200701 19200731    33.6
19200801 19200831    36.9
19200901 19200930    30.0
19201001 19201031    56.9
19201101 19201130    74.1
19201201 19201231   228.0
19210101 19210131   118.8
19210201 19210228    83.9
19210301 19210331    75.7
19210401 19210430   183.0
19210501 19210531   127.8
19210601 19210630    46.8
19210701 19210731    32.5
19210801 19210831     6.4
19210901 19210930    23.4
19211001 19211031    59.3
19211101 19211130    26.3
19211201 19211231   208.2
19220101 19220131   145.8
19220201 19220228   114.6
19220301 19220331     0.0
19220401 19220430    23.9
19220501 19220531    14.6
19220601 19220630    47.7
19220701 19220731   438.7
19220801 19220831    19.8
19220901 19220930    79.4
19221001 19221031    23.9
19221101 19221130     7.1
19221201 19221231    15.0
19230101 19230131    41.6
19230201 19230228     4.6
19230301 19230331    54.4
19230401 19230430     9.0
19230501 19230531     8.6
19230601 19230630    82.3
19230701 19230731    43.6
19230801 19230831    37.9
19230901 19230930   111.2
19231001 19231031    65.4
19231101 19231130    30.4
19231201 19231231    96.7
19240101 19240131    47.2
19240201 19240229    62.8
19240301 19240331    61.1
19240401 19240430    47.7
19240501 19240531    12.4
19240601 19240630    22.7
19240701 19240731    43.0
19240801 19240831    27.3
19240901 19240930    18.8
19241001 19241031    25.3
19241101 19241130   133.6
19241201 19241231   116.7
19250101 19250131    91.7
19250201 19250228    76.4
19250301 19250331    39.2
19250401 19250430     9.7
19250501 19250531   707.3
19250601 19250630   154.4
19250701 19250731    21.1
19250801 19250831    22.2
19250901 19250930     8.8
19251001 19251031    39.7
19251101 19251130    70.8
19251201 19251231    10.5
19260101 19260131    45.0
19260201 19260228     5.5
19260301 19260331    93.6
19260401 19260430    26.9
19260501 19260531    49.8
19260601 19260630    52.1
19260701 19260731    22.9
19260801 19260831    26.1
19260901 19260930    25.6
19261001 19261031    16.9
19261101 19261130     1.6
19261201 19261231    47.1
19270101 19270131    81.8
19270201 19270228    13.5
19270301 19270331    34.5
19270401 19270430   132.3
19270501 19270531    48.0
19270601 19270630     6.8
19270701 19270731     5.1
19270801 19270831    10.1
19270901 19270930    36.8
19271001 19271031    60.6
19271101 19271130    90.7
19271201 19271231    23.3
19280101 19280131    55.7
19280201 19280229   193.1
19280301 19280331    99.0
19280401 19280430    31.2
19280501 19280531    11.3
19280601 19280630    61.2
19280701 19280731    30.5
19280801 19280831     5.6
19280901 19280930     6.4
19281001 19281031    11.4
19281101 19281130     7.1
19281201 19281231    16.5
19290101 19290131     6.6
19290201 19290228   307.5
19290301 19290331    56.6
19290401 19290430    67.5
19290501 19290531    15.7
19290601 19290630     0.0
19290701 19290731    18.3
19290801 19290831   127.8
19290901 19290930    40.1
19291001 19291031    77.2
19291101 19291130   155.3
19291201 19291231    59.2
19300101 19300131    11.6
19300201 19300228    23.7
19300301 19300331    42.1
19300401 19300430    31.0
19300501 19300531   105.9
19300601 19300630   137.7
19300701 19300731    22.7
19300801 19300831     9.6
19300901 19300930     0.0
19301001 19301031    81.0
19301101 19301130     5.3
19301201 19301231    58.8
19310101 19310131    24.2
19310201 19310228     4.1
19310301 19310331    59.9
19310401 19310430   113.9
19310501 19310531    85.4
19310601 19310630    49.0
19310701 19310731    28.2
19310801 19310831     2.6
19310901 19310930    41.4
19311001 19311031    45.5
19311101 19311130    61.1
19311201 19311231    51.5
19320101 19320131     0.5
19320201 19320229    25.3
19320301 19320331   124.3
19320401 19320430    29.6
19320501 19320531    33.5
19320601 19320630     5.9
19320701 19320731    38.3
19320801 19320831   112.3
19320901 19320930    68.1
19321001 19321031    32.7
19321101 19321130    69.8
19321201 19321231    32.7
19330101 19330131    97.6
19330201 19330228     9.6
19330301 19330331    29.6
19330401 19330430    70.9
19330501 19330531    39.1
19330601 19330630    39.2
19330701 19330731    70.6
19330801 19330831     5.1
19330901 19330930    44.4
19331001 19331031    60.9
19331101 19331130    89.9
19331201 19331231    85.1
19340101 19340131   349.0
19340201 19340228   226.1
19340301 19340331    35.0
19340401 19340430   114.9
19340501 19340531    54.1
19340601 19340630   171.5
19340701 19340731   200.2
19340801 19340831    88.7
19340901 19340930    28.9
19341001 19341031    75.7
19341101 19341130   106.8
19341201 19341231    76.7
19350101 19350131    81.5
19350201 19350228   109.4
19350301 19350331    22.9
19350401 19350430   109.5
19350501 19350531     4.6
19350601 19350630    31.1
19350701 19350731    20.0
19350801 19350831     4.0
19350901 19350930    64.7
19351001 19351031   107.4
19351101 19351130    36.9
19351201 19351231    85.9
19360101 19360131   106.8
19360201 19360229   147.8
19360301 19360331   148.9
19360401 19360430    33.0
19360501 19360531    20.8
19360601 19360630   123.9
19360701 19360731    35.3
19360801 19360831    33.7
19360901 19360930    15.5
19361001 19361031     5.1
19361101 19361130     6.4
19361201 19361231   106.9
19370101 19370131    81.0
19370201 19370228    47.2
19370301 19370331   152.9
19370401 19370430    22.7
19370501 19370531    12.9
19370601 19370630    72.7
19370701 19370731     8.9
19370801 19370831    67.9
19370901 19370930    39.2
19371001 19371031    93.3
19371101 19371130    49.3
19371201 19371231    59.1
19380101 19380131   112.9
19380201 19380228    86.8
19380301 19380331    69.9
19380401 19380430    28.1
19380501 19380531    50.2
19380601 19380630    10.7
19380701 19380731    23.8
19380801 19380831   179.2
19380901 19380930    36.1
19381001 19381031   136.6
19381101 19381130    50.9
19381201 19381231     9.7
19390101 19390131    94.8
19390201 19390228    27.6
19390301 19390331   124.1
19390401 19390430   131.2
19390501 19390531    11.7
19390601 19390630    20.6
19390701 19390731     7.6
19390801 19390831    45.2
19390901 19390930    17.6
19391001 19391031    45.7
19391101 19391130    47.8
19391201 19391231    23.9
19400101 19400131    53.6
19400201 19400229     7.9
19400301 19400331     0.0
19400401 19400430   149.5
19400501 19400531    12.7
19400601 19400630     6.6
19400701 19400731     3.0
19400801 19400831     8.1
19400901 19400930   106.6
19401001 19401031     5.8
19401101 19401130    31.6
19401201 19401231    85.6
19410101 19410131   144.0
19410201 19410228    93.6
19410301 19410331    66.8
19410401 19410430    28.5
19410501 19410531    17.3
19410601 19410630     9.9
19410701 19410731     3.8
19410801 19410831    25.9
19410901 19410930    66.5
19411001 19411031    22.6
19411101 19411130    23.4
19411201 19411231    17.9
19420101 19420131    15.7
19420201 19420228    86.6
19420301 19420331   113.1
19420401 19420430     9.6
19420501 19420531    55.4
19420601 19420630    20.6
19420701 19420731    13.5
19420801 19420831     5.8
19420901 19420930    28.0
19421001 19421031   106.4
19421101 19421130   131.3
19421201 19421231    29.0
19430101 19430131    80.3
19430201 19430228    28.7
19430301 19430331    20.9
19430401 19430430    61.9
19430501 19430531   278.4
19430601 19430630    14.6
19430701 19430731     0.0
19430801 19430831    58.1
19430901 19430930    65.3
19431001 19431031   106.1
19431101 19431130   103.3
19431201 19431231    78.9
19440101 19440131    20.6
19440201 19440229    16.3
19440301 19440331    30.1
19440401 19440430    40.7
19440501 19440531   234.7
19440601 19440630     5.3
19440701 19440731    21.9
19440801 19440831    10.8
19440901 19440930     0.5
19441001 19441031    28.6
19441101 19441130    17.8
19441201 19441231    71.4
19450101 19450131   109.8
19450201 19450228    56.7
19450301 19450331    28.3
19450401 19450430   367.2
19450501 19450531    12.2
19450601 19450630   197.0
19450701 19450731    16.2
19450801 19450831    27.9
19450901 19450930    13.0
19451001 19451031    58.1
19451101 19451130    40.5
19451201 19451231    62.7
19460101 19460131   106.4
19460201 19460228    65.8
19460301 19460331    49.8
19460401 19460430    92.8
19460501 19460531    22.1
19460601 19460630    79.3
19460701 19460731     3.3
19460801 19460831     7.7
19460901 19460930     9.6
19461001 19461031    27.4
19461101 19461130    98.1
19461201 19461231     5.9
19470101 19470131     5.1
19470201 19470228   237.7
19470301 19470331    40.2
19470401 19470430    53.1
19470501 19470531    20.1
19470601 19470630    40.9
19470701 19470731    10.4
19470801 19470831    48.0
19470901 19470930    18.5
19471001 19471031    11.6
19471101 19471130    69.3
19471201 19471231   172.8
19480101 19480131   173.2
19480201 19480229   133.3
19480301 19480331    35.6
19480401 19480430    20.6
19480501 19480531   188.8
19480601 19480630   116.6
19480701 19480731     6.9
19480801 19480831     1.8
19480901 19480930    27.3
19481001 19481031    55.2
19481101 19481130    30.5
19481201 19481231    84.0
19490101 19490131    68.1
19490201 19490228    67.4
19490301 19490331   142.1
19490401 19490430    28.1
19490501 19490531   121.5
19490601 19490630   209.1
19490701 19490731    28.5
19490801 19490831     5.5
19490901 19490930    58.2
19491001 19491031    65.8
19491101 19491130    74.6
19491201 19491231    12.4
19500101 19500131   109.3
19500201 19500228   132.3
19500301 19500331   255.2
19500401 19500430   169.7
19500501 19500531   101.5
19500601 19500630   119.0
19500701 19500731    80.1
19500801 19500831    21.2
19500901 19500930    28.3
19501001 19501031   163.9
19501101 19501130    52.0
19501201 19501231    35.1
19510101 19510131   169.7
19510201 19510228   157.2
19510301 19510331    12.2
19510401 19510430     4.1
19510501 19510531    35.3
19510601 19510630   216.6
19510701 19510731    14.3
19510801 19510831    62.9
19510901 19510930   130.5
19511001 19511031    66.5
19511101 19511130    34.5
19511201 19511231    17.7
19520101 19520131    53.0
19520201 19520229    53.1
19520301 19520331   152.8
19520401 19520430   188.8
19520501 19520531    43.4
19520601 19520630   251.4
19520701 19520731    46.6
19520801 19520831   136.2
19520901 19520930    28.0
19521001 19521031   118.0
19521101 19521130   116.1
19521201 19521231    90.9
19530101 19530131    78.2
19530201 19530228    47.7
19530301 19530331    17.0
19530401 19530430    13.3
19530501 19530531   296.8
19530601 19530630     0.0
19530701 19530731     6.6
19530801 19530831    36.1
19530901 19530930    29.3
19531001 19531031    56.2
19531101 19531130     8.9
19531201 19531231    52.1
19540101 19540131    34.0
19540201 19540228   161.8
19540301 19540331     0.5
19540401 19540430     6.3
19540501 19540531     1.5
19540601 19540630    27.1
19540701 19540731    14.7
19540801 19540831    17.7
19540901 19540930    24.6
19541001 19541031    73.7
19541101 19541130    68.9
19541201 19541231    17.1
19550101 19550131    48.6
19550201 19550228   159.5
19550301 19550331   101.7
19550401 19550430    26.9
19550501 19550531   233.8
19550601 19550630    18.6
19550701 19550731    14.1
19550801 19550831    34.6
19550901 19550930    32.1
19551001 19551031    52.4
19551101 19551130    37.6
19551201 19551231   124.8
19560101 19560131    63.6
19560201 19560229   214.1
19560301 19560331   185.9
19560401 19560430    82.4
19560501 19560531   167.1
19560601 19560630   223.7
19560701 19560731    74.8
19560801 19560831    16.8
19560901 19560930    15.8
19561001 19561031   102.8
19561101 19561130     5.1
19561201 19561231    22.5
19570101 19570131     3.4
19570201 19570228    51.4
19570301 19570331    33.2
19570401 19570430     9.4
19570501 19570531     1.1
19570601 19570630    83.8
19570701 19570731   179.9
19570801 19570831    74.1
19570901 19570930    15.0
19571001 19571031    11.4
19571101 19571130    22.4
19571201 19571231    61.5
19580101 19580131   104.9
19580201 19580228   104.0
19580301 19580331    53.9
19580401 19580430    37.7
19580501 19580531     5.6
19580601 19580630   160.3
19580701 19580731    36.1
19580801 19580831    33.0
19580901 19580930    43.3
19581001 19581031    25.7
19581101 19581130     9.9
19581201 19581231    70.7
19590101 19590131    79.9
19590201 19590228    87.4
19590301 19590331   130.9
19590401 19590430    91.2
19590501 19590531    11.7
19590601 19590630   179.5
19590701 19590731   163.0
19590801 19590831     9.5
19590901 19590930    41.0
19591001 19591031   426.2
19591101 19591130   151.4
19591201 19591231    43.7
19600101 19600131    54.5
19600201 19600229    15.3
19600301 19600331   125.0
19600401 19600430    15.8
19600501 19600531    47.8
19600601 19600630    15.0
19600701 19600731   223.7
19600801 19600831    13.0
19600901 19600930   112.1
19601001 19601031    73.0
19601101 19601130    58.2
19601201 19601231   219.8
19610101 19610131    20.5
19610201 19610228   100.3
19610301 19610331   303.3
19610401 19610430    29.2
19610501 19610531    11.2
19610601 19610630    58.3
19610701 19610731   162.5
19610801 19610831    96.5
19610901 19610930    68.7
19611001 19611031    97.0
19611101 19611130   349.4
19611201 19611231   163.6
19620101 19620131   135.7
19620201 19620228   145.0
19620301 19620331    52.8
19620401 19620430    13.5
19620501 19620531    36.9
19620601 19620630     0.3
19620701 19620731    43.5
19620801 19620831    45.3
19620901 19620930   234.0
19621001 19621031    59.4
19621101 19621130    29.2
19621201 19621231   145.4
19630101 19630131    83.5
19630201 19630228    97.3
19630301 19630331   148.9
19630401 19630430   165.4
19630501 19630531   170.5
19630601 19630630    58.5
19630701 19630731    69.2
19630801 19630831    60.9
19630901 19630930   100.6
19631001 19631031    37.3
19631101 19631130    67.7
19631201 19631231   158.2
19640101 19640131     7.1
19640201 19640229    46.4
19640301 19640331    78.0
19640401 19640430   152.2
19640501 19640531    40.9
19640601 19640630    60.2
19640701 19640731    37.7
19640801 19640831   100.0
19640901 19640930    28.2
19641001 19641031    93.2
19641101 19641130    29.8
19641201 19641231    46.6
19650101 19650131    12.5
19650201 19650228    18.5
19650301 19650331     0.6
