PRCP       069006 18960401 20180131 missing_value=99999.9 BETTOWYND (CONDRY)                        
19911201 19911231   118.0
19920101 19920131   121.2
19920201 19920229   227.0
19920301 19920331    35.8
19920401 19920430    56.0
19920501 19920531    18.4
19920601 19920630    80.0
19920701 19920731     3.8
19920801 19920831    16.6
19920901 19920930    83.6
19921001 19921031    48.2
19921101 19921130   159.4
19921201 19921231   101.8
19930101 19930131    62.6
19930201 19930228    82.0
19930301 19930331   132.0
19930401 19930430    11.0
19930501 19930531    10.0
19930601 19930630    17.8
19930701 19930731    51.0
19930801 19930831    36.4
19930901 19930930    67.2
19931001 19931031    56.2
19931101 19931130    45.8
19931201 19931231    18.0
19940101 19940131     9.2
19940201 19940228    91.2
19940301 19940331    61.0
19940401 19940430   116.4
19940501 19940531    24.6
19940601 19940630    41.2
19940701 19940731     3.0
19940801 19940831     2.4
19940901 19940930    10.6
19941001 19941031    67.2
19941101 19941130    45.8
19941201 19941231    61.6
19950101 19950131   207.8
19950201 19950228    25.8
19950301 19950331    78.4
19950401 19950430     9.6
19950501 19950531   156.4
19950601 19950630    26.4
19950701 19950731     4.0
19950801 19950831     0.8
19950901 19950930    59.0
19951001 19951031    97.6
19951101 19951130    56.9
19951201 19951231    71.8
19960101 19960131   103.0
19960201 19960229    35.4
19960301 19960331     7.6
19960401 19960430    47.2
19960501 19960531    85.4
19960601 19960630    22.4
19960701 19960731    42.0
19960801 19960831    42.0
19960901 19960930    91.8
19961001 19961031    59.8
19961101 19961130    76.4
19961201 19961231    51.6
19970101 19970131    55.2
19970201 19970228    44.6
19970301 19970331    64.6
19970401 19970430     0.0
19970501 19970531    37.2
19970601 19970630   223.4
19970701 19970731     5.8
19970801 19970831     3.2
19970901 19970930    77.6
19971001 19971031    23.8
19971101 19971130    26.8
19971201 19971231    10.6
19980101 19980131    50.4
19980201 19980228    17.0
19980301 19980331    11.0
19980401 19980430    33.6
19980501 19980531    77.4
19980601 19980630    78.4
19980701 19980731    22.0
19980801 19980831   260.0
19980901 19980930    40.8
19981001 19981031    27.8
19981101 19981130   136.2
19981201 19981231    61.2
19990101 19990131   141.4
19990201 19990228    36.4
19990301 19990331    48.9
19990401 19990430    32.6
19990501 19990531     5.2
19990601 19990630    27.4
19990701 19990731    72.4
19990801 19990831    34.8
19990901 19990930    40.0
19991001 19991031   158.2
19991101 19991130    29.0
19991201 19991231   108.4
20000101 20000131    52.2
20000201 20000229    29.2
20000301 20000331   102.8
20000401 20000430    18.8
20000501 20000531    19.6
20000601 20000630    33.6
20000701 20000731    11.2
20000801 20000831    21.0
20000901 20000930    61.6
20001001 20001031    21.0
20001101 20001130   137.2
20001201 20001231    51.4
20010101 20010131 99999.9
20010201 20010228    78.4
20010301 20010331    27.6
20010401 20010430    16.8
20010501 20010531     5.6
20010601 20010630     0.8
20010701 20010731    98.6
20010801 20010831   130.6
20010901 20010930    57.4
20011001 20011031    28.6
20011101 20011130    22.4
20011201 20011231    17.8
20020101 20020131    57.8
20020201 20020228     5.8
20020301 20020331     9.2
20020401 20020430    34.4
20020501 20020531    12.8
20020601 20020630     8.4
20020701 20020731     0.6
20020801 20020831     2.0
20020901 20020930 99999.9
20021001 20021031     9.4
20021101 20021130    16.6
20021201 20021231    13.0
20030101 20030131     5.6
20030201 20030228    39.8
20030301 20030331    63.6
20030401 20030430 99999.9
20030501 20030531 99999.9
20030601 20030630 99999.9
20030701 20030731     5.4
20030801 20030831    23.8
20030901 20030930    14.8
20031001 20031031 99999.9
20031101 20031130 99999.9
20031201 20031231 99999.9
20040101 20040131 99999.9
20040201 20040229 99999.9
20040301 20040331 99999.9
20040401 20040430 99999.9
20040501 20040531 99999.9
20040601 20040630 99999.9
20040701 20040731 99999.9
20040801 20040831 99999.9
20040901 20040930 99999.9
20041001 20041031 99999.9
20041101 20041130 99999.9
20041201 20041231 99999.9
20050101 20050131 99999.9
20050201 20050228 99999.9
20050301 20050331 99999.9
20050401 20050430 99999.9
20050501 20050531 99999.9
20050601 20050630 99999.9
20050701 20050731 99999.9
20050801 20050831 99999.9
20050901 20050930 99999.9
20051001 20051031 99999.9
20051101 20051130 99999.9
20051201 20051231 99999.9
20060101 20060131 99999.9
20060201 20060228 99999.9
20060301 20060331 99999.9
20060401 20060430 99999.9
20060501 20060531    47.0
20060601 20060630    45.0
20060701 20060731    34.0
20060801 20060831    17.0
20060901 20060930    37.6
20061001 20061031     1.4
20061101 20061130    19.6
20061201 20061231    33.6
20070101 20070131    38.8
20070201 20070228   156.4
20070301 20070331    76.0
20070401 20070430    29.2
20070501 20070531    11.6
20070601 20070630   245.2
20070701 20070731    14.8
20070801 20070831    34.6
20070901 20070930    20.6
20071001 20071031     3.6
20071101 20071130    84.8
20071201 20071231 99999.9
20080101 20080131 99999.9
20080201 20080229 99999.9
20080301 20080331    16.0
20080401 20080430    53.0
20080501 20080531     1.2
20080601 20080630 99999.9
20080701 20080731     7.6
20080801 20080831    65.6
20080901 20080930    24.0
20081001 20081031    30.8
20081101 20081130    73.8
20081201 20081231    59.4
20090101 20090131    15.2
20090201 20090228 99999.9
20090301 20090331    24.0
20090401 20090430    59.0
20090501 20090531    52.0
20090601 20090630    28.0
20090701 20090731    10.0
20090801 20090831    17.0
20090901 20090930    21.0
20091001 20091031    81.0
20091101 20091130    59.0
20091201 20091231    66.0
20100101 20100131    10.0
20100201 20100228   302.0
20100301 20100331    45.0
20100401 20100430     1.0
20100501 20100531   126.0
20100601 20100630    25.0
20100701 20100731    40.0
20100801 20100831    18.0
20100901 20100930    19.0
20101001 20101031    39.0
20101101 20101130    84.0
20101201 20101231    77.0
20110101 20110131    76.0
20110201 20110228    65.0
20110301 20110331    59.0
20110401 20110430 99999.9
20110501 20110531 99999.9
20110601 20110630 99999.9
20110701 20110731    49.0
20110801 20110831   104.0
20110901 20110930    20.0
20111001 20111031    83.0
20111101 20111130    33.0
20111201 20111231 99999.9
20120101 20120131 99999.9
20120201 20120229 99999.9
20120301 20120331 99999.9
20120401 20120430 99999.9
20120501 20120531 99999.9
20120601 20120630     6.0
20120701 20120731    21.0
20120801 20120831     8.0
20120901 20120930    30.0
20121001 20121031   119.0
20121101 20121130    39.0
20121201 20121231    16.0
20130101 20130131    34.0
20130201 20130228   134.0
20130301 20130331    43.0
20130401 20130430    49.0
20130501 20130531    11.0
20130601 20130630    79.0
20130701 20130731     6.0
20130801 20130831     6.0
20130901 20130930   136.0
20131001 20131031     8.0
20131101 20131130    64.0
20131201 20131231    18.0
20140101 20140131     1.0
20140201 20140228    42.0
20140301 20140331   143.0
20140401 20140430    50.0
20140501 20140531     8.0
20140601 20140630    51.0
20140701 20140731     0.0
20140801 20140831   206.0
20140901 20140930    39.0
20141001 20141031    60.0
20141101 20141130    15.0
20141201 20141231   366.0
20150101 20150131   167.0
20150201 20150228    65.0
20150301 20150331    18.0
20150401 20150430   137.0
20150501 20150531    23.0
20150601 20150630    41.0
20150701 20150731    45.0
20150801 20150831   138.0
20150901 20150930    11.0
20151001 20151031    37.0
20151101 20151130    88.0
20151201 20151231    14.0
20160101 20160131   223.0
20160201 20160229    21.0
20160301 20160331    16.0
20160401 20160430    11.0
20160501 20160531     4.0
20160601 20160630   296.0
20160701 20160731    29.0
20160801 20160831    29.0
20160901 20160930    78.0
20161001 20161031    31.0
20161101 20161130    25.0
20161201 20161231    59.0
20170101 20170131     2.0
20170201 20170228    39.0
20170301 20170331   225.0
20170401 20170430    27.0
20170501 20170531    38.0
20170601 20170630    19.0
20170701 20170731     5.0
20170801 20170831    25.0
20170901 20170930     2.0
20171001 20171031    60.0
20171101 20171130   101.0
20171201 20171231    61.0
20180101 20180131    75.0
