PRCP       002019 19131201 20170831 missing_value=99999.9 MARGARET RIVER                            
19351101 19351130     3.0
19351201 19351231    26.1
19360101 19360131    32.2
19360201 19360229    91.5
19360301 19360331    27.2
19360401 19360430     0.0
19360501 19360531     0.0
19360601 19360630     0.0
19360701 19360731     0.0
19360801 19360831     0.0
19360901 19360930     0.0
19361001 19361031     3.0
19361101 19361130    10.2
19361201 19361231    26.1
19370101 19370131   276.0
19370201 19370228    15.0
19370301 19370331    14.2
19370401 19370430     0.0
19370501 19370531     0.0
19370601 19370630     0.0
19370701 19370731     0.0
19370801 19370831     0.0
19370901 19370930     0.0
19371001 19371031    13.2
19371101 19371130    39.1
19371201 19371231    59.4
19380101 19380131    68.5
19380201 19380228   160.0
19380301 19380331     0.0
19380401 19380430     0.0
19380501 19380531     0.0
19380601 19380630     0.0
19380701 19380731     0.0
19380801 19380831     0.0
19380901 19380930     0.0
19381001 19381031     0.0
19381101 19381130    53.1
19381201 19381231     0.0
19390101 19390131    24.9
19390201 19390228    88.1
19390301 19390331     0.0
19390401 19390430     8.6
19390501 19390531     0.0
19390601 19390630    63.8
19390701 19390731   137.7
19390801 19390831     0.0
19390901 19390930     0.0
19391001 19391031     0.0
19391101 19391130     8.4
19391201 19391231    20.1
19400101 19400131   155.3
19400201 19400229    37.8
19400301 19400331     0.0
19400401 19400430    11.7
19400501 19400531     0.0
19400601 19400630     0.0
19400701 19400731     0.0
19400801 19400831     0.0
19400901 19400930     0.0
19401001 19401031     4.8
19401101 19401130     1.3
19401201 19401231    52.5
19410101 19410131    68.3
19410201 19410228    12.9
19410301 19410331   284.4
19410401 19410430     0.8
19410501 19410531     7.9
19410601 19410630   247.1
19410701 19410731     0.0
19410801 19410831     0.0
19410901 19410930     0.0
19411001 19411031    13.2
19411101 19411130    13.7
19411201 19411231    60.7
19420101 19420131   155.6
19420201 19420228    98.0
19420301 19420331    62.7
19420401 19420430     3.0
19420501 19420531    18.8
19420601 19420630    14.9
19420701 19420731     0.0
19420801 19420831     0.0
19420901 19420930     0.0
19421001 19421031     0.0
19421101 19421130    52.1
19421201 19421231    27.2
19430101 19430131   147.7
19430201 19430228    62.2
19430301 19430331    52.7
19430401 19430430    13.8
19430501 19430531     0.0
19430601 19430630     0.0
19430701 19430731    12.7
19430801 19430831     0.0
19430901 19430930     0.0
19431001 19431031     0.0
19431101 19431130     0.0
19431201 19431231   156.5
19440101 19440131   234.9
19440201 19440229    30.7
19440301 19440331    57.9
19440401 19440430     0.0
19440501 19440531     0.0
19440601 19440630     0.0
19440701 19440731     0.0
19440801 19440831     0.0
19440901 19440930     0.0
19441001 19441031    39.3
19441101 19441130     9.2
19441201 19441231    55.4
19450101 19450131    94.0
19450201 19450228    72.0
19450301 19450331    15.9
19450401 19450430     2.0
19450501 19450531     1.4
19450601 19450630     2.5
19450701 19450731     1.6
19450801 19450831     0.5
19450901 19450930     0.3
19451001 19451031     0.1
19451101 19451130     0.7
19451201 19451231    36.7
19460101 19460131    81.2
19460201 19460228    77.4
19460301 19460331    22.1
19460401 19460430     2.3
19460501 19460531     1.2
19460601 19460630     2.5
19460701 19460731     1.4
19460801 19460831     0.5
19460901 19460930     0.5
19461001 19461031     1.9
19461101 19461130     2.3
19461201 19461231    59.3
19470101 19470131   136.7
19470201 19470228   114.0
19470301 19470331    50.1
19470401 19470430    24.4
19470501 19470531     0.0
19470601 19470630     0.0
19470701 19470731     0.0
19470801 19470831    53.6
19470901 19470930     6.1
