PRCP       097091 19070101 20180131 missing_value=99999.9 SOUTH QUEENSTOWN                          
20020301 20020331   151.4
20020401 20020430    59.0
20020501 20020531   131.4
20020601 20020630   449.0
20020701 20020731   432.6
20020801 20020831   253.4
20020901 20020930   404.6
20021001 20021031   272.0
20021101 20021130   168.4
20021201 20021231   187.4
20030101 20030131   135.0
20030201 20030228    44.6
20030301 20030331   123.6
20030401 20030430   145.6
20030501 20030531   123.0
20030601 20030630   313.8
20030701 20030731   335.4
20030801 20030831   388.6
20030901 20030930   428.0
20031001 20031031   180.2
20031101 20031130    71.0
20031201 20031231   122.8
20040101 20040131   209.6
20040201 20040229    85.2
20040301 20040331   103.6
20040401 20040430   104.1
20040501 20040531   367.0
20040601 20040630   484.2
20040701 20040731   323.4
20040801 20040831   222.6
20040901 20040930   281.2
20041001 20041031   188.4
20041101 20041130   171.6
20041201 20041231   137.0
20050101 20050131   127.8
20050201 20050228   101.0
20050301 20050331   115.4
20050401 20050430   184.4
20050501 20050531   326.4
20050601 20050630    85.0
20050701 20050731   330.6
20050801 20050831   350.4
20050901 20050930   142.2
20051001 20051031   303.0
20051101 20051130   224.6
20051201 20051231   430.0
20060101 20060131    90.6
20060201 20060228   112.0
20060301 20060331   108.4
20060401 20060430   373.0
20060501 20060531   234.8
20060601 20060630   145.4
20060701 20060731 99999.9
20060801 20060831   235.8
20060901 20060930   299.0
20061001 20061031   192.4
20061101 20061130   109.8
20061201 20061231   140.2
20070101 20070131   189.6
20070201 20070228    20.0
20070301 20070331   233.6
20070401 20070430    65.6
20070501 20070531   385.4
20070601 20070630    93.2
20070701 20070731   183.2
20070801 20070831   319.2
20070901 20070930   236.0
20071001 20071031   366.8
20071101 20071130    24.6
20071201 20071231   165.4
20080101 20080131    33.0
20080201 20080229   124.0
20080301 20080331   161.4
20080401 20080430   179.4
20080501 20080531   194.6
20080601 20080630   208.4
20080701 20080731   206.8
20080801 20080831   216.0
20080901 20080930   297.2
20081001 20081031   163.4
20081101 20081130   148.2
20081201 20081231   203.6
20090101 20090131   161.4
20090201 20090228   130.6
20090301 20090331   189.6
20090401 20090430   189.8
20090501 20090531   304.2
20090601 20090630   105.0
20090701 20090731   402.4
20090801 20090831   554.0
20090901 20090930   284.8
20091001 20091031    93.2
20091101 20091130   100.0
20091201 20091231   232.0
20100101 20100131    72.6
20100201 20100228    55.8
20100301 20100331 99999.9
20100401 20100430   284.8
20100501 20100531   212.4
20100601 20100630   250.6
20100701 20100731   209.0
20100801 20100831   288.0
20100901 20100930   365.2
20101001 20101031   200.2
20101101 20101130   160.2
20101201 20101231   176.4
20110101 20110131   117.6
20110201 20110228   155.2
20110301 20110331   134.0
20110401 20110430   145.2
20110501 20110531   177.4
20110601 20110630   357.0
20110701 20110731   302.4
20110801 20110831   169.0
20110901 20110930   289.2
20111001 20111031   186.6
20111101 20111130   262.2
20111201 20111231    61.6
20120101 20120131   142.8
20120201 20120229    88.6
20120301 20120331   249.2
20120401 20120430   172.4
20120501 20120531   272.8
20120601 20120630   236.6
20120701 20120731   196.0
20120801 20120831   315.4
20120901 20120930   323.6
20121001 20121031   216.4
20121101 20121130   129.0
20121201 20121231   191.4
20130101 20130131   133.0
20130201 20130228    51.8
20130301 20130331   205.2
20130401 20130430   246.6
20130501 20130531   162.4
20130601 20130630   125.4
20130701 20130731   272.8
20130801 20130831   541.6
20130901 20130930   275.4
20131001 20131031   422.2
20131101 20131130    92.4
20131201 20131231   197.2
20140101 20140131   116.6
20140201 20140228   138.2
20140301 20140331   118.8
20140401 20140430   194.4
20140501 20140531   259.2
20140601 20140630   207.6
20140701 20140731   254.6
20140801 20140831   185.0
20140901 20140930   199.4
20141001 20141031   237.0
20141101 20141130   169.8
20141201 20141231 99999.9
20150101 20150131   199.6
20150201 20150228    33.8
20150301 20150331   288.4
20150401 20150430    71.4
20150501 20150531   397.2
20150601 20150630   252.4
20150701 20150731   246.4
20150801 20150831   253.0
20150901 20150930    95.4
20151001 20151031    41.8
20151101 20151130   145.4
20151201 20151231   146.6
20160101 20160131    41.6
20160201 20160229   158.8
20160301 20160331    93.2
20160401 20160430   214.0
20160501 20160531   576.4
20160601 20160630   363.2
20160701 20160731   504.0
20160801 20160831   338.8
20160901 20160930   172.2
20161001 20161031   383.8
20161101 20161130   270.8
20161201 20161231   157.6
20170101 20170131   113.6
20170201 20170228   154.8
20170301 20170331    93.6
20170401 20170430   113.8
20170501 20170531   241.0
20170601 20170630   202.2
20170701 20170731 99999.9
20170801 20170831   299.2
20170901 20170930   391.8
20171001 20171031   207.2
20171101 20171130    87.4
20171201 20171231   175.0
20180101 20180131   115.2
