PRCP       097091 19070101 20180131 missing_value=99999.9 SOUTH QUEENSTOWN                          
19280901 19280930   421.3
19281001 19281031   377.0
19281101 19281130   282.4
19281201 19281231   181.1
19290101 19290131   259.4
19290201 19290228    37.6
19290301 19290331   224.4
19290401 19290430   275.6
19290501 19290531   129.3
19290601 19290630   319.0
19290701 19290731   308.0
19290801 19290831   206.3
19290901 19290930   241.1
19291001 19291031   201.1
19291101 19291130   175.8
19291201 19291231   283.4
19300101 19300131   223.9
19300201 19300228    63.1
19300301 19300331    83.5
19300401 19300430   193.3
19300501 19300531   138.3
19300601 19300630    83.2
19300701 19300731   305.7
19300801 19300831   220.6
19300901 19300930   317.1
19301001 19301031   193.8
19301101 19301130   285.0
19301201 19301231   155.8
19310101 19310131   243.4
19310201 19310228   162.1
19310301 19310331   191.7
19310401 19310430   185.6
19310501 19310531   377.3
19310601 19310630   263.0
19310701 19310731   352.2
19310801 19310831   305.0
19310901 19310930   322.8
19311001 19311031   300.9
19311101 19311130   176.9
19311201 19311231    59.7
19320101 19320131   145.0
19320201 19320229   240.8
19320301 19320331    80.1
19320401 19320430   286.6
19320501 19320531    90.5
19320601 19320630   376.3
19320701 19320731    75.0
19320801 19320831   187.9
19320901 19320930   156.1
19321001 19321031   217.3
19321101 19321130   236.0
19321201 19321231   244.0
19330101 19330131   208.6
19330201 19330228   190.8
19330301 19330331   238.6
19330401 19330430   216.4
19330501 19330531   258.4
19330601 19330630   203.9
19330701 19330731   148.3
19330801 19330831   296.8
19330901 19330930   231.6
19331001 19331031   290.3
19331101 19331130    76.8
19331201 19331231    73.8
19340101 19340131    87.5
19340201 19340228    58.3
19340301 19340331    86.7
19340401 19340430   164.0
19340501 19340531   103.3
19340601 19340630    75.7
19340701 19340731   227.5
19340801 19340831   216.6
19340901 19340930   242.5
19341001 19341031   288.6
19341101 19341130   161.8
19341201 19341231   114.4
19350101 19350131   171.5
19350201 19350228   221.7
19350301 19350331   235.3
19350401 19350430   246.0
19350501 19350531   307.5
19350601 19350630   272.1
19350701 19350731   282.6
19350801 19350831   262.1
19350901 19350930   166.8
19351001 19351031   172.4
19351101 19351130   207.8
19351201 19351231    87.7
19360101 19360131    66.6
19360201 19360229    59.2
19360301 19360331   123.0
19360401 19360430   349.9
19360501 19360531   136.1
19360601 19360630   139.8
19360701 19360731   226.4
19360801 19360831   480.0
19360901 19360930   292.8
19361001 19361031   256.9
19361101 19361130   177.9
19361201 19361231   140.1
19370101 19370131   356.5
19370201 19370228    82.6
19370301 19370331   181.4
19370401 19370430   201.7
19370501 19370531   408.7
19370601 19370630    27.0
19370701 19370731   315.3
19370801 19370831   166.3
19370901 19370930   189.6
19371001 19371031   132.8
19371101 19371130   119.8
19371201 19371231   147.1
19380101 19380131   205.9
19380201 19380228   185.7
19380301 19380331    83.2
19380401 19380430   200.1
19380501 19380531   279.2
19380601 19380630   316.2
19380701 19380731   101.5
19380801 19380831   190.5
19380901 19380930   240.7
19381001 19381031   197.3
19381101 19381130   105.6
19381201 19381231   342.0
19390101 19390131    28.5
19390201 19390228   147.6
19390301 19390331   108.3
19390401 19390430   229.3
19390501 19390531   148.6
19390601 19390630   250.2
19390701 19390731   207.8
19390801 19390831   391.6
19390901 19390930   460.5
19391001 19391031   222.7
19391101 19391130   233.8
19391201 19391231   282.3
19400101 19400131   205.2
19400201 19400229   322.2
19400301 19400331   127.7
19400401 19400430   140.6
19400501 19400531   117.1
19400601 19400630   340.6
19400701 19400731   285.2
19400801 19400831   197.5
19400901 19400930   201.9
19401001 19401031   138.7
19401101 19401130   218.2
19401201 19401231   184.0
19410101 19410131    45.2
19410201 19410228   103.6
19410301 19410331   285.4
19410401 19410430    91.8
19410501 19410531   285.3
19410601 19410630   237.9
19410701 19410731   281.9
19410801 19410831   208.0
19410901 19410930   287.0
19411001 19411031   332.2
19411101 19411130   237.5
19411201 19411231   143.9
19420101 19420131   227.3
19420201 19420228   123.1
19420301 19420331   113.9
19420401 19420430   216.6
19420501 19420531   238.5
19420601 19420630   164.2
19420701 19420731   334.8
19420801 19420831   265.6
19420901 19420930   355.7
19421001 19421031   132.7
19421101 19421130   122.6
19421201 19421231   147.0
19430101 19430131   146.0
19430201 19430228   199.7
19430301 19430331    80.2
19430401 19430430   337.4
19430501 19430531   256.8
19430601 19430630   305.6
19430701 19430731   321.7
19430801 19430831   187.6
19430901 19430930   150.5
19431001 19431031    88.6
19431101 19431130   182.6
19431201 19431231   135.9
19440101 19440131   157.9
19440201 19440229   205.1
19440301 19440331   114.3
19440401 19440430   332.6
19440501 19440531   157.5
19440601 19440630   320.6
19440701 19440731   254.6
19440801 19440831   163.6
19440901 19440930   326.3
19441001 19441031   181.4
19441101 19441130   299.1
19441201 19441231   228.2
19450101 19450131   139.3
19450201 19450228   206.2
19450301 19450331   420.5
19450401 19450430   103.0
19450501 19450531   127.1
19450601 19450630   227.7
19450701 19450731   265.2
19450801 19450831   397.1
19450901 19450930   339.9
19451001 19451031   359.7
19451101 19451130   177.3
19451201 19451231   106.2
19460101 19460131   178.3
19460201 19460228   203.4
19460301 19460331   263.4
19460401 19460430   138.3
19460501 19460531   207.2
19460601 19460630   199.5
19460701 19460731   497.3
19460801 19460831   447.2
19460901 19460930   253.9
19461001 19461031   235.0
19461101 19461130   134.5
19461201 19461231   210.3
19470101 19470131   145.2
19470201 19470228    82.8
19470301 19470331   221.3
19470401 19470430   152.0
19470501 19470531   233.0
