PRCP       043035 18810101 20180131 missing_value=99999.9 SURAT POST OFFICE                         
19761001 19761031    55.8
19761101 19761130   105.4
19761201 19761231    28.2
19770101 19770131    42.4
19770201 19770228    84.8
19770301 19770331   213.6
19770401 19770430    47.8
19770501 19770531    68.2
19770601 19770630     5.4
19770701 19770731     3.2
19770801 19770831     9.6
19770901 19770930     1.8
19771001 19771031     8.4
19771101 19771130    21.0
19771201 19771231    26.3
19780101 19780131   131.4
19780201 19780228    41.6
19780301 19780331    14.6
19780401 19780430    29.2
19780501 19780531    81.1
19780601 19780630    60.8
19780701 19780731    56.8
19780801 19780831    70.1
19780901 19780930    72.6
19781001 19781031    50.8
19781101 19781130    98.0
19781201 19781231   159.6
19790101 19790131    14.5
19790201 19790228    26.8
19790301 19790331    99.0
19790401 19790430     5.0
19790501 19790531    37.8
19790601 19790630    28.8
19790701 19790731     3.8
19790801 19790831     7.6
19790901 19790930    21.5
19791001 19791031    47.6
19791101 19791130   159.2
19791201 19791231    23.6
19800101 19800131     3.6
19800201 19800229    15.4
19800301 19800331    26.0
19800401 19800430     5.4
19800501 19800531    74.8
19800601 19800630     2.0
19800701 19800731    45.2
19800801 19800831    15.8
19800901 19800930     0.2
19801001 19801031    73.2
19801101 19801130    17.8
19801201 19801231    96.0
19810101 19810131    31.0
19810201 19810228    13.8
19810301 19810331     5.2
19810401 19810430    82.2
19810501 19810531    65.2
19810601 19810630    69.5
19810701 19810731    52.6
19810801 19810831    24.2
19810901 19810930     0.4
19811001 19811031    52.0
19811101 19811130   117.1
19811201 19811231    23.3
19820101 19820131    85.9
19820201 19820228    20.8
19820301 19820331   109.8
19820401 19820430    10.4
19820501 19820531     7.6
19820601 19820630     0.0
19820701 19820731    13.8
19820801 19820831     7.2
19820901 19820930    12.4
19821001 19821031    33.3
19821101 19821130     0.0
19821201 19821231    67.8
19830101 19830131    40.7
19830201 19830228    18.6
19830301 19830331    39.5
19830401 19830430   114.3
19830501 19830531   232.7
19830601 19830630    63.2
19830701 19830731    14.0
19830801 19830831    30.0
19830901 19830930    36.0
19831001 19831031    32.2
19831101 19831130   203.0
19831201 19831231    31.9
19840101 19840131   217.0
19840201 19840229    14.0
19840301 19840331    18.0
19840401 19840430    46.0
19840501 19840531    14.0
19840601 19840630    46.0
19840701 19840731   144.0
19840801 19840831    24.0
19840901 19840930    17.0
19841001 19841031    86.0
19841101 19841130    17.0
19841201 19841231    50.0
19850101 19850131    61.4
19850201 19850228    32.0
19850301 19850331    11.0
19850401 19850430    18.0
19850501 19850531     0.0
19850601 19850630    29.0
19850701 19850731   100.0
19850801 19850831    58.0
19850901 19850930     3.0
19851001 19851031   106.1
19851101 19851130    68.0
19851201 19851231    71.0
19860101 19860131    45.0
19860201 19860228    52.0
19860301 19860331     2.0
19860401 19860430    13.0
19860501 19860531    79.0
19860601 19860630     3.0
19860701 19860731    63.0
19860801 19860831    44.2
19860901 19860930    55.2
19861001 19861031    58.0
19861101 19861130    86.4
19861201 19861231    25.2
19870101 19870131   106.6
19870201 19870228    12.8
19870301 19870331    23.7
19870401 19870430     2.4
19870501 19870531    35.0
19870601 19870630    23.6
19870701 19870731    38.0
19870801 19870831    31.7
19870901 19870930     5.0
19871001 19871031    78.4
19871101 19871130    38.0
19871201 19871231    49.3
19880101 19880131   100.2
19880201 19880229   224.6
19880301 19880331    32.4
19880401 19880430   194.2
19880501 19880531    10.4
19880601 19880630     9.2
19880701 19880731    49.4
19880801 19880831    26.0
19880901 19880930    97.0
19881001 19881031     1.6
19881101 19881130    43.9
19881201 19881231    54.8
19890101 19890131    52.9
19890201 19890228    25.4
19890301 19890331   126.7
19890401 19890430    94.3
19890501 19890531    54.1
19890601 19890630    70.5
19890701 19890731    19.0
19890801 19890831    15.0
19890901 19890930     2.0
19891001 19891031    55.8
19891101 19891130    57.5
19891201 19891231    46.6
19900101 19900131    17.0
19900201 19900228    43.7
19900301 19900331   146.1
19900401 19900430   118.2
19900501 19900531    46.4
19900601 19900630    32.4
19900701 19900731    29.8
19900801 19900831    19.8
19900901 19900930    32.2
19901001 19901031    47.1
19901101 19901130     1.3
19901201 19901231    21.4
19910101 19910131   128.3
19910201 19910228    61.6
19910301 19910331    23.9
19910401 19910430     0.0
19910501 19910531   111.6
19910601 19910630     1.4
19910701 19910731    48.6
19910801 19910831     0.0
19910901 19910930     2.0
19911001 19911031    22.2
19911101 19911130   112.2
19911201 19911231    92.9
19920101 19920131    24.1
19920201 19920229    75.3
19920301 19920331    12.6
19920401 19920430    18.2
19920501 19920531    67.8
19920601 19920630     0.0
19920701 19920731     7.9
19920801 19920831    28.0
19920901 19920930    16.3
19921001 19921031    54.6
19921101 19921130    57.8
19921201 19921231   129.4
19930101 19930131    43.6
19930201 19930228    36.0
19930301 19930331     0.6
19930401 19930430     0.0
19930501 19930531     1.7
19930601 19930630    23.6
19930701 19930731    39.2
19930801 19930831    11.3
19930901 19930930    49.4
19931001 19931031    42.8
19931101 19931130    46.0
19931201 19931231   198.0
19940101 19940131     8.4
19940201 19940228   121.6
19940301 19940331    67.4
19940401 19940430     0.8
19940501 19940531     3.4
19940601 19940630    14.4
19940701 19940731     0.0
19940801 19940831     0.2
19940901 19940930     1.8
19941001 19941031    51.0
19941101 19941130    64.8
19941201 19941231    21.4
19950101 19950131   132.9
19950201 19950228   140.8
19950301 19950331    24.3
19950401 19950430     0.7
19950501 19950531    36.6
19950601 19950630    38.6
19950701 19950731     8.3
19950801 19950831    26.0
19950901 19950930    55.6
19951001 19951031    60.5
19951101 19951130    97.5
19951201 19951231    57.2
19960101 19960131   119.6
19960201 19960229    25.0
19960301 19960331    19.0
19960401 19960430    44.4
19960501 19960531    89.1
19960601 19960630    20.9
19960701 19960731    27.3
19960801 19960831    21.1
19960901 19960930    25.6
19961001 19961031    38.3
19961101 19961130    36.7
19961201 19961231    37.0
19970101 19970131   103.5
19970201 19970228   122.4
19970301 19970331    47.2
19970401 19970430     0.1
19970501 19970531    71.8
19970601 19970630    12.7
19970701 19970731     2.3
19970801 19970831     0.0
19970901 19970930    16.7
19971001 19971031    79.1
19971101 19971130    55.7
19971201 19971231   170.3
19980101 19980131    29.0
19980201 19980228   130.2
19980301 19980331     0.0
19980401 19980430    72.8
19980501 19980531    25.4
19980601 19980630    51.0
19980701 19980731    75.9
19980801 19980831   102.5
19980901 19980930    35.8
19981001 19981031   126.3
19981101 19981130    67.4
19981201 19981231    23.8
19990101 19990131   111.0
19990201 19990228    18.0
19990301 19990331   120.2
19990401 19990430    27.1
19990501 19990531    25.3
19990601 19990630    44.6
19990701 19990731    29.4
19990801 19990831    20.0
19990901 19990930    14.2
19991001 19991031    73.8
19991101 19991130   137.0
19991201 19991231   133.0
20000101 20000131    74.8
20000201 20000229    41.6
20000301 20000331    42.8
20000401 20000430    11.8
20000501 20000531    36.4
20000601 20000630    26.4
20000701 20000731     8.0
20000801 20000831    21.8
20000901 20000930     7.8
20001001 20001031    84.8
20001101 20001130   133.4
20001201 20001231    44.2
20010101 20010131    46.2
20010201 20010228    58.2
20010301 20010331    64.4
20010401 20010430     9.2
20010501 20010531     1.0
20010601 20010630    10.4
20010701 20010731    70.4
20010801 20010831     9.6
20010901 20010930    13.0
20011001 20011031    27.2
20011101 20011130   137.4
20011201 20011231    86.0
20020101 20020131    53.3
20020201 20020228   120.4
20020301 20020331    13.6
20020401 20020430     2.2
20020501 20020531     6.0
20020601 20020630    26.2
20020701 20020731    14.6
20020801 20020831    37.3
20020901 20020930     1.6
20021001 20021031    13.8
20021101 20021130    51.2
20021201 20021231    46.2
20030101 20030131     3.0
20030201 20030228    74.8
20030301 20030331    74.0
20030401 20030430    73.8
20030501 20030531    42.0
20030601 20030630    61.8
20030701 20030731    28.6
20030801 20030831    42.6
20030901 20030930     0.0
20031001 20031031    56.8
20031101 20031130    42.2
20031201 20031231    54.2
20040101 20040131    78.0
20040201 20040229    79.4
20040301 20040331    82.4
20040401 20040430    82.2
20040501 20040531     8.0
20040601 20040630     3.4
20040701 20040731     9.4
20040801 20040831     6.6
20040901 20040930    35.4
20041001 20041031     7.8
20041101 20041130   101.2
20041201 20041231    92.8
20050101 20050131     4.6
20050201 20050228    19.2
20050301 20050331     8.8
20050401 20050430     0.0
20050501 20050531    57.6
20050601 20050630   117.6
20050701 20050731     0.6
20050801 20050831     5.4
20050901 20050930     9.4
20051001 20051031    79.0
20051101 20051130    71.0
20051201 20051231    76.8
20060101 20060131    25.6
20060201 20060228    62.8
20060301 20060331   131.0
20060401 20060430    14.2
20060501 20060531    13.6
20060601 20060630    11.2
20060701 20060731    23.4
20060801 20060831     1.0
20060901 20060930    13.3
20061001 20061031     4.4
20061101 20061130    43.2
20061201 20061231    25.8
20070101 20070131    80.8
20070201 20070228    33.0
20070301 20070331    25.6
20070401 20070430    12.4
20070501 20070531     3.6
20070601 20070630    46.8
20070701 20070731     0.0
20070801 20070831    57.8
20070901 20070930    17.8
20071001 20071031    86.4
20071101 20071130    34.8
20071201 20071231   129.6
20080101 20080131    67.6
20080201 20080229    74.2
20080301 20080331     5.2
20080401 20080430     0.0
20080501 20080531     7.6
20080601 20080630    29.2
20080701 20080731    32.6
20080801 20080831     3.2
20080901 20080930    76.6
20081001 20081031    50.0
20081101 20081130    80.8
20081201 20081231    79.4
20090101 20090131    20.8
20090201 20090228   121.4
20090301 20090331     0.0
20090401 20090430    18.0
20090501 20090531    33.2
20090601 20090630    49.4
20090701 20090731     2.4
20090801 20090831     2.8
20090901 20090930    21.4
20091001 20091031    12.6
20091101 20091130    18.4
20091201 20091231   149.8
20100101 20100131    49.4
20100201 20100228   237.6
20100301 20100331   237.4
20100401 20100430     4.0
20100501 20100531     9.8
20100601 20100630     7.4
20100701 20100731    52.4
20100801 20100831    56.6
20100901 20100930   113.2
20101001 20101031    52.2
20101101 20101130   101.6
20101201 20101231   208.6
20110101 20110131    42.0
20110201 20110228   117.6
20110301 20110331    40.2
20110401 20110430    73.6
20110501 20110531    24.6
20110601 20110630    12.8
20110701 20110731    20.4
20110801 20110831    30.4
20110901 20110930    28.4
20111001 20111031    75.6
20111101 20111130    61.8
20111201 20111231   192.6
20120101 20120131   117.4
20120201 20120229   138.8
20120301 20120331    19.0
20120401 20120430    10.4
20120501 20120531    40.0
20120601 20120630    50.2
20120701 20120731    26.4
20120801 20120831     8.8
20120901 20120930    11.4
20121001 20121031    33.2
20121101 20121130    12.0
20121201 20121231    31.4
20130101 20130131    69.6
20130201 20130228    26.0
20130301 20130331    39.2
20130401 20130430     7.6
20130501 20130531    38.0
20130601 20130630    20.6
20130701 20130731    36.0
20130801 20130831     0.0
20130901 20130930     2.0
20131001 20131031    16.4
20131101 20131130   115.6
20131201 20131231    21.4
20140101 20140131    34.4
20140201 20140228    61.2
20140301 20140331   161.2
20140401 20140430     7.8
20140501 20140531     5.2
20140601 20140630    13.8
20140701 20140731     7.0
20140801 20140831    48.4
20140901 20140930    24.2
20141001 20141031    10.2
20141101 20141130    27.8
20141201 20141231   138.2
20150101 20150131    51.2
20150201 20150228    61.2
20150301 20150331    36.6
20150401 20150430    44.0
20150501 20150531    16.6
20150601 20150630    60.8
20150701 20150731    44.2
20150801 20150831    22.8
20150901 20150930     4.2
20151001 20151031    11.0
20151101 20151130    37.6
20151201 20151231    93.2
20160101 20160131   104.2
20160201 20160229    72.6
20160301 20160331    23.8
20160401 20160430     2.0
20160501 20160531    18.0
20160601 20160630    78.0
20160701 20160731    30.0
20160801 20160831    82.8
20160901 20160930   113.0
20161001 20161031    48.6
20161101 20161130    16.8
20161201 20161231    24.2
20170101 20170131    76.4
20170201 20170228    51.2
20170301 20170331   185.4
20170401 20170430     2.0
20170501 20170531    14.6
20170601 20170630     7.6
20170701 20170731    22.6
20170801 20170831     5.6
20170901 20170930     1.0
20171001 20171031    86.2
20171101 20171130    77.4
20171201 20171231    17.6
20180101 20180131     0.6
