PRCP       016033 18860701 20141231 missing_value=99999.9 OAKDEN HILLS                              
19080601 19080630    19.3
19080701 19080731     3.6
19080801 19080831    51.3
19080901 19080930    20.7
19081001 19081031    43.2
19081101 19081130     6.8
19081201 19081231     8.7
19090101 19090131     9.2
19090201 19090228     0.8
19090301 19090331     1.3
19090401 19090430    28.4
19090501 19090531    41.9
19090601 19090630    57.7
19090701 19090731    11.7
19090801 19090831    23.0
19090901 19090930     2.5
19091001 19091031    19.1
19091101 19091130    12.4
19091201 19091231     0.0
19100101 19100131     3.8
19100201 19100228     0.0
19100301 19100331    32.0
19100401 19100430     1.0
19100501 19100531    81.5
19100601 19100630    57.9
19100701 19100731    30.2
19100801 19100831    36.1
19100901 19100930    24.1
19101001 19101031     0.5
19101101 19101130    10.7
19101201 19101231     5.4
19110101 19110131     3.8
19110201 19110228     3.8
19110301 19110331     7.1
19110401 19110430     0.0
19110501 19110531    29.2
19110601 19110630    13.7
19110701 19110731    15.0
19110801 19110831    21.1
19110901 19110930     7.9
19111001 19111031     1.5
19111101 19111130    22.1
19111201 19111231    26.2
19120101 19120131     0.0
19120201 19120229    15.1
19120301 19120331    14.0
19120401 19120430     0.0
19120501 19120531     2.8
19120601 19120630    37.6
19120701 19120731    22.9
19120801 19120831    15.5
19120901 19120930     2.8
19121001 19121031    12.4
19121101 19121130    22.8
19121201 19121231     6.4
19130101 19130131     1.8
19130201 19130228    28.5
19130301 19130331    21.1
19130401 19130430     0.0
19130501 19130531    18.6
19130601 19130630     1.0
19130701 19130731     4.3
19130801 19130831     9.4
19130901 19130930    17.5
19131001 19131031    31.3
19131101 19131130    21.6
19131201 19131231     8.9
19140101 19140131     9.1
19140201 19140228     0.8
19140301 19140331     9.2
19140401 19140430     8.5
19140501 19140531     6.3
19140601 19140630    10.6
19140701 19140731     0.8
19140801 19140831     0.0
19140901 19140930     5.1
19141001 19141031     0.0
19141101 19141130    22.5
19141201 19141231    12.9
19150101 19150131    18.8
19150201 19150228     1.0
19150301 19150331     0.0
19150401 19150430     3.0
19150501 19150531    33.2
19150601 19150630     8.3
19150701 19150731     9.4
19150801 19150831     5.6
19150901 19150930    61.2
19151001 19151031    16.3
19151101 19151130     0.0
19151201 19151231     5.4
19160101 19160131    16.0
19160201 19160229     1.8
19160301 19160331     1.3
19160401 19160430     0.0
19160501 19160531    12.7
19160601 19160630    29.1
19160701 19160731    44.0
19160801 19160831    15.2
19160901 19160930    29.8
19161001 19161031    34.9
19161101 19161130    23.8
19161201 19161231     6.4
19170101 19170131    64.7
19170201 19170228    11.5
19170301 19170331     8.1
19170401 19170430     0.0
19170501 19170531     2.0
19170601 19170630    39.9
19170701 19170731    49.7
19170801 19170831     8.3
19170901 19170930    24.7
19171001 19171031    15.7
19171101 19171130    32.1
19171201 19171231     3.3
19180101 19180131    18.6
19180201 19180228     3.6
19180301 19180331    12.2
19180401 19180430     6.8
19180501 19180531     8.4
19180601 19180630    41.5
19180701 19180731     2.8
19180801 19180831    32.0
19180901 19180930     0.0
19181001 19181031     1.8
19181101 19181130     0.0
19181201 19181231     3.6
19190101 19190131     0.0
19190201 19190228     8.7
19190301 19190331     0.0
19190401 19190430    20.1
19190501 19190531    11.5
19190601 19190630     1.0
19190701 19190731     0.0
19190801 19190831     9.4
19190901 19190930    19.6
19191001 19191031     6.4
19191101 19191130    29.3
19191201 19191231    70.6
19200101 19200131    33.0
19200201 19200229     0.0
19200301 19200331     1.3
19200401 19200430    37.6
19200501 19200531     0.0
19200601 19200630    67.8
19200701 19200731     7.6
19200801 19200831    27.0
19200901 19200930    61.0
19201001 19201031    14.4
19201101 19201130   103.8
19201201 19201231     3.0
19210101 19210131    55.9
19210201 19210228   128.7
19210301 19210331    45.7
19210401 19210430     6.4
19210501 19210531    30.6
19210601 19210630    29.4
19210701 19210731     5.1
19210801 19210831     2.5
19210901 19210930     0.0
19211001 19211031    28.2
19211101 19211130     0.0
19211201 19211231    32.0
19220101 19220131     0.0
19220201 19220228     0.0
19220301 19220331     0.0
19220401 19220430    22.1
19220501 19220531    60.0
19220601 19220630     4.3
19220701 19220731     3.8
19220801 19220831     3.8
19220901 19220930     6.4
19221001 19221031     3.8
19221101 19221130     0.0
19221201 19221231    25.1
19230101 19230131     0.0
19230201 19230228     0.0
19230301 19230331     0.0
19230401 19230430     5.1
19230501 19230531    19.8
19230601 19230630    27.9
19230701 19230731     3.3
19230801 19230831     1.5
19230901 19230930     3.8
19231001 19231031    17.0
19231101 19231130     1.9
19231201 19231231    67.0
19240101 19240131    12.7
19240201 19240229    14.5
19240301 19240331     5.5
19240401 19240430     0.0
19240501 19240531     0.0
19240601 19240630    12.2
19240701 19240731     0.0
19240801 19240831    21.3
19240901 19240930     6.9
19241001 19241031    42.9
19241101 19241130    24.6
19241201 19241231    36.6
19250101 19250131     5.5
19250201 19250228     6.1
19250301 19250331     0.0
19250401 19250430    16.3
19250501 19250531    34.8
19250601 19250630     4.8
19250701 19250731    18.5
19250801 19250831     6.9
19250901 19250930     8.9
19251001 19251031     0.8
19251101 19251130     9.7
19251201 19251231     0.0
19260101 19260131     0.0
19260201 19260228     1.8
19260301 19260331    14.5
19260401 19260430     1.8
19260501 19260531    24.2
19260601 19260630    22.9
19260701 19260731     7.6
19260801 19260831    23.3
19260901 19260930    33.0
19261001 19261031     4.8
19261101 19261130     2.3
19261201 19261231     0.0
19270101 19270131     0.8
19270201 19270228     2.3
19270301 19270331     5.8
19270401 19270430     0.0
19270501 19270531     1.8
19270601 19270630    52.5
19270701 19270731     8.9
19270801 19270831     3.6
19270901 19270930    10.7
19271001 19271031     0.0
19271101 19271130     4.3
19271201 19271231     2.8
19280101 19280131     0.5
19280201 19280229     5.0
19280301 19280331     2.3
19280401 19280430     0.0
19280501 19280531     5.4
19280601 19280630    16.3
19280701 19280731     5.3
19280801 19280831     0.5
19280901 19280930     0.8
19281001 19281031     8.4
19281101 19281130     0.0
19281201 19281231     1.8
19290101 19290131     0.0
19290201 19290228     0.0
19290301 19290331     0.3
19290401 19290430     0.0
19290501 19290531     2.5
19290601 19290630    25.4
19290701 19290731     0.0
19290801 19290831     4.1
19290901 19290930     5.9
19291001 19291031     0.0
19291101 19291130     8.1
19291201 19291231    38.6
19300101 19300131     0.0
19300201 19300228     6.6
19300301 19300331     0.0
19300401 19300430     5.0
19300501 19300531     3.6
19300601 19300630     6.6
19300701 19300731    44.2
19300801 19300831    23.6
19300901 19300930     9.4
19301001 19301031    37.8
19301101 19301130    21.1
19301201 19301231    22.8
19310101 19310131     0.0
19310201 19310228     3.6
19310301 19310331   100.3
19310401 19310430    14.2
19310501 19310531    11.7
19310601 19310630    41.9
19310701 19310731     5.3
19310801 19310831     8.2
19310901 19310930     7.6
19311001 19311031     3.8
19311101 19311130     0.5
19311201 19311231    10.4
19320101 19320131     0.0
19320201 19320229    38.6
19320301 19320331     4.3
19320401 19320430     7.6
19320501 19320531    58.5
19320601 19320630     7.4
19320701 19320731    12.5
19320801 19320831    16.4
19320901 19320930    13.5
19321001 19321031    13.2
19321101 19321130     8.9
19321201 19321231     0.0
19330101 19330131     0.8
19330201 19330228     0.0
19330301 19330331    25.2
19330401 19330430     5.3
19330501 19330531    14.7
19330601 19330630     2.6
19330701 19330731     9.1
19330801 19330831    39.8
19330901 19330930     7.1
19331001 19331031     0.8
19331101 19331130    23.1
19331201 19331231    15.3
19340101 19340131     3.6
19340201 19340228    23.7
19340301 19340331     1.5
19340401 19340430     0.5
19340501 19340531     2.0
19340601 19340630    10.2
19340701 19340731     8.1
19340801 19340831     6.0
19340901 19340930     9.7
19341001 19341031    19.6
19341101 19341130    37.1
19341201 19341231     1.8
19350101 19350131    18.8
19350201 19350228     0.0
19350301 19350331    12.7
19350401 19350430     3.8
19350501 19350531     6.0
19350601 19350630     1.0
19350701 19350731     2.1
19350801 19350831    18.8
19350901 19350930    10.2
19351001 19351031    11.4
19351101 19351130     7.9
19351201 19351231     2.8
19360101 19360131    31.0
19360201 19360229     8.4
19360301 19360331     0.0
19360401 19360430     0.0
19360501 19360531     5.6
19360601 19360630     0.0
19360701 19360731     4.4
19360801 19360831    13.0
19360901 19360930     0.0
19361001 19361031    26.0
19361101 19361130     0.0
19361201 19361231     2.8
19370101 19370131    65.6
19370201 19370228    10.1
19370301 19370331     0.0
19370401 19370430     0.0
19370501 19370531    12.8
19370601 19370630     8.1
19370701 19370731     6.1
19370801 19370831    24.9
19370901 19370930     0.0
19371001 19371031    16.0
19371101 19371130    14.7
19371201 19371231     5.1
19380101 19380131    12.0
19380201 19380228    94.0
19380301 19380331     0.0
19380401 19380430     0.0
19380501 19380531     0.0
19380601 19380630     9.6
19380701 19380731    15.3
19380801 19380831    29.2
19380901 19380930     2.8
19381001 19381031    78.8
19381101 19381130     5.1
19381201 19381231     0.0
19390101 19390131    16.0
19390201 19390228    30.9
19390301 19390331     0.0
19390401 19390430     0.0
19390501 19390531    29.2
19390601 19390630    28.0
19390701 19390731    11.5
19390801 19390831     9.2
19390901 19390930     0.0
19391001 19391031     0.0
19391101 19391130    56.7
19391201 19391231     0.0
19400101 19400131     5.3
19400201 19400229     0.0
19400301 19400331     9.4
19400401 19400430     0.0
19400501 19400531    19.8
19400601 19400630     0.0
19400701 19400731     7.6
19400801 19400831     2.3
19400901 19400930     6.9
19401001 19401031     0.0
19401101 19401130     0.0
19401201 19401231     4.3
19410101 19410131    77.7
19410201 19410228     1.3
19410301 19410331    29.7
19410401 19410430     2.0
19410501 19410531     0.0
19410601 19410630    21.8
19410701 19410731    14.2
19410801 19410831     3.8
19410901 19410930     0.0
19411001 19411031     8.6
19411101 19411130     2.5
19411201 19411231     0.0
19420101 19420131     5.1
19420201 19420228     0.0
19420301 19420331     0.0
19420401 19420430     9.9
19420501 19420531    31.5
19420601 19420630    26.4
19420701 19420731    10.5
19420801 19420831    28.4
19420901 19420930     9.1
19421001 19421031     1.0
19421101 19421130    19.1
19421201 19421231     1.0
19430101 19430131     0.3
19430201 19430228    34.8
19430301 19430331     0.0
19430401 19430430     6.4
19430501 19430531     0.0
19430601 19430630     7.1
19430701 19430731     8.3
19430801 19430831    10.9
