PRCP       041024 19060101 20180131 missing_value=99999.9 DOCTORS CREEK                             
20011101 20011130   126.4
20011201 20011231    64.6
20020101 20020131     9.0
20020201 20020228    63.6
20020301 20020331   131.6
20020401 20020430     2.2
20020501 20020531     8.8
20020601 20020630    42.2
20020701 20020731     0.0
20020801 20020831    61.8
20020901 20020930    11.0
20021001 20021031    45.4
20021101 20021130    35.4
20021201 20021231   100.0
20030101 20030131     0.0
20030201 20030228   113.2
20030301 20030331    59.8
20030401 20030430    30.8
20030501 20030531    40.2
20030601 20030630    38.2
20030701 20030731    15.0
20030801 20030831    19.0
20030901 20030930     5.2
20031001 20031031    93.2
20031101 20031130     2.4
20031201 20031231    84.4
20040101 20040131   148.4
20040201 20040229    94.0
20040301 20040331    90.4
20040401 20040430    17.6
20040501 20040531    16.8
20040601 20040630     4.8
20040701 20040731     9.2
20040801 20040831    24.8
20040901 20040930    23.0
20041001 20041031    25.2
20041101 20041130    87.8
20041201 20041231    91.8
20050101 20050131   132.0
20050201 20050228    16.8
20050301 20050331    19.4
20050401 20050430     2.0
20050501 20050531    18.4
20050601 20050630    85.2
20050701 20050731     3.2
20050801 20050831    11.4
20050901 20050930    16.4
20051001 20051031   103.4
20051101 20051130   141.4
20051201 20051231   131.2
20060101 20060131    97.2
20060201 20060228    66.8
20060301 20060331    15.0
20060401 20060430    15.4
20060501 20060531    15.0
20060601 20060630     3.6
20060701 20060731    43.6
20060801 20060831    12.6
20060901 20060930    30.4
20061001 20061031    10.0
20061101 20061130    64.8
20061201 20061231   115.2
20070101 20070131    31.0
20070201 20070228    28.6
20070301 20070331    17.4
20070401 20070430    16.4
20070501 20070531    20.6
20070601 20070630   107.6
20070701 20070731     0.0
20070801 20070831    62.2
20070901 20070930    24.0
20071001 20071031    58.0
20071101 20071130    75.0
20071201 20071231    77.6
20080101 20080131    54.0
20080201 20080229   136.4
20080301 20080331    14.4
20080401 20080430    18.2
20080501 20080531     6.6
20080601 20080630    20.6
20080701 20080731    86.8
20080801 20080831    13.8
20080901 20080930    46.0
20081001 20081031    22.2
20081101 20081130   196.6
20081201 20081231    45.4
20090101 20090131    48.6
20090201 20090228    68.0
20090301 20090331    12.2
20090401 20090430    85.0
20090501 20090531   102.2
20090601 20090630    61.4
20090701 20090731     1.0
20090801 20090831     6.0
20090901 20090930    29.2
20091001 20091031    57.0
20091101 20091130    15.0
20091201 20091231   128.2
20100101 20100131    37.4
20100201 20100228    62.8
20100301 20100331   175.0
20100401 20100430    30.8
20100501 20100531    34.0
20100601 20100630     9.0
20100701 20100731    27.4
20100801 20100831   105.6
20100901 20100930   131.0
20101001 20101031    78.2
20101101 20101130    32.2
20101201 20101231   333.2
20110101 20110131   318.2
20110201 20110228    61.6
20110301 20110331   134.0
20110401 20110430    47.0
20110501 20110531    85.8
20110601 20110630    11.6
20110701 20110731    13.4
20110801 20110831    40.6
20110901 20110930    23.6
20111001 20111031    85.0
20111101 20111130    34.2
20111201 20111231    78.6
20120101 20120131    48.8
20120201 20120229    81.0
20120301 20120331    96.2
20120401 20120430    23.6
20120501 20120531    25.2
20120601 20120630    94.0
20120701 20120731    33.0
20120801 20120831     4.0
20120901 20120930    17.8
20121001 20121031    39.4
20121101 20121130    87.4
20121201 20121231    93.6
20130101 20130131   247.0
20130201 20130228   106.4
20130301 20130331   100.0
20130401 20130430    45.4
20130501 20130531    32.0
20130601 20130630    48.2
20130701 20130731    39.8
20130801 20130831     3.4
20130901 20130930    14.2
20131001 20131031    57.0
20131101 20131130    76.6
20131201 20131231    97.6
20140101 20140131    60.4
20140201 20140228     5.0
20140301 20140331   170.0
20140401 20140430    26.4
20140501 20140531    35.6
20140601 20140630    15.8
20140701 20140731     6.2
20140801 20140831    43.8
20140901 20140930    17.6
20141001 20141031    28.8
20141101 20141130    13.2
20141201 20141231   139.4
20150101 20150131    91.2
20150201 20150228    67.0
20150301 20150331    43.2
20150401 20150430    42.0
20150501 20150531   144.6
20150601 20150630    23.2
20150701 20150731     3.6
20150801 20150831    38.0
20150901 20150930    28.0
20151001 20151031    90.6
20151101 20151130   118.8
20151201 20151231   120.0
20160101 20160131    94.4
20160201 20160229    58.8
20160301 20160331    40.0
20160401 20160430     4.0
20160501 20160531    10.0
20160601 20160630    85.4
20160701 20160731    32.4
20160801 20160831    37.4
20160901 20160930    96.8
20161001 20161031    26.4
20161101 20161130    76.4
20161201 20161231    59.2
20170101 20170131    77.6
20170201 20170228    33.4
20170301 20170331   147.6
20170401 20170430     5.6
20170501 20170531    17.0
20170601 20170630    21.6
20170701 20170731    41.6
20170801 20170831     4.2
20170901 20170930     1.2
20171001 20171031   125.2
20171101 20171130    20.0
20171201 20171231   115.2
20180101 20180131    20.6
