PRCP       041024 19060101 20180131 missing_value=99999.9 DOCTORS CREEK                             
19271201 19271231    74.1
19280101 19280131    37.3
19280201 19280229   195.9
19280301 19280331    23.3
19280401 19280430   151.2
19280501 19280531    17.5
19280601 19280630    54.6
19280701 19280731    37.8
19280801 19280831     2.0
19280901 19280930     8.9
19281001 19281031    31.2
19281101 19281130    40.3
19281201 19281231   184.6
19290101 19290131    87.6
19290201 19290228   135.6
19290301 19290331    97.5
19290401 19290430   104.1
19290501 19290531     2.8
19290601 19290630    59.9
19290701 19290731    15.7
19290801 19290831    27.7
19290901 19290930     7.4
19291001 19291031   100.3
19291101 19291130    18.6
19291201 19291231   102.0
19300101 19300131   140.9
19300201 19300228    45.9
19300301 19300331    61.7
19300401 19300430    20.0
19300501 19300531    69.8
19300601 19300630    92.6
19300701 19300731    46.5
19300801 19300831    33.8
19300901 19300930    39.9
19301001 19301031    50.8
19301101 19301130    57.6
19301201 19301231    28.2
19310101 19310131   138.7
19310201 19310228   178.0
19310301 19310331    84.0
19310401 19310430    59.5
19310501 19310531    35.0
19310601 19310630    22.6
19310701 19310731    69.3
19310801 19310831    25.6
19310901 19310930    28.7
19311001 19311031    66.0
19311101 19311130   134.1
19311201 19311231    87.4
19320101 19320131    50.3
19320201 19320229    18.8
19320301 19320331    21.5
19320401 19320430   139.3
19320501 19320531    14.0
19320601 19320630    40.1
19320701 19320731    20.8
19320801 19320831     5.1
19320901 19320930    64.5
19321001 19321031    57.1
19321101 19321130    97.0
19321201 19321231   130.9
19330101 19330131   271.8
19330201 19330228    42.9
19330301 19330331     4.8
19330401 19330430    44.5
19330501 19330531    11.4
19330601 19330630    12.4
19330701 19330731    68.1
19330801 19330831    24.4
19330901 19330930    58.7
19331001 19331031    38.4
19331101 19331130   145.8
19331201 19331231    85.9
19340101 19340131    78.5
19340201 19340228   124.2
19340301 19340331     0.0
19340401 19340430   155.4
19340501 19340531    59.9
19340601 19340630    23.4
19340701 19340731    68.1
19340801 19340831    23.4
19340901 19340930    21.6
19341001 19341031    70.6
19341101 19341130   139.7
19341201 19341231   118.6
19350101 19350131   150.6
19350201 19350228   103.1
19350301 19350331     1.0
19350401 19350430    36.3
19350501 19350531    48.3
19350601 19350630     1.5
19350701 19350731    38.6
19350801 19350831    11.9
19350901 19350930    84.6
19351001 19351031    70.4
19351101 19351130     2.5
19351201 19351231   118.9
19360101 19360131    99.1
19360201 19360229    13.5
19360301 19360331    77.7
19360401 19360430    18.0
19360501 19360531     5.3
19360601 19360630    29.0
19360701 19360731    59.9
19360801 19360831     3.0
19360901 19360930    32.0
19361001 19361031    24.6
19361101 19361130    39.1
19361201 19361231   151.1
19370101 19370131   150.9
19370201 19370228    47.2
19370301 19370331    91.4
19370401 19370430    16.8
19370501 19370531     9.9
19370601 19370630    25.7
19370701 19370731     0.0
19370801 19370831    29.0
19370901 19370930    15.5
19371001 19371031   117.3
19371101 19371130    32.0
19371201 19371231    92.2
19380101 19380131   234.2
19380201 19380228     6.4
19380301 19380331    90.2
19380401 19380430    42.9
19380501 19380531    77.0
19380601 19380630    20.1
19380701 19380731    63.5
19380801 19380831    39.1
19380901 19380930     8.1
19381001 19381031    64.3
19381101 19381130   140.3
19381201 19381231     1.0
19390101 19390131   122.4
19390201 19390228    17.7
19390301 19390331    84.4
19390401 19390430    73.7
19390501 19390531     2.0
19390601 19390630    72.1
19390701 19390731    41.7
19390801 19390831    39.4
19390901 19390930     7.1
19391001 19391031    58.4
19391101 19391130    73.8
19391201 19391231    87.8
19400101 19400131   122.2
19400201 19400229   202.7
19400301 19400331    73.8
19400401 19400430    10.5
19400501 19400531    43.7
19400601 19400630    26.9
19400701 19400731    12.7
19400801 19400831     0.0
19400901 19400930    24.2
19401001 19401031    12.5
19401101 19401130   107.0
19401201 19401231    78.9
19410101 19410131   121.1
19410201 19410228    44.0
19410301 19410331   179.6
19410401 19410430     0.0
19410501 19410531    16.8
19410601 19410630    48.1
19410701 19410731    18.5
19410801 19410831     3.8
19410901 19410930     3.8
19411001 19411031    26.5
19411101 19411130    55.2
19411201 19411231    33.3
19420101 19420131   148.8
19420201 19420228   160.8
19420301 19420331    31.7
19420401 19420430    45.5
19420501 19420531    47.6
19420601 19420630    12.6
19420701 19420731    48.7
19420801 19420831    22.6
19420901 19420930    15.4
19421001 19421031   117.2
19421101 19421130    30.3
19421201 19421231   276.4
19430101 19430131    41.2
19430201 19430228    43.6
19430301 19430331    22.7
19430401 19430430    27.7
19430501 19430531    28.2
19430601 19430630    35.1
19430701 19430731     4.4
19430801 19430831    43.5
19430901 19430930    71.0
19431001 19431031   118.7
19431101 19431130    86.0
19431201 19431231   300.4
19440101 19440131   140.6
19440201 19440229    85.8
19440301 19440331     3.1
19440401 19440430    10.7
19440501 19440531    37.9
19440601 19440630    27.0
19440701 19440731    49.2
19440801 19440831    63.2
19440901 19440930    45.2
19441001 19441031    15.2
19441101 19441130    81.5
19441201 19441231    83.5
19450101 19450131    92.7
19450201 19450228   103.0
19450301 19450331    12.2
19450401 19450430   131.3
19450501 19450531    44.4
19450601 19450630   121.9
19450701 19450731    42.0
19450801 19450831    27.0
19450901 19450930    56.2
19451001 19451031    23.8
19451101 19451130   133.1
19451201 19451231    68.1
19460101 19460131   182.3
19460201 19460228    86.9
19460301 19460331    74.8
19460401 19460430    13.6
19460501 19460531     3.0
19460601 19460630     1.0
19460701 19460731    11.2
19460801 19460831     9.1
19460901 19460930    48.0
19461001 19461031    15.0
19461101 19461130    46.5
19461201 19461231    73.4
19470101 19470131    88.3
19470201 19470228    91.2
19470301 19470331   110.4
19470401 19470430    39.9
19470501 19470531    52.2
19470601 19470630    22.1
19470701 19470731     1.8
19470801 19470831    21.6
19470901 19470930    69.1
19471001 19471031    68.0
19471101 19471130   113.1
19471201 19471231   253.6
19480101 19480131    19.0
19480201 19480229    50.8
19480301 19480331    73.2
19480401 19480430    20.8
19480501 19480531    60.7
19480601 19480630    91.7
19480701 19480731    32.7
19480801 19480831     8.4
19480901 19480930    84.1
19481001 19481031     0.0
19481101 19481130    55.4
19481201 19481231   129.8
19490101 19490131    28.5
19490201 19490228   112.8
19490301 19490331   111.9
19490401 19490430     5.9
19490501 19490531    22.0
19490601 19490630    48.4
19490701 19490731    29.8
19490801 19490831     4.6
19490901 19490930    38.9
19491001 19491031   134.1
19491101 19491130    60.8
19491201 19491231    39.5
19500101 19500131    97.3
19500201 19500228   326.6
19500301 19500331    64.5
19500401 19500430    76.4
19500501 19500531    58.4
19500601 19500630   179.7
19500701 19500731    93.8
19500801 19500831     9.6
19500901 19500930    10.7
19501001 19501031   102.7
19501101 19501130    96.2
19501201 19501231    38.9
19510101 19510131   178.5
19510201 19510228    17.6
19510301 19510331    59.5
19510401 19510430    20.5
19510501 19510531    28.8
19510601 19510630    43.0
19510701 19510731     1.0
19510801 19510831    20.3
19510901 19510930    21.1
19511001 19511031    38.9
19511101 19511130     0.0
19511201 19511231    33.1
19520101 19520131    29.2
19520201 19520229   112.7
19520301 19520331    20.1
19520401 19520430   125.4
19520501 19520531    52.9
19520601 19520630    47.4
19520701 19520731    29.2
19520801 19520831    48.3
19520901 19520930    34.5
19521001 19521031   177.3
19521101 19521130    13.2
19521201 19521231    36.3
19530101 19530131    74.1
19530201 19530228   119.4
19530301 19530331    89.9
19530401 19530430    40.4
19530501 19530531    30.9
19530601 19530630     3.3
19530701 19530731    11.0
19530801 19530831    59.2
19530901 19530930     0.0
19531001 19531031    30.0
19531101 19531130    30.5
19531201 19531231    25.6
19540101 19540131    74.5
19540201 19540228   232.1
19540301 19540331    61.0
19540401 19540430    52.6
19540501 19540531    13.8
19540601 19540630    23.6
19540701 19540731   105.0
19540801 19540831    77.4
19540901 19540930    39.1
19541001 19541031   123.2
19541101 19541130    83.9
19541201 19541231    71.8
19550101 19550131   127.9
19550201 19550228    77.5
19550301 19550331   149.4
19550401 19550430   130.5
19550501 19550531   169.4
19550601 19550630    15.5
19550701 19550731    64.5
19550801 19550831     9.4
19550901 19550930    36.5
19551001 19551031    74.8
19551101 19551130     0.0
19551201 19551231   157.5
19560101 19560131   234.8
19560201 19560229   211.4
19560301 19560331   125.5
19560401 19560430    47.5
19560501 19560531   114.0
19560601 19560630    65.5
19560701 19560731    25.7
19560801 19560831     9.9
19560901 19560930    13.7
19561001 19561031    38.8
19561101 19561130    42.6
19561201 19561231   148.5
19570101 19570131    30.4
19570201 19570228    99.6
19570301 19570331    39.1
19570401 19570430    12.0
19570501 19570531     1.0
19570601 19570630    33.1
19570701 19570731    78.0
19570801 19570831     8.6
19570901 19570930     9.4
19571001 19571031    47.1
19571101 19571130    12.7
19571201 19571231    22.3
19580101 19580131    71.9
