PRCP       021073 19100101 20160331 missing_value=99999.9 CLOVERLEA                                 
19311201 19311231     3.6
19320101 19320131     0.0
19320201 19320229    76.0
19320301 19320331    29.5
19320401 19320430    75.6
19320501 19320531    46.7
19320601 19320630   105.3
19320701 19320731    72.4
19320801 19320831    81.6
19320901 19320930    61.1
19321001 19321031    58.6
19321101 19321130     1.3
19321201 19321231     4.5
19330101 19330131    23.8
19330201 19330228     0.0
19330301 19330331    46.8
19330401 19330430    22.6
19330501 19330531   105.5
19330601 19330630    39.1
19330701 19330731    24.3
19330801 19330831    77.4
19330901 19330930    81.1
19331001 19331031     9.3
19331101 19331130    38.2
19331201 19331231    29.8
19340101 19340131    18.8
19340201 19340228    17.5
19340301 19340331     4.9
19340401 19340430    15.9
19340501 19340531     7.2
19340601 19340630    51.8
19340701 19340731    40.2
19340801 19340831    64.1
19340901 19340930    62.7
19341001 19341031    60.1
19341101 19341130    53.2
19341201 19341231    20.6
19350101 19350131    63.4
19350201 19350228     0.6
19350301 19350331    48.2
19350401 19350430    64.1
19350501 19350531    28.3
19350601 19350630    47.7
19350701 19350731    36.8
19350801 19350831    57.0
19350901 19350930    42.6
19351001 19351031    85.7
19351101 19351130     3.2
19351201 19351231    17.1
19360101 19360131    19.8
19360201 19360229    21.1
19360301 19360331     0.8
19360401 19360430    37.7
19360501 19360531    41.2
19360601 19360630    41.8
19360701 19360731    66.8
19360801 19360831    36.7
19360901 19360930     8.8
19361001 19361031    44.4
19361101 19361130    13.4
19361201 19361231    30.8
19370101 19370131    57.8
19370201 19370228    34.8
19370301 19370331    17.9
19370401 19370430    63.4
19370501 19370531    52.8
19370601 19370630    53.0
19370701 19370731    30.1
19370801 19370831   123.4
19370901 19370930    78.7
19371001 19371031     7.5
19371101 19371130    49.8
19371201 19371231    49.4
19380101 19380131    15.3
19380201 19380228    35.7
19380301 19380331     1.0
19380401 19380430    81.2
19380501 19380531     4.2
19380601 19380630    35.0
19380701 19380731    61.6
19380801 19380831    61.9
19380901 19380930    13.4
19381001 19381031    38.4
19381101 19381130     8.4
19381201 19381231     2.7
19390101 19390131    17.0
19390201 19390228   115.4
19390301 19390331    16.5
19390401 19390430    36.1
19390501 19390531    33.0
19390601 19390630   113.6
19390701 19390731    41.8
19390801 19390831   132.4
19390901 19390930    20.6
19391001 19391031    16.2
19391101 19391130    77.6
19391201 19391231     4.9
19400101 19400131    65.7
19400201 19400229     2.9
19400301 19400331    28.6
19400401 19400430    19.7
19400501 19400531    27.0
19400601 19400630    10.2
19400701 19400731    51.3
19400801 19400831    28.3
19400901 19400930    18.5
19401001 19401031     5.6
19401101 19401130    23.9
19401201 19401231    21.1
19410101 19410131   123.8
19410201 19410228     1.9
19410301 19410331    56.8
19410401 19410430     4.6
19410501 19410531     5.5
19410601 19410630    83.9
19410701 19410731    62.4
19410801 19410831    70.3
19410901 19410930    80.7
19411001 19411031    82.1
19411101 19411130    47.1
19411201 19411231     3.8
19420101 19420131    37.0
19420201 19420228     0.0
19420301 19420331     4.2
19420401 19420430    19.4
19420501 19420531   124.3
19420601 19420630    75.5
19420701 19420731    87.7
19420801 19420831    99.0
19420901 19420930    68.9
19421001 19421031    27.8
19421101 19421130    33.0
19421201 19421231    27.6
19430101 19430131    17.8
19430201 19430228   111.0
19430301 19430331     0.0
19430401 19430430    39.5
19430501 19430531    14.5
19430601 19430630    64.3
19430701 19430731    60.2
19430801 19430831    54.7
19430901 19430930    53.5
19431001 19431031    38.0
19431101 19431130    18.8
19431201 19431231     6.5
19440101 19440131     0.0
19440201 19440229    16.6
19440301 19440331     9.7
19440401 19440430    36.3
19440501 19440531    70.0
19440601 19440630    13.0
19440701 19440731    38.8
19440801 19440831     9.8
19440901 19440930    11.4
19441001 19441031    35.8
19441101 19441130    54.9
19441201 19441231    43.9
19450101 19450131    35.7
19450201 19450228    32.7
19450301 19450331     0.0
19450401 19450430    10.7
19450501 19450531    35.4
19450601 19450630    86.2
19450701 19450731    15.6
19450801 19450831    72.9
19450901 19450930    43.6
19451001 19451031    68.7
19451101 19451130    73.2
19451201 19451231    41.3
19460101 19460131    73.4
19460201 19460228   163.3
19460301 19460331    28.0
19460401 19460430    17.3
19460501 19460531    41.6
19460601 19460630    48.5
19460701 19460731    93.0
19460801 19460831    47.2
19460901 19460930     9.2
19461001 19461031    17.1
19461101 19461130    39.8
19461201 19461231    33.1
19470101 19470131     8.8
19470201 19470228    56.3
19470301 19470331    70.5
19470401 19470430    79.6
19470501 19470531    27.6
19470601 19470630    60.8
19470701 19470731    76.6
19470801 19470831    75.6
19470901 19470930    63.2
19471001 19471031    90.9
19471101 19471130    22.8
19471201 19471231    58.8
19480101 19480131     0.4
19480201 19480229     3.6
19480301 19480331     1.7
19480401 19480430    49.9
19480501 19480531    75.1
19480601 19480630    41.2
19480701 19480731    38.9
19480801 19480831    74.3
19480901 19480930     8.1
19481001 19481031    87.6
19481101 19481130    39.9
19481201 19481231    33.3
19490101 19490131     5.5
19490201 19490228    69.2
19490301 19490331     0.4
19490401 19490430     6.5
19490501 19490531    67.4
19490601 19490630    46.7
19490701 19490731    68.7
19490801 19490831    28.9
19490901 19490930    48.2
19491001 19491031   141.5
19491101 19491130    69.4
19491201 19491231     8.8
19500101 19500131     0.4
19500201 19500228    69.8
19500301 19500331    11.4
19500401 19500430     4.0
19500501 19500531   111.7
19500601 19500630    67.4
19500701 19500731    32.2
19500801 19500831    46.6
19500901 19500930    44.1
19501001 19501031    33.8
19501101 19501130    14.8
19501201 19501231    14.3
19510101 19510131     0.0
19510201 19510228     9.5
19510301 19510331     3.8
19510401 19510430    49.1
19510501 19510531    61.6
19510601 19510630   114.3
19510701 19510731    91.4
19510801 19510831    75.5
19510901 19510930    41.3
19511001 19511031    89.8
19511101 19511130     8.2
