PRCP       025018 19080801 20171130 missing_value=99999.9 SCHELLS WELL                              
20050101 20050131    55.7
20050201 20050228    10.7
20050301 20050331     8.2
20050401 20050430     8.6
20050501 20050531     2.4
20050601 20050630    79.5
20050701 20050731    16.1
20050801 20050831    25.2
20050901 20050930    31.1
20051001 20051031    63.0
20051101 20051130    41.6
20051201 20051231    31.4
20060101 20060131    12.3
20060201 20060228     6.4
20060301 20060331     7.8
20060401 20060430    33.0
20060501 20060531    14.2
20060601 20060630     5.2
20060701 20060731    28.8
20060801 20060831     7.6
20060901 20060930     8.4
20061001 20061031     0.0
20061101 20061130    20.4
20061201 20061231     5.4
20070101 20070131    78.2
20070201 20070228     7.6
20070301 20070331    22.4
20070401 20070430    53.2
20070501 20070531    18.8
20070601 20070630     7.6
20070701 20070731    22.6
20070801 20070831     2.4
20070901 20070930     8.2
20071001 20071031    11.8
20071101 20071130    34.2
20071201 20071231    10.8
20080101 20080131    30.0
20080201 20080229     0.0
20080301 20080331     0.0
20080401 20080430    13.4
20080501 20080531    37.2
20080601 20080630    12.0
20080701 20080731    25.0
20080801 20080831    40.2
20080901 20080930     8.0
20081001 20081031     8.2
20081101 20081130    13.6
20081201 20081231    44.0
20090101 20090131     0.0
20090201 20090228     0.0
20090301 20090331    13.0
20090401 20090430    30.6
20090501 20090531    11.2
20090601 20090630    30.6
20090701 20090731    35.4
20090801 20090831    14.0
20090901 20090930    27.4
20091001 20091031    21.0
20091101 20091130    52.4
20091201 20091231    30.4
20100101 20100131 99999.9
20100201 20100228    42.6
20100301 20100331    34.4
20100401 20100430    36.4
20100501 20100531    32.8
20100601 20100630    16.2
20100701 20100731    23.6
20100801 20100831    50.4
20100901 20100930    44.0
20101001 20101031    40.2
20101101 20101130    33.2
20101201 20101231   120.4
20110101 20110131   158.2
20110201 20110228    54.3
20110301 20110331    74.7
20110401 20110430     4.0
20110501 20110531    29.5
20110601 20110630    16.6
20110701 20110731    27.6
20110801 20110831    44.8
20110901 20110930    12.4
20111001 20111031    15.2
20111101 20111130    77.6
20111201 20111231    45.2
20120101 20120131    14.6
20120201 20120229     1.4
20120301 20120331    54.8
20120401 20120430     8.0
20120501 20120531    22.0
20120601 20120630    17.6
20120701 20120731    31.0
20120801 20120831    19.8
20120901 20120930     8.4
20121001 20121031     6.8
20121101 20121130     7.2
20121201 20121231    13.6
20130101 20130131     3.4
20130201 20130228    14.8
20130301 20130331     2.4
20130401 20130430    19.1
20130501 20130531    33.2
20130601 20130630    41.2
20130701 20130731    40.2
20130801 20130831    23.8
20130901 20130930    48.0
20131001 20131031    13.6
20131101 20131130     4.6
20131201 20131231    18.4
20140101 20140131     3.0
20140201 20140228    95.4
20140301 20140331    17.0
20140401 20140430    78.8
20140501 20140531    32.2
20140601 20140630    18.0
20140701 20140731    25.2
20140801 20140831    14.6
20140901 20140930    15.4
20141001 20141031     0.0
20141101 20141130    20.2
20141201 20141231     7.6
20150101 20150131    55.0
20150201 20150228     0.4
20150301 20150331     0.4
20150401 20150430    35.0
20150501 20150531    20.6
20150601 20150630     9.8
20150701 20150731    23.4
20150801 20150831    24.6
20150901 20150930    34.0
20151001 20151031     8.3
20151101 20151130    15.8
20151201 20151231     0.0
20160101 20160131    20.4
20160201 20160229     0.0
20160301 20160331    12.4
20160401 20160430     3.8
20160501 20160531    49.2
20160601 20160630    30.0
20160701 20160731    36.4
20160801 20160831    36.0
20160901 20160930   114.2
20161001 20161031    20.6
20161101 20161130    11.9
20161201 20161231    40.6
20170101 20170131    30.8
20170201 20170228    45.0
20170301 20170331     9.4
20170401 20170430    37.4
20170501 20170531    31.8
20170601 20170630    12.0
20170701 20170731    15.0
20170801 20170831    40.0
20170901 20170930     7.6
20171001 20171031    17.8
20171101 20171130    45.4
