PRCP       025018 19080801 20171130 missing_value=99999.9 SCHELLS WELL                              
19300701 19300731    40.3
19300801 19300831    50.7
19300901 19300930    16.9
19301001 19301031    75.6
19301101 19301130    10.9
19301201 19301231    17.9
19310101 19310131     6.1
19310201 19310228     1.8
19310301 19310331    18.6
19310401 19310430    33.3
19310501 19310531    35.3
19310601 19310630    60.5
19310701 19310731    29.7
19310801 19310831    26.8
19310901 19310930    43.6
19311001 19311031    16.3
19311101 19311130    12.6
19311201 19311231     3.8
19320101 19320131     2.5
19320201 19320229    45.3
19320301 19320331    28.2
19320401 19320430    26.1
19320501 19320531    20.8
19320601 19320630    99.0
19320701 19320731    35.5
19320801 19320831    62.4
19320901 19320930    10.8
19321001 19321031    15.8
19321101 19321130     1.1
19321201 19321231    20.3
19330101 19330131    63.0
19330201 19330228     0.0
19330301 19330331    14.0
19330401 19330430    23.9
19330501 19330531    41.3
19330601 19330630     7.6
19330701 19330731    14.8
19330801 19330831    50.8
19330901 19330930    40.4
19331001 19331031    11.2
19331101 19331130    32.6
19331201 19331231    52.8
19340101 19340131    26.1
19340201 19340228     9.2
19340301 19340331    11.5
19340401 19340430    44.3
19340501 19340531     0.0
19340601 19340630     8.7
19340701 19340731    15.1
19340801 19340831    42.4
19340901 19340930    29.5
19341001 19341031    76.2
19341101 19341130    41.8
19341201 19341231    11.7
19350101 19350131    15.1
19350201 19350228     0.8
19350301 19350331    22.4
19350401 19350430    26.7
19350501 19350531    22.3
19350601 19350630    22.4
19350701 19350731    28.9
19350801 19350831    47.0
19350901 19350930    46.9
19351001 19351031    27.4
19351101 19351130     3.6
19351201 19351231     9.7
19360101 19360131    61.8
19360201 19360229    11.7
19360301 19360331     3.6
19360401 19360430    11.8
19360501 19360531    50.2
19360601 19360630    26.2
19360701 19360731    62.5
19360801 19360831    23.1
19360901 19360930     9.9
19361001 19361031    43.3
19361101 19361130     4.7
19361201 19361231    51.8
19370101 19370131    38.3
19370201 19370228    19.3
19370301 19370331    14.7
19370401 19370430     4.8
19370501 19370531    22.4
19370601 19370630    32.7
19370701 19370731    21.0
19370801 19370831    70.6
19370901 19370930    21.2
19371001 19371031    44.5
19371101 19371130     6.9
19371201 19371231    24.2
19380101 19380131    31.8
19380201 19380228    19.5
19380301 19380331     0.0
19380401 19380430    37.1
19380501 19380531     4.2
19380601 19380630    22.4
19380701 19380731    53.3
19380801 19380831    22.7
19380901 19380930     3.3
19381001 19381031     3.3
19381101 19381130    12.7
19381201 19381231     0.0
19390101 19390131     5.6
19390201 19390228    27.0
19390301 19390331     0.0
19390401 19390430    25.4
19390501 19390531    41.8
19390601 19390630    32.1
19390701 19390731    13.5
19390801 19390831    33.0
19390901 19390930    12.5
19391001 19391031    11.2
19391101 19391130    56.9
19391201 19391231     1.8
19400101 19400131    13.2
19400201 19400229     4.3
19400301 19400331     4.8
19400401 19400430    66.4
19400501 19400531    12.5
19400601 19400630     6.5
19400701 19400731    20.6
19400801 19400831    14.8
19400901 19400930    29.1
19401001 19401031    10.6
19401101 19401130    13.7
19401201 19401231    22.2
19410101 19410131   132.1
19410201 19410228     7.1
19410301 19410331    37.7
19410401 19410430    15.0
19410501 19410531    10.4
19410601 19410630    56.9
19410701 19410731    67.1
19410801 19410831    51.4
19410901 19410930    46.8
19411001 19411031    70.9
19411101 19411130    24.0
19411201 19411231    12.7
19420101 19420131    31.3
19420201 19420228    18.3
19420301 19420331     0.3
19420401 19420430    25.5
19420501 19420531    51.1
19420601 19420630    43.5
19420701 19420731    37.6
19420801 19420831    46.7
19420901 19420930    62.3
19421001 19421031    31.8
19421101 19421130    20.1
19421201 19421231     7.9
19430101 19430131     5.4
19430201 19430228    27.2
19430301 19430331     6.4
19430401 19430430    25.1
19430501 19430531     5.4
19430601 19430630    23.8
19430701 19430731    19.7
19430801 19430831    28.2
19430901 19430930    36.4
19431001 19431031    32.9
19431101 19431130    27.9
19431201 19431231    27.9
19440101 19440131    16.2
19440201 19440229    13.7
19440301 19440331     1.3
19440401 19440430    15.7
19440501 19440531    64.4
19440601 19440630    12.8
19440701 19440731    33.7
19440801 19440831    13.5
19440901 19440930    13.2
19441001 19441031    35.4
19441101 19441130    22.8
19441201 19441231    48.3
19450101 19450131     6.9
19450201 19450228     7.4
19450301 19450331     0.3
19450401 19450430     0.8
19450501 19450531    30.6
19450601 19450630    57.1
19450701 19450731    21.2
19450801 19450831    37.2
19450901 19450930    31.4
19451001 19451031    55.4
19451101 19451130    51.2
19451201 19451231    32.0
19460101 19460131    27.4
19460201 19460228    88.0
19460301 19460331    62.7
19460401 19460430     6.7
19460501 19460531    27.1
19460601 19460630    44.3
19460701 19460731    38.1
19460801 19460831    32.6
19460901 19460930    11.5
19461001 19461031    10.6
19461101 19461130    26.4
19461201 19461231    26.0
19470101 19470131     1.3
19470201 19470228    47.7
19470301 19470331    52.6
19470401 19470430    20.2
19470501 19470531     3.8
19470601 19470630    28.2
19470701 19470731    55.1
19470801 19470831    37.8
19470901 19470930    53.3
19471001 19471031    50.7
19471101 19471130    26.5
19471201 19471231    45.3
19480101 19480131     0.3
19480201 19480229     5.6
19480301 19480331     2.0
19480401 19480430    70.0
19480501 19480531    16.9
19480601 19480630    15.5
19480701 19480731    15.4
19480801 19480831    43.0
19480901 19480930    10.6
19481001 19481031    73.2
19481101 19481130    16.8
19481201 19481231    42.2
19490101 19490131     6.4
19490201 19490228    48.1
19490301 19490331     2.3
19490401 19490430     1.0
19490501 19490531    99.4
19490601 19490630    15.3
19490701 19490731    17.3
19490801 19490831    13.8
19490901 19490930    37.6
19491001 19491031    51.3
19491101 19491130    31.0
19491201 19491231     2.3
19500101 19500131     1.0
19500201 19500228   117.3
19500301 19500331    80.3
19500401 19500430     3.6
19500501 19500531    76.5
19500601 19500630    26.1
19500701 19500731    21.9
19500801 19500831    30.0
19500901 19500930    30.3
19501001 19501031    27.7
19501101 19501130    24.4
19501201 19501231    19.5
19510101 19510131     9.4
19510201 19510228     6.4
19510301 19510331     1.0
19510401 19510430    29.2
19510501 19510531    40.2
19510601 19510630   114.8
19510701 19510731    41.1
19510801 19510831    69.2
19510901 19510930     6.8
19511001 19511031    43.1
19511101 19511130     1.6
19511201 19511231    24.2
19520101 19520131    36.6
19520201 19520229    11.7
19520301 19520331     2.0
19520401 19520430    18.1
19520501 19520531    69.5
19520601 19520630    37.4
19520701 19520731    22.8
19520801 19520831    27.9
19520901 19520930    17.8
19521001 19521031    44.4
19521101 19521130    36.1
19521201 19521231     6.6
19530101 19530131    16.0
19530201 19530228     0.3
19530301 19530331     0.0
19530401 19530430    11.6
19530501 19530531     9.2
19530601 19530630    61.1
19530701 19530731    48.0
19530801 19530831    55.5
19530901 19530930    21.2
19531001 19531031    36.0
19531101 19531130    27.2
19531201 19531231    28.0
19540101 19540131    90.0
19540201 19540228     0.0
19540301 19540331     1.0
19540401 19540430    84.1
19540501 19540531    19.8
19540601 19540630    24.1
19540701 19540731    52.2
19540801 19540831    38.4
19540901 19540930    18.1
19541001 19541031    64.0
19541101 19541130    36.4
19541201 19541231    45.9
19550101 19550131     0.5
19550201 19550228    81.1
19550301 19550331    22.8
19550401 19550430     5.8
19550501 19550531   101.1
19550601 19550630   150.8
19550701 19550731    18.7
19550801 19550831    33.0
19550901 19550930    27.5
19551001 19551031    26.0
19551101 19551130    31.9
19551201 19551231    17.2
19560101 19560131    16.8
19560201 19560229     5.6
19560301 19560331   154.0
19560401 19560430    61.8
19560501 19560531    96.6
19560601 19560630    38.4
19560701 19560731    58.1
19560801 19560831    21.3
19560901 19560930    36.6
19561001 19561031    28.9
19561101 19561130    29.4
19561201 19561231     1.3
19570101 19570131     0.5
19570201 19570228    22.3
19570301 19570331    12.7
19570401 19570430     1.3
19570501 19570531    13.1
19570601 19570630    29.5
19570701 19570731    25.4
19570801 19570831    15.9
19570901 19570930    13.8
19571001 19571031    28.4
19571101 19571130    10.3
