PRCP       018073 19100101 20070630 missing_value=99999.9 PUNTABIE                                  
19311201 19311231     0.0
19320101 19320131     0.0
19320201 19320229    60.3
19320301 19320331     1.3
19320401 19320430    41.3
19320501 19320531    26.2
19320601 19320630    49.1
19320701 19320731    20.7
19320801 19320831    68.4
19320901 19320930    21.4
19321001 19321031    11.9
19321101 19321130     6.6
19321201 19321231     0.0
19330101 19330131    10.1
19330201 19330228     0.0
19330301 19330331    15.3
19330401 19330430    12.2
19330501 19330531    44.9
19330601 19330630    17.4
19330701 19330731    68.7
19330801 19330831    52.4
19330901 19330930    18.6
19331001 19331031    10.1
19331101 19331130    37.1
19331201 19331231     0.0
19340101 19340131     0.0
19340201 19340228    14.0
19340301 19340331     8.8
19340401 19340430    18.5
19340501 19340531     2.5
19340601 19340630    27.6
19340701 19340731    18.8
19340801 19340831    67.7
19340901 19340930    13.6
19341001 19341031    10.4
19341101 19341130    18.5
19341201 19341231     0.0
19350101 19350131    13.5
19350201 19350228     0.0
19350301 19350331    70.1
19350401 19350430    13.4
19350501 19350531    24.9
19350601 19350630    25.5
19350701 19350731    20.9
19350801 19350831    47.4
19350901 19350930    54.4
19351001 19351031    51.2
19351101 19351130     8.3
19351201 19351231     5.3
19360101 19360131     0.0
19360201 19360229    14.8
19360301 19360331     0.0
19360401 19360430     9.4
19360501 19360531     9.2
19360601 19360630    27.7
19360701 19360731    37.1
19360801 19360831    27.4
19360901 19360930     0.0
19361001 19361031    42.2
19361101 19361130    11.0
19361201 19361231    20.6
19370101 19370131     6.3
19370201 19370228    68.6
19370301 19370331     7.1
19370401 19370430     4.6
19370501 19370531    34.0
19370601 19370630    34.0
19370701 19370731    24.1
19370801 19370831    50.5
19370901 19370930    24.4
19371001 19371031    20.9
19371101 19371130    40.7
19371201 19371231     5.4
19380101 19380131     0.0
19380201 19380228   138.6
19380301 19380331     0.0
19380401 19380430    39.1
19380501 19380531    24.2
19380601 19380630    47.9
19380701 19380731    55.7
19380801 19380831    36.2
19380901 19380930     1.3
19381001 19381031     0.0
19381101 19381130     0.0
19381201 19381231     9.9
19390101 19390131     8.1
19390201 19390228     0.0
19390301 19390331    58.4
19390401 19390430     6.1
19390501 19390531    19.5
19390601 19390630    61.2
19390701 19390731    39.4
19390801 19390831    72.4
19390901 19390930     1.0
19391001 19391031     2.5
19391101 19391130    32.8
19391201 19391231     0.0
19400101 19400131     0.0
19400201 19400229    32.7
19400301 19400331     0.0
19400401 19400430     2.5
19400501 19400531    14.8
19400601 19400630     3.8
19400701 19400731    23.8
19400801 19400831     0.5
19400901 19400930     9.6
19401001 19401031     5.3
19401101 19401130     0.0
19401201 19401231     0.0
19410101 19410131    26.4
19410201 19410228     2.5
19410301 19410331    37.4
19410401 19410430    54.6
19410501 19410531     5.1
19410601 19410630    13.3
19410701 19410731    48.2
19410801 19410831    29.8
19410901 19410930    54.3
19411001 19411031     8.6
19411101 19411130    21.3
19411201 19411231     0.0
19420101 19420131    24.6
19420201 19420228     0.0
19420301 19420331    21.1
19420401 19420430     6.1
19420501 19420531    17.0
19420601 19420630    82.6
19420701 19420731    33.0
19420801 19420831    45.5
19420901 19420930    37.3
19421001 19421031    14.0
19421101 19421130    40.6
19421201 19421231     6.6
19430101 19430131     0.0
19430201 19430228    37.6
19430301 19430331     0.0
19430401 19430430    17.3
19430501 19430531    12.7
19430601 19430630    30.8
19430701 19430731    29.5
19430801 19430831    38.0
19430901 19430930    20.8
19431001 19431031    54.4
19431101 19431130     0.0
19431201 19431231     0.0
19440101 19440131     0.0
19440201 19440229     1.8
19440301 19440331     0.0
19440401 19440430    41.1
19440501 19440531    38.1
19440601 19440630    17.3
19440701 19440731    43.5
19440801 19440831     3.1
19440901 19440930     9.9
19441001 19441031     3.0
19441101 19441130     4.1
19441201 19441231    10.7
19450101 19450131     0.0
19450201 19450228     7.6
19450301 19450331     0.0
19450401 19450430     0.0
19450501 19450531    22.1
19450601 19450630    20.8
19450701 19450731     6.5
19450801 19450831    12.1
19450901 19450930    22.9
19451001 19451031    13.7
19451101 19451130    34.9
19451201 19451231    50.1
19460101 19460131     0.0
19460201 19460228    56.0
19460301 19460331     5.8
19460401 19460430    21.3
19460501 19460531    22.2
19460601 19460630    45.4
19460701 19460731    20.1
19460801 19460831    15.2
19460901 19460930     1.8
19461001 19461031     6.8
19461101 19461130     0.0
19461201 19461231    42.6
19470101 19470131     8.1
19470201 19470228    14.8
19470301 19470331    27.9
19470401 19470430     6.9
19470501 19470531    30.5
19470601 19470630    13.9
19470701 19470731    29.5
19470801 19470831    36.5
19470901 19470930    48.5
19471001 19471031     1.8
19471101 19471130     6.3
19471201 19471231     1.3
19480101 19480131     0.0
19480201 19480229     0.0
19480301 19480331     0.0
19480401 19480430     9.4
19480501 19480531    14.6
19480601 19480630    22.2
19480701 19480731     7.6
19480801 19480831    46.8
19480901 19480930    13.4
19481001 19481031    22.1
19481101 19481130    26.7
19481201 19481231    11.1
19490101 19490131     0.0
19490201 19490228    26.9
19490301 19490331     0.0
19490401 19490430     3.8
19490501 19490531    23.8
19490601 19490630    26.6
19490701 19490731    56.9
19490801 19490831     9.1
19490901 19490930    51.7
19491001 19491031    48.3
19491101 19491130    25.4
19491201 19491231     0.0
19500101 19500131     0.0
19500201 19500228    25.7
19500301 19500331     0.0
19500401 19500430     1.3
19500501 19500531    19.1
19500601 19500630    22.6
19500701 19500731    23.9
19500801 19500831    65.6
19500901 19500930    10.7
19501001 19501031    81.6
19501101 19501130    32.6
19501201 19501231    42.6
19510101 19510131     0.0
19510201 19510228     0.0
19510301 19510331     8.6
19510401 19510430    20.2
19510501 19510531    63.1
19510601 19510630    33.1
19510701 19510731   122.5
19510801 19510831    64.3
19510901 19510930    18.0
19511001 19511031    13.7
19511101 19511130     0.0
19511201 19511231     8.9
19520101 19520131     0.0
19520201 19520229     0.0
19520301 19520331    12.2
19520401 19520430    44.8
19520501 19520531    72.5
19520601 19520630    21.4
19520701 19520731    27.6
19520801 19520831    14.4
19520901 19520930    18.6
19521001 19521031    20.5
19521101 19521130    53.3
19521201 19521231    15.5
19530101 19530131     0.0
19530201 19530228    30.0
19530301 19530331     3.8
19530401 19530430     2.0
19530501 19530531     6.3
19530601 19530630    72.5
19530701 19530731    22.9
19530801 19530831    43.6
19530901 19530930    10.6
19531001 19531031    26.0
19531101 19531130     8.2
19531201 19531231    48.8
19540101 19540131    21.4
19540201 19540228     0.0
19540301 19540331     0.0
19540401 19540430    30.5
19540501 19540531     2.6
19540601 19540630    63.0
19540701 19540731    12.7
19540801 19540831    12.0
19540901 19540930    18.6
19541001 19541031    21.4
19541101 19541130    13.2
19541201 19541231    22.6
19550101 19550131    11.4
19550201 19550228    37.1
19550301 19550331     0.0
19550401 19550430     3.8
19550501 19550531    50.1
19550601 19550630    71.7
19550701 19550731    32.2
19550801 19550831    30.0
19550901 19550930     8.9
19551001 19551031    13.5
19551101 19551130    19.8
19551201 19551231     1.3
19560101 19560131     0.0
19560201 19560229    20.3
19560301 19560331     0.0
19560401 19560430    67.3
19560501 19560531    65.0
19560601 19560630    86.7
19560701 19560731    68.6
19560801 19560831    21.2
19560901 19560930    26.4
19561001 19561031    84.9
19561101 19561130     6.3
19561201 19561231     6.9
19570101 19570131     0.0
19570201 19570228     0.0
19570301 19570331     0.0
19570401 19570430     2.0
19570501 19570531     0.0
19570601 19570630    70.9
19570701 19570731    43.1
19570801 19570831    18.2
19570901 19570930    22.5
19571001 19571031     4.1
19571101 19571130     0.0
19571201 19571231     0.0
19580101 19580131     1.3
19580201 19580228     0.0
19580301 19580331    57.4
19580401 19580430     7.4
19580501 19580531    56.4
19580601 19580630     4.3
19580701 19580731    27.6
19580801 19580831    63.3
19580901 19580930    59.0
19581001 19581031    44.2
19581101 19581130     6.8
19581201 19581231    19.4
19590101 19590131     0.0
19590201 19590228     6.6
19590301 19590331     4.8
19590401 19590430     1.3
19590501 19590531     4.3
19590601 19590630     9.3
19590701 19590731    39.4
19590801 19590831     3.3
19590901 19590930    13.5
19591001 19591031     9.4
19591101 19591130    32.8
19591201 19591231    22.1
19600101 19600131    13.0
19600201 19600229    47.3
19600301 19600331     8.1
19600401 19600430    52.0
19600501 19600531    57.6
19600601 19600630    27.5
19600701 19600731    33.6
19600801 19600831    42.4
19600901 19600930    62.1
19601001 19601031     5.1
19601101 19601130    20.5
19601201 19601231     0.0
19610101 19610131     0.0
19610201 19610228     5.8
19610301 19610331     0.0
19610401 19610430    83.1
19610501 19610531     5.3
19610601 19610630    18.6
19610701 19610731    27.0
19610801 19610831    46.8
19610901 19610930    13.2
19611001 19611031     6.6
19611101 19611130    23.3
19611201 19611231    10.4
19620101 19620131     0.0
19620201 19620228     1.3
19620301 19620331    13.9
19620401 19620430     3.0
19620501 19620531    65.9
19620601 19620630     8.7
19620701 19620731    29.9
19620801 19620831    38.1
19620901 19620930    28.7
19621001 19621031    56.3
19621101 19621130     3.3
19621201 19621231     6.1
19630101 19630131     8.1
19630201 19630228     0.0
19630301 19630331     0.0
19630401 19630430    44.7
19630501 19630531    92.6
19630601 19630630    77.5
19630701 19630731    63.0
19630801 19630831    23.2
19630901 19630930     8.4
19631001 19631031     0.0
19631101 19631130     0.5
19631201 19631231     0.0
19640101 19640131     5.4
19640201 19640229    10.7
19640301 19640331     0.5
19640401 19640430    15.8
19640501 19640531    63.4
19640601 19640630    41.4
19640701 19640731    54.1
19640801 19640831    21.6
19640901 19640930    77.5
19641001 19641031    38.1
19641101 19641130    41.7
19641201 19641231     0.5
19650101 19650131     0.0
19650201 19650228     0.0
19650301 19650331     0.0
19650401 19650430     2.8
19650501 19650531    35.8
19650601 19650630    13.2
19650701 19650731    19.7
19650801 19650831    25.3
19650901 19650930    21.5
19651001 19651031    13.0
19651101 19651130     3.6
19651201 19651231    11.6
19660101 19660131     5.1
19660201 19660228    19.9
19660301 19660331    32.2
19660401 19660430     1.8
19660501 19660531    61.0
19660601 19660630    34.7
19660701 19660731    29.6
19660801 19660831    50.1
19660901 19660930    53.2
19661001 19661031    41.4
19661101 19661130    26.5
19661201 19661231   108.7
19670101 19670131    26.5
19670201 19670228    18.0
19670301 19670331     0.0
19670401 19670430     0.3
19670501 19670531     9.6
19670601 19670630     4.0
19670701 19670731    52.5
19670801 19670831    27.1
19670901 19670930    21.6
19671001 19671031     5.6
19671101 19671130     2.6
19671201 19671231     0.3
19680101 19680131    11.7
19680201 19680229    33.0
19680301 19680331    73.4
19680401 19680430    31.6
19680501 19680531    50.9
19680601 19680630    75.4
19680701 19680731    27.1
19680801 19680831    89.6
19680901 19680930    14.5
19681001 19681031    17.0
19681101 19681130    18.8
19681201 19681231    22.3
19690101 19690131     8.4
19690201 19690228    46.5
19690301 19690331    35.8
19690401 19690430    20.1
19690501 19690531    52.7
19690601 19690630    29.4
19690701 19690731    27.2
19690801 19690831    26.7
19690901 19690930    35.1
19691001 19691031     3.0
