PRCP       040043 18690801 20180131 missing_value=99999.9 CAPE MORETON LIGHTHOUSE                   
19641101 19641130   134.0
19641201 19641231   144.7
19650101 19650131   121.4
19650201 19650228    53.0
19650301 19650331    29.0
19650401 19650430   161.7
19650501 19650531   106.6
19650601 19650630   213.3
19650701 19650731   245.1
19650801 19650831   122.7
19650901 19650930   161.3
19651001 19651031    62.5
19651101 19651130    28.5
19651201 19651231   372.5
19660101 19660131    46.3
19660201 19660228    94.7
19660301 19660331   167.3
19660401 19660430   384.6
19660501 19660531    21.2
19660601 19660630   200.4
19660701 19660731    66.3
19660801 19660831   133.8
19660901 19660930    82.8
19661001 19661031    93.3
19661101 19661130    75.0
19661201 19661231   120.3
19670101 19670131   461.1
19670201 19670228   165.7
19670301 19670331   282.3
19670401 19670430   124.9
19670501 19670531   235.1
19670601 19670630   586.2
19670701 19670731   106.9
19670801 19670831   118.4
19670901 19670930     7.7
19671001 19671031   171.5
19671101 19671130    48.1
19671201 19671231   139.7
19680101 19680131   293.6
19680201 19680229    67.3
19680301 19680331    46.6
19680401 19680430    58.2
19680501 19680531    83.1
19680601 19680630   139.9
19680701 19680731    83.3
19680801 19680831   147.1
19680901 19680930    15.1
19681001 19681031    15.0
19681101 19681130    86.7
19681201 19681231    47.6
19690101 19690131    67.0
19690201 19690228    65.4
19690301 19690331    48.4
19690401 19690430    59.6
19690501 19690531   160.2
19690601 19690630    51.4
19690701 19690731    89.3
19690801 19690831   114.8
19690901 19690930    34.3
19691001 19691031   278.4
19691101 19691130   166.9
19691201 19691231   103.1
19700101 19700131   202.6
19700201 19700228    97.4
19700301 19700331   192.7
19700401 19700430    21.7
19700501 19700531    61.8
19700601 19700630    71.9
19700701 19700731    22.1
19700801 19700831    19.4
19700901 19700930    54.6
19701001 19701031    48.4
19701101 19701130    83.1
19701201 19701231   276.7
19710101 19710131   299.4
19710201 19710228   360.7
19710301 19710331    56.3
19710401 19710430    61.1
19710501 19710531   129.9
19710601 19710630    31.0
19710701 19710731   120.4
19710801 19710831   112.0
19710901 19710930    48.8
19711001 19711031    49.2
19711101 19711130    75.9
19711201 19711231    90.2
19720101 19720131   162.1
19720201 19720229   177.3
19720301 19720331   294.3
19720401 19720430   108.5
19720501 19720531   216.5
19720601 19720630   274.5
19720701 19720731    13.7
19720801 19720831    56.7
19720901 19720930     7.1
19721001 19721031   385.1
19721101 19721130   224.8
19721201 19721231    22.6
19730101 19730131    37.0
19730201 19730228   226.8
19730301 19730331   202.2
19730401 19730430    52.5
19730501 19730531   161.1
19730601 19730630    95.0
19730701 19730731   569.3
19730801 19730831    51.6
19730901 19730930    65.5
19731001 19731031   134.7
19731101 19731130    88.6
19731201 19731231    98.3
19740101 19740131   719.4
19740201 19740228   108.6
19740301 19740331   189.6
19740401 19740430   357.6
19740501 19740531   175.1
19740601 19740630   305.8
19740701 19740731     7.2
19740801 19740831    87.2
19740901 19740930    54.9
19741001 19741031    92.2
19741101 19741130   176.7
19741201 19741231    15.2
19750101 19750131   155.0
19750201 19750228    88.7
19750301 19750331   134.0
19750401 19750430   165.3
19750501 19750531    99.4
19750601 19750630   172.6
19750701 19750731   128.2
19750801 19750831   144.2
19750901 19750930   112.2
19751001 19751031    91.2
19751101 19751130   117.0
19751201 19751231   218.7
19760101 19760131   115.5
19760201 19760229   253.8
19760301 19760331   402.9
19760401 19760430   221.8
19760501 19760531   455.2
19760601 19760630   232.0
19760701 19760731    78.0
19760801 19760831    26.6
19760901 19760930    39.6
19761001 19761031    93.4
19761101 19761130   276.0
19761201 19761231    63.2
19770101 19770131   164.4
19770201 19770228    79.0
19770301 19770331   204.6
19770401 19770430    76.0
19770501 19770531   110.0
19770601 19770630   208.4
19770701 19770731   111.8
19770801 19770831    73.4
19770901 19770930    26.6
19771001 19771031    49.6
19771101 19771130    56.0
19771201 19771231    15.8
19780101 19780131   120.2
19780201 19780228    71.0
19780301 19780331   347.2
19780401 19780430    53.6
19780501 19780531   199.6
19780601 19780630    28.6
19780701 19780731    93.0
19780801 19780831    64.6
19780901 19780930    96.6
19781001 19781031    29.2
19781101 19781130   141.2
19781201 19781231   110.8
19790101 19790131   103.4
19790201 19790228    54.0
19790301 19790331   159.2
19790401 19790430   183.2
19790501 19790531   110.0
19790601 19790630   119.8
19790701 19790731   229.3
19790801 19790831     3.0
19790901 19790930     6.4
19791001 19791031    41.8
19791101 19791130    79.2
19791201 19791231    65.8
19800101 19800131   112.2
19800201 19800229   120.8
19800301 19800331    19.4
19800401 19800430    57.8
19800501 19800531   435.2
19800601 19800630    30.6
19800701 19800731    69.8
19800801 19800831    47.2
19800901 19800930     0.0
19801001 19801031    86.4
19801101 19801130    64.3
19801201 19801231   253.8
19810101 19810131    39.8
19810201 19810228   175.8
19810301 19810331    27.2
19810401 19810430   173.4
19810501 19810531   195.2
19810601 19810630    64.8
19810701 19810731    23.0
19810801 19810831    46.6
19810901 19810930     7.0
19811001 19811031    22.8
19811101 19811130   343.5
19811201 19811231   123.6
19820101 19820131   159.4
19820201 19820228   117.0
19820301 19820331   264.0
19820401 19820430    72.4
19820501 19820531   108.9
19820601 19820630    51.2
19820701 19820731   112.4
19820801 19820831    94.2
19820901 19820930    89.6
19821001 19821031    78.6
19821101 19821130    14.0
19821201 19821231    74.0
19830101 19830131    52.2
19830201 19830228    30.0
19830301 19830331   106.2
19830401 19830430   163.9
19830501 19830531   242.0
19830601 19830630   308.8
19830701 19830731   220.2
19830801 19830831    55.0
19830901 19830930    40.4
19831001 19831031    90.0
19831101 19831130   132.6
19831201 19831231   160.0
19840101 19840131    60.0
19840201 19840229    71.2
19840301 19840331    38.8
19840401 19840430   162.2
19840501 19840531   122.0
19840601 19840630   243.0
19840701 19840731    94.0
19840801 19840831    19.4
19840901 19840930    82.8
19841001 19841031   203.0
19841101 19841130   153.4
19841201 19841231   162.4
19850101 19850131    62.2
19850201 19850228   214.4
19850301 19850331   216.0
19850401 19850430   148.4
19850501 19850531   172.2
19850601 19850630   103.2
19850701 19850731   150.6
19850801 19850831    64.6
19850901 19850930   153.2
19851001 19851031   119.4
19851101 19851130    82.6
19851201 19851231    78.8
19860101 19860131    97.6
19860201 19860228    31.2
19860301 19860331   112.6
19860401 19860430    35.8
19860501 19860531   220.2
19860601 19860630    46.4
19860701 19860731    71.2
19860801 19860831   131.2
19860901 19860930     7.4
19861001 19861031   128.1
19861101 19861130    95.4
19861201 19861231   142.1
19870101 19870131   134.8
19870201 19870228   178.0
19870301 19870331   135.8
19870401 19870430    59.8
19870501 19870531   165.8
19870601 19870630   120.0
19870701 19870731   175.4
19870801 19870831    93.0
19870901 19870930    13.6
19871001 19871031   146.2
19871101 19871130    41.4
19871201 19871231   232.6
19880101 19880131   142.8
19880201 19880229   248.8
19880301 19880331   240.6
19880401 19880430   436.8
19880501 19880531    55.0
19880601 19880630    99.0
19880701 19880731   140.6
19880801 19880831   134.3
19880901 19880930    65.4
19881001 19881031    12.0
19881101 19881130    56.4
19881201 19881231   232.6
19890101 19890131   133.4
19890201 19890228   129.8
19890301 19890331   127.0
19890401 19890430   381.0
19890501 19890531   204.6
19890601 19890630   135.5
19890701 19890731   117.7
19890801 19890831    72.4
19890901 19890930    35.4
19891001 19891031    29.4
19891101 19891130   150.8
19891201 19891231    77.0
19900101 19900131    82.2
19900201 19900228   438.2
19900301 19900331   216.0
19900401 19900430   258.2
19900501 19900531   210.0
19900601 19900630   224.1
19900701 19900731   169.1
19900801 19900831    18.2
19900901 19900930    80.2
19901001 19901031    76.0
19901101 19901130    77.0
19901201 19901231    57.2
19910101 19910131    56.6
19910201 19910228   130.8
19910301 19910331    60.0
19910401 19910430    25.2
19910501 19910531   318.4
19910601 19910630   170.4
19910701 19910731   133.0
19910801 19910831    24.6
19910901 19910930     9.4
19911001 19911031    45.6
19911101 19911130    43.2
19911201 19911231   196.8
19920101 19920131    91.2
19920201 19920229   405.6
19920301 19920331   210.2
19920401 19920430    79.6
19920501 19920531   243.6
19920601 19920630   142.0
19920701 19920731    76.2
19920801 19920831    60.4
19920901 19920930    44.6
19921001 19921031    21.6
19921101 19921130   123.0
19921201 19921231    79.5
19930101 19930131   108.4
19930201 19930228    69.8
19930301 19930331   242.0
19930401 19930430    95.2
19930501 19930531   125.2
19930601 19930630    60.2
19930701 19930731   246.4
19930801 19930831   120.4
19930901 19930930   168.4
19931001 19931031   126.2
19931101 19931130    70.2
19931201 19931231   200.6
19940101 19940131   118.4
19940201 19940228   113.8
19940301 19940331   399.8
19940401 19940430   242.2
19940501 19940531   180.8
19940601 19940630   117.6
19940701 19940731   158.6
19940801 19940831   101.6
19940901 19940930    45.8
19941001 19941031    70.4
19941101 19941130    41.8
19941201 19941231    55.2
19950101 19950131    91.8
19950201 19950228   285.0
19950301 19950331    52.2
19950401 19950430   103.8
19950501 19950531    98.0
19950601 19950630   297.4
19950701 19950731    16.0
19950801 19950831    43.8
19950901 19950930    52.8
19951001 19951031    96.4
19951101 19951130   149.0
19951201 19951231   294.2
19960101 19960131   216.2
19960201 19960229    99.2
19960301 19960331    91.1
19960401 19960430    50.6
19960501 19960531   372.0
19960601 19960630   249.8
19960701 19960731    25.2
19960801 19960831    18.0
19960901 19960930    32.0
19961001 19961031    49.6
19961101 19961130    43.0
19961201 19961231    90.6
19970101 19970131    76.8
19970201 19970228   158.0
19970301 19970331    39.6
19970401 19970430    82.6
19970501 19970531    73.2
19970601 19970630    51.2
19970701 19970731    88.2
19970801 19970831    51.0
19970901 19970930    10.0
19971001 19971031    59.0
19971101 19971130   119.2
19971201 19971231    79.4
19980101 19980131    85.4
19980201 19980228    29.6
19980301 19980331    35.4
19980401 19980430   169.8
19980501 19980531   100.0
19980601 19980630    66.8
19980701 19980731   126.8
19980801 19980831    96.4
19980901 19980930    35.0
19981001 19981031     4.8
19981101 19981130   107.0
19981201 19981231    65.6
19990101 19990131    69.2
19990201 19990228   150.4
19990301 19990331   115.0
19990401 19990430   137.2
19990501 19990531    67.2
19990601 19990630   275.6
19990701 19990731   186.4
19990801 19990831   106.8
19990901 19990930    38.0
19991001 19991031   155.6
19991101 19991130    97.4
19991201 19991231    88.0
20000101 20000131    58.6
20000201 20000229    23.6
20000301 20000331    38.6
20000401 20000430    30.2
20000501 20000531    78.2
20000601 20000630   144.8
20000701 20000731    46.4
20000801 20000831    65.6
20000901 20000930     2.0
20001001 20001031    55.4
20001101 20001130    66.4
20001201 20001231    51.8
20010101 20010131    58.4
20010201 20010228    97.0
20010301 20010331   129.6
20010401 20010430    40.2
20010501 20010531   106.0
20010601 20010630    56.6
20010701 20010731    77.6
20010801 20010831    21.6
20010901 20010930    14.6
20011001 20011031    62.0
20011101 20011130   148.6
20011201 20011231    59.2
20020101 20020131    55.8
20020201 20020228    74.6
20020301 20020331    91.8
20020401 20020430   124.2
20020501 20020531    94.2
20020601 20020630    90.8
20020701 20020731    34.4
20020801 20020831   146.8
20020901 20020930    25.0
20021001 20021031    30.6
20021101 20021130    63.4
20021201 20021231    82.8
20030101 20030131    10.2
20030201 20030228   179.2
20030301 20030331   132.2
20030401 20030430   145.6
20030501 20030531   318.4
20030601 20030630    38.8
20030701 20030731    41.4
20030801 20030831    29.6
20030901 20030930     6.6
20031001 20031031    47.2
20031101 20031130    42.4
20031201 20031231   135.0
20040101 20040131    84.4
20040201 20040229    57.2
20040301 20040331    51.2
20040401 20040430    86.4
20040501 20040531    36.8
20040601 20040630    43.2
20040701 20040731    88.2
20040801 20040831     7.0
20040901 20040930    24.8
20041001 20041031    30.8
20041101 20041130    93.4
20041201 20041231   238.6
20050101 20050131    59.8
20050201 20050228    10.0
20050301 20050331    34.0
20050401 20050430    53.8
20050501 20050531   134.8
20050601 20050630   115.0
20050701 20050731    44.8
20050801 20050831    16.4
20050901 20050930    18.6
20051001 20051031    66.6
20051101 20051130   179.6
20051201 20051231   260.4
20060101 20060131   140.2
20060201 20060228    40.2
20060301 20060331    33.6
20060401 20060430    26.4
20060501 20060531     9.0
20060601 20060630   175.4
20060701 20060731    79.8
20060801 20060831    16.4
20060901 20060930    59.4
20061001 20061031    10.2
20061101 20061130    54.8
20061201 20061231    47.4
20070101 20070131    32.0
20070201 20070228    84.4
20070301 20070331    33.2
20070401 20070430    59.2
20070501 20070531    54.0
20070601 20070630   143.6
20070701 20070731     5.4
20070801 20070831    53.6
20070901 20070930    64.4
20071001 20071031    42.0
20071101 20071130    26.4
20071201 20071231    61.4
20080101 20080131   130.4
20080201 20080229    78.2
20080301 20080331    31.6
20080401 20080430   171.6
20080501 20080531    59.4
20080601 20080630    67.2
20080701 20080731   140.0
20080801 20080831     2.6
20080901 20080930    18.4
20081001 20081031    35.0
20081101 20081130   164.0
20081201 20081231    39.4
20090101 20090131    40.2
20090201 20090228    37.4
20090301 20090331    54.4
20090401 20090430   173.4
20090501 20090531   203.4
20090601 20090630   103.8
20090701 20090731    51.8
20090801 20090831     1.0
20090901 20090930    12.0
20091001 20091031    10.4
20091101 20091130    24.8
20091201 20091231    58.6
20100101 20100131    12.8
20100201 20100228   102.0
20100301 20100331   138.0
20100401 20100430    54.0
20100501 20100531   118.8
20100601 20100630    30.6
20100701 20100731   113.6
20100801 20100831    77.4
20100901 20100930    83.8
20101001 20101031   151.6
20101101 20101130    44.0
20101201 20101231   375.8
20110101 20110131   145.8
20110201 20110228    44.0
20110301 20110331    93.6
20110401 20110430    79.8
20110501 20110531   127.8
20110601 20110630    20.4
20110701 20110731     7.6
20110801 20110831    67.6
20110901 20110930    17.8
20111001 20111031    70.4
20111101 20111130     7.2
20111201 20111231    79.8
20120101 20120131   268.8
20120201 20120229   111.4
20120301 20120331   125.8
20120401 20120430   104.2
20120501 20120531   117.0
20120601 20120630   167.2
20120701 20120731    77.8
20120801 20120831     0.0
20120901 20120930    55.6
20121001 20121031    27.8
20121101 20121130    89.0
20121201 20121231    26.0
20130101 20130131    77.8
20130201 20130228   172.4
20130301 20130331    68.0
20130401 20130430   135.2
20130501 20130531    30.8
20130601 20130630   188.0
20130701 20130731   166.6
20130801 20130831     0.0
20130901 20130930    44.2
20131001 20131031   143.6
20131101 20131130 99999.9
20131201 20131231 99999.9
20140101 20140131 99999.9
20140201 20140228 99999.9
20140301 20140331 99999.9
20140401 20140430 99999.9
20140501 20140531 99999.9
20140601 20140630 99999.9
20140701 20140731 99999.9
20140801 20140831 99999.9
20140901 20140930    60.4
20141001 20141031    29.6
20141101 20141130    96.8
20141201 20141231   151.6
20150101 20150131   164.0
20150201 20150228   134.0
20150301 20150331    72.4
20150401 20150430   199.6
20150501 20150531    99.4
20150601 20150630    79.8
20150701 20150731    47.4
20150801 20150831    72.8
20150901 20150930    57.6
20151001 20151031    36.2
20151101 20151130    38.6
20151201 20151231    64.4
20160101 20160131    53.8
20160201 20160229    85.8
20160301 20160331    39.8
20160401 20160430    12.0
20160501 20160531    23.2
20160601 20160630   208.8
20160701 20160731    17.0
20160801 20160831   116.8
20160901 20160930    43.4
20161001 20161031    27.6
20161101 20161130    30.8
20161201 20161231    19.6
20170101 20170131    30.2
20170201 20170228    40.6
20170301 20170331   244.0
20170401 20170430    21.6
20170501 20170531   102.4
20170601 20170630   129.8
20170701 20170731    20.2
20170801 20170831    16.2
20170901 20170930    17.8
20171001 20171031   139.4
20171101 20171130    48.2
20171201 20171231   113.2
20180101 20180131    30.4
