PRCP       040043 18690801 20180131 missing_value=99999.9 CAPE MORETON LIGHTHOUSE                   
18910601 18910630   106.9
18910701 18910731    93.5
18910801 18910831   125.7
18910901 18910930    97.6
18911001 18911031   120.3
18911101 18911130   100.7
18911201 18911231   119.1
18920101 18920131   129.6
18920201 18920229    97.5
18920301 18920331   312.6
18920401 18920430   278.5
18920501 18920531   305.5
18920601 18920630   164.7
18920701 18920731    86.7
18920801 18920831    50.3
18920901 18920930   144.3
18921001 18921031   165.2
18921101 18921130    51.5
18921201 18921231   179.1
18930101 18930131   212.8
18930201 18930228   571.4
18930301 18930331   260.0
18930401 18930430    91.2
18930501 18930531    66.5
18930601 18930630    76.6
18930701 18930731   127.1
18930801 18930831   147.9
18930901 18930930    57.4
18931001 18931031    72.0
18931101 18931130   109.9
18931201 18931231    86.2
18940101 18940131   283.9
18940201 18940228    70.6
18940301 18940331   257.9
18940401 18940430   226.9
18940501 18940531   215.0
18940601 18940630   114.9
18940701 18940731    18.4
18940801 18940831   109.1
18940901 18940930   214.2
18941001 18941031    99.0
18941101 18941130    63.4
18941201 18941231   133.8
18950101 18950131   411.8
18950201 18950228    91.0
18950301 18950331   210.2
18950401 18950430   144.2
18950501 18950531   108.5
18950601 18950630    96.2
18950701 18950731    40.9
18950801 18950831    34.9
18950901 18950930    80.3
18951001 18951031    68.9
18951101 18951130    60.1
18951201 18951231   121.5
18960101 18960131    99.8
18960201 18960229   349.5
18960301 18960331    65.3
18960401 18960430    34.1
18960501 18960531   129.5
18960601 18960630   137.7
18960701 18960731   115.6
18960801 18960831    59.2
18960901 18960930    65.7
18961001 18961031    76.8
18961101 18961130   226.8
18961201 18961231    62.9
18970101 18970131   127.2
18970201 18970228    54.6
18970301 18970331   138.7
18970401 18970430    22.1
18970501 18970531    89.9
18970601 18970630    92.9
18970701 18970731   124.8
18970801 18970831    66.3
18970901 18970930   112.4
18971001 18971031   115.2
18971101 18971130    44.7
18971201 18971231   367.0
18980101 18980131   425.5
18980201 18980228   188.3
18980301 18980331   516.7
18980401 18980430    45.1
18980501 18980531   354.0
18980601 18980630   122.4
18980701 18980731    31.9
18980801 18980831   141.9
18980901 18980930    58.0
18981001 18981031    40.7
18981101 18981130    28.8
18981201 18981231   150.7
18990101 18990131   122.5
18990201 18990228   174.0
18990301 18990331    39.9
18990401 18990430   192.8
18990501 18990531   264.0
18990601 18990630   124.5
18990701 18990731   209.2
18990801 18990831   105.3
18990901 18990930    78.2
18991001 18991031    46.6
18991101 18991130    25.2
18991201 18991231   215.8
19000101 19000131    61.0
19000201 19000228   151.3
19000301 19000331   203.2
19000401 19000430    65.2
19000501 19000531   387.7
19000601 19000630   122.4
19000701 19000731   166.7
19000801 19000831    42.8
19000901 19000930   111.2
19001001 19001031    39.8
19001101 19001130    46.0
19001201 19001231    64.4
19010101 19010131    33.6
19010201 19010228   172.1
19010301 19010331   223.0
19010401 19010430   247.6
19010501 19010531   206.7
19010601 19010630   130.1
19010701 19010731   255.5
19010801 19010831   181.4
19010901 19010930    41.9
19011001 19011031   114.3
19011101 19011130    47.6
19011201 19011231    21.9
19020101 19020131    62.4
19020201 19020228    87.6
19020301 19020331   103.2
19020401 19020430    79.1
19020501 19020531    51.0
19020601 19020630    34.3
19020701 19020731    66.2
19020801 19020831    31.7
19020901 19020930    93.7
19021001 19021031    44.0
19021101 19021130    53.8
19021201 19021231    17.8
19030101 19030131    75.4
19030201 19030228    91.4
19030301 19030331   173.5
19030401 19030430    60.8
19030501 19030531   266.5
19030601 19030630    53.5
19030701 19030731   120.1
19030801 19030831   169.7
19030901 19030930    79.8
19031001 19031031   111.2
19031101 19031130   124.3
19031201 19031231   104.4
19040101 19040131    46.2
19040201 19040229    13.3
19040301 19040331   272.2
19040401 19040430   387.7
19040501 19040531   178.1
19040601 19040630   159.2
19040701 19040731    99.2
19040801 19040831    83.2
19040901 19040930    33.8
19041001 19041031    44.0
19041101 19041130    36.0
19041201 19041231    80.9
19050101 19050131   182.4
19050201 19050228   112.5
19050301 19050331    34.0
19050401 19050430   119.9
19050501 19050531   325.0
19050601 19050630    54.3
19050701 19050731     2.8
19050801 19050831    38.9
19050901 19050930    24.4
19051001 19051031    85.2
19051101 19051130   123.9
19051201 19051231    86.9
19060101 19060131   134.8
19060201 19060228   222.1
19060301 19060331    92.5
19060401 19060430    87.6
19060501 19060531    59.1
19060601 19060630   125.9
19060701 19060731    15.0
19060801 19060831   119.2
19060901 19060930   141.1
19061001 19061031   135.9
19061101 19061130    56.1
19061201 19061231   203.7
19070101 19070131   209.5
19070201 19070228   179.8
19070301 19070331   458.4
19070401 19070430    72.2
19070501 19070531   244.5
19070601 19070630   185.3
19070701 19070731    40.5
19070801 19070831    11.7
19070901 19070930     0.0
19071001 19071031    56.2
19071101 19071130   123.0
19071201 19071231    84.1
19080101 19080131   166.0
19080201 19080229   329.8
19080301 19080331   435.3
19080401 19080430   192.8
19080501 19080531   369.8
19080601 19080630   109.2
19080701 19080731   109.5
19080801 19080831   187.4
19080901 19080930    23.6
19081001 19081031    81.5
19081101 19081130    96.3
19081201 19081231    55.4
19090101 19090131   104.8
19090201 19090228   159.0
19090301 19090331    57.1
19090401 19090430   250.9
19090501 19090531    15.2
19090601 19090630   161.8
19090701 19090731   231.4
19090801 19090831   160.6
19090901 19090930    71.3
19091001 19091031    46.1
19091101 19091130    95.0
19091201 19091231   216.1
19100101 19100131   161.9
19100201 19100228    62.4
19100301 19100331   342.3
19100401 19100430   103.4
19100501 19100531   126.6
19100601 19100630   219.0
19100701 19100731     7.1
19100801 19100831    43.6
19100901 19100930    98.2
19101001 19101031   127.0
19101101 19101130    87.8
19101201 19101231   279.6
19110101 19110131   212.4
19110201 19110228   159.0
19110301 19110331   204.0
19110401 19110430    65.8
19110501 19110531    42.0
19110601 19110630    63.3
19110701 19110731    96.7
19110801 19110831   115.4
19110901 19110930     9.6
19111001 19111031   103.1
19111101 19111130    10.9
19111201 19111231    27.0
19120101 19120131    62.5
19120201 19120229    90.9
19120301 19120331   273.9
19120401 19120430    28.7
19120501 19120531   176.6
19120601 19120630   189.6
19120701 19120731   143.2
19120801 19120831    40.8
19120901 19120930     6.1
19121001 19121031   115.9
19121101 19121130   123.2
19121201 19121231    73.7
19130101 19130131   172.7
19130201 19130228   126.7
19130301 19130331    86.2
19130401 19130430   189.1
19130501 19130531   216.3
19130601 19130630   224.3
19130701 19130731   258.1
19130801 19130831     0.0
19130901 19130930   125.6
19131001 19131031    31.4
19131101 19131130    32.6
19131201 19131231    96.6
19140101 19140131    84.1
19140201 19140228   149.6
19140301 19140331   466.8
19140401 19140430     9.1
19140501 19140531   358.9
19140601 19140630   401.0
19140701 19140731   212.8
19140801 19140831   121.9
19140901 19140930   157.8
19141001 19141031   110.9
19141101 19141130    48.9
19141201 19141231   122.8
19150101 19150131   118.0
19150201 19150228   245.5
19150301 19150331    11.9
19150401 19150430    31.4
19150501 19150531   130.6
19150601 19150630    25.4
19150701 19150731    59.3
19150801 19150831    86.2
19150901 19150930    38.1
19151001 19151031     0.0
19151101 19151130     9.7
19151201 19151231    50.3
19160101 19160131    21.4
19160201 19160229   230.2
19160301 19160331    46.0
19160401 19160430   250.2
19160501 19160531    35.0
19160601 19160630   178.4
19160701 19160731   124.5
19160801 19160831    99.4
19160901 19160930   102.3
19161001 19161031   130.7
19161101 19161130   118.0
19161201 19161231   108.6
19170101 19170131    94.2
19170201 19170228   134.7
19170301 19170331   181.2
19170401 19170430   241.2
19170501 19170531   132.5
19170601 19170630    13.7
19170701 19170731     7.1
19170801 19170831    93.1
19170901 19170930   151.2
19171001 19171031     8.7
19171101 19171130   208.3
19171201 19171231   196.7
19180101 19180131   193.2
19180201 19180228    99.4
19180301 19180331    87.9
19180401 19180430   139.0
19180501 19180531    71.8
19180601 19180630    98.6
19180701 19180731    72.4
19180801 19180831    65.1
19180901 19180930   122.7
19181001 19181031     2.3
19181101 19181130    34.6
19181201 19181231    56.9
19190101 19190131    24.9
19190201 19190228    89.1
19190301 19190331   271.9
19190401 19190430   355.9
19190501 19190531   177.3
19190601 19190630    71.2
19190701 19190731   113.1
19190801 19190831    55.6
19190901 19190930     2.5
19191001 19191031    39.3
19191101 19191130    15.5
19191201 19191231    19.1
19200101 19200131   378.6
19200201 19200229    57.5
19200301 19200331   136.7
19200401 19200430    89.7
19200501 19200531   299.1
19200601 19200630   143.7
19200701 19200731   323.2
19200801 19200831    32.5
19200901 19200930   199.9
19201001 19201031    65.3
19201101 19201130    81.6
19201201 19201231    80.0
19210101 19210131   151.4
19210201 19210228    71.1
19210301 19210331   204.1
19210401 19210430   202.1
19210501 19210531   158.0
19210601 19210630   287.4
19210701 19210731   131.8
19210801 19210831    90.1
19210901 19210930    56.0
19211001 19211031    44.2
19211101 19211130    45.1
19211201 19211231   301.7
19220101 19220131    64.8
19220201 19220228   172.6
19220301 19220331    73.4
19220401 19220430    33.9
19220501 19220531   176.0
19220601 19220630   136.2
19220701 19220731   113.4
19220801 19220831    13.4
19220901 19220930    94.8
19221001 19221031    29.1
19221101 19221130    42.1
19221201 19221231   142.4
19230101 19230131   102.8
19230201 19230228   119.0
19230301 19230331   127.3
19230401 19230430   374.8
19230501 19230531    34.7
19230601 19230630    84.6
19230701 19230731    84.6
19230801 19230831   143.6
19230901 19230930    41.9
19231001 19231031    19.9
19231101 19231130    31.9
19231201 19231231   179.7
19240101 19240131   159.5
19240201 19240229   154.4
19240301 19240331    86.8
19240401 19240430   260.5
19240501 19240531   104.3
19240601 19240630   233.4
19240701 19240731   201.8
19240801 19240831    66.1
19240901 19240930    60.2
19241001 19241031    94.3
19241101 19241130   178.7
19241201 19241231    60.0
19250101 19250131   201.9
19250201 19250228    87.7
19250301 19250331   432.7
19250401 19250430    46.5
19250501 19250531   562.2
19250601 19250630   301.3
19250701 19250731    32.6
19250801 19250831   103.0
19250901 19250930    28.0
19251001 19251031    29.4
19251101 19251130   133.3
19251201 19251231   168.7
19260101 19260131   145.3
19260201 19260228    14.9
19260301 19260331   162.4
19260401 19260430    78.1
19260501 19260531   135.2
19260601 19260630   174.2
19260701 19260731    25.9
19260801 19260831    36.9
19260901 19260930    96.3
19261001 19261031    28.2
19261101 19261130     5.6
19261201 19261231   296.0
19270101 19270131   542.0
19270201 19270228   225.0
19270301 19270331   240.2
19270401 19270430   213.8
19270501 19270531   113.5
19270601 19270630   321.8
19270701 19270731    20.1
19270801 19270831    18.5
19270901 19270930   175.5
19271001 19271031    98.8
19271101 19271130   148.8
19271201 19271231   262.1
19280101 19280131   177.4
19280201 19280229   363.6
19280301 19280331    91.5
19280401 19280430   306.1
19280501 19280531   120.1
19280601 19280630   109.5
