PRCP       083032 18890201 20170630 missing_value=99999.9 WHITLANDS (BURDER'S LANE)                 
19840101 19840131   291.2
19840201 19840229    45.6
19840301 19840331    89.8
19840401 19840430    66.2
19840501 19840531    26.8
19840601 19840630    49.0
19840701 19840731   164.2
19840801 19840831   315.2
19840901 19840930   152.0
19841001 19841031   137.8
19841101 19841130    36.6
19841201 19841231    26.4
19850101 19850131    26.0
19850201 19850228     2.0
19850301 19850331    60.2
19850401 19850430    71.4
19850501 19850531   128.6
19850601 19850630    97.4
19850701 19850731    92.0
19850801 19850831   323.8
19850901 19850930    35.8
19851001 19851031    77.8
19851101 19851130   106.6
19851201 19851231   167.8
19860101 19860131    17.4
19860201 19860228    38.8
19860301 19860331     2.8
19860401 19860430   151.8
19860501 19860531   212.0
19860601 19860630    67.6
19860701 19860731   440.4
19860801 19860831   171.6
19860901 19860930   114.0
19861001 19861031   250.8
19861101 19861130    46.2
19861201 19861231   156.0
19870101 19870131    36.6
19870201 19870228    86.4
19870301 19870331    42.6
19870401 19870430    78.8
19870501 19870531   161.6
19870601 19870630   279.6
19870701 19870731   166.6
19870801 19870831   122.2
19870901 19870930    68.0
19871001 19871031    68.2
19871101 19871130    65.8
19871201 19871231    73.2
19880101 19880131    45.0
19880201 19880229    30.4
19880301 19880331    74.8
19880401 19880430    44.2
19880501 19880531   198.6
19880601 19880630   276.2
19880701 19880731   234.0
19880801 19880831    92.2
19880901 19880930   163.0
19881001 19881031    73.6
19881101 19881130   247.6
19881201 19881231   139.6
19890101 19890131    21.8
19890201 19890228     9.2
19890301 19890331   212.2
19890401 19890430   147.6
19890501 19890531   277.6
19890601 19890630   136.2
19890701 19890731   184.8
19890801 19890831   210.6
19890901 19890930   129.8
19891001 19891031   168.2
19891101 19891130    43.4
19891201 19891231    56.8
19900101 19900131    22.0
19900201 19900228    62.8
19900301 19900331    16.6
19900401 19900430   167.2
19900501 19900531   110.6
19900601 19900630   189.4
19900701 19900731   305.8
19900801 19900831   243.2
19900901 19900930   103.0
19901001 19901031    99.8
19901101 19901130    37.0
19901201 19901231    28.0
19910101 19910131   203.0
19910201 19910228     3.6
19910301 19910331    13.4
19910401 19910430    25.8
19910501 19910531     7.2
19910601 19910630   218.2
19910701 19910731   168.0
19910801 19910831   270.2
19910901 19910930   163.4
19911001 19911031     4.8
19911101 19911130    38.0
19911201 19911231    94.0
19920101 19920131    36.4
19920201 19920229    22.0
19920301 19920331   128.6
19920401 19920430   100.0
19920501 19920531   228.0
19920601 19920630   111.0
19920701 19920731   102.8
19920801 19920831   230.2
19920901 19920930   226.2
19921001 19921031   172.6
19921101 19921130   200.4
19921201 19921231   197.4
19930101 19930131   165.2
19930201 19930228    75.4
19930301 19930331   141.6
19930401 19930430    14.2
19930501 19930531   122.2
19930601 19930630    87.6
19930701 19930731   274.4
19930801 19930831   108.4
19930901 19930930   229.8
19931001 19931031   284.0
19931101 19931130    88.8
19931201 19931231   197.8
19940101 19940131    54.0
19940201 19940228   182.6
19940301 19940331    35.0
19940401 19940430    41.4
19940501 19940531    94.8
19940601 19940630   171.6
19940701 19940731    44.8
19940801 19940831    48.4
19940901 19940930    60.8
19941001 19941031    47.2
19941101 19941130   113.8
19941201 19941231    10.6
19950101 19950131   266.8
19950201 19950228    27.0
19950301 19950331     3.2
19950401 19950430    96.6
19950501 19950531   253.6
19950601 19950630   247.2
19950701 19950731   250.0
19950801 19950831    76.0
19950901 19950930    64.4
19951001 19951031   105.6
19951101 19951130   106.6
19951201 19951231    12.8
19960101 19960131   178.8
19960201 19960229   123.8
19960301 19960331    96.2
19960401 19960430    67.0
19960501 19960531    46.6
19960601 19960630   283.0
19960701 19960731   215.8
19960801 19960831   234.8
19960901 19960930   230.0
19961001 19961031   133.6
19961101 19961130    78.0
19961201 19961231    77.6
19970101 19970131    38.2
19970201 19970228    15.4
19970301 19970331    41.8
19970401 19970430    15.8
19970501 19970531   127.2
19970601 19970630    74.2
19970701 19970731    58.4
19970801 19970831   136.0
19970901 19970930   188.6
19971001 19971031    26.4
19971101 19971130   130.6
19971201 19971231    12.4
19980101 19980131    46.4
19980201 19980228    25.0
19980301 19980331     3.8
19980401 19980430   152.6
19980501 19980531    35.2
19980601 19980630   150.4
19980701 19980731   277.4
19980801 19980831    92.8
19980901 19980930   311.8
19981001 19981031   151.0
19981101 19981130   152.8
19981201 19981231    35.8
19990101 19990131    36.4
19990201 19990228    21.0
19990301 19990331   106.4
19990401 19990430    34.8
19990501 19990531   186.6
19990601 19990630   119.0
19990701 19990731    82.6
19990801 19990831   248.2
19990901 19990930    99.0
19991001 19991031   112.4
19991101 19991130   142.4
19991201 19991231   173.2
20000101 20000131    16.6
20000201 20000229   125.6
20000301 20000331    41.0
20000401 20000430    97.4
20000501 20000531   196.2
20000601 20000630   159.4
20000701 20000731   156.0
20000801 20000831   180.4
20000901 20000930   200.2
20001001 20001031   227.2
20001101 20001130   172.6
20001201 20001231    20.6
20010101 20010131    57.8
20010201 20010228    42.2
20010301 20010331    76.0
20010401 20010430    36.8
20010501 20010531    44.6
20010601 20010630   156.6
20010701 20010731    54.8
20010801 20010831   213.6
20010901 20010930   194.2
20011001 20011031   209.4
20011101 20011130    25.8
20011201 20011231    24.0
20020101 20020131    53.4
20020201 20020228    52.4
20020301 20020331    80.2
20020401 20020430    33.6
20020501 20020531    82.8
20020601 20020630   169.4
20020701 20020731    80.4
20020801 20020831    69.0
20020901 20020930   139.8
20021001 20021031    46.0
20021101 20021130    58.8
20021201 20021231    39.6
20030101 20030131    81.2
20030201 20030228    24.8
20030301 20030331    36.6
20030401 20030430   148.2
20030501 20030531   108.0
20030601 20030630   164.4
20030701 20030731   209.2
20030801 20030831   240.0
20030901 20030930    95.6
20031001 20031031    74.4
20031101 20031130   113.0
20031201 20031231   203.8
20040101 20040131    21.0
20040201 20040229    10.2
20040301 20040331     9.4
20040401 20040430    42.2
20040501 20040531   105.6
20040601 20040630   188.0
20040701 20040731   165.8
20040801 20040831   159.2
20040901 20040930   170.6
20041001 20041031    50.0
20041101 20041130   152.8
20041201 20041231    97.4
20050101 20050131    45.6
20050201 20050228   268.6
20050301 20050331    18.2
20050401 20050430    46.4
20050501 20050531    14.8
20050601 20050630   263.4
20050701 20050731   161.0
20050801 20050831   286.0
20050901 20050930   159.4
20051001 20051031   169.8
20051101 20051130    98.8
20051201 20051231    82.0
20060101 20060131    35.2
20060201 20060228    28.0
20060301 20060331    27.6
20060401 20060430    60.4
20060501 20060531    69.8
20060601 20060630    55.4
20060701 20060731   118.8
20060801 20060831    25.8
20060901 20060930    46.8
20061001 20061031    10.8
20061101 20061130    33.2
20061201 20061231     9.6
20070101 20070131    46.8
20070201 20070228    47.6
20070301 20070331   104.6
20070401 20070430    75.8
20070501 20070531   173.0
20070601 20070630    81.8
20070701 20070731   156.8
20070801 20070831    55.6
20070901 20070930    66.4
20071001 20071031    44.0
20071101 20071130   172.0
20071201 20071231   120.4
20080101 20080131   101.4
20080201 20080229    11.4
20080301 20080331    51.4
20080401 20080430    28.4
20080501 20080531    70.4
20080601 20080630    90.0
20080701 20080731   236.6
20080801 20080831   129.2
20080901 20080930    53.4
20081001 20081031    13.6
20081101 20081130   149.0
20081201 20081231   100.4
20090101 20090131    19.0
20090201 20090228     9.8
20090301 20090331    68.8
20090401 20090430   132.8
20090501 20090531    49.8
20090601 20090630   147.2
20090701 20090731   164.4
20090801 20090831   138.4
20090901 20090930   152.8
20091001 20091031    35.4
20091101 20091130    81.6
20091201 20091231    35.4
20100101 20100131   119.8
20100201 20100228   185.4
20100301 20100331   157.8
20100401 20100430   142.6
20100501 20100531   100.0
20100601 20100630   145.6
20100701 20100731   169.6
20100801 20100831   288.8
20100901 20100930   270.0
20101001 20101031   217.4
20101101 20101130   179.8
20101201 20101231   242.8
20110101 20110131   242.2
20110201 20110228   262.4
20110301 20110331   104.0
20110401 20110430    54.4
20110501 20110531    90.0
20110601 20110630    82.4
20110701 20110731   193.2
20110801 20110831   132.0
20110901 20110930    93.6
20111001 20111031    50.6
20111101 20111130   168.2
20111201 20111231    52.6
20120101 20120131   130.4
20120201 20120229   143.8
20120301 20120331   247.2
20120401 20120430    32.8
20120501 20120531    74.8
20120601 20120630   134.0
20120701 20120731   224.8
20120801 20120831   146.2
20120901 20120930    67.0
20121001 20121031    34.8
20121101 20121130    38.0
20121201 20121231    63.0
20130101 20130131     3.8
20130201 20130228    63.6
20130301 20130331   150.2
20130401 20130430    20.6
20130501 20130531   114.6
20130601 20130630   102.2
20130701 20130731   245.0
20130801 20130831   254.0
20130901 20130930   107.8
20131001 20131031    54.2
20131101 20131130    31.8
20131201 20131231    84.8
20140101 20140131    55.0
20140201 20140228    34.2
20140301 20140331   193.6
20140401 20140430   118.8
20140501 20140531   145.2
20140601 20140630   215.2
20140701 20140731   229.0
20140801 20140831    16.4
20140901 20140930    97.0
20141001 20141031    38.8
20141101 20141130    51.0
20141201 20141231    44.0
20150101 20150131    87.6
20150201 20150228    39.6
20150301 20150331    14.6
20150401 20150430   131.2
20150501 20150531   131.6
20150601 20150630    49.6
20150701 20150731   166.4
20150801 20150831    82.0
20150901 20150930    35.8
20151001 20151031    60.4
20151101 20151130    85.6
20151201 20151231    72.2
20160101 20160131    57.6
20160201 20160229    29.4
20160301 20160331 99999.9
20160401 20160430    52.2
20160501 20160531   300.4
20160601 20160630   229.0
20160701 20160731   301.8
20160801 20160831   178.8
20160901 20160930   308.6
20161001 20161031   163.6
20161101 20161130    80.5
20161201 20161231 99999.9
20170101 20170131    71.2
20170201 20170228 99999.9
20170301 20170331    60.7
20170401 20170430 99999.9
20170501 20170531 99999.9
20170601 20170630    95.4
