PRCP       083032 18890201 20170630 missing_value=99999.9 WHITLANDS (BURDER'S LANE)                 
19101201 19101231   117.3
19110101 19110131   203.1
19110201 19110228   201.4
19110301 19110331   148.3
19110401 19110430    31.8
19110501 19110531   193.4
19110601 19110630   203.1
19110701 19110731   144.7
19110801 19110831    65.8
19110901 19110930    82.2
19111001 19111031    89.8
19111101 19111130    17.6
19111201 19111231    95.0
19120101 19120131    67.0
19120201 19120229    33.3
19120301 19120331    56.6
19120401 19120430    45.6
19120501 19120531    24.5
19120601 19120630   150.4
19120701 19120731   206.4
19120801 19120831    97.4
19120901 19120930   186.9
19121001 19121031    48.5
19121101 19121130   219.0
19121201 19121231   154.4
19130101 19130131    51.3
19130201 19130228    57.0
19130301 19130331   208.1
19130401 19130430    85.5
19130501 19130531   126.4
19130601 19130630   122.6
19130701 19130731    76.0
19130801 19130831   124.7
19130901 19130930   105.7
19131001 19131031   176.3
19131101 19131130    98.8
19131201 19131231    58.7
19140101 19140131    82.7
19140201 19140228    24.2
19140301 19140331    85.7
19140401 19140430    94.5
19140501 19140531   146.3
19140601 19140630    68.0
19140701 19140731    95.8
19140801 19140831    11.9
19140901 19140930    47.1
19141001 19141031     4.8
19141101 19141130    81.5
19141201 19141231   125.0
19150101 19150131    65.8
19150201 19150228    37.3
19150301 19150331    17.6
19150401 19150430    62.5
19150501 19150531   177.4
19150601 19150630   176.2
19150701 19150731   111.4
19150801 19150831   244.0
19150901 19150930   205.7
19151001 19151031   158.9
19151101 19151130    61.8
19151201 19151231    61.3
19160101 19160131    52.3
19160201 19160229    42.1
19160301 19160331    12.4
19160401 19160430   110.7
19160501 19160531    72.4
19160601 19160630   179.8
19160701 19160731   181.3
19160801 19160831   206.2
19160901 19160930   325.2
19161001 19161031   291.3
19161101 19161130   231.8
19161201 19161231   126.8
19170101 19170131    67.0
19170201 19170228   129.5
19170301 19170331    97.9
19170401 19170430    42.8
19170501 19170531   148.3
19170601 19170630   349.0
19170701 19170731   245.8
19170801 19170831   247.8
19170901 19170930   257.0
19171001 19171031   316.2
19171101 19171130   178.2
19171201 19171231    58.0
19180101 19180131   146.1
19180201 19180228    56.0
19180301 19180331   237.8
19180401 19180430    85.5
19180501 19180531   516.9
19180601 19180630   161.5
19180701 19180731   154.6
19180801 19180831   141.1
19180901 19180930    85.8
19181001 19181031   104.8
