PRCP       018057 19070101 20170930 missing_value=99999.9 MOUNT WUDINNA                             
19281201 19281231     3.8
19290101 19290131     3.3
19290201 19290228     1.8
19290301 19290331     5.1
19290401 19290430     2.3
19290501 19290531    35.6
19290601 19290630    28.8
19290701 19290731    26.1
19290801 19290831    32.7
19290901 19290930    28.1
19291001 19291031    15.2
19291101 19291130    19.1
19291201 19291231    17.1
19300101 19300131     0.0
19300201 19300228     7.4
19300301 19300331     0.0
19300401 19300430    54.6
19300501 19300531    31.2
19300601 19300630     5.7
19300701 19300731    56.8
19300801 19300831    40.8
19300901 19300930     0.0
19301001 19301031   102.4
19301101 19301130    13.9
19301201 19301231     8.9
19310101 19310131     3.0
19310201 19310228     0.0
19310301 19310331    15.5
19310401 19310430    59.6
19310501 19310531    55.8
19310601 19310630    73.5
19310701 19310731    42.1
19310801 19310831    33.5
19310901 19310930    38.6
19311001 19311031    15.0
19311101 19311130     6.1
19311201 19311231     3.8
19320101 19320131     0.0
19320201 19320229    63.7
19320301 19320331     2.5
19320401 19320430    48.8
19320501 19320531    22.4
19320601 19320630    65.4
19320701 19320731    31.1
19320801 19320831    59.3
19320901 19320930    60.5
19321001 19321031    44.8
19321101 19321130     1.8
19321201 19321231     6.6
19330101 19330131    21.1
19330201 19330228     0.0
19330301 19330331     9.9
19330401 19330430    16.6
19330501 19330531    49.6
19330601 19330630    13.3
19330701 19330731     8.1
19330801 19330831    29.8
19330901 19330930    55.7
19331001 19331031    23.7
19331101 19331130    24.6
19331201 19331231    12.6
19340101 19340131     1.8
19340201 19340228    24.9
19340301 19340331    18.6
19340401 19340430     9.4
19340501 19340531    15.5
19340601 19340630    20.0
19340701 19340731    12.9
19340801 19340831    48.4
19340901 19340930    19.1
19341001 19341031    13.7
19341101 19341130    33.0
19341201 19341231     0.0
19350101 19350131    20.3
19350201 19350228     0.0
19350301 19350331    59.8
19350401 19350430    27.1
19350501 19350531    34.7
19350601 19350630    20.9
19350701 19350731    34.8
19350801 19350831    29.2
19350901 19350930    43.0
19351001 19351031   121.7
19351101 19351130    10.4
19351201 19351231    17.3
19360101 19360131     0.0
19360201 19360229    13.5
19360301 19360331     0.0
19360401 19360430     7.3
19360501 19360531     8.9
19360601 19360630    24.8
19360701 19360731    96.5
19360801 19360831    23.1
19360901 19360930     7.1
19361001 19361031    36.6
19361101 19361130    12.5
19361201 19361231    62.5
19370101 19370131    23.6
19370201 19370228    12.5
19370301 19370331     3.3
19370401 19370430    12.4
19370501 19370531    36.3
19370601 19370630    39.4
19370701 19370731    21.4
19370801 19370831    60.6
19370901 19370930    27.7
19371001 19371031    19.8
19371101 19371130    54.6
19371201 19371231    33.8
19380101 19380131     0.0
19380201 19380228   100.6
19380301 19380331     0.0
19380401 19380430    35.3
19380501 19380531    16.0
19380601 19380630    57.4
19380701 19380731    32.7
19380801 19380831    38.9
19380901 19380930     8.9
19381001 19381031    11.1
19381101 19381130     0.0
19381201 19381231    14.0
19390101 19390131    20.1
19390201 19390228    11.7
19390301 19390331    19.1
19390401 19390430     7.6
19390501 19390531    23.0
19390601 19390630    24.4
19390701 19390731    48.1
19390801 19390831    66.3
19390901 19390930     6.6
19391001 19391031     7.6
19391101 19391130    65.0
19391201 19391231     0.0
19400101 19400131    43.7
19400201 19400229     1.3
19400301 19400331    16.8
19400401 19400430    24.4
19400501 19400531    15.2
19400601 19400630     4.1
19400701 19400731    35.8
19400801 19400831     3.8
19400901 19400930     3.9
19401001 19401031     5.1
19401101 19401130    23.1
19401201 19401231     0.8
19410101 19410131    36.3
19410201 19410228     0.0
19410301 19410331    41.4
19410401 19410430     1.3
19410501 19410531     9.2
19410601 19410630    10.7
19410701 19410731    35.0
19410801 19410831    26.3
19410901 19410930    63.7
19411001 19411031    28.3
19411101 19411130    19.3
19411201 19411231     0.0
19420101 19420131     8.4
19420201 19420228     5.1
19420301 19420331     4.1
19420401 19420430    23.1
19420501 19420531    29.2
19420601 19420630    63.8
19420701 19420731    65.8
19420801 19420831    53.4
19420901 19420930    55.3
19421001 19421031    10.2
19421101 19421130    49.5
19421201 19421231    12.2
19430101 19430131    14.3
19430201 19430228    46.5
19430301 19430331     0.0
19430401 19430430     5.0
19430501 19430531     3.8
19430601 19430630    14.2
19430701 19430731    41.2
19430801 19430831    50.3
19430901 19430930    21.4
19431001 19431031    19.5
19431101 19431130     0.0
19431201 19431231     0.0
19440101 19440131     0.0
19440201 19440229     6.4
19440301 19440331     1.3
19440401 19440430    37.7
19440501 19440531    34.2
19440601 19440630    19.1
19440701 19440731    27.6
19440801 19440831    16.0
19440901 19440930    17.0
19441001 19441031    13.7
19441101 19441130    12.6
19441201 19441231    23.1
19450101 19450131    30.7
19450201 19450228     0.0
19450301 19450331     0.0
19450401 19450430     0.0
19450501 19450531    14.3
19450601 19450630    37.7
19450701 19450731    10.2
19450801 19450831    37.3
19450901 19450930    27.6
19451001 19451031    25.3
19451101 19451130    40.1
19451201 19451231    91.1
19460101 19460131    52.4
19460201 19460228    93.2
19460301 19460331    11.1
19460401 19460430    14.6
19460501 19460531    25.9
19460601 19460630    29.4
19460701 19460731    43.2
19460801 19460831    30.1
19460901 19460930    10.7
19461001 19461031     6.1
19461101 19461130    55.1
19461201 19461231    96.3
19470101 19470131    16.3
19470201 19470228     7.2
19470301 19470331    18.1
19470401 19470430    15.6
19470501 19470531    14.3
19470601 19470630    30.3
19470701 19470731    63.2
19470801 19470831    39.1
19470901 19470930    36.2
19471001 19471031    35.8
19471101 19471130     6.9
19471201 19471231     9.9
19480101 19480131     0.0
19480201 19480229     0.0
19480301 19480331     0.0
19480401 19480430    17.4
19480501 19480531    31.8
19480601 19480630    25.8
19480701 19480731    15.4
19480801 19480831    35.5
19480901 19480930     1.0
19481001 19481031    40.3
19481101 19481130    25.6
19481201 19481231    17.3
19490101 19490131     2.6
19490201 19490228    44.2
19490301 19490331     0.0
19490401 19490430     1.3
19490501 19490531    31.1
19490601 19490630    15.2
19490701 19490731    37.1
19490801 19490831    18.5
19490901 19490930    46.5
19491001 19491031    90.0
19491101 19491130    61.0
19491201 19491231    16.0
19500101 19500131     1.3
19500201 19500228    26.7
19500301 19500331     0.0
19500401 19500430    16.3
19500501 19500531    30.6
19500601 19500630    23.2
19500701 19500731    32.5
19500801 19500831    50.5
19500901 19500930    34.0
19501001 19501031    40.6
19501101 19501130    18.0
19501201 19501231    78.2
19510101 19510131     2.3
19510201 19510228     0.0
19510301 19510331     6.1
19510401 19510430    13.2
19510501 19510531    78.6
19510601 19510630    77.2
19510701 19510731    92.3
19510801 19510831    63.6
19510901 19510930    33.8
19511001 19511031    29.5
19511101 19511130     3.3
19511201 19511231    27.8
19520101 19520131    10.4
19520201 19520229     1.0
19520301 19520331     6.8
19520401 19520430    49.5
19520501 19520531   105.0
19520601 19520630    18.5
19520701 19520731    23.6
19520801 19520831    22.6
19520901 19520930    45.1
19521001 19521031    31.6
19521101 19521130    36.8
19521201 19521231     9.4
19530101 19530131    28.7
19530201 19530228    17.0
19530301 19530331     6.8
19530401 19530430     7.6
19530501 19530531    11.5
19530601 19530630    57.1
19530701 19530731    31.3
19530801 19530831    45.7
19530901 19530930    27.9
19531001 19531031    33.6
19531101 19531130    11.9
19531201 19531231    54.2
19540101 19540131    13.5
19540201 19540228     0.0
19540301 19540331     0.0
19540401 19540430    33.4
19540501 19540531     6.5
19540601 19540630    34.2
19540701 19540731    30.8
19540801 19540831    12.5
19540901 19540930    22.8
19541001 19541031    33.7
19541101 19541130    16.2
19541201 19541231    22.6
19550101 19550131     0.0
19550201 19550228    24.6
19550301 19550331    31.0
19550401 19550430    24.7
19550501 19550531    42.1
19550601 19550630   113.3
19550701 19550731    30.9
19550801 19550831    62.8
19550901 19550930    19.3
19551001 19551031    21.8
19551101 19551130    37.3
19551201 19551231     8.3
19560101 19560131     4.6
19560201 19560229    29.7
19560301 19560331    22.1
19560401 19560430    86.4
19560501 19560531    79.9
19560601 19560630    94.1
19560701 19560731   137.3
19560801 19560831    48.4
19560901 19560930    75.3
19561001 19561031    72.6
19561101 19561130    12.9
