PRCP       018057 19070101 20170930 missing_value=99999.9 MOUNT WUDINNA                             
20021001 20021031    15.0
20021101 20021130    13.4
20021201 20021231    14.8
20030101 20030131    14.4
20030201 20030228    54.4
20030301 20030331     0.6
20030401 20030430     9.4
20030501 20030531    27.4
20030601 20030630    32.0
20030701 20030731    45.0
20030801 20030831    60.2
20030901 20030930    13.0
20031001 20031031    31.0
20031101 20031130    13.4
20031201 20031231    13.2
20040101 20040131     5.8
20040201 20040229     6.4
20040301 20040331     6.0
20040401 20040430    17.0
20040501 20040531    11.4
20040601 20040630    35.0
20040701 20040731    49.6
20040801 20040831    61.4
20040901 20040930    25.4
20041001 20041031     2.8
20041101 20041130    17.2
20041201 20041231    22.8
20050101 20050131     4.6
20050201 20050228     3.6
20050301 20050331     3.2
20050401 20050430     6.4
20050501 20050531    13.4
20050601 20050630   112.4
20050701 20050731    30.8
20050801 20050831    32.0
20050901 20050930    64.0
20051001 20051031    56.3
20051101 20051130    19.2
20051201 20051231    17.2
20060101 20060131    14.4
20060201 20060228     6.0
20060301 20060331    30.6
20060401 20060430    21.6
20060501 20060531    10.8
20060601 20060630    18.4
20060701 20060731    41.6
20060801 20060831     3.4
20060901 20060930     2.0
20061001 20061031     0.0
20061101 20061130    22.8
20061201 20061231    57.0
20070101 20070131    22.2
20070201 20070228     0.0
20070301 20070331    43.4
20070401 20070430    45.6
20070501 20070531    17.0
20070601 20070630    13.8
20070701 20070731    27.0
20070801 20070831    10.6
20070901 20070930     6.8
20071001 20071031     1.4
20071101 20071130    18.8
20071201 20071231    54.1
20080101 20080131     0.4
20080201 20080229     9.8
20080301 20080331     0.2
20080401 20080430    21.3
20080501 20080531    20.1
20080601 20080630    13.4
20080701 20080731    34.2
20080801 20080831    39.4
20080901 20080930     3.4
20081001 20081031     3.6
20081101 20081130    26.2
20081201 20081231    64.4
20090101 20090131     0.0
20090201 20090228     1.4
20090301 20090331    47.0
20090401 20090430    24.6
20090501 20090531    17.4
20090601 20090630    77.6
20090701 20090731    70.2
20090801 20090831    31.2
20090901 20090930    59.4
20091001 20091031    12.6
20091101 20091130    17.2
20091201 20091231     6.8
20100101 20100131    10.4
20100201 20100228     0.8
20100301 20100331    31.6
20100401 20100430     3.8
20100501 20100531    66.6
20100601 20100630    28.8
20100701 20100731    25.2
20100801 20100831    36.2
20100901 20100930    71.4
20101001 20101031    19.4
20101101 20101130    12.0
20101201 20101231    24.4
20110101 20110131     0.2
20110201 20110228    68.0
20110301 20110331    56.0
20110401 20110430    14.4
20110501 20110531    33.4
20110601 20110630    24.8
20110701 20110731    45.2
20110801 20110831    44.0
20110901 20110930    35.6
20111001 20111031    49.0
20111101 20111130     8.4
20111201 20111231    19.2
20120101 20120131    37.4
20120201 20120229    27.2
20120301 20120331    28.2
20120401 20120430    20.4
20120501 20120531    32.2
20120601 20120630    59.8
20120701 20120731    27.0
20120801 20120831    24.6
20120901 20120930    13.0
20121001 20121031     6.4
20121101 20121130 99999.9
20121201 20121231     3.8
20130101 20130131     1.8
20130201 20130228    29.0
20130301 20130331    31.2
20130401 20130430    29.2
20130501 20130531    25.0
20130601 20130630    67.6
20130701 20130731    61.6
20130801 20130831    59.0
20130901 20130930    26.2
20131001 20131031     7.4
20131101 20131130    16.4
20131201 20131231    21.4
20140101 20140131    25.6
20140201 20140228    81.8
20140301 20140331     0.8
20140401 20140430    44.8
20140501 20140531    49.2
20140601 20140630    65.4
20140701 20140731    62.6
20140801 20140831     4.8
20140901 20140930    13.8
20141001 20141031     4.2
20141101 20141130    10.8
20141201 20141231     7.2
20150101 20150131    25.0
20150201 20150228     3.4
20150301 20150331     0.8
20150401 20150430    50.6
20150501 20150531    20.4
20150601 20150630    53.2
20150701 20150731    27.6
20150801 20150831    66.8
20150901 20150930    28.8
20151001 20151031     4.4
20151101 20151130    52.6
20151201 20151231    10.0
20160101 20160131    19.2
20160201 20160229    27.4
20160301 20160331    46.6
20160401 20160430    11.4
20160501 20160531    40.0
20160601 20160630    63.8
20160701 20160731    58.4
20160801 20160831    37.6
20160901 20160930    54.4
20161001 20161031    23.6
20161101 20161130     5.6
20161201 20161231    62.8
20170101 20170131    51.4
20170201 20170228    35.2
20170301 20170331     0.0
20170401 20170430    15.4
20170501 20170531    13.4
20170601 20170630     4.4
20170701 20170731    37.8
20170801 20170831    53.4
20170901 20170930    16.6
